* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 5, 2024 11:33:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7hz Salnotes Zero 2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.044	-176.9500
20.600000	100.030	-177.3674
20.900000	100.014	-177.8613
21.200001	100.000	-178.4136
21.400000	99.991	-178.8093
21.799999	99.973	-179.6318
22.000000	99.964	179.9615
22.400000	99.943	179.2003
22.700001	99.928	178.6906
23.000000	99.913	178.2294
23.299999	99.899	177.8003
23.600000	99.885	177.3842
24.000000	99.862	176.8263
24.299999	99.842	176.4014
24.700001	99.813	175.8354
25.000000	99.792	175.4189
25.400000	99.767	174.8749
25.799999	99.749	174.3299
26.200001	99.734	173.7679
26.500000	99.721	173.3369
26.900000	99.697	172.7720
27.200001	99.674	172.3767
27.600000	99.640	171.9068
28.000000	99.609	171.4906
28.500000	99.579	170.9776
29.000000	99.548	170.4014
29.500000	99.500	169.7809
30.000000	99.430	169.2169
30.400000	99.369	168.8546
30.700001	99.328	168.6265
31.100000	99.285	168.3360
31.500000	99.256	168.0079
32.000000	99.229	167.5103
32.500000	99.201	166.9625
33.000000	99.169	166.4486
33.500000	99.140	166.0012
34.000000	99.117	165.5845
34.500000	99.093	165.1540
35.000000	99.062	164.7096
35.500000	99.022	164.2838
36.000000	98.978	163.8925
36.500000	98.934	163.5155
37.000000	98.891	163.1269
37.500000	98.846	162.7260
38.200001	98.780	162.1708
38.700001	98.735	161.7772
39.500000	98.662	161.1477
40.000000	98.614	160.7984
40.599998	98.562	160.4664
41.200001	98.524	160.1794
41.799999	98.491	159.8501
42.500000	98.439	159.4090
43.099998	98.381	159.0546
43.700001	98.323	158.7346
44.400002	98.263	158.3452
45.000000	98.215	157.9915
45.500000	98.175	157.7165
46.200001	98.120	157.3938
46.799999	98.072	157.1567
47.500000	98.011	156.8858
48.200001	97.946	156.5945
48.700001	97.898	156.3715
49.400002	97.836	156.0557
50.000000	97.793	155.7920
50.799999	97.746	155.4315
51.500000	97.695	155.1169
52.200001	97.625	154.8582
53.000000	97.539	154.6237
53.799999	97.465	154.3536
54.500000	97.415	154.0621
55.200001	97.372	153.7574
56.000000	97.323	153.4412
57.000000	97.253	153.1423
58.000000	97.180	152.9486
59.000000	97.112	152.8107
60.000000	97.043	152.5776
60.799999	96.976	152.2864
61.500000	96.911	152.0390
62.200001	96.851	151.8448
63.000000	96.791	151.6684
64.000000	96.717	151.4523
65.000000	96.638	151.2213
66.000000	96.559	151.0202
67.000000	96.486	150.8765
68.000000	96.418	150.7409
69.000000	96.353	150.5513
70.000000	96.283	150.3427
71.000000	96.213	150.1779
72.000000	96.149	150.0302
73.000000	96.085	149.8787
