* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 5, 2024 11:39:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7hz Salnotes Zero 2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.870	-174.5821
20.600000	99.864	-175.0373
20.900000	99.855	-175.5361
21.200001	99.845	-176.0577
21.400000	99.839	-176.4199
21.799999	99.825	-177.1696
22.000000	99.817	-177.5478
22.400000	99.800	-178.2836
22.700001	99.787	-178.8003
23.000000	99.774	-179.2794
23.299999	99.761	-179.7236
23.600000	99.749	179.8577
24.000000	99.733	179.3161
24.299999	99.722	178.9065
24.700001	99.704	178.3416
25.000000	99.688	177.9038
25.400000	99.664	177.3139
25.799999	99.638	176.7372
26.200001	99.613	176.1895
26.500000	99.597	175.7988
26.900000	99.577	175.2968
27.200001	99.562	174.9286
27.600000	99.542	174.4454
28.000000	99.518	173.9746
28.500000	99.487	173.4105
29.000000	99.459	172.8636
29.500000	99.436	172.3056
30.000000	99.414	171.7188
30.400000	99.393	171.2385
30.700001	99.374	170.8853
31.100000	99.343	170.4399
31.500000	99.309	170.0341
32.000000	99.268	169.5773
32.500000	99.231	169.1501
33.000000	99.198	168.7226
33.500000	99.167	168.2826
34.000000	99.132	167.8372
34.500000	99.093	167.3995
35.000000	99.051	166.9749
35.500000	99.008	166.5596
36.000000	98.966	166.1479
36.500000	98.926	165.7375
37.000000	98.890	165.3297
37.500000	98.855	164.9278
38.200001	98.805	164.3873
38.700001	98.768	164.0250
39.500000	98.707	163.4799
40.000000	98.671	163.1481
40.599998	98.627	162.7550
41.200001	98.582	162.3778
41.799999	98.536	162.0223
42.500000	98.483	161.6161
43.099998	98.439	161.2544
43.700001	98.394	160.8796
44.400002	98.343	160.4443
45.000000	98.299	160.0867
45.500000	98.261	159.8055
46.200001	98.205	159.4449
46.799999	98.155	159.1638
47.500000	98.099	158.8443
48.200001	98.046	158.5125
48.700001	98.006	158.2707
49.400002	97.950	157.9413
50.000000	97.900	157.6773
50.799999	97.840	157.3431
51.500000	97.794	157.0354
52.200001	97.748	156.7051
53.000000	97.686	156.3482
53.799999	97.620	156.0334
54.500000	97.564	155.7745
55.200001	97.515	155.5341
56.000000	97.467	155.2760
57.000000	97.396	154.9733
58.000000	97.316	154.6148
59.000000	97.230	154.0068
60.000000	97.130	153.5909
60.799999	97.081	153.5750
61.500000	97.057	153.5399
62.200001	97.019	153.3920
63.000000	96.958	153.1755
64.000000	96.884	152.9119
65.000000	96.814	152.6873
66.000000	96.741	152.4925
67.000000	96.664	152.2495
68.000000	96.594	151.9844
69.000000	96.533	151.7458
70.000000	96.473	151.5617
71.000000	96.407	151.4052
72.000000	96.333	151.2519
73.000000	96.259	151.1052
74.000000	96.192	150.9420
75.000000	96.127	150.7798
76.199997	96.050	150.6146
77.500000	95.968	150.4248
78.800003	95.885	150.2435
80.000000	95.808	150.0891
81.199997	95.732	149.9583
82.500000	95.652	149.8370
83.800003	95.573	149.7266
85.000000	95.502	149.6170
86.199997	95.430	149.5062
87.500000	95.353	149.4025
88.500000	95.295	149.3336
90.000000	95.208	149.2423
91.199997	95.139	149.1790
92.500000	95.067	149.1150
93.800003	94.996	149.0593
95.000000	94.929	149.0102
96.199997	94.860	148.9684
97.500000	94.789	148.9453
98.800003	94.722	148.9176
100.000000	94.660	148.8865
101.500000	94.581	148.8603
103.000000	94.503	148.8442
104.400002	94.433	148.8279
106.000000	94.354	148.8184
107.500000	94.281	148.8197
109.000000	94.207	148.8316
110.599998	94.129	148.8488
112.000000	94.063	148.8703
113.800003	93.980	148.9025
115.000000	93.925	148.9279
117.199997	93.830	148.9733
118.000000	93.798	149.0016
120.599998	93.688	149.1327
122.000000	93.621	149.1911
124.099998	93.522	149.2574
125.000000	93.482	149.2916
126.500000	93.419	149.3575
128.000000	93.361	149.4305
131.500000	93.233	149.5931
132.000000	93.214	149.6199
134.000000	93.138	149.7517
136.000000	93.065	149.8968
138.000000	92.991	150.0294
140.000000	92.919	150.1697
143.000000	92.814	150.3294
145.000000	92.747	150.4948
147.500000	92.661	150.7597
150.000000	92.576	150.9963
152.500000	92.500	151.1970
155.000000	92.431	151.4169
157.500000	92.353	151.6465
160.000000	92.274	151.8394
162.500000	92.196	152.0887
165.000000	92.117	152.3449
167.500000	92.039	152.5585
170.000000	91.953	152.8335
172.500000	91.863	153.1870
175.000000	91.769	153.5665
177.500000	91.694	153.8697
180.000000	91.631	154.3546
182.500000	91.566	154.6714
185.000000	91.528	154.9906
187.500000	91.494	155.3964
190.000000	91.457	155.7625
192.500000	91.420	156.0245
