* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2024 11:19:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L AFUL Explorer AZLA ASMR MAX
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.828	-170.1033
20.600000	102.833	-170.7397
20.900000	102.838	-171.4113
21.200001	102.844	-172.0740
21.400000	102.850	-172.5160
21.799999	102.864	-173.4152
22.000000	102.870	-173.8746
22.400000	102.877	-174.8041
22.700001	102.875	-175.4952
23.000000	102.867	-176.1676
23.299999	102.856	-176.8160
23.600000	102.843	-177.4433
24.000000	102.829	-178.2620
24.299999	102.821	-178.8734
24.700001	102.812	-179.6880
25.000000	102.806	179.7087
25.400000	102.796	178.9307
25.799999	102.785	178.1926
26.200001	102.774	177.4891
26.500000	102.764	176.9745
26.900000	102.750	176.2953
27.200001	102.737	175.7892
27.600000	102.718	175.1218
28.000000	102.699	174.4655
28.500000	102.680	173.6536
29.000000	102.665	172.8386
29.500000	102.645	172.0287
30.000000	102.618	171.2549
30.400000	102.593	170.6740
30.700001	102.574	170.2546
31.100000	102.552	169.6981
31.500000	102.531	169.1261
32.000000	102.505	168.3877
32.500000	102.475	167.6591
33.000000	102.444	166.9792
33.500000	102.415	166.3420
34.000000	102.388	165.7066
34.500000	102.357	165.0496
35.000000	102.318	164.3946
35.500000	102.277	163.7794
36.000000	102.242	163.2053
36.500000	102.216	162.6332
37.000000	102.194	162.0351
37.500000	102.166	161.4304
38.200001	102.116	160.6440
38.700001	102.078	160.1215
39.500000	102.020	159.2516
40.000000	101.979	158.6776
40.599998	101.926	158.0121
41.200001	101.881	157.3939
41.799999	101.847	156.7776
42.500000	101.811	156.0055
43.099998	101.769	155.3481
43.700001	101.715	154.7937
44.400002	101.658	154.2946
45.000000	101.617	153.8706
45.500000	101.581	153.4614
46.200001	101.518	152.8615
46.799999	101.472	152.3595
47.500000	101.433	151.7102
48.200001	101.386	151.0774
48.700001	101.351	150.7570
49.400002	101.323	150.3675
50.000000	101.299	149.8447
50.799999	101.200	149.0799
51.500000	101.103	148.7291
52.200001	101.065	148.3445
53.000000	101.008	147.5590
53.799999	100.910	147.0208
54.500000	100.872	146.7071
55.200001	100.846	146.1191
56.000000	100.762	145.4986
57.000000	100.686	145.1674
58.000000	100.648	144.5513
59.000000	100.589	143.7515
60.000000	100.493	142.8007
60.799999	100.365	142.4013
61.500000	100.296	142.3970
62.200001	100.281	142.2555
63.000000	100.254	141.7708
64.000000	100.201	141.1760
65.000000	100.146	140.2948
66.000000	99.992	139.5798
67.000000	99.890	139.7922
68.000000	99.918	139.4266
69.000000	99.835	138.5186
70.000000	99.727	138.5567
71.000000	99.727	138.3084
72.000000	99.627	137.3973
73.000000	99.504	137.2129
74.000000	99.524	136.9121
75.000000	99.486	135.9723
76.199997	99.346	135.5328
77.500000	99.273	135.2094
78.800003	99.186	134.6224
80.000000	99.084	134.1268
81.199997	98.991	133.6639
82.500000	98.917	133.2328
83.800003	98.897	133.1246
85.000000	98.888	132.5366
86.199997	98.737	131.6416
87.500000	98.516	131.5861
88.500000	98.448	132.0724
90.000000	98.506	132.1978
91.199997	98.535	131.5316
92.500000	98.514	130.4242
93.800003	98.402	128.9619
95.000000	98.208	128.1098
96.199997	98.037	128.2036
97.500000	97.958	128.7615
98.800003	97.949	129.1453
100.000000	97.954	129.2168
101.500000	97.944	128.9391
103.000000	97.900	128.1133
104.400002	97.809	127.1518
106.000000	97.656	126.4792
107.500000	97.535	126.2475
109.000000	97.446	126.0388
110.599998	97.370	125.8468
112.000000	97.317	125.7000
113.800003	97.254	125.3614
115.000000	97.212	125.1744
117.199997	97.135	124.7624
118.000000	97.096	124.6489
120.599998	96.952	124.2906
122.000000	96.880	123.8992
124.099998	96.794	123.3701
125.000000	96.759	123.1907
126.500000	96.702	122.8517
128.000000	96.651	122.5579
131.500000	96.522	122.1173
132.000000	96.504	122.1331
134.000000	96.417	122.2477
136.000000	96.299	121.9986
138.000000	96.219	121.4517
140.000000	96.165	121.1119
143.000000	96.073	120.7216
145.000000	95.994	120.3968
147.500000	95.937	119.8667
150.000000	95.875	119.4886
152.500000	95.791	119.2215
155.000000	95.693	118.9184
157.500000	95.653	118.5397
160.000000	95.599	118.4349
162.500000	95.476	118.1253
165.000000	95.401	117.8129
167.500000	95.322	117.5792
170.000000	95.242	117.2540
172.500000	95.190	116.9480
175.000000	95.126	116.7077
177.500000	95.051	116.5191
180.000000	94.984	116.2529
182.500000	94.921	116.0025
185.000000	94.862	115.7827
187.500000	94.799	115.5275
190.000000	94.733	115.2663
192.500000	94.672	115.0356
195.000000	94.614	114.7869
197.500000	94.555	114.5585
200.000000	94.505	114.3622
203.000000	94.454	114.1026
206.000000	94.400	113.7789
209.000000	94.346	113.5262
212.000000	94.292	113.2811
214.000000	94.256	113.1046
218.000000	94.189	112.7274
220.000000	94.156	112.5660
224.000000	94.084	112.3031
227.000000	94.029	112.0904
230.000000	93.979	111.8524
233.000000	93.933	111.6145
236.000000	93.890	111.3818
240.000000	93.840	111.0789
243.000000	93.804	110.8877
247.000000	93.751	110.6045
250.000000	93.712	110.3625
254.000000	93.662	110.1048
258.000000	93.613	109.8441
262.000000	93.566	109.5702
265.000000	93.533	109.3513
269.000000	93.493	109.0734
272.000000	93.464	108.8702
276.000000	93.424	108.6093
280.000000	93.387	108.3512
285.000000	93.344	108.0133
290.000000	93.302	107.6746
295.000000	93.261	107.3649
300.000000	93.224	107.0506
304.000000	93.197	106.7853
307.000000	93.178	106.5923
311.000000	93.152	106.3393
315.000000	93.129	106.0893
320.000000	93.101	105.7788
325.000000	93.074	105.4698
330.000000	93.050	105.1626
335.000000	93.029	104.8549
340.000000	93.010	104.5485
345.000000	92.992	104.2385
350.000000	92.975	103.9261
355.000000	92.961	103.6302
360.000000	92.947	103.3298
365.000000	92.934	103.0175
370.000000	92.924	102.7046
375.000000	92.915	102.3969
382.000000	92.904	101.9622
387.000000	92.897	101.6414
395.000000	92.888	101.1209
400.000000	92.881	100.7942
406.000000	92.874	100.3957
412.000000	92.867	100.0002
418.000000	92.860	99.6105
425.000000	92.851	99.1604
431.000000	92.842	98.7784
437.000000	92.834	98.3990
444.000000	92.824	97.9685
450.000000	92.812	97.6134
455.000000	92.795	97.3248
462.000000	92.766	97.0135
468.000000	92.750	96.9185
475.000000	92.774	96.9404
482.000000	92.842	96.6885
487.000000	92.884	96.2827
494.000000	92.916	95.6378
500.000000	92.928	95.1205
508.000000	92.941	94.4672
515.000000	92.952	93.8682
522.000000	92.960	93.1782
530.000000	92.942	92.2138
538.000000	92.851	91.2557
545.000000	92.726	90.9099
552.000000	92.637	91.1313
560.000000	92.618	91.4840
570.000000	92.655	91.5286
580.000000	92.693	91.2927
590.000000	92.719	90.9615
600.000000	92.738	90.6017
608.000000	92.749	90.3125
615.000000	92.757	90.0650
622.000000	92.764	89.8263
630.000000	92.771	89.5616
640.000000	92.780	89.2398
650.000000	92.788	88.9334
660.000000	92.795	88.6582
670.000000	92.802	88.3996
680.000000	92.810	88.1601
690.000000	92.817	87.9384
700.000000	92.826	87.7314
710.000000	92.834	87.5400
720.000000	92.844	87.3695
730.000000	92.854	87.2210
740.000000	92.865	87.1002
750.000000	92.878	86.9991
762.000000	92.895	86.8699
775.000000	92.915	86.7675
788.000000	92.938	86.6971
800.000000	92.959	86.6533
812.000000	92.981	86.6259
825.000000	93.006	86.6188
838.000000	93.034	86.6315
850.000000	93.063	86.6608
862.000000	93.097	86.6993
875.000000	93.138	86.7499
885.000000	93.171	86.7942
900.000000	93.227	86.8641
912.000000	93.277	86.9213
925.000000	93.334	86.9866
938.000000	93.396	87.0458
950.000000	93.457	87.0912
962.000000	93.521	87.1235
975.000000	93.593	87.1441
988.000000	93.669	87.1489
1000.000000	93.741	87.1370
1015.000000	93.833	87.0963
1030.000000	93.927	87.0251
1044.000000	94.016	86.9306
1060.000000	94.118	86.7873
1075.000000	94.213	86.6216
1090.000000	94.308	86.4251
1106.000000	94.407	86.1832
1120.000000	94.493	85.9488
1138.000000	94.599	85.6169
1150.000000	94.668	85.3800
1172.000000	94.789	84.9164
1180.000000	94.832	84.7370
1206.000000	94.962	84.1227
1220.000000	95.026	83.7819
1241.000000	95.119	83.2675
1250.000000	95.157	83.0464
1265.000000	95.221	82.6811
1280.000000	95.283	82.3222
1315.000000	95.417	81.5217
1320.000000	95.434	81.4128
1340.000000	95.500	80.9914
1360.000000	95.559	80.5957
1380.000000	95.608	80.2409
1400.000000	95.648	79.9597
1430.000000	95.692	79.7699
1450.000000	95.718	79.8964
1475.000000	95.781	80.4845
1500.000000	95.951	81.4758
1525.000000	96.280	82.1301
1550.000000	96.671	81.5748
1575.000000	96.970	80.0435
1600.000000	97.146	78.3402
1625.000000	97.247	76.8567
1650.000000	97.316	75.6200
1675.000000	97.378	74.5590
1700.000000	97.440	73.6063
1725.000000	97.508	72.7043
1750.000000	97.582	71.7945
1775.000000	97.658	70.8311
1800.000000	97.728	69.8085
1825.000000	97.790	68.7445
1850.000000	97.842	67.6598
1875.000000	97.885	66.5721
1900.000000	97.923	65.4865
1925.000000	97.957	64.3892
1950.000000	97.987	63.2492
1975.000000	98.010	62.0437
2000.000000	98.019	60.7776
2030.000000	98.004	59.2206
2060.000000	97.960	57.6813
2090.000000	97.883	56.2215
2120.000000	97.776	54.8989
2140.000000	97.689	54.1264
2180.000000	97.480	52.9617
2200.000000	97.366	52.6381
2240.000000	97.154	52.6970
2270.000000	97.064	53.4218
2300.000000	97.104	54.5108
2330.000000	97.304	55.3821
2360.000000	97.617	55.3593
2400.000000	98.027	53.6633
2430.000000	98.239	51.6302
2470.000000	98.395	48.7082
2500.000000	98.453	46.5398
2540.000000	98.473	43.6853
2580.000000	98.431	40.9380
2620.000000	98.338	38.4217
2650.000000	98.246	36.7347
2690.000000	98.111	34.7657
2720.000000	98.012	33.4848
2760.000000	97.893	31.9982
2800.000000	97.798	30.6945
2850.000000	97.718	29.1881
2900.000000	97.671	27.7360
2950.000000	97.652	26.4028
3000.000000	97.689	25.2114
3040.000000	97.771	24.2052
3070.000000	97.860	23.3391
3110.000000	98.002	22.0033
3150.000000	98.166	20.4539
3200.000000	98.393	18.2084
3250.000000	98.636	15.5934
3300.000000	98.881	12.5581
3350.000000	99.110	9.0637
3400.000000	99.295	5.1378
3450.000000	99.412	0.8813
3500.000000	99.444	-3.5472
3550.000000	99.383	-7.9575
3600.000000	99.233	-12.1590
3650.000000	99.006	-15.9912
3700.000000	98.721	-19.3407
3750.000000	98.398	-22.1413
3820.000000	97.922	-25.1062
3870.000000	97.589	-26.5677
3950.000000	97.100	-27.9010
4000.000000	96.832	-28.1965
4060.000000	96.557	-28.0930
4120.000000	96.339	-27.5629
4180.000000	96.187	-26.6740
4250.000000	96.104	-25.2947
4310.000000	96.120	-23.9562
4370.000000	96.214	-22.6337
4440.000000	96.409	-21.2850
4500.000000	96.627	-20.3776
4550.000000	96.835	-19.8251
4620.000000	97.150	-19.3772
4680.000000	97.426	-19.2915
4750.000000	97.740	-19.5116
4820.000000	98.030	-20.0225
4870.000000	98.217	-20.5234
4940.000000	98.442	-21.3476
5000.000000	98.598	-22.0989
5080.000000	98.759	-23.0533
5150.000000	98.860	-23.7620
5220.000000	98.933	-24.3010
5300.000000	98.996	-24.6753
5380.000000	99.049	-24.7853
5450.000000	99.100	-24.6813
5520.000000	99.162	-24.4198
5600.000000	99.256	-23.9787
5700.000000	99.414	-23.3185
5800.000000	99.621	-22.6759
5900.000000	99.876	-22.2018
6000.000000	100.168	-22.0358
6080.000000	100.419	-22.1986
6150.000000	100.644	-22.5989
6220.000000	100.869	-23.2670
6300.000000	101.122	-24.3832
6400.000000	101.416	-26.3220
6500.000000	101.641	-28.8247
6600.000000	101.754	-31.7687
6700.000000	101.727	-34.9323
6800.000000	101.550	-38.0184
6900.000000	101.233	-40.7245
7000.000000	100.806	-42.8174
7100.000000	100.308	-44.1853
7200.000000	99.775	-44.8680
7300.000000	99.229	-44.9792
7400.000000	98.677	-44.5934
7500.000000	98.125	-43.7657
7620.000000	97.471	-42.2798
7750.000000	96.774	-40.1190
7880.000000	96.091	-37.4374
8000.000000	95.460	-34.5565
8120.000000	94.809	-31.3367
8250.000000	94.105	-27.5132
8380.000000	93.428	-23.3987
8500.000000	92.836	-19.4026
8620.000000	92.271	-15.3007
8750.000000	91.667	-10.8372
8850.000000	91.170	-7.1739
9000.000000	90.488	-0.1812
9120.000000	90.148	5.4790
9250.000000	89.853	10.8798
9380.000000	89.582	16.0623
9500.000000	89.371	20.7367
9620.000000	89.204	25.2345
9750.000000	89.068	29.8446
9880.000000	88.974	34.1474
10000.000000	88.922	37.8346
10150.000000	88.905	42.0332
10300.000000	88.937	45.7233
10440.000000	89.008	48.6377
10600.000000	89.128	51.2360
10750.000000	89.261	52.8453
10900.000000	89.385	53.5919
11060.000000	89.471	53.4886
11200.000000	89.480	52.7555
11380.000000	89.372	51.1807
11500.000000	89.216	49.9212
11720.000000	88.757	47.5963
11800.000000	88.537	46.8420
12060.000000	87.635	45.3240
12200.000000	87.072	45.7274
12410.000000	86.395	48.1811
12500.000000	86.220	49.3508
12650.000000	86.034	50.9130
12800.000000	85.912	52.0369
13150.000000	85.746	53.4754
13200.000000	85.732	53.5567
13400.000000	85.696	53.6680
13600.000000	85.750	53.5840
13800.000000	86.036	52.8397
14000.000000	86.607	49.7324
14300.000000	87.485	37.4912
14500.000000	87.630	24.7587
14750.000000	87.106	6.1665
15000.000000	85.948	-13.8141
15250.000000	84.320	-35.1493
15500.000000	82.223	-57.8714
15750.000000	79.653	-81.0283
16000.000000	76.813	-103.2993
16250.000000	74.095	-123.8032
16500.000000	71.775	-142.1041
16750.000000	69.938	-158.1986
17000.000000	68.549	-172.4423
17250.000000	67.499	174.4993
17500.000000	66.690	161.6403
17750.000000	66.028	147.9361
18000.000000	65.390	132.5188
18250.000000	64.646	114.7769
18500.000000	63.748	93.8776
18750.000000	62.678	69.1439
19000.000000	61.440	39.9198
19250.000000	60.171	4.5870
19500.000000	58.764	-39.6271
19750.000000	56.827	-94.3288
20000.000000	55.039	-151.1078
