* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2024 11:07:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AFUL Explorer Coreir L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.506	-168.0039
20.600000	103.504	-168.6378
20.900000	103.492	-169.2593
21.200001	103.477	-169.8147
21.400000	103.469	-170.1610
21.799999	103.468	-170.8613
22.000000	103.474	-171.2448
22.400000	103.493	-172.1230
22.700001	103.507	-172.8753
23.000000	103.515	-173.6741
23.299999	103.515	-174.4745
23.600000	103.511	-175.2366
24.000000	103.504	-176.1566
24.299999	103.502	-176.7771
24.700001	103.505	-177.5447
25.000000	103.508	-178.0997
25.400000	103.508	-178.8318
25.799999	103.502	-179.5565
26.200001	103.490	179.7301
26.500000	103.480	179.2006
26.900000	103.467	178.4946
27.200001	103.458	177.9620
27.600000	103.446	177.2532
28.000000	103.434	176.5602
28.500000	103.419	175.7347
29.000000	103.403	174.9511
29.500000	103.385	174.1874
30.000000	103.362	173.4314
30.400000	103.341	172.8343
30.700001	103.325	172.3917
31.100000	103.307	171.8048
31.500000	103.291	171.2162
32.000000	103.272	170.4774
32.500000	103.250	169.7527
33.000000	103.225	169.0629
33.500000	103.197	168.4082
34.000000	103.170	167.7687
34.500000	103.143	167.1263
35.000000	103.115	166.4812
35.500000	103.087	165.8455
36.000000	103.058	165.2283
36.500000	103.029	164.6311
37.000000	102.999	164.0523
37.500000	102.968	163.4913
38.200001	102.925	162.7338
38.700001	102.895	162.2076
39.500000	102.850	161.3747
40.000000	102.821	160.8485
40.599998	102.784	160.2033
41.200001	102.742	159.5471
41.799999	102.697	158.8961
42.500000	102.644	158.1682
43.099998	102.601	157.5822
43.700001	102.563	157.0252
44.400002	102.519	156.3909
45.000000	102.477	155.8482
45.500000	102.440	155.3972
46.200001	102.388	154.7732
46.799999	102.345	154.2482
47.500000	102.299	153.6523
48.200001	102.253	153.0829
48.700001	102.219	152.6927
49.400002	102.169	152.1572
50.000000	102.126	151.6926
50.799999	102.067	151.0624
51.500000	102.014	150.5309
52.200001	101.962	150.0276
53.000000	101.905	149.4448
53.799999	101.846	148.8699
54.500000	101.800	148.4247
55.200001	101.766	147.9897
56.000000	101.722	147.4280
57.000000	101.634	146.7327
58.000000	101.543	146.1234
59.000000	101.475	145.4801
60.000000	101.418	144.8502
60.799999	101.378	144.3763
61.500000	101.343	143.9318
62.200001	101.297	143.4603
63.000000	101.227	142.9785
64.000000	101.137	142.5264
65.000000	101.061	142.0572
66.000000	100.986	141.5231
67.000000	100.913	141.0341
68.000000	100.844	140.5867
69.000000	100.775	140.1380
70.000000	100.706	139.6631
71.000000	100.641	139.1910
72.000000	100.579	138.7307
73.000000	100.510	138.2667
74.000000	100.434	137.8075
75.000000	100.361	137.3694
76.199997	100.282	136.8962
77.500000	100.196	136.4043
78.800003	100.110	135.8965
80.000000	100.034	135.4169
81.199997	99.958	134.9848
82.500000	99.874	134.5385
83.800003	99.791	134.1218
85.000000	99.724	133.7583
86.199997	99.655	133.3527
87.500000	99.576	132.8951
88.500000	99.516	132.5714
90.000000	99.428	132.1242
91.199997	99.362	131.7570
92.500000	99.294	131.3918
93.800003	99.219	131.0631
95.000000	99.143	130.7256
96.199997	99.073	130.3615
97.500000	99.003	129.9840
98.800003	98.936	129.5939
100.000000	98.875	129.2556
101.500000	98.802	128.9421
103.000000	98.722	128.6270
104.400002	98.647	128.3121
106.000000	98.565	127.9338
107.500000	98.487	127.5722
109.000000	98.413	127.2113
110.599998	98.339	126.8326
112.000000	98.274	126.5487
113.800003	98.194	126.2462
115.000000	98.142	126.0248
117.199997	98.045	125.5938
118.000000	98.011	125.4345
120.599998	97.900	124.9075
122.000000	97.841	124.6207
124.099998	97.753	124.2218
125.000000	97.716	124.0584
126.500000	97.654	123.7859
128.000000	97.593	123.5209
131.500000	97.456	122.9271
132.000000	97.437	122.8471
134.000000	97.361	122.5321
136.000000	97.284	122.2226
138.000000	97.210	121.9245
140.000000	97.137	121.6348
143.000000	97.033	121.2126
145.000000	96.965	120.9322
147.500000	96.879	120.6063
150.000000	96.793	120.3175
152.500000	96.718	119.9739
155.000000	96.642	119.6276
157.500000	96.565	119.3308
160.000000	96.496	119.0339
162.500000	96.423	118.7406
165.000000	96.347	118.4464
167.500000	96.272	118.1653
170.000000	96.193	117.8803
172.500000	96.114	117.5907
175.000000	96.039	117.3407
177.500000	95.968	117.0871
180.000000	95.901	116.8489
182.500000	95.837	116.6259
185.000000	95.775	116.3911
187.500000	95.714	116.1419
190.000000	95.655	115.9042
192.500000	95.597	115.6995
195.000000	95.539	115.4932
197.500000	95.480	115.2431
200.000000	95.427	114.9861
203.000000	95.369	114.6864
206.000000	95.313	114.3997
209.000000	95.255	114.1232
212.000000	95.197	113.8525
214.000000	95.160	113.6695
218.000000	95.090	113.3257
220.000000	95.056	113.1550
224.000000	94.988	112.8049
227.000000	94.936	112.5520
230.000000	94.888	112.3018
233.000000	94.841	112.0495
236.000000	94.794	111.8001
240.000000	94.733	111.4703
243.000000	94.689	111.2270
247.000000	94.628	110.9088
250.000000	94.584	110.6739
254.000000	94.532	110.4037
258.000000	94.483	110.1268
262.000000	94.433	109.8420
265.000000	94.396	109.6278
269.000000	94.350	109.3463
272.000000	94.316	109.1351
276.000000	94.273	108.8621
280.000000	94.230	108.5902
285.000000	94.178	108.2530
290.000000	94.131	107.9206
295.000000	94.087	107.5916
300.000000	94.046	107.2686
304.000000	94.015	107.0043
307.000000	93.992	106.8023
311.000000	93.962	106.5375
315.000000	93.932	106.2777
320.000000	93.897	105.9511
325.000000	93.866	105.6275
330.000000	93.836	105.3011
335.000000	93.806	104.9782
340.000000	93.777	104.6543
345.000000	93.751	104.3274
350.000000	93.728	104.0013
355.000000	93.703	103.6956
360.000000	93.679	103.3985
365.000000	93.657	103.1000
370.000000	93.636	102.7960
375.000000	93.617	102.4989
382.000000	93.592	102.0861
387.000000	93.574	101.7825
395.000000	93.550	101.3162
400.000000	93.537	101.0399
406.000000	93.521	100.6987
412.000000	93.506	100.3561
418.000000	93.492	100.0145
425.000000	93.476	99.6158
431.000000	93.463	99.2830
