* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2024 11:05:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AFUL Explorer Coreir R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.584	-169.4736
20.600000	104.589	-170.0579
20.900000	104.588	-170.6427
21.200001	104.583	-171.1856
21.400000	104.581	-171.5359
21.799999	104.582	-172.2581
22.000000	104.586	-172.6513
22.400000	104.594	-173.5296
22.700001	104.595	-174.2605
23.000000	104.590	-175.0228
23.299999	104.579	-175.7800
23.600000	104.564	-176.5020
24.000000	104.547	-177.3883
24.299999	104.540	-178.0045
24.700001	104.538	-178.7939
25.000000	104.539	-179.3802
25.400000	104.536	179.8396
25.799999	104.526	179.0759
26.200001	104.509	178.3481
26.500000	104.495	177.8291
26.900000	104.475	177.1630
27.200001	104.462	176.6708
27.600000	104.446	176.0073
28.000000	104.431	175.3244
28.500000	104.411	174.4454
29.000000	104.389	173.5675
29.500000	104.365	172.7361
30.000000	104.345	171.9795
30.400000	104.333	171.4205
30.700001	104.326	171.0154
31.100000	104.315	170.4803
31.500000	104.298	169.9448
32.000000	104.266	169.2780
32.500000	104.225	168.6115
33.000000	104.184	167.9212
33.500000	104.150	167.1862
34.000000	104.120	166.4236
34.500000	104.096	165.6833
35.000000	104.074	165.0075
35.500000	104.053	164.4006
36.000000	104.028	163.8384
36.500000	103.996	163.2912
37.000000	103.959	162.7372
37.500000	103.920	162.1668
38.200001	103.870	161.3543
38.700001	103.837	160.7910
39.500000	103.786	159.9530
40.000000	103.750	159.4596
40.599998	103.703	158.8764
41.200001	103.654	158.2845
41.799999	103.611	157.6659
42.500000	103.567	156.9087
43.099998	103.528	156.2722
43.700001	103.484	155.6971
44.400002	103.430	155.0969
45.000000	103.385	154.5848
45.500000	103.347	154.1383
46.200001	103.293	153.5070
46.799999	103.250	152.9834
47.500000	103.203	152.3939
48.200001	103.153	151.8478
48.700001	103.115	151.4985
49.400002	103.068	151.0251
50.000000	103.029	150.5717
50.799999	102.966	149.9068
51.500000	102.902	149.3572
52.200001	102.845	148.8450
53.000000	102.790	148.2343
53.799999	102.732	147.6189
54.500000	102.676	147.1490
55.200001	102.617	146.7595
56.000000	102.554	146.3481
57.000000	102.482	145.7580
58.000000	102.413	145.0684
59.000000	102.343	144.3250
60.000000	102.263	143.6073
60.799999	102.200	143.1166
61.500000	102.154	142.7340
62.200001	102.113	142.3726
63.000000	102.064	141.9664
64.000000	101.991	141.4277
65.000000	101.899	140.9108
66.000000	101.811	140.4893
67.000000	101.739	140.0937
68.000000	101.675	139.7119
69.000000	101.620	139.3253
70.000000	101.561	138.8116
71.000000	101.475	138.2794
72.000000	101.387	137.9501
73.000000	101.338	137.6547
74.000000	101.310	137.0510
75.000000	101.251	136.2490
76.199997	101.145	135.5413
77.500000	101.036	135.1316
78.800003	100.938	134.7607
80.000000	100.833	134.2601
81.199997	100.715	133.7471
82.500000	100.605	133.4268
83.800003	100.526	133.3104
85.000000	100.476	133.0107
86.199997	100.435	132.4784
87.500000	100.381	132.0100
88.500000	100.316	131.7455
90.000000	100.192	131.5096
91.199997	100.092	131.5509
92.500000	99.987	131.4376
93.800003	99.876	131.0626
95.000000	99.817	130.5887
96.199997	99.778	130.0668
97.500000	99.762	129.6241
98.800003	99.728	129.2263
100.000000	99.651	128.8729
101.500000	99.537	128.4115
103.000000	99.455	127.9821
104.400002	99.404	127.5242
106.000000	99.344	127.1458
107.500000	99.238	127.2101
109.000000	99.097	127.0630
110.599998	99.052	126.5642
112.000000	99.048	126.1427
113.800003	98.955	125.9869
115.000000	98.887	125.7750
117.199997	98.797	125.5001
118.000000	98.778	125.3132
120.599998	98.658	124.6401
122.000000	98.609	124.5683
124.099998	98.510	124.0885
125.000000	98.449	123.8746
126.500000	98.371	123.5547
128.000000	98.321	123.2686
131.500000	98.184	122.8510
132.000000	98.162	122.7990
134.000000	98.078	122.5272
136.000000	98.011	122.1457
138.000000	97.933	121.8922
140.000000	97.879	121.6754
143.000000	97.786	120.8821
145.000000	97.662	120.6641
147.500000	97.577	120.5616
150.000000	97.525	120.1658
152.500000	97.433	119.5731
155.000000	97.339	119.3590
157.500000	97.275	119.3454
160.000000	97.202	119.0993
162.500000	97.110	118.8366
165.000000	97.038	118.6198
167.500000	96.983	118.3438
170.000000	96.903	117.9342
172.500000	96.805	117.6063
175.000000	96.716	117.3680
177.500000	96.634	117.1864
180.000000	96.557	116.9913
182.500000	96.487	116.7295
185.000000	96.416	116.5007
187.500000	96.339	116.2802
190.000000	96.265	116.0276
192.500000	96.200	115.7759
195.000000	96.140	115.5344
197.500000	96.082	115.2723
200.000000	96.025	115.0517
203.000000	95.962	114.8112
206.000000	95.900	114.6022
209.000000	95.835	114.3976
212.000000	95.770	114.1634
214.000000	95.728	114.0261
218.000000	95.643	113.7313
220.000000	95.605	113.5530
224.000000	95.538	113.2521
227.000000	95.483	113.0542
230.000000	95.430	112.8497
233.000000	95.377	112.7096
236.000000	95.327	112.5073
240.000000	95.261	112.1670
243.000000	95.217	111.9271
247.000000	95.160	111.6430
250.000000	95.110	111.4443
254.000000	95.049	111.2237
258.000000	94.997	110.9698
262.000000	94.945	110.6474
265.000000	94.902	110.4619
269.000000	94.841	110.2562
272.000000	94.801	110.1028
276.000000	94.754	109.9228
280.000000	94.714	109.7052
285.000000	94.665	109.4255
290.000000	94.613	109.1143
295.000000	94.566	108.7454
