* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 7:41:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AFUL Explorer Divinus L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.652	-167.8452
20.600000	102.659	-168.4941
20.900000	102.662	-169.1845
21.200001	102.661	-169.8635
21.400000	102.660	-170.3091
21.799999	102.661	-171.1885
22.000000	102.663	-171.6245
22.400000	102.670	-172.4928
22.700001	102.678	-173.1436
23.000000	102.687	-173.7960
23.299999	102.695	-174.4510
23.600000	102.700	-175.1076
24.000000	102.703	-175.9786
24.299999	102.701	-176.6208
24.700001	102.695	-177.4513
25.000000	102.688	-178.0510
25.400000	102.679	-178.8213
25.799999	102.671	-179.5681
26.200001	102.665	179.6970
26.500000	102.659	179.1502
26.900000	102.649	178.4301
27.200001	102.639	177.9028
27.600000	102.622	177.2263
28.000000	102.605	176.5846
28.500000	102.588	175.8167
29.000000	102.576	175.0452
29.500000	102.567	174.2317
30.000000	102.548	173.3856
30.400000	102.524	172.7245
30.700001	102.502	172.2606
31.100000	102.472	171.6951
31.500000	102.447	171.1750
32.000000	102.427	170.5298
32.500000	102.414	169.8338
33.000000	102.398	169.0908
33.500000	102.374	168.3571
34.000000	102.346	167.6738
34.500000	102.318	167.0314
35.000000	102.290	166.3980
35.500000	102.258	165.7653
36.000000	102.223	165.1487
36.500000	102.189	164.5533
37.000000	102.161	163.9610
37.500000	102.134	163.3585
38.200001	102.091	162.5378
38.700001	102.056	162.0096
39.500000	102.007	161.2308
40.000000	101.980	160.7179
40.599998	101.944	160.0482
41.200001	101.900	159.3658
41.799999	101.852	158.7254
42.500000	101.801	158.0400
43.099998	101.762	157.4698
43.700001	101.724	156.8910
44.400002	101.678	156.2138
45.000000	101.637	155.6530
45.500000	101.603	155.2031
46.200001	101.553	154.5897
46.799999	101.508	154.0721
47.500000	101.454	153.4779
48.200001	101.402	152.8923
48.700001	101.366	152.4795
49.400002	101.316	151.9156
50.000000	101.273	151.4479
50.799999	101.216	150.8317
51.500000	101.164	150.2834
52.200001	101.110	149.7458
53.000000	101.050	149.1952
53.799999	101.003	148.6785
54.500000	100.962	148.1862
55.200001	100.910	147.6825
56.000000	100.843	147.1540
57.000000	100.768	146.4785
58.000000	100.700	145.7574
59.000000	100.642	145.0703
60.000000	100.575	144.4147
60.799999	100.511	143.9902
61.500000	100.458	143.6698
62.200001	100.408	143.3295
63.000000	100.352	142.9107
64.000000	100.287	142.3699
65.000000	100.226	141.8209
66.000000	100.163	141.3898
67.000000	100.107	140.9965
68.000000	100.038	140.4457
69.000000	99.954	139.8452
70.000000	99.877	139.3104
71.000000	99.805	138.8430
72.000000	99.734	138.4105
73.000000	99.665	137.9664
74.000000	99.598	137.5225
75.000000	99.533	137.0963
76.199997	99.454	136.6135
77.500000	99.373	136.1062
78.800003	99.293	135.5807
80.000000	99.217	135.1019
81.199997	99.141	134.6580
82.500000	99.062	134.2144
83.800003	98.988	133.7450
85.000000	98.915	133.2927
86.199997	98.839	132.9014
87.500000	98.758	132.4668
88.500000	98.695	132.1154
90.000000	98.606	131.6159
91.199997	98.537	131.2399
92.500000	98.462	130.8528
93.800003	98.389	130.5120
95.000000	98.324	130.1896
96.199997	98.257	129.8591
97.500000	98.184	129.5210
98.800003	98.113	129.1812
100.000000	98.045	128.8419
101.500000	97.959	128.4490
103.000000	97.883	128.1083
104.400002	97.811	127.8452
106.000000	97.729	127.4507
107.500000	97.657	126.9929
109.000000	97.586	126.5962
110.599998	97.502	126.2709
112.000000	97.426	125.9787
113.800003	97.335	125.5974
115.000000	97.279	125.3740
117.199997	97.172	124.9922
118.000000	97.130	124.8835
120.599998	96.994	124.5354
122.000000	96.938	124.2786
124.099998	96.872	124.0023
125.000000	96.846	123.9252
126.500000	96.795	123.7598
128.000000	96.734	123.4803
131.500000	96.606	122.7642
132.000000	96.585	122.7067
134.000000	96.507	122.4788
136.000000	96.444	122.1027
138.000000	96.376	121.6467
140.000000	96.336	121.3074
143.000000	96.251	120.9070
145.000000	96.184	120.6763
147.500000	96.113	120.3311
150.000000	96.038	119.9103
152.500000	95.969	119.4881
155.000000	95.893	119.1351
157.500000	95.814	118.8399
160.000000	95.741	118.5021
162.500000	95.668	118.1838
165.000000	95.596	117.8856
167.500000	95.530	117.5602
170.000000	95.462	117.2781
172.500000	95.384	117.0844
175.000000	95.314	116.8354
177.500000	95.252	116.5048
180.000000	95.190	116.1731
182.500000	95.131	115.9041
185.000000	95.074	115.6276
187.500000	95.018	115.3146
