* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 7:36:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AFUL Explorer Divinus R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.472	-169.6951
20.600000	103.477	-170.3429
20.900000	103.478	-171.0397
21.200001	103.477	-171.7346
21.400000	103.477	-172.1956
21.799999	103.477	-173.1134
22.000000	103.478	-173.5700
22.400000	103.481	-174.4763
22.700001	103.484	-175.1456
23.000000	103.485	-175.8017
23.299999	103.484	-176.4410
23.600000	103.481	-177.0628
24.000000	103.474	-177.8696
24.299999	103.469	-178.4653
24.700001	103.463	-179.2582
25.000000	103.457	-179.8546
25.400000	103.447	179.3548
25.799999	103.436	178.5866
26.200001	103.424	177.8570
26.500000	103.416	177.3355
26.900000	103.408	176.6599
27.200001	103.402	176.1535
27.600000	103.391	175.4631
28.000000	103.374	174.7569
28.500000	103.341	173.8846
29.000000	103.302	173.0644
29.500000	103.270	172.2931
30.000000	103.248	171.5228
30.400000	103.233	170.8836
30.700001	103.221	170.3959
31.100000	103.200	169.7575
31.500000	103.175	169.1584
32.000000	103.145	168.4751
32.500000	103.120	167.8289
33.000000	103.098	167.1702
33.500000	103.072	166.4903
34.000000	103.040	165.8214
34.500000	103.005	165.1908
35.000000	102.973	164.5881
35.500000	102.943	163.9821
36.000000	102.912	163.3628
36.500000	102.874	162.7552
37.000000	102.835	162.1867
37.500000	102.800	161.6481
38.200001	102.760	160.8624
38.700001	102.729	160.2505
39.500000	102.663	159.2903
40.000000	102.619	158.7723
40.599998	102.574	158.2162
41.200001	102.538	157.6541
41.799999	102.501	157.0572
42.500000	102.450	156.3666
43.099998	102.404	155.8083
43.700001	102.359	155.2641
44.400002	102.307	154.6220
45.000000	102.260	154.0678
45.500000	102.220	153.6117
46.200001	102.164	152.9928
46.799999	102.119	152.4829
47.500000	102.070	151.9055
48.200001	102.022	151.3403
48.700001	101.985	150.9425
49.400002	101.931	150.3928
50.000000	101.882	149.9337
50.799999	101.816	149.3514
51.500000	101.763	148.8522
52.200001	101.713	148.3359
53.000000	101.653	147.7413
53.799999	101.595	147.1633
54.500000	101.545	146.6601
55.200001	101.491	146.1730
56.000000	101.424	145.6658
57.000000	101.342	145.0621
58.000000	101.266	144.4457
59.000000	101.198	143.8655
60.000000	101.133	143.3111
60.799999	101.074	142.8637
61.500000	101.017	142.4697
62.200001	100.959	142.0847
63.000000	100.897	141.6648
64.000000	100.824	141.1335
65.000000	100.753	140.5904
66.000000	100.696	140.0532
67.000000	100.641	139.4793
68.000000	100.560	139.0015
69.000000	100.474	138.6165
70.000000	100.398	138.1500
71.000000	100.328	137.6390
72.000000	100.257	137.1697
73.000000	100.184	136.7494
74.000000	100.113	136.3389
75.000000	100.042	135.9459
76.199997	99.957	135.5154
77.500000	99.865	135.0189
78.800003	99.780	134.4805
80.000000	99.704	134.0228
81.199997	99.626	133.6120
82.500000	99.539	133.1609
83.800003	99.455	132.7098
85.000000	99.381	132.2999
86.199997	99.305	131.9086
87.500000	99.222	131.5101
88.500000	99.161	131.2019
90.000000	99.072	130.7160
91.199997	99.000	130.3600
92.500000	98.922	130.0020
93.800003	98.842	129.6515
95.000000	98.770	129.3353
96.199997	98.703	129.0217
97.500000	98.628	128.6786
98.800003	98.552	128.3246
100.000000	98.483	127.9970
101.500000	98.399	127.6429
103.000000	98.316	127.3299
104.400002	98.241	127.0178
106.000000	98.154	126.6581
107.500000	98.074	126.3370
109.000000	97.992	126.0383
110.599998	97.905	125.7379
112.000000	97.834	125.4813
113.800003	97.743	125.1410
115.000000	97.679	124.9221
117.199997	97.572	124.5318
118.000000	97.535	124.3824
120.599998	97.411	123.8709
122.000000	97.346	123.7005
124.099998	97.256	123.4712
125.000000	97.219	123.3471
126.500000	97.157	123.1198
128.000000	97.091	122.9247
131.500000	96.943	122.5698
