* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 9, 2024 5:05:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AFUL Explorer EP-EX11 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.040	-169.5070
20.600000	103.047	-170.1420
20.900000	103.051	-170.8246
21.200001	103.053	-171.5075
21.400000	103.054	-171.9612
21.799999	103.054	-172.8590
22.000000	103.053	-173.3002
22.400000	103.054	-174.1631
22.700001	103.055	-174.7950
23.000000	103.057	-175.4183
23.299999	103.059	-176.0375
23.600000	103.059	-176.6546
24.000000	103.058	-177.4726
24.299999	103.055	-178.0796
24.700001	103.049	-178.8774
25.000000	103.043	-179.4668
25.400000	103.032	179.7595
25.799999	103.019	179.0032
26.200001	103.004	178.2723
26.500000	102.991	177.7444
26.900000	102.975	177.0656
27.200001	102.964	176.5684
27.600000	102.951	175.9082
28.000000	102.938	175.2414
28.500000	102.920	174.4028
29.000000	102.897	173.5832
29.500000	102.871	172.8032
30.000000	102.847	172.0583
30.400000	102.830	171.4738
30.700001	102.818	171.0362
31.100000	102.803	170.4512
31.500000	102.787	169.8651
32.000000	102.767	169.1347
32.500000	102.745	168.4163
33.000000	102.717	167.7267
33.500000	102.686	167.0790
34.000000	102.655	166.4636
34.500000	102.623	165.8517
35.000000	102.591	165.2253
35.500000	102.555	164.5948
36.000000	102.518	163.9783
36.500000	102.484	163.3724
37.000000	102.451	162.7606
37.500000	102.415	162.1474
38.200001	102.358	161.3442
38.700001	102.320	160.8235
39.500000	102.274	159.9916
40.000000	102.248	159.4425
40.599998	102.213	158.7972
41.200001	102.177	158.2058
41.799999	102.141	157.6450
42.500000	102.090	156.9856
43.099998	102.037	156.4275
43.700001	101.983	155.8860
44.400002	101.930	155.2390
45.000000	101.892	154.6510
45.500000	101.859	154.1606
46.200001	101.808	153.5304
46.799999	101.761	153.0523
47.500000	101.708	152.5133
48.200001	101.657	151.9414
48.700001	101.620	151.5145
49.400002	101.566	150.9220
50.000000	101.516	150.4449
50.799999	101.448	149.8692
51.500000	101.394	149.3915
52.200001	101.347	148.8875
53.000000	101.295	148.3070
53.799999	101.244	147.8170
54.500000	101.204	147.4370
55.200001	101.158	147.0199
56.000000	101.087	146.5063
57.000000	101.001	145.8416
58.000000	100.931	145.1507
59.000000	100.851	144.6859
60.000000	100.775	144.2728
60.799999	100.724	143.6736
61.500000	100.679	143.0787
62.200001	100.634	142.6413
63.000000	100.576	142.2943
64.000000	100.480	141.7321
65.000000	100.413	141.0817
66.000000	100.370	140.6086
67.000000	100.262	140.3719
68.000000	100.177	139.5833
69.000000	100.278	139.1013
70.000000	100.698	139.6898
71.000000	100.888	139.1312
72.000000	100.431	138.2832
73.000000	99.928	138.0006
74.000000	99.770	137.1876
75.000000	99.728	136.7729
76.199997	99.651	136.6298
77.500000	99.559	135.9477
78.800003	99.528	135.3256
80.000000	99.461	134.8568
81.199997	99.359	134.3461
82.500000	99.253	133.8880
83.800003	99.156	133.3628
85.000000	99.076	132.9633
86.199997	99.004	132.6771
87.500000	98.909	132.3587
88.500000	98.844	132.1456
90.000000	98.757	131.7473
91.199997	98.663	131.3882
92.500000	98.564	130.9995
93.800003	98.496	130.6374
95.000000	98.463	130.3871
96.199997	98.449	130.2441
97.500000	98.412	129.9729
98.800003	98.312	129.6110
100.000000	98.214	129.3544
101.500000	98.123	128.9744
103.000000	98.053	128.6326
104.400002	97.996	128.3553
106.000000	97.924	128.0154
107.500000	97.844	127.6027
109.000000	97.761	127.2774
110.599998	97.671	127.0070
112.000000	97.598	126.7992
113.800003	97.517	126.5204
115.000000	97.472	126.3472
117.199997	97.395	126.0001
118.000000	97.371	125.8354
120.599998	97.300	125.2834
122.000000	97.246	124.9832
124.099998	97.179	124.5293
125.000000	97.152	124.3923
126.500000	97.096	124.1437
128.000000	97.041	123.8505
131.500000	96.914	123.2397
132.000000	96.895	123.1394
134.000000	96.832	122.6888
136.000000	96.765	122.2657
138.000000	96.685	121.8277
140.000000	96.599	121.3604
143.000000	96.499	120.9305
145.000000	96.444	120.8178
147.500000	96.357	120.4773
150.000000	96.276	120.0796
152.500000	96.200	119.7231
155.000000	96.123	119.4847
157.500000	96.040	119.2388
160.000000	95.960	118.9265
162.500000	95.886	118.5769
