* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 9, 2024 5:06:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AFUL Explorer EP-EX11 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.002	-171.1163
20.600000	104.004	-171.7841
20.900000	104.004	-172.4924
21.200001	104.003	-173.1883
21.400000	104.004	-173.6455
21.799999	104.008	-174.5479
22.000000	104.011	-174.9933
22.400000	104.017	-175.8686
22.700001	104.019	-176.5073
23.000000	104.020	-177.1291
23.299999	104.018	-177.7354
23.600000	104.015	-178.3301
24.000000	104.007	-179.1134
24.299999	104.000	-179.6981
24.700001	103.990	179.5236
25.000000	103.981	178.9412
25.400000	103.969	178.1685
25.799999	103.956	177.4044
26.200001	103.941	176.6571
26.500000	103.928	176.1137
26.900000	103.909	175.4174
27.200001	103.894	174.9153
27.600000	103.874	174.2623
28.000000	103.856	173.6122
28.500000	103.833	172.7896
29.000000	103.808	171.9705
29.500000	103.780	171.1891
30.000000	103.755	170.4580
30.400000	103.737	169.8929
30.700001	103.724	169.4674
31.100000	103.706	168.8886
31.500000	103.682	168.2990
32.000000	103.646	167.5665
32.500000	103.607	166.8603
33.000000	103.570	166.1812
33.500000	103.538	165.5122
34.000000	103.509	164.8420
34.500000	103.478	164.1794
35.000000	103.445	163.5459
35.500000	103.411	162.9518
36.000000	103.381	162.3820
36.500000	103.352	161.8105
37.000000	103.320	161.2303
37.500000	103.283	160.6638
38.200001	103.228	159.9311
38.700001	103.193	159.4236
39.500000	103.140	158.5409
40.000000	103.101	157.9573
40.599998	103.046	157.2982
41.200001	102.991	156.7113
41.799999	102.943	156.1549
42.500000	102.888	155.4933
43.099998	102.842	154.9181
43.700001	102.799	154.3421
44.400002	102.750	153.6715
45.000000	102.705	153.1188
45.500000	102.665	152.6862
46.200001	102.606	152.1103
46.799999	102.555	151.6188
47.500000	102.499	151.0338
48.200001	102.446	150.4471
48.700001	102.408	150.0405
49.400002	102.355	149.4976
50.000000	102.311	149.0419
50.799999	102.249	148.4251
51.500000	102.191	147.9072
52.200001	102.132	147.4433
53.000000	102.066	146.9432
53.799999	102.002	146.3950
54.500000	101.947	145.8609
55.200001	101.893	145.3475
