* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 7:44:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AFUL Explorer L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.487	-168.3063
20.600000	102.495	-168.9263
20.900000	102.501	-169.6015
21.200001	102.505	-170.2866
21.400000	102.508	-170.7475
21.799999	102.514	-171.6764
22.000000	102.517	-172.1413
22.400000	102.525	-173.0636
22.700001	102.530	-173.7425
23.000000	102.534	-174.4062
23.299999	102.536	-175.0528
23.600000	102.537	-175.6821
24.000000	102.535	-176.4967
24.299999	102.533	-177.0927
24.700001	102.529	-177.8739
25.000000	102.525	-178.4537
25.400000	102.519	-179.2213
25.799999	102.511	-179.9813
26.200001	102.501	179.2727
26.500000	102.491	178.7268
26.900000	102.476	178.0208
27.200001	102.464	177.5071
27.600000	102.449	176.8377
28.000000	102.434	176.1768
28.500000	102.417	175.3506
29.000000	102.400	174.5242
29.500000	102.382	173.7131
30.000000	102.361	172.9340
30.400000	102.344	172.3358
30.700001	102.331	171.8984
31.100000	102.313	171.3240
31.500000	102.295	170.7546
32.000000	102.269	170.0474
32.500000	102.241	169.3456
33.000000	102.212	168.6490
33.500000	102.182	167.9597
34.000000	102.150	167.2859
34.500000	102.119	166.6385
35.000000	102.089	166.0181
35.500000	102.063	165.4115
36.000000	102.037	164.8034
36.500000	102.010	164.1913
37.000000	101.978	163.5859
37.500000	101.945	162.9969
38.200001	101.901	162.1934
38.700001	101.874	161.6199
39.500000	101.832	160.6994
40.000000	101.802	160.1415
40.599998	101.761	159.5131
41.200001	101.715	158.9309
41.799999	101.668	158.3712
42.500000	101.616	157.7044
43.099998	101.573	157.1133
43.700001	101.528	156.5301
44.400002	101.475	155.8911
