* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 7:48:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AFUL Explorer R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.530	-169.3133
20.600000	103.545	-169.9948
20.900000	103.554	-170.7348
21.200001	103.553	-171.4664
21.400000	103.550	-171.9395
21.799999	103.537	-172.8374
22.000000	103.530	-173.2617
22.400000	103.521	-174.0762
22.700001	103.518	-174.6788
23.000000	103.518	-175.2924
23.299999	103.517	-175.9242
23.600000	103.514	-176.5696
24.000000	103.504	-177.4276
24.299999	103.492	-178.0500
24.700001	103.476	-178.8349
25.000000	103.464	-179.3900
25.400000	103.450	179.9030
25.799999	103.437	179.2211
26.200001	103.423	178.5585
26.500000	103.412	178.0747
26.900000	103.395	177.4467
27.200001	103.383	176.9855
27.600000	103.369	176.3770
28.000000	103.358	175.7698
28.500000	103.352	175.0062
29.000000	103.354	174.2282
29.500000	103.357	173.4250
30.000000	103.353	172.6051
30.400000	103.340	171.9613
30.700001	103.325	171.4992
31.100000	103.301	170.9147
31.500000	103.278	170.3525
32.000000	103.252	169.6443
32.500000	103.226	168.9139
33.000000	103.197	168.1893
33.500000	103.171	167.4987
34.000000	103.149	166.8231
34.500000	103.127	166.1288
35.000000	103.096	165.4324
35.500000	103.054	164.7883
36.000000	103.014	164.2012
36.500000	102.983	163.5945
37.000000	102.954	162.9067
37.500000	102.918	162.1898
38.200001	102.870	161.3445
38.700001	102.865	160.8488
39.500000	102.883	159.9347
40.000000	102.864	159.2825
40.599998	102.791	158.6340
41.200001	102.704	158.2015
41.799999	102.638	157.7828
42.500000	102.582	157.0903
43.099998	102.534	156.4224
43.700001	102.489	155.8220
44.400002	102.445	155.1937
45.000000	102.404	154.6613
45.500000	102.365	154.2208
46.200001	102.310	153.6145
46.799999	102.266	153.0969
47.500000	102.212	152.5122
48.200001	102.156	151.9632
48.700001	102.116	151.5755
49.400002	102.059	151.0176
50.000000	102.012	150.5355
50.799999	101.956	149.9180
51.500000	101.911	149.4078
52.200001	101.865	148.9087
53.000000	101.809	148.3200
53.799999	101.748	147.7242
54.500000	101.693	147.2314
55.200001	101.637	146.7655
56.000000	101.572	146.2424
