* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 9, 2024 5:13:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AFUL Explorer Sancai L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.839	-144.1457
20.600000	98.873	-144.8841
20.900000	98.910	-145.6625
21.200001	98.950	-146.4198
21.400000	98.980	-146.9146
21.799999	99.046	-147.8942
22.000000	99.080	-148.3833
22.400000	99.148	-149.3596
22.700001	99.195	-150.0832
23.000000	99.237	-150.7921
23.299999	99.275	-151.4827
23.600000	99.310	-152.1558
24.000000	99.352	-153.0329
24.299999	99.383	-153.6811
24.700001	99.421	-154.5373
25.000000	99.447	-155.1732
25.400000	99.479	-156.0072
25.799999	99.507	-156.8136
26.200001	99.534	-157.5799
26.500000	99.556	-158.1268
26.900000	99.589	-158.8327
27.200001	99.616	-159.3634
27.600000	99.654	-160.1013
28.000000	99.687	-160.8857
28.500000	99.710	-161.8947
29.000000	99.718	-162.8526
29.500000	99.727	-163.7234
30.000000	99.753	-164.5724
30.400000	99.781	-165.2915
30.700001	99.801	-165.8536
31.100000	99.817	-166.5895
31.500000	99.822	-167.2474
32.000000	99.825	-167.9183
32.500000	99.838	-168.5048
33.000000	99.860	-169.1599
33.500000	99.876	-169.9437
34.000000	99.875	-170.7813
34.500000	99.867	-171.5766
35.000000	99.867	-172.3207
35.500000	99.877	-173.0668
36.000000	99.887	-173.8312
36.500000	99.892	-174.5673
37.000000	99.896	-175.2366
37.500000	99.906	-175.8604
38.200001	99.923	-176.7333
38.700001	99.928	-177.3521
39.500000	99.925	-178.2973
40.000000	99.920	-178.9007
40.599998	99.908	-179.6608
41.200001	99.884	179.6117
41.799999	99.863	178.9674
42.500000	99.853	178.2309
43.099998	99.847	177.5455
43.700001	99.834	176.8666
44.400002	99.821	176.1554
45.000000	99.815	175.5653
45.500000	99.807	175.0461
46.200001	99.784	174.2925
46.799999	99.763	173.6457
47.500000	99.747	172.8727
48.200001	99.733	172.1076
48.700001	99.719	171.6189
49.400002	99.693	171.0261
50.000000	99.666	170.5423
50.799999	99.621	169.8906
51.500000	99.591	169.3403
52.200001	99.580	168.7340
53.000000	99.563	167.9072
53.799999	99.530	167.1180
54.500000	99.513	166.5321
55.200001	99.508	165.9608
56.000000	99.486	165.3500
57.000000	99.434	164.6827
58.000000	99.395	163.9751
59.000000	99.421	163.2792
60.000000	99.451	162.4364
60.799999	99.386	161.8210
61.500000	99.298	161.4583
62.200001	99.234	161.0652
63.000000	99.195	160.4484
64.000000	99.159	159.7220
65.000000	99.114	159.0925
66.000000	99.060	158.4127
67.000000	99.030	157.7425
68.000000	98.991	157.1701
69.000000	98.911	156.4393
70.000000	98.783	155.2899
71.000000	98.686	154.5503
72.000000	98.722	154.4135
73.000000	98.767	154.1769
74.000000	98.733	153.7719
75.000000	98.680	153.2248
76.199997	98.627	152.5462
77.500000	98.571	151.9041
78.800003	98.513	151.2466
80.000000	98.463	150.6871
81.199997	98.404	150.1234
82.500000	98.340	149.4865
83.800003	98.285	148.9139
85.000000	98.230	148.4197
86.199997	98.177	147.8948
87.500000	98.127	147.3449
88.500000	98.083	146.9445
90.000000	98.008	146.3591
91.199997	97.950	145.8709
92.500000	97.892	145.3367
93.800003	97.842	144.7895
95.000000	97.790	144.3277
96.199997	97.734	143.9502
97.500000	97.684	143.4942
98.800003	97.631	142.9837
100.000000	97.576	142.5922
101.500000	97.508	142.1075
103.000000	97.442	141.6059
104.400002	97.391	141.1873
106.000000	97.325	140.7646
107.500000	97.251	140.2628
109.000000	97.180	139.7501
110.599998	97.103	139.2700
112.000000	97.036	138.8855
113.800003	96.949	138.4458
115.000000	96.885	138.1761
117.199997	96.772	137.6856
118.000000	96.730	137.5464
120.599998	96.575	137.3001
122.000000	96.508	137.0879
124.099998	96.430	136.9123
125.000000	96.402	136.9387
126.500000	96.368	137.1283
128.000000	96.362	137.3984
131.500000	96.449	137.2307
132.000000	96.462	137.1063
134.000000	96.488	136.5866
136.000000	96.480	136.1639
138.000000	96.462	135.3423
140.000000	96.392	134.5966
143.000000	96.325	133.5115
145.000000	96.307	132.8803
147.500000	96.263	132.2652
150.000000	96.214	131.5957
152.500000	96.145	131.0798
155.000000	96.075	130.4550
157.500000	96.003	129.9056
160.000000	95.936	129.4544
162.500000	95.870	129.0213
165.000000	95.798	128.5977
167.500000	95.732	128.1382
170.000000	95.675	127.6239
172.500000	95.608	127.1338
175.000000	95.555	126.7090
177.500000	95.553	126.1548
180.000000	95.562	125.5090
182.500000	95.456	125.3046
185.000000	95.343	125.1273
187.500000	95.273	124.8170
190.000000	95.217	124.4802
192.500000	95.166	124.1394
195.000000	95.116	123.8146
197.500000	95.065	123.4843
200.000000	95.017	123.1367
203.000000	94.963	122.7344
206.000000	94.916	122.3270
209.000000	94.882	121.8631
212.000000	94.853	121.3633
214.000000	94.817	121.1355
218.000000	94.731	120.8085
220.000000	94.700	120.5981
224.000000	94.644	120.1446
227.000000	94.603	119.8052
230.000000	94.566	119.4769
233.000000	94.530	119.1415
236.000000	94.494	118.8046
240.000000	94.444	118.3277
243.000000	94.406	118.0491
247.000000	94.360	117.6876
250.000000	94.328	117.3833
254.000000	94.286	116.9344
258.000000	94.244	116.5173
262.000000	94.203	116.1329
265.000000	94.175	115.8546
269.000000	94.142	115.4873
272.000000	94.119	115.2087
276.000000	94.084	114.7971
280.000000	94.049	114.3799
285.000000	94.010	113.9160
290.000000	93.976	113.4581
295.000000	93.945	113.0579
300.000000	93.914	112.7567
304.000000	93.890	112.3113
307.000000	93.872	111.9674
311.000000	93.849	111.5928
315.000000	93.829	111.2614
320.000000	93.806	110.8377
325.000000	93.785	110.3816
330.000000	93.765	109.9283
335.000000	93.745	109.5062
340.000000	93.725	109.0898
345.000000	93.707	108.6800
350.000000	93.690	108.2665
355.000000	93.674	107.8666
360.000000	93.659	107.5009
365.000000	93.650	107.1025
370.000000	93.641	106.6960
375.000000	93.630	106.2888
382.000000	93.614	105.7106
387.000000	93.606	105.3198
395.000000	93.595	104.7168
400.000000	93.588	104.3408
406.000000	93.581	103.8841
412.000000	93.572	103.4521
418.000000	93.561	103.1013
425.000000	93.555	102.5400
431.000000	93.553	102.0143
437.000000	93.549	101.5597
444.000000	93.540	101.0474
450.000000	93.530	100.6300
455.000000	93.519	100.2953
462.000000	93.500	99.8743
468.000000	93.484	99.6201
475.000000	93.488	99.4741
482.000000	93.537	99.2587
487.000000	93.581	98.9229
494.000000	93.623	98.2897
500.000000	93.642	97.7219
508.000000	93.656	96.9971
515.000000	93.667	96.3640
522.000000	93.676	95.6759
530.000000	93.670	94.7742
538.000000	93.617	93.8149
545.000000	93.517	93.1938
552.000000	93.413	93.0768
560.000000	93.360	93.3163
570.000000	93.376	93.4268
580.000000	93.413	93.2216
590.000000	93.443	92.8802
600.000000	93.466	92.5125
608.000000	93.482	92.2199
615.000000	93.496	91.9637
622.000000	93.510	91.7138
630.000000	93.527	91.4340
640.000000	93.550	91.0835
650.000000	93.572	90.7195
660.000000	93.594	90.3481
670.000000	93.612	89.9869
680.000000	93.628	89.6345
690.000000	93.642	89.2938
700.000000	93.655	88.9740
710.000000	93.667	88.6773
720.000000	93.678	88.4059
730.000000	93.689	88.1672
740.000000	93.702	87.9492
750.000000	93.714	87.7497
762.000000	93.731	87.5362
775.000000	93.752	87.3322
788.000000	93.774	87.1702
800.000000	93.794	87.0573
812.000000	93.815	86.9628
825.000000	93.839	86.8799
838.000000	93.866	86.8176
850.000000	93.895	86.7818
862.000000	93.929	86.7606
875.000000	93.969	86.7528
885.000000	94.003	86.7602
900.000000	94.059	86.7859
912.000000	94.108	86.7927
925.000000	94.166	86.8028
938.000000	94.228	86.8150
950.000000	94.289	86.8173
962.000000	94.354	86.8156
975.000000	94.428	86.8162
988.000000	94.505	86.7985
1000.000000	94.580	86.7674
1015.000000	94.677	86.7162
1030.000000	94.776	86.6198
1044.000000	94.870	86.5009
1060.000000	94.981	86.3440
1075.000000	95.086	86.1662
1090.000000	95.192	85.9474
1106.000000	95.303	85.6734
1120.000000	95.399	85.4056
1138.000000	95.521	85.0204
1150.000000	95.602	84.7501
1172.000000	95.748	84.2202
1180.000000	95.798	84.0157
1206.000000	95.956	83.3168
1220.000000	96.038	82.9199
1241.000000	96.158	82.3063
1250.000000	96.209	82.0364
1265.000000	96.295	81.5873
1280.000000	96.380	81.1464
1315.000000	96.572	80.1045
1320.000000	96.598	79.9559
