* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 9, 2024 5:10:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AFUL Explorer Sancai R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.708	-142.1011
20.600000	98.750	-142.7631
20.900000	98.799	-143.4750
21.200001	98.852	-144.1980
21.400000	98.889	-144.6905
21.799999	98.965	-145.7046
22.000000	99.001	-146.2217
22.400000	99.066	-147.2525
22.700001	99.108	-148.0016
23.000000	99.146	-148.7164
23.299999	99.181	-149.3956
23.600000	99.216	-150.0477
24.000000	99.265	-150.8999
24.299999	99.302	-151.5417
24.700001	99.349	-152.4078
25.000000	99.382	-153.0578
25.400000	99.420	-153.9062
25.799999	99.454	-154.7206
26.200001	99.487	-155.5043
26.500000	99.513	-156.0822
26.900000	99.546	-156.8519
27.200001	99.570	-157.4310
27.600000	99.599	-158.2001
28.000000	99.624	-158.9557
28.500000	99.653	-159.8741
29.000000	99.679	-160.7696
29.500000	99.704	-161.6525
30.000000	99.727	-162.5293
30.400000	99.746	-163.2299
30.700001	99.760	-163.7567
31.100000	99.777	-164.4583
31.500000	99.791	-165.1491
32.000000	99.805	-165.9732
32.500000	99.816	-166.7374
33.000000	99.827	-167.4564
33.500000	99.840	-168.1651
34.000000	99.854	-168.8859
34.500000	99.868	-169.6179
35.000000	99.883	-170.3548
35.500000	99.897	-171.0962
36.000000	99.906	-171.8336
36.500000	99.907	-172.5387
37.000000	99.901	-173.1839
37.500000	99.898	-173.7791
38.200001	99.903	-174.6211
38.700001	99.908	-175.2737
39.500000	99.901	-176.3365
40.000000	99.890	-176.9478
40.599998	99.877	-177.6222
41.200001	99.867	-178.2792
41.799999	99.858	-178.9546
42.500000	99.841	-179.7639
43.099998	99.819	179.5563
43.700001	99.796	178.9167
44.400002	99.781	178.2010
45.000000	99.781	177.5617
45.500000	99.786	177.0016
46.200001	99.791	176.2272
46.799999	99.789	175.6152
47.500000	99.776	174.9512
48.200001	99.757	174.2919
48.700001	99.747	173.8032
49.400002	99.743	173.1018
50.000000	99.745	172.5272
50.799999	99.740	171.8465
51.500000	99.715	171.2834
52.200001	99.670	170.7107
53.000000	99.632	170.0698
53.799999	99.633	169.4199
54.500000	99.628	168.8947
55.200001	99.591	168.5642
56.000000	99.546	168.2918
57.000000	99.536	167.4277
58.000000	99.539	166.2868
59.000000	99.561	165.6882
60.000000	99.556	165.0663
60.799999	99.473	164.3162
61.500000	99.382	163.6585
62.200001	99.321	163.0576
63.000000	99.288	162.4493
64.000000	99.254	161.8377
65.000000	99.204	161.1773
66.000000	99.164	160.4083
67.000000	99.143	159.7017
68.000000	99.074	159.2777
69.000000	98.975	158.5462
70.000000	98.826	156.8940
71.000000	98.699	155.9800
72.000000	98.770	156.2236
73.000000	98.858	156.2409
74.000000	98.830	155.9185
75.000000	98.783	155.3835
76.199997	98.741	154.7411
77.500000	98.688	154.1623
78.800003	98.624	153.4885
80.000000	98.576	152.8832
81.199997	98.527	152.3256
82.500000	98.479	151.7140
83.800003	98.433	151.1437
85.000000	98.385	150.6221
86.199997	98.329	150.0782
87.500000	98.265	149.5805
88.500000	98.223	149.2609
90.000000	98.172	148.6589
91.199997	98.120	148.1111
92.500000	98.052	147.5869
93.800003	97.983	147.1476
95.000000	97.931	146.7198
96.199997	97.881	146.2408
97.500000	97.822	145.7874
98.800003	97.766	145.4070
100.000000	97.718	145.0187
101.500000	97.657	144.4971
103.000000	97.595	144.0607
104.400002	97.524	143.7049
106.000000	97.447	143.2559
107.500000	97.400	142.7993
109.000000	97.350	142.3776
110.599998	97.292	141.9471
112.000000	97.240	141.5618
113.800003	97.164	141.0804
115.000000	97.113	140.8129
117.199997	97.027	140.5135
118.000000	96.993	140.4322
120.599998	96.904	140.2314
122.000000	96.868	139.9988
124.099998	96.840	139.5925
125.000000	96.821	139.3399
126.500000	96.769	138.8293
128.000000	96.723	138.3320
131.500000	96.767	137.7235
132.000000	96.770	137.6326
134.000000	96.746	137.0850
