* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2024 11:12:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AFUL Explorer W1 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.050	-170.9465
20.600000	104.067	-171.7465
20.900000	104.100	-172.6692
21.200001	104.148	-173.6954
21.400000	104.183	-174.4437
21.799999	104.233	-176.0370
22.000000	104.238	-176.8208
22.400000	104.196	-178.1575
22.700001	104.128	-178.8099
23.000000	104.050	-179.1057
23.299999	103.987	-179.1096
23.600000	103.955	-178.9800
24.000000	103.961	-178.9258
24.299999	103.986	-179.1355
24.700001	104.015	-179.7803
25.000000	104.021	179.5475
25.400000	104.012	178.5569
25.799999	103.997	177.5605
26.200001	103.979	176.5883
26.500000	103.958	175.8890
26.900000	103.911	175.0594
27.200001	103.864	174.5705
27.600000	103.801	174.1346
28.000000	103.762	173.8751
28.500000	103.769	173.5386
29.000000	103.819	172.9167
29.500000	103.879	171.9133
30.000000	103.911	170.5785
30.400000	103.889	169.3891
30.700001	103.832	168.5520
31.100000	103.706	167.7260
31.500000	103.558	167.4221
32.000000	103.442	167.6447
32.500000	103.464	167.7170
33.000000	103.530	166.8460
33.500000	103.485	165.2777
34.000000	103.291	164.0738
34.500000	103.080	164.0364
35.000000	103.011	164.8504
35.500000	103.088	165.5351
36.000000	103.189	165.6409
36.500000	103.241	165.4062
37.000000	103.268	165.0025
37.500000	103.286	164.2880
38.200001	103.228	162.9706
38.700001	103.150	162.4999
39.500000	103.221	162.4221
40.000000	103.359	161.5651
40.599998	103.360	159.5226
41.200001	103.106	157.9837
41.799999	102.871	158.0482
42.500000	102.953	158.3286
43.099998	103.096	157.0868
43.700001	103.026	155.4877
44.400002	102.793	155.2397
45.000000	102.760	155.9399
45.500000	102.865	155.8455
46.200001	102.957	154.1148
46.799999	102.849	152.3340
47.500000	102.620	151.4787
48.200001	102.510	151.7932
48.700001	102.542	151.8824
49.400002	102.619	151.0912
50.000000	102.608	149.8831
50.799999	102.484	148.7481
51.500000	102.395	148.5796
52.200001	102.374	148.6011
53.000000	102.359	148.2560
53.799999	102.318	147.5755
54.500000	102.285	146.8093
55.200001	102.241	146.0057
56.000000	102.149	145.4004
57.000000	102.003	145.2260
58.000000	101.873	144.9727
59.000000	101.789	144.2824
60.000000	101.748	143.3230
60.799999	101.702	142.7239
61.500000	101.667	142.4554
62.200001	101.651	142.1824
63.000000	101.620	141.6352
64.000000	101.515	140.9185
65.000000	101.409	140.5012
66.000000	101.370	140.1278
67.000000	101.353	139.7240
68.000000	101.284	139.4097
69.000000	101.157	139.0073
70.000000	101.029	138.3854
71.000000	100.952	137.7495
72.000000	100.894	137.2747
73.000000	100.806	136.9364
74.000000	100.724	136.5959
75.000000	100.673	136.2271
76.199997	100.612	135.8762
77.500000	100.510	135.4671
78.800003	100.429	134.9653
80.000000	100.373	134.5506
81.199997	100.315	134.1860
82.500000	100.252	133.7253
83.800003	100.175	133.2728
85.000000	100.088	132.7894
86.199997	100.001	132.3853
87.500000	99.920	131.8844
88.500000	99.860	131.4016
90.000000	99.791	130.8070
91.199997	99.732	130.5178
92.500000	99.651	130.2421
93.800003	99.569	129.9431
95.000000	99.493	129.6994
96.199997	99.422	129.5028
97.500000	99.352	129.3809
98.800003	99.256	129.3382
100.000000	99.150	129.1555
101.500000	99.046	128.4744
103.000000	98.967	127.7830
104.400002	98.900	127.2951
106.000000	98.838	126.8020
107.500000	98.784	126.5322
109.000000	98.709	126.3695
110.599998	98.617	126.0945
112.000000	98.541	125.7453
113.800003	98.448	125.3115
115.000000	98.393	125.0862
117.199997	98.285	124.7295
118.000000	98.244	124.5692
120.599998	98.130	124.0795
122.000000	98.067	123.8697
124.099998	97.971	123.5001
125.000000	97.930	123.3368
126.500000	97.864	123.0932
128.000000	97.801	122.8603
131.500000	97.662	122.2977
132.000000	97.643	122.2252
134.000000	97.564	121.9415
136.000000	97.485	121.6633
138.000000	97.410	121.3920
140.000000	97.338	121.1219
143.000000	97.231	120.7397
145.000000	97.160	120.4725
147.500000	97.074	120.0817
150.000000	96.990	119.6395
152.500000	96.910	119.4801
155.000000	96.829	119.2540
157.500000	96.750	118.9824
160.000000	96.671	118.7091
162.500000	96.591	118.4420
165.000000	96.510	118.1862
167.500000	96.431	117.9441
170.000000	96.354	117.6840
172.500000	96.277	117.4178
175.000000	96.203	117.1850
177.500000	96.133	116.9620
180.000000	96.063	116.7281
182.500000	95.994	116.4911
185.000000	95.927	116.2672
187.500000	95.862	116.0537
190.000000	95.797	115.8425
192.500000	95.734	115.6310
195.000000	95.675	115.4196
197.500000	95.614	115.2039
200.000000	95.554	114.9848
203.000000	95.488	114.7725
206.000000	95.425	114.5351
209.000000	95.364	114.2873
212.000000	95.305	114.0706
214.000000	95.266	113.9281
218.000000	95.192	113.6351
220.000000	95.156	113.4868
224.000000	95.085	113.1851
227.000000	95.035	112.9696
230.000000	94.986	112.7521
233.000000	94.938	112.5396
236.000000	94.891	112.3342
240.000000	94.830	112.0643
243.000000	94.786	111.8597
247.000000	94.727	111.5879
250.000000	94.684	111.3911
254.000000	94.634	111.1223
258.000000	94.583	110.8615
262.000000	94.533	110.6042
265.000000	94.498	110.4091
269.000000	94.452	110.1493
272.000000	94.417	109.9581
276.000000	94.372	109.7043
280.000000	94.330	109.4567
285.000000	94.280	109.1410
290.000000	94.232	108.8186
295.000000	94.186	108.5059
300.000000	94.141	108.1946
304.000000	94.108	107.9532
307.000000	94.084	107.7726
311.000000	94.054	107.5292
315.000000	94.025	107.2848
320.000000	93.989	106.9776
325.000000	93.955	106.6717
330.000000	93.924	106.3685
335.000000	93.895	106.0686
340.000000	93.867	105.7730
345.000000	93.843	105.4783
350.000000	93.821	105.1815
355.000000	93.795	104.8791
360.000000	93.770	104.5787
365.000000	93.748	104.2803
370.000000	93.728	103.9848
375.000000	93.709	103.6928
382.000000	93.683	103.2830
387.000000	93.667	102.9882
395.000000	93.643	102.5224
400.000000	93.628	102.2304
406.000000	93.612	101.8795
412.000000	93.596	101.5333
418.000000	93.582	101.1828
425.000000	93.566	100.7801
431.000000	93.552	100.4296
437.000000	93.541	100.0846
444.000000	93.529	99.6792
450.000000	93.518	99.3260
455.000000	93.507	99.0410
462.000000	93.493	98.6383
468.000000	93.480	98.2936
475.000000	93.464	97.8945
482.000000	93.447	97.5106
487.000000	93.434	97.2510
494.000000	93.419	96.9026
500.000000	93.409	96.5689
508.000000	93.384	96.0512
515.000000	93.343	95.6133
522.000000	93.279	95.2424
530.000000	93.169	95.0963
538.000000	93.069	95.7711
545.000000	93.123	96.9794
552.000000	93.323	97.4193
560.000000	93.517	96.5615
570.000000	93.590	95.1962
580.000000	93.586	94.2340
590.000000	93.570	93.5336
600.000000	93.554	92.9737
608.000000	93.543	92.5766
615.000000	93.535	92.2506
622.000000	93.528	91.9464
630.000000	93.519	91.6216
640.000000	93.509	91.2496
650.000000	93.500	90.9130
660.000000	93.495	90.5990
670.000000	93.490	90.3030
