* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 13, 2025 9:05:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AFUL Performer 8 Crystal 2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.389	-166.3697
20.600000	101.399	-167.0444
20.900000	101.404	-167.7716
21.200001	101.408	-168.4855
21.400000	101.410	-168.9476
21.799999	101.419	-169.8360
22.000000	101.425	-170.2638
22.400000	101.442	-171.0955
22.700001	101.455	-171.7066
23.000000	101.467	-172.3130
23.299999	101.477	-172.9163
23.600000	101.484	-173.5157
24.000000	101.490	-174.3035
24.299999	101.493	-174.8827
24.700001	101.499	-175.6396
25.000000	101.506	-176.1991
25.400000	101.516	-176.9391
25.799999	101.523	-177.6707
26.200001	101.525	-178.3812
26.500000	101.522	-178.8901
26.900000	101.513	-179.5298
27.200001	101.504	-179.9851
27.600000	101.495	179.4200
28.000000	101.490	178.8104
28.500000	101.487	177.9991
29.000000	101.485	177.1457
29.500000	101.480	176.3017
30.000000	101.473	175.5128
30.400000	101.467	174.9280
30.700001	101.462	174.5095
31.100000	101.456	173.9662
31.500000	101.449	173.4295
32.000000	101.438	172.7632
32.500000	101.426	172.1052
33.000000	101.415	171.4544
33.500000	101.404	170.7989
34.000000	101.391	170.1299
34.500000	101.372	169.4551
35.000000	101.349	168.7933
35.500000	101.329	168.1544
36.000000	101.314	167.5341
36.500000	101.305	166.9294
37.000000	101.297	166.3467
37.500000	101.285	165.7878
38.200001	101.256	165.0064
38.700001	101.221	164.4245
39.500000	101.149	163.5097
40.000000	101.114	162.9903
40.599998	101.099	162.3844
41.200001	101.104	161.7314
41.799999	101.104	161.0489
42.500000	101.083	160.3156
43.099998	101.057	159.7477
43.700001	101.031	159.1733
44.400002	100.999	158.4661
45.000000	100.972	157.8627
45.500000	100.948	157.3827
46.200001	100.912	156.7590
46.799999	100.882	156.2629
47.500000	100.850	155.6665
48.200001	100.815	154.9901
48.700001	100.785	154.4871
49.400002	100.743	153.8299
50.000000	100.721	153.3021
50.799999	100.708	152.5545
51.500000	100.687	151.8942
52.200001	100.649	151.3372
53.000000	100.599	150.8025
53.799999	100.551	150.2438
54.500000	100.510	149.7205
55.200001	100.471	149.2071
56.000000	100.434	148.6140
57.000000	100.385	147.7870
58.000000	100.331	146.9631
59.000000	100.290	146.2710
60.000000	100.250	145.6374
60.799999	100.205	145.1567
61.500000	100.165	144.7420
62.200001	100.127	144.2934
63.000000	100.082	143.7523
64.000000	100.023	143.1175
65.000000	99.974	142.4720
66.000000	99.923	141.7954
67.000000	99.870	141.1938
68.000000	99.824	140.5884
69.000000	99.777	139.9410
70.000000	99.730	139.3484
71.000000	99.683	138.8165
72.000000	99.628	138.3158
73.000000	99.567	137.8274
74.000000	99.503	137.3118
75.000000	99.439	136.7191
76.199997	99.379	135.9062
77.500000	99.339	135.1630
78.800003	99.292	134.7654
80.000000	99.210	134.3992
81.199997	99.122	133.7557
82.500000	99.068	132.8289
83.800003	99.037	132.2021
85.000000	98.987	131.8358
86.199997	98.910	131.3134
87.500000	98.853	130.6317
88.500000	98.830	130.1915
90.000000	98.756	129.5987
91.199997	98.688	129.0695
92.500000	98.646	128.5012
93.800003	98.592	127.9364
95.000000	98.524	127.4034
96.199997	98.471	126.9241
97.500000	98.427	126.4359
98.800003	98.376	125.8910
100.000000	98.321	125.3770
101.500000	98.243	124.8243
103.000000	98.176	124.2745
104.400002	98.122	123.7243
106.000000	98.049	123.1227
107.500000	97.982	122.6245
109.000000	97.926	122.1600
110.599998	97.865	121.6222
112.000000	97.799	121.0632
113.800003	97.715	120.3956
115.000000	97.660	120.0679
117.199997	97.567	119.5865
118.000000	97.538	119.3884
120.599998	97.454	118.7050
122.000000	97.413	118.2957
124.099998	97.356	117.7141
125.000000	97.332	117.4910
126.500000	97.295	117.0898
128.000000	97.259	116.6642
131.500000	97.176	115.5864
132.000000	97.165	115.4228
134.000000	97.116	114.8245
136.000000	97.069	114.2278
138.000000	97.016	113.6200
140.000000	96.957	113.0073
143.000000	96.866	112.0544
145.000000	96.808	111.5435
147.500000	96.741	110.9250
150.000000	96.676	110.3206
152.500000	96.601	109.7272
155.000000	96.527	109.0693
157.500000	96.466	108.3943
160.000000	96.397	107.7935
162.500000	96.326	107.2229
165.000000	96.253	106.6542
167.500000	96.182	106.0601
170.000000	96.116	105.5020
172.500000	96.049	104.9726
175.000000	95.978	104.4431
177.500000	95.910	103.9164
180.000000	95.846	103.3847
182.500000	95.785	102.8801
185.000000	95.723	102.4012
187.500000	95.664	101.9264
190.000000	95.605	101.4711
192.500000	95.542	100.9885
195.000000	95.481	100.5350
197.500000	95.426	100.1063
200.000000	95.377	99.6242
203.000000	95.310	99.0759
206.000000	95.245	98.6046
209.000000	95.183	98.1301
212.000000	95.126	97.6338
214.000000	95.092	97.3082
218.000000	95.027	96.6985
220.000000	94.995	96.4010
224.000000	94.931	95.7964
227.000000	94.881	95.3414
230.000000	94.834	94.8966
233.000000	94.788	94.4502
236.000000	94.744	94.0152
240.000000	94.685	93.4613
243.000000	94.640	93.0454
247.000000	94.580	92.4995
250.000000	94.537	92.1065
254.000000	94.481	91.6001
258.000000	94.426	91.1000
262.000000	94.373	90.6149
265.000000	94.333	90.2733
269.000000	94.281	89.8207
272.000000	94.242	89.4900
276.000000	94.192	89.0656
280.000000	94.145	88.6465
285.000000	94.089	88.1422
290.000000	94.036	87.6571
295.000000	93.988	87.1941
300.000000	93.938	86.7448
304.000000	93.896	86.3831
307.000000	93.868	86.1224
311.000000	93.832	85.7869
315.000000	93.798	85.4629
320.000000	93.758	85.0713
325.000000	93.720	84.6969
330.000000	93.683	84.3316
335.000000	93.648	83.9872
340.000000	93.615	83.6583
345.000000	93.584	83.3449
350.000000	93.554	83.0334
355.000000	93.527	82.7256
360.000000	93.502	82.4327
365.000000	93.478	82.1598
370.000000	93.456	81.8992
375.000000	93.435	81.6454
382.000000	93.407	81.3116
387.000000	93.390	81.0883
395.000000	93.367	80.7421
400.000000	93.354	80.5428
406.000000	93.339	80.3179
412.000000	93.327	80.0992
418.000000	93.319	79.8961
425.000000	93.311	79.6666
431.000000	93.307	79.4762
437.000000	93.305	79.3026
444.000000	93.305	79.1084
450.000000	93.307	78.9488
455.000000	93.311	78.8219
462.000000	93.319	78.6513
468.000000	93.327	78.5133
475.000000	93.339	78.3546
482.000000	93.353	78.1995
487.000000	93.364	78.0928
494.000000	93.381	77.9486
500.000000	93.398	77.8286
508.000000	93.422	77.6757
515.000000	93.446	77.5426
522.000000	93.471	77.4093
530.000000	93.503	77.2636
538.000000	93.535	77.1236
545.000000	93.565	76.9981
552.000000	93.596	76.8690
560.000000	93.634	76.7216
570.000000	93.682	76.5356
580.000000	93.733	76.3427
590.000000	93.785	76.1476
600.000000	93.838	75.9497
608.000000	93.882	75.7853
615.000000	93.920	75.6359
622.000000	93.959	75.4808
630.000000	94.004	75.3006
640.000000	94.059	75.0732
650.000000	94.115	74.8344
660.000000	94.170	74.5866
670.000000	94.223	74.3319
680.000000	94.275	74.0689
690.000000	94.326	73.8012
700.000000	94.374	73.5275
710.000000	94.420	73.2462
720.000000	94.463	72.9673
730.000000	94.502	72.6906
740.000000	94.539	72.4189
750.000000	94.573	72.1594
762.000000	94.609	71.8626
775.000000	94.644	71.5613
788.000000	94.674	71.2915
800.000000	94.697	71.0726
812.000000	94.714	70.8903
825.000000	94.729	70.7323
838.000000	94.744	70.6183
850.000000	94.757	70.5513
862.000000	94.771	70.5183
875.000000	94.789	70.5195
885.000000	94.804	70.5433
900.000000	94.831	70.6143
912.000000	94.857	70.6988
925.000000	94.890	70.8112
938.000000	94.927	70.9391
950.000000	94.966	71.0672
962.000000	95.008	71.1990
975.000000	95.059	71.3415
988.000000	95.115	71.4800
1000.000000	95.170	71.5995
1015.000000	95.242	71.7330
1030.000000	95.318	71.8468
1044.000000	95.392	71.9299
1060.000000	95.480	71.9970
1075.000000	95.564	72.0302
1090.000000	95.648	72.0339
1106.000000	95.739	72.0068
1120.000000	95.818	71.9588
1138.000000	95.918	71.8656
1150.000000	95.983	71.7856
1172.000000	96.100	71.6089
1180.000000	96.141	71.5347
1206.000000	96.270	71.2696
1220.000000	96.337	71.1158
1241.000000	96.434	70.8730
1250.000000	96.476	70.7661
1265.000000	96.548	70.5871
1280.000000	96.619	70.4073
1315.000000	96.780	69.9906
1320.000000	96.802	69.9321
1340.000000	96.889	69.7015
1360.000000	96.974	69.4782
1380.000000	97.057	69.2601
1400.000000	97.137	69.0462
1430.000000	97.256	68.7411
1450.000000	97.333	68.5467
1475.000000	97.429	68.3171
1500.000000	97.524	68.1038
1525.000000	97.620	67.9045
1550.000000	97.717	67.7148
1575.000000	97.817	67.5331
1600.000000	97.918	67.3533
1625.000000	98.019	67.1671
1650.000000	98.123	66.9634
1675.000000	98.231	66.7363
1700.000000	98.342	66.4804
1725.000000	98.458	66.1861
1750.000000	98.576	65.8477
1775.000000	98.696	65.4610
1800.000000	98.818	65.0229
1825.000000	98.941	64.5284
1850.000000	99.064	63.9735
1875.000000	99.185	63.3591
1900.000000	99.304	62.6830
1925.000000	99.420	61.9442
1950.000000	99.533	61.1433
1975.000000	99.640	60.2810
2000.000000	99.742	59.3593
2030.000000	99.858	58.1781
2060.000000	99.963	56.9213
2090.000000	100.056	55.5986
2120.000000	100.134	54.2177
2140.000000	100.178	53.2707
2180.000000	100.246	51.3321
2200.000000	100.269	50.3468
2240.000000	100.294	48.3617
2270.000000	100.295	46.8764
2300.000000	100.281	45.4068
2330.000000	100.254	43.9647
2360.000000	100.214	42.5603
2400.000000	100.143	40.7594
2430.000000	100.079	39.4714
2470.000000	99.982	37.8472
2500.000000	99.904	36.7014
2540.000000	99.796	35.2726
2580.000000	99.685	33.9539
2620.000000	99.576	32.7386
2650.000000	99.496	31.8903
2690.000000	99.395	30.8348
2720.000000	99.324	30.0923
2760.000000	99.238	29.1561
2800.000000	99.162	28.2688
2850.000000	99.084	27.2050
2900.000000	99.027	26.1680
2950.000000	98.989	25.1306
3000.000000	98.971	24.0682
3040.000000	98.971	23.1855
3070.000000	98.979	22.4988
3110.000000	98.999	21.5422
3150.000000	99.030	20.5298
3200.000000	99.082	19.1736
3250.000000	99.146	17.7096
3300.000000	99.218	16.1328
3350.000000	99.296	14.4358
3400.000000	99.376	12.6179
3450.000000	99.454	10.6822
3500.000000	99.526	8.6416
3550.000000	99.589	6.5189
3600.000000	99.640	4.3398
3650.000000	99.679	2.1340
3700.000000	99.704	-0.0711
3750.000000	99.718	-2.2507
3820.000000	99.719	-5.2178
3870.000000	99.709	-7.2531
3950.000000	99.680	-10.3322
4000.000000	99.656	-12.1348
4060.000000	99.620	-14.1680
4120.000000	99.583	-16.0611
4180.000000	99.550	-17.8262
4250.000000	99.518	-19.7625
4310.000000	99.493	-21.3417
4370.000000	99.467	-22.8516
4440.000000	99.433	-24.5237
4500.000000	99.396	-25.8718
4550.000000	99.359	-26.9241
4620.000000	99.296	-28.2671
4680.000000	99.232	-29.2771
4750.000000	99.148	-30.2658
4820.000000	99.058	-31.0291
4870.000000	98.994	-31.4303
4940.000000	98.907	-31.7941
5000.000000	98.839	-31.9335
5080.000000	98.765	-31.8979
5150.000000	98.716	-31.6880
5220.000000	98.683	-31.3398
5300.000000	98.666	-30.8019
5380.000000	98.671	-30.1425
5450.000000	98.692	-29.4866
5520.000000	98.731	-28.7748
5600.000000	98.796	-27.9160
5700.000000	98.907	-26.8242
5800.000000	99.050	-25.7692
5900.000000	99.221	-24.8104
6000.000000	99.415	-24.0129
6080.000000	99.580	-23.5291
6150.000000	99.728	-23.2381
6220.000000	99.876	-23.0833
6300.000000	100.047	-23.0788
6400.000000	100.257	-23.3181
6500.000000	100.435	-23.7835
6600.000000	100.560	-24.3839
6700.000000	100.623	-25.0001
6800.000000	100.627	-25.5064
6900.000000	100.583	-25.7939
7000.000000	100.504	-25.7931
7100.000000	100.410	-25.4866
7200.000000	100.313	-24.8976
7300.000000	100.223	-24.0522
7400.000000	100.149	-22.9683
7500.000000	100.106	-21.6944
7620.000000	100.107	-20.0164
7750.000000	100.193	-18.2172
7880.000000	100.371	-16.7585
8000.000000	100.588	-16.0647
8120.000000	100.804	-16.3633
8250.000000	100.989	-18.1492
8380.000000	101.027	-21.5427
8500.000000	100.822	-25.7573
8620.000000	100.314	-30.2865
8750.000000	99.418	-34.5434
8850.000000	98.530	-36.8046
9000.000000	97.007	-38.0662
9120.000000	95.726	-37.2488
9250.000000	94.353	-34.7726
9380.000000	93.036	-30.9054
9500.000000	91.892	-26.2629
9620.000000	90.832	-20.6666
9750.000000	89.811	-13.5974
9880.000000	88.967	-5.6709
10000.000000	88.382	2.0270
10150.000000	87.914	11.4214
10300.000000	87.664	19.9554
10440.000000	87.541	27.0257
10600.000000	87.465	34.2731
10750.000000	87.432	40.5146
10900.000000	87.441	46.3703
11060.000000	87.508	52.2184
11200.000000	87.621	56.9390
11380.000000	87.834	62.3408
11500.000000	88.010	65.4839
11720.000000	88.390	70.3016
11800.000000	88.543	71.7452
12060.000000	89.080	75.2092
12200.000000	89.377	76.3122
12410.000000	89.822	77.0482
12500.000000	90.014	77.0210
12650.000000	90.329	76.5245
12800.000000	90.618	75.5408
13150.000000	91.159	72.1057
13200.000000	91.227	71.5453
13400.000000	91.511	69.1926
13600.000000	91.860	66.4282
13800.000000	92.281	62.7062
14000.000000	92.711	57.6469
14300.000000	93.216	47.7015
14500.000000	93.413	39.8771
14750.000000	93.499	29.1317
15000.000000	93.429	17.5245
15250.000000	93.235	5.2157
15500.000000	93.016	-7.8267
15750.000000	92.918	-22.6148
16000.000000	92.873	-41.0582
16250.000000	92.442	-63.4231
16500.000000	91.209	-87.1124
16750.000000	89.267	-109.2037
17000.000000	87.022	-128.8442
17250.000000	84.815	-146.9832
17500.000000	82.778	-165.0281
17750.000000	80.892	176.0297
18000.000000	79.115	156.1461
18250.000000	77.823	135.4703
18500.000000	77.743	109.4220
18750.000000	77.696	73.3892
19000.000000	77.349	30.5236
19250.000000	77.116	-20.6304
19500.000000	76.632	-81.7757
19750.000000	75.620	-156.0811
20000.000000	74.469	126.0842
