* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 13, 2025 9:12:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AFUL Performer 8 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.613	-167.5116
20.600000	101.624	-168.0719
20.900000	101.632	-168.7022
21.200001	101.637	-169.3619
21.400000	101.641	-169.8147
21.799999	101.646	-170.7390
22.000000	101.649	-171.2023
22.400000	101.657	-172.1104
22.700001	101.666	-172.7639
23.000000	101.679	-173.3923
23.299999	101.698	-174.0043
23.600000	101.721	-174.6140
24.000000	101.754	-175.4451
24.299999	101.776	-176.0847
24.700001	101.794	-176.9358
25.000000	101.796	-177.5441
25.400000	101.786	-178.2760
25.799999	101.769	-178.9049
26.200001	101.753	-179.4632
26.500000	101.744	-179.8728
26.900000	101.737	179.5477
27.200001	101.731	179.0745
27.600000	101.722	178.4017
28.000000	101.709	177.7133
28.500000	101.695	176.8796
29.000000	101.688	176.0930
29.500000	101.686	175.3343
30.000000	101.683	174.5829
30.400000	101.677	173.9872
30.700001	101.668	173.5485
31.100000	101.654	172.9802
31.500000	101.640	172.4315
32.000000	101.626	171.7616
32.500000	101.617	171.0884
33.000000	101.609	170.4041
33.500000	101.595	169.7282
34.000000	101.575	169.0907
34.500000	101.553	168.4955
35.000000	101.536	167.9093
35.500000	101.522	167.2940
36.000000	101.507	166.6488
36.500000	101.489	166.0093
37.000000	101.471	165.4067
37.500000	101.456	164.8387
38.200001	101.431	164.0667
38.700001	101.405	163.5360
39.500000	101.357	162.7551
40.000000	101.335	162.2696
40.599998	101.317	161.6113
41.200001	101.298	160.8745
41.799999	101.270	160.1595
42.500000	101.234	159.4558
43.099998	101.209	158.9216
43.700001	101.187	158.3675
44.400002	101.153	157.6734
45.000000	101.119	157.0771
45.500000	101.092	156.5953
46.200001	101.059	155.9411
46.799999	101.033	155.4025
47.500000	101.002	154.8095
48.200001	100.973	154.2311
48.700001	100.952	153.8021
49.400002	100.920	153.1676
50.000000	100.890	152.6085
50.799999	100.847	151.8849
51.500000	100.809	151.3005
52.200001	100.773	150.7583
53.000000	100.734	150.1458
53.799999	100.692	149.5140
54.500000	100.650	148.9745
55.200001	100.610	148.4713
56.000000	100.570	147.9125
57.000000	100.523	147.1694
58.000000	100.469	146.3884
59.000000	100.410	145.6678
60.000000	100.357	145.0257
60.799999	100.320	144.5063
61.500000	100.284	144.0318
62.200001	100.246	143.5590
63.000000	100.202	143.0383
64.000000	100.151	142.4053
65.000000	100.101	141.7661
66.000000	100.047	141.1280
67.000000	99.993	140.5118
68.000000	99.942	139.9241
69.000000	99.891	139.3551
70.000000	99.836	138.7824
71.000000	99.778	138.2112
72.000000	99.725	137.6517
73.000000	99.675	137.1260
74.000000	99.622	136.6309
75.000000	99.565	136.1196
76.199997	99.501	135.4814
77.500000	99.440	134.8303
78.800003	99.374	134.1200
80.000000	99.296	133.4769
81.199997	99.237	132.9850
82.500000	99.180	132.4526
83.800003	99.117	131.9280
85.000000	99.065	131.3846
86.199997	99.015	130.8105
87.500000	98.955	130.2239
88.500000	98.908	129.8275
90.000000	98.847	129.2300
91.199997	98.798	128.7602
92.500000	98.737	128.2509
93.800003	98.677	127.6711
95.000000	98.638	127.0803
96.199997	98.606	126.5630
97.500000	98.559	126.1104
98.800003	98.493	125.6819
100.000000	98.429	125.2508
101.500000	98.362	124.6746
103.000000	98.302	124.1051
104.400002	98.243	123.5875
106.000000	98.176	123.0292
107.500000	98.115	122.4899
109.000000	98.054	121.9427
110.599998	97.986	121.3925
112.000000	97.924	120.9255
113.800003	97.851	120.3654
115.000000	97.806	119.9921
117.199997	97.724	119.3092
118.000000	97.694	119.0865
120.599998	97.602	118.3887
122.000000	97.550	117.9829
124.099998	97.484	117.4415
