* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Feb 8, 2026 8:17:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Acoustune HS1300 AET07 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.817	-152.4858
20.600000	94.838	-152.9383
20.900000	94.860	-153.4196
21.200001	94.880	-153.8904
21.400000	94.893	-154.1936
21.799999	94.917	-154.7632
22.000000	94.931	-155.0273
22.400000	94.961	-155.5247
22.700001	94.988	-155.8945
23.000000	95.018	-156.2872
23.299999	95.046	-156.7159
23.600000	95.068	-157.1742
24.000000	95.084	-157.7833
24.299999	95.090	-158.1928
24.700001	95.097	-158.6317
25.000000	95.110	-158.8875
25.400000	95.141	-159.1920
25.799999	95.183	-159.5372
26.200001	95.218	-159.9652
26.500000	95.231	-160.3225
26.900000	95.229	-160.7900
27.200001	95.219	-161.1029
27.600000	95.206	-161.4681
28.000000	95.208	-161.8255
28.500000	95.235	-162.3607
29.000000	95.273	-163.0108
29.500000	95.304	-163.6592
30.000000	95.325	-164.1804
30.400000	95.339	-164.4990
30.700001	95.347	-164.7123
31.100000	95.353	-165.0064
31.500000	95.350	-165.3366
32.000000	95.339	-165.7886
32.500000	95.333	-166.2551
33.000000	95.346	-166.7345
33.500000	95.370	-167.2226
34.000000	95.389	-167.6546
34.500000	95.395	-167.9496
35.000000	95.399	-168.1284
35.500000	95.408	-168.3334
36.000000	95.416	-168.6824
36.500000	95.411	-169.1286
37.000000	95.396	-169.5205
37.500000	95.388	-169.7869
38.200001	95.397	-170.1399
38.700001	95.393	-170.5244
39.500000	95.342	-171.2171
40.000000	95.317	-171.5324
40.599998	95.336	-171.8082
41.200001	95.393	-172.1099
41.799999	95.432	-172.4461
42.500000	95.422	-172.7329
43.099998	95.401	-172.9532
43.700001	95.406	-173.4636
44.400002	95.412	-174.5706
45.000000	95.373	-175.4673
45.500000	95.332	-175.7809
46.200001	95.336	-175.6351
46.799999	95.393	-175.4984
47.500000	95.434	-175.5255
48.200001	95.423	-175.4742
48.700001	95.389	-175.4738
49.400002	95.270	-175.7168
50.000000	95.101	-175.9064
50.799999	94.974	-175.8342
51.500000	95.083	-176.1486
52.200001	95.253	-177.0879
53.000000	95.340	-177.9024
53.799999	95.349	-178.0162
54.500000	95.340	-178.1131
55.200001	95.318	-178.4490
56.000000	95.299	-178.8821
57.000000	95.297	-179.2841
58.000000	95.275	-179.5507
59.000000	95.253	-179.7699
60.000000	95.249	179.8511
60.799999	95.230	179.4749
61.500000	95.200	179.2346
62.200001	95.179	179.0872
63.000000	95.169	178.9243
64.000000	95.154	178.6564
65.000000	95.135	178.4000
66.000000	95.124	178.0953
67.000000	95.096	177.8691
68.000000	95.089	177.8091
69.000000	95.110	177.4155
70.000000	95.080	176.8339
71.000000	95.011	176.5313
72.000000	94.954	176.3969
73.000000	94.940	176.2429
74.000000	94.952	176.0434
75.000000	94.948	175.9218
76.199997	94.918	175.7967
77.500000	94.874	175.4634
78.800003	94.843	175.0715
80.000000	94.822	174.8109
81.199997	94.810	174.7151
82.500000	94.800	174.6644
83.800003	94.773	174.5429
85.000000	94.737	174.2494
86.199997	94.709	173.8807
87.500000	94.684	173.5771
88.500000	94.665	173.2330
90.000000	94.652	172.2094
91.199997	94.611	172.0396
92.500000	94.569	172.5947
93.800003	94.532	172.6883
95.000000	94.527	172.7067
96.199997	94.520	172.6497
97.500000	94.475	172.3221
98.800003	94.364	172.0475
100.000000	94.151	171.5902
101.500000	93.951	171.0340
103.000000	94.139	171.2323
104.400002	94.250	171.5231
106.000000	94.232	171.4514
107.500000	94.224	171.3788
109.000000	94.206	171.5459
110.599998	94.189	171.6302
112.000000	94.146	171.4130
113.800003	94.098	170.9041
115.000000	94.075	171.0433
117.199997	94.029	171.5173
118.000000	94.023	171.3504
120.599998	93.924	170.8511
122.000000	93.881	170.5348
124.099998	93.898	170.1748
125.000000	93.902	170.2059
126.500000	93.867	170.2578
128.000000	93.837	170.1520
131.500000	93.782	170.1666
132.000000	93.774	170.1519
134.000000	93.753	170.1649
136.000000	93.719	170.2567
138.000000	93.662	170.2550
140.000000	93.602	170.2712
143.000000	93.557	170.1315
145.000000	93.555	169.9216
147.500000	93.542	169.5373
150.000000	93.620	168.5351
152.500000	93.668	167.7692
155.000000	93.448	169.2064
157.500000	93.328	169.6193
160.000000	93.269	169.9119
162.500000	93.227	170.0483
165.000000	93.168	169.9712
167.500000	93.127	169.9307
170.000000	93.082	169.9752
172.500000	93.035	170.0457
175.000000	93.008	170.1013
