* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 17, 2026 8:35:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Acoustune HS1300 Epro R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.807	-153.1013
20.600000	96.820	-153.4798
20.900000	96.836	-153.8827
21.200001	96.854	-154.2946
21.400000	96.868	-154.5796
21.799999	96.897	-155.1785
22.000000	96.911	-155.4887
22.400000	96.933	-156.1126
22.700001	96.946	-156.5682
23.000000	96.956	-157.0040
23.299999	96.964	-157.4184
23.600000	96.972	-157.8142
24.000000	96.983	-158.3218
24.299999	96.992	-158.6928
24.700001	97.006	-159.1793
25.000000	97.017	-159.5400
25.400000	97.033	-160.0190
25.799999	97.049	-160.5005
26.200001	97.062	-160.9853
26.500000	97.070	-161.3468
26.900000	97.078	-161.8145
27.200001	97.082	-162.1466
27.600000	97.087	-162.5587
28.000000	97.093	-162.9405
28.500000	97.098	-163.3939
29.000000	97.098	-163.8365
29.500000	97.094	-164.2697
30.000000	97.094	-164.7003
30.400000	97.104	-165.0609
30.700001	97.118	-165.3495
31.100000	97.142	-165.7540
31.500000	97.166	-166.1563
32.000000	97.184	-166.6047
32.500000	97.180	-166.9706
33.000000	97.151	-167.2936
33.500000	97.099	-167.6280
34.000000	97.037	-167.9798
34.500000	96.993	-168.3238
35.000000	96.993	-168.6706
35.500000	97.042	-169.0760
36.000000	97.111	-169.5652
36.500000	97.165	-170.0767
37.000000	97.183	-170.5099
37.500000	97.175	-170.8235
38.200001	97.163	-171.2051
38.700001	97.170	-171.5931
39.500000	97.185	-172.4323
40.000000	97.178	-172.9028
40.599998	97.156	-173.2223
41.200001	97.144	-173.3339
41.799999	97.151	-173.4824
42.500000	97.162	-173.8886
43.099998	97.157	-174.3148
43.700001	97.145	-174.6615
44.400002	97.139	-174.9943
45.000000	97.135	-175.3270
45.500000	97.127	-175.6397
46.200001	97.114	-176.0458
46.799999	97.112	-176.3347
47.500000	97.111	-176.6290
48.200001	97.090	-176.8540
48.700001	97.066	-176.9627
49.400002	97.042	-177.1413
50.000000	97.035	-177.4379
50.799999	97.024	-178.0164
51.500000	97.005	-178.4988
52.200001	96.988	-178.8762
53.000000	96.978	-179.2657
53.799999	96.974	-179.6267
54.500000	96.973	-179.8667
55.200001	96.967	179.9294
56.000000	96.940	179.6474
57.000000	96.901	179.1981
58.000000	96.907	178.6894
59.000000	96.913	178.3449
60.000000	96.875	178.1341
60.799999	96.839	177.7919
61.500000	96.861	177.3867
62.200001	96.958	176.8422
63.000000	97.056	176.0495
64.000000	96.972	175.6639
65.000000	96.802	176.1570
66.000000	96.711	176.1136
67.000000	96.682	175.7257
68.000000	96.723	175.4820
69.000000	96.725	175.1687
70.000000	96.657	175.0126
71.000000	96.602	174.8380
72.000000	96.563	174.4156
73.000000	96.519	174.0026
74.000000	96.491	173.7487
75.000000	96.488	173.5135
76.199997	96.490	173.2269
77.500000	96.484	172.9850
78.800003	96.481	172.4765
80.000000	96.462	171.7262
81.199997	96.410	171.2969
82.500000	96.364	171.3584
83.800003	96.326	171.4189
85.000000	96.269	171.1106
86.199997	96.202	170.6536
87.500000	96.170	170.4863
88.500000	96.148	170.3821
90.000000	96.076	170.0776
91.199997	96.043	169.9390
92.500000	96.014	169.8924
93.800003	95.978	169.5981
95.000000	96.005	169.3483
96.199997	96.062	169.4103
97.500000	96.050	169.7596
98.800003	95.982	169.7898
100.000000	95.897	169.6333
101.500000	95.795	169.6467
103.000000	95.716	169.3970
104.400002	95.702	168.9407
106.000000	95.712	168.7365
107.500000	95.684	168.6071
109.000000	95.637	168.3018
110.599998	95.591	167.8865
112.000000	95.575	167.7077
113.800003	95.560	167.5552
115.000000	95.529	167.3578
117.199997	95.433	166.8942
118.000000	95.404	166.7149
120.599998	95.352	166.5134
122.000000	95.326	166.3481
124.099998	95.244	165.8700
125.000000	95.195	165.5277
126.500000	95.116	164.9098
128.000000	95.088	165.0410
131.500000	95.061	165.5818
132.000000	95.048	165.5557
134.000000	94.982	165.3973
136.000000	94.905	165.1253
138.000000	94.831	164.9515
140.000000	94.785	164.9268
143.000000	94.691	164.8087
145.000000	94.643	164.8599
147.500000	94.583	165.2260
150.000000	94.549	165.4509
152.500000	94.555	165.3445
155.000000	94.525	165.1342
157.500000	94.474	164.9302
160.000000	94.415	164.7930
162.500000	94.365	164.6548
165.000000	94.307	164.6676
167.500000	94.240	164.6818
170.000000	94.159	164.4014
172.500000	94.089	164.1933
175.000000	94.063	164.3170
177.500000	94.021	164.3622
180.000000	93.948	164.4267
182.500000	93.878	164.5264
185.000000	93.818	164.6608
187.500000	93.737	164.8826
190.000000	93.630	164.8793
192.500000	93.625	164.7252
195.000000	93.639	164.7553
197.500000	93.615	164.8154
200.000000	93.574	164.8301
203.000000	93.523	164.8551
206.000000	93.469	164.9011
209.000000	93.415	164.9620
212.000000	93.365	165.0738
214.000000	93.330	165.1483
218.000000	93.263	165.2428
220.000000	93.221	165.2443
224.000000	93.135	165.3501
227.000000	93.073	165.4926
230.000000	93.017	165.6213
233.000000	92.960	165.7220
236.000000	92.892	165.7675
240.000000	92.843	165.7440
243.000000	92.827	165.9454
247.000000	92.777	166.1761
250.000000	92.729	166.2465
254.000000	92.648	166.4953
258.000000	92.578	166.6894
262.000000	92.526	166.9788
265.000000	92.480	167.1459
269.000000	92.427	167.3279
272.000000	92.387	167.4575
276.000000	92.331	167.6092
280.000000	92.282	167.8629
285.000000	92.221	168.1976
290.000000	92.155	168.4792
295.000000	92.097	168.8286
300.000000	92.039	169.1076
304.000000	91.989	169.3491
307.000000	91.953	169.5389
311.000000	91.908	169.7921
315.000000	91.861	170.0658
320.000000	91.805	170.4166
325.000000	91.759	170.7074
330.000000	91.710	171.0616
335.000000	91.654	171.4243
340.000000	91.612	171.7057
345.000000	91.556	172.0900
350.000000	91.510	172.4940
355.000000	91.465	172.7137
360.000000	91.422	173.1129
365.000000	91.387	173.5457
370.000000	91.352	173.8324
375.000000	91.310	174.1035
382.000000	91.247	174.5582
387.000000	91.208	174.9310
395.000000	91.153	175.5255
400.000000	91.122	175.8924
406.000000	91.086	176.3724
412.000000	91.046	176.8220
418.000000	91.015	177.2135
425.000000	90.956	177.5653
431.000000	90.900	177.9855
437.000000	90.859	178.3843
444.000000	90.821	178.8146
450.000000	90.804	179.2966
455.000000	90.802	179.7679
462.000000	90.776	-179.5269
468.000000	90.736	-179.0671
475.000000	90.708	-178.5831
482.000000	90.681	-178.0279
487.000000	90.658	-177.6463
494.000000	90.626	-177.1382
500.000000	90.605	-176.7046
508.000000	90.579	-176.1168
515.000000	90.555	-175.5866
522.000000	90.533	-175.0788
530.000000	90.511	-174.4801
538.000000	90.486	-173.8820
545.000000	90.467	-173.3900
552.000000	90.450	-172.8890
560.000000	90.431	-172.2917
570.000000	90.408	-171.5076
580.000000	90.389	-170.7662
590.000000	90.370	-170.0322
600.000000	90.354	-169.2790
608.000000	90.346	-168.6728
615.000000	90.338	-168.1640
622.000000	90.329	-167.6530
630.000000	90.321	-167.0511
640.000000	90.313	-166.2858
650.000000	90.309	-165.5230
660.000000	90.305	-164.7865
670.000000	90.301	-164.0479
680.000000	90.291	-163.3099
690.000000	90.288	-162.5118
700.000000	90.302	-161.7085
710.000000	90.318	-160.9402
720.000000	90.328	-160.1865
730.000000	90.338	-159.4171
740.000000	90.351	-158.6672
750.000000	90.367	-157.9145
762.000000	90.390	-156.9660
775.000000	90.418	-155.9604
788.000000	90.449	-154.9615
800.000000	90.484	-154.0381
812.000000	90.523	-153.1143
825.000000	90.570	-152.1041
838.000000	90.621	-151.1080
850.000000	90.674	-150.1994
862.000000	90.730	-149.2927
875.000000	90.796	-148.3240
885.000000	90.851	-147.5925
900.000000	90.939	-146.5138
912.000000	91.016	-145.6629
925.000000	91.103	-144.7611
938.000000	91.196	-143.8878
950.000000	91.286	-143.1150
962.000000	91.379	-142.3657
975.000000	91.484	-141.5860
988.000000	91.592	-140.8422
1000.000000	91.694	-140.1905
1015.000000	91.824	-139.4234
1030.000000	91.957	-138.7095
1044.000000	92.082	-138.0897
1060.000000	92.226	-137.4364
1075.000000	92.360	-136.8739
1090.000000	92.494	-136.3577
1106.000000	92.635	-135.8549
1120.000000	92.757	-135.4533
1138.000000	92.911	-134.9879
1150.000000	93.012	-134.7082
1172.000000	93.191	-134.2426
1180.000000	93.255	-134.0867
1206.000000	93.455	-133.6254
1220.000000	93.559	-133.3996
1241.000000	93.710	-133.0844
1250.000000	93.773	-132.9602
1265.000000	93.876	-132.7635
1280.000000	93.976	-132.5742
1315.000000	94.200	-132.1546
1320.000000	94.231	-132.0956
1340.000000	94.352	-131.8634
1360.000000	94.470	-131.6374
1380.000000	94.586	-131.4106
1400.000000	94.701	-131.1890
1430.000000	94.869	-130.8539
1450.000000	94.979	-130.6345
1475.000000	95.114	-130.3590
1500.000000	95.249	-130.0820
1525.000000	95.383	-129.8041
1550.000000	95.515	-129.5251
1575.000000	95.647	-129.2467
1600.000000	95.777	-128.9496
1625.000000	95.908	-128.6100
1650.000000	96.047	-128.2117
1675.000000	96.203	-127.7840
1700.000000	96.379	-127.4408
1725.000000	96.563	-127.2483
1750.000000	96.739	-127.1649
1775.000000	96.907	-127.1284
1800.000000	97.071	-127.1082
1825.000000	97.234	-127.1031
1850.000000	97.397	-127.1191
1875.000000	97.561	-127.1602
1900.000000	97.726	-127.2319
1925.000000	97.893	-127.3403
1950.000000	98.060	-127.4891
1975.000000	98.228	-127.6806
2000.000000	98.397	-127.9177
2030.000000	98.600	-128.2682
2060.000000	98.801	-128.6945
2090.000000	99.000	-129.1949
2120.000000	99.196	-129.7814
2140.000000	99.324	-130.2196
2180.000000	99.574	-131.2075
2200.000000	99.694	-131.7554
2240.000000	99.925	-132.9621
2270.000000	100.087	-133.9619
2300.000000	100.238	-135.0390
2330.000000	100.376	-136.1883
2360.000000	100.501	-137.4032
2400.000000	100.644	-139.1101
2430.000000	100.732	-140.4439
2470.000000	100.822	-142.2707
2500.000000	100.869	-143.6635
2540.000000	100.904	-145.5249
2580.000000	100.907	-147.3641
2620.000000	100.879	-149.1579
2650.000000	100.838	-150.4535
2690.000000	100.761	-152.0984
2720.000000	100.687	-153.2570
2760.000000	100.570	-154.6922
2800.000000	100.434	-155.9922
2850.000000	100.243	-157.4140
2900.000000	100.035	-158.6082
2950.000000	99.815	-159.5734
3000.000000	99.588	-160.3151
3040.000000	99.405	-160.7538
3070.000000	99.268	-160.9993
3110.000000	99.087	-161.2205
3150.000000	98.908	-161.3247
3200.000000	98.692	-161.3044
3250.000000	98.485	-161.1306
3300.000000	98.289	-160.8162
3350.000000	98.104	-160.3780
3400.000000	97.933	-159.8300
3450.000000	97.775	-159.1861
3500.000000	97.630	-158.4558
3550.000000	97.500	-157.6475
3600.000000	97.383	-156.7695
3650.000000	97.283	-155.8318
3700.000000	97.197	-154.8421
3750.000000	97.128	-153.8082
3820.000000	97.058	-152.3086
3870.000000	97.027	-151.2101
3950.000000	97.012	-149.4292
4000.000000	97.025	-148.3150
4060.000000	97.061	-146.9877
4120.000000	97.120	-145.6788
4180.000000	97.201	-144.3961
4250.000000	97.327	-142.9397
4310.000000	97.464	-141.7418
4370.000000	97.629	-140.6191
4440.000000	97.857	-139.4486
