* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Feb 8, 2026 8:26:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Acoustune HS1300 Velvet L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.850	-153.5444
20.600000	94.864	-153.9630
20.900000	94.879	-154.4193
21.200001	94.896	-154.8802
21.400000	94.909	-155.1882
21.799999	94.943	-155.8005
22.000000	94.962	-156.1015
22.400000	95.000	-156.6833
22.700001	95.026	-157.0935
23.000000	95.047	-157.4747
23.299999	95.063	-157.8244
23.600000	95.074	-158.1457
24.000000	95.085	-158.5490
24.299999	95.095	-158.8546
24.700001	95.112	-159.3011
25.000000	95.129	-159.6785
25.400000	95.154	-160.2298
25.799999	95.178	-160.7909
26.200001	95.200	-161.2950
26.500000	95.216	-161.6055
26.900000	95.237	-161.9264
27.200001	95.254	-162.1221
27.600000	95.277	-162.3852
28.000000	95.296	-162.7155
28.500000	95.304	-163.2592
29.000000	95.297	-163.8799
29.500000	95.286	-164.4538
30.000000	95.291	-164.9205
30.400000	95.307	-165.2409
30.700001	95.322	-165.4727
31.100000	95.336	-165.7819
31.500000	95.338	-166.0836
32.000000	95.332	-166.4360
32.500000	95.333	-166.7916
33.000000	95.351	-167.2125
33.500000	95.379	-167.7022
34.000000	95.401	-168.1826
34.500000	95.407	-168.5832
35.000000	95.397	-168.9114
35.500000	95.377	-169.2105
36.000000	95.362	-169.4969
36.500000	95.377	-169.7911
37.000000	95.426	-170.1509
37.500000	95.476	-170.5594
38.200001	95.454	-170.7345
38.700001	95.382	-170.1751
39.500000	95.350	-168.7724
40.000000	95.408	-168.7233
40.599998	95.446	-169.9956
41.200001	95.389	-171.8348
41.799999	95.318	-173.1360
42.500000	95.338	-173.7022
43.099998	95.400	-173.8418
43.700001	95.419	-173.9112
44.400002	95.381	-174.0789
45.000000	95.337	-174.4868
45.500000	95.317	-174.9487
46.200001	95.349	-175.4755
46.799999	95.411	-175.7388
47.500000	95.408	-175.7812
48.200001	95.317	-175.5800
48.700001	95.284	-175.9223
49.400002	95.287	-178.1595
50.000000	95.210	178.9078
50.799999	94.995	177.1355
51.500000	95.011	178.9068
52.200001	95.257	-178.8625
53.000000	95.400	-178.0448
53.799999	95.314	-178.1613
54.500000	95.257	-178.5008
55.200001	95.262	-179.0382
56.000000	95.263	-179.4073
57.000000	95.252	-179.3453
58.000000	95.252	-179.5219
59.000000	95.248	-179.9497
60.000000	95.228	179.6766
60.799999	95.204	179.3714
61.500000	95.189	179.0952
62.200001	95.184	178.8871
63.000000	95.186	178.7634
64.000000	95.175	178.5570
65.000000	95.120	178.1370
66.000000	95.054	177.8673
67.000000	95.047	177.7681
68.000000	95.069	177.4942
69.000000	95.072	177.1621
70.000000	95.055	176.8676
71.000000	95.017	176.6448
72.000000	94.982	176.5108
73.000000	94.954	176.3937
74.000000	94.929	176.2682
75.000000	94.923	176.0095
76.199997	94.904	175.5256
77.500000	94.815	175.2962
78.800003	94.699	175.0187
80.000000	94.646	174.8796
81.199997	94.713	174.8485
82.500000	94.756	174.5947
83.800003	94.739	174.3405
85.000000	94.710	174.1387
86.199997	94.679	174.0371
87.500000	94.654	173.8384
88.500000	94.642	173.5237
90.000000	94.618	173.0537
91.199997	94.573	172.8465
92.500000	94.521	172.8030
93.800003	94.485	172.8529
95.000000	94.452	172.8491
96.199997	94.444	172.8046
97.500000	94.441	172.7859
98.800003	94.407	171.9262
100.000000	94.479	169.8491
101.500000	94.591	168.0556
103.000000	94.451	170.2220
104.400002	94.314	172.1223
106.000000	94.271	172.3047
107.500000	94.234	172.0543
109.000000	94.186	171.7635
110.599998	94.120	171.4200
112.000000	94.087	171.2060
113.800003	94.070	171.2147
115.000000	94.068	171.2223
117.199997	94.037	170.7260
118.000000	93.975	170.2461
120.599998	93.871	170.0031
122.000000	93.905	171.0121
124.099998	93.866	171.0961
125.000000	93.841	170.8669
126.500000	93.809	170.6505
128.000000	93.800	170.5790
131.500000	93.738	170.6950
132.000000	93.726	170.6514
134.000000	93.693	170.4111
136.000000	93.694	170.3269
138.000000	93.683	170.3972
140.000000	93.653	170.4083
143.000000	93.596	170.3011
145.000000	93.554	170.2986
147.500000	93.489	170.2415
150.000000	93.362	169.7659
152.500000	93.231	169.1456
155.000000	93.318	169.8719
157.500000	93.383	169.5371
160.000000	93.417	168.8204
162.500000	93.305	169.8719
165.000000	93.207	170.3705
167.500000	93.155	170.5255
170.000000	93.109	170.5989
172.500000	93.069	170.6113
175.000000	93.032	170.6508
177.500000	93.003	170.7073
180.000000	92.980	170.7155
182.500000	92.948	170.7459
185.000000	92.912	170.8195
187.500000	92.881	170.9117
190.000000	92.857	170.9790
192.500000	92.820	170.9943
195.000000	92.773	171.0113
197.500000	92.723	170.9970
200.000000	92.675	171.1945
203.000000	92.630	171.7498
206.000000	92.607	171.5709
209.000000	92.578	171.5183
212.000000	92.544	171.5963
214.000000	92.520	171.6714
218.000000	92.476	171.8648
220.000000	92.457	171.9581
224.000000	92.420	172.1286
227.000000	92.396	172.2615
230.000000	92.369	172.4125
233.000000	92.342	172.5584
236.000000	92.317	172.6615
240.000000	92.284	172.7704
243.000000	92.255	172.9150
247.000000	92.217	173.1161
250.000000	92.188	173.2649
254.000000	92.150	173.4489
258.000000	92.117	173.6232
262.000000	92.085	173.8103
265.000000	92.060	173.9557
269.000000	92.027	174.1421
272.000000	92.003	174.2777
276.000000	91.972	174.4852
280.000000	91.945	174.7096
285.000000	91.903	174.9545
290.000000	91.863	175.2061
295.000000	91.828	175.4577
300.000000	91.795	175.7244
304.000000	91.769	175.9295
307.000000	91.750	176.0843
311.000000	91.724	176.2858
315.000000	91.698	176.4850
320.000000	91.668	176.7464
325.000000	91.640	176.9941
330.000000	91.611	177.2345
335.000000	91.584	177.5113
340.000000	91.557	177.7967
345.000000	91.530	178.0593
350.000000	91.504	178.3272
355.000000	91.478	178.6028
360.000000	91.452	178.8723
365.000000	91.429	179.1348
370.000000	91.406	179.4086
375.000000	91.384	179.6863
382.000000	91.353	-179.9344
387.000000	91.330	-179.6664
395.000000	91.298	-179.2269
400.000000	91.279	-178.9497
406.000000	91.257	-178.6246
412.000000	91.234	-178.2988
418.000000	91.212	-177.9664
425.000000	91.189	-177.5772
431.000000	91.170	-177.2516
437.000000	91.150	-176.9225
444.000000	91.126	-176.5409
450.000000	91.107	-176.2132
455.000000	91.093	-175.9372
462.000000	91.074	-175.5445
468.000000	91.057	-175.2092
475.000000	91.038	-174.8155
482.000000	91.020	-174.4238
487.000000	91.007	-174.1477
494.000000	90.990	-173.7620
500.000000	90.976	-173.4309
508.000000	90.958	-172.9766
515.000000	90.944	-172.5777
522.000000	90.929	-172.1855
530.000000	90.913	-171.7335
538.000000	90.898	-171.2764
545.000000	90.886	-170.8792
552.000000	90.874	-170.4835
560.000000	90.861	-170.0266
570.000000	90.846	-169.4427
580.000000	90.833	-168.8617
590.000000	90.821	-168.2784
600.000000	90.808	-167.6881
608.000000	90.799	-167.2165
615.000000	90.791	-166.8021
622.000000	90.785	-166.3815
630.000000	90.779	-165.8949
640.000000	90.773	-165.2844
650.000000	90.768	-164.6698
660.000000	90.764	-164.0504
670.000000	90.761	-163.4294
680.000000	90.759	-162.8032
690.000000	90.760	-162.1656
700.000000	90.762	-161.5248
710.000000	90.766	-160.8798
720.000000	90.772	-160.2339
730.000000	90.779	-159.5832
740.000000	90.788	-158.9229
750.000000	90.799	-158.2609
762.000000	90.815	-157.4587
775.000000	90.836	-156.5831
788.000000	90.860	-155.7001
800.000000	90.884	-154.8846
812.000000	90.908	-154.0691
825.000000	90.938	-153.1839
838.000000	90.971	-152.2969
850.000000	91.006	-151.4848
862.000000	91.044	-150.6750
875.000000	91.090	-149.7978
885.000000	91.130	-149.1294
900.000000	91.195	-148.1479
912.000000	91.251	-147.3743
925.000000	91.317	-146.5496
938.000000	91.387	-145.7433
950.000000	91.456	-145.0166
962.000000	91.528	-144.3099
975.000000	91.610	-143.5715
988.000000	91.695	-142.8629
1000.000000	91.776	-142.2362
1015.000000	91.880	-141.4901
1030.000000	91.987	-140.7860
1044.000000	92.089	-140.1670
1060.000000	92.207	-139.5075
1075.000000	92.318	-138.9360
1090.000000	92.430	-138.4070
1106.000000	92.548	-137.8872
1120.000000	92.651	-137.4667
1138.000000	92.781	-136.9753
1150.000000	92.865	-136.6733
1172.000000	93.017	-136.1622
1180.000000	93.071	-135.9907
1206.000000	93.240	-135.4739
1220.000000	93.328	-135.2167
1241.000000	93.457	-134.8492
1250.000000	93.513	-134.6985
1265.000000	93.607	-134.4561
1280.000000	93.701	-134.2207
1315.000000	93.914	-133.6868
1320.000000	93.944	-133.6114
1340.000000	94.061	-133.3108
1360.000000	94.176	-133.0109
1380.000000	94.289	-132.7142
1400.000000	94.400	-132.4131
1430.000000	94.565	-131.9622
1450.000000	94.674	-131.6584
1475.000000	94.811	-131.2728
1500.000000	94.949	-130.8935
1525.000000	95.087	-130.5165
1550.000000	95.227	-130.1403
1575.000000	95.367	-129.7688
1600.000000	95.508	-129.4065
1625.000000	95.648	-129.0562
1650.000000	95.789	-128.7166
1675.000000	95.932	-128.3908
1700.000000	96.077	-128.0831
1725.000000	96.226	-127.7976
1750.000000	96.378	-127.5369
1775.000000	96.532	-127.3036
1800.000000	96.690	-127.0976
1825.000000	96.851	-126.9230
1850.000000	97.014	-126.7842
1875.000000	97.180	-126.6829
1900.000000	97.347	-126.6210
1925.000000	97.517	-126.6014
1950.000000	97.688	-126.6255
1975.000000	97.861	-126.6975
2000.000000	98.037	-126.8200
2030.000000	98.249	-127.0350
2060.000000	98.463	-127.3310
2090.000000	98.676	-127.7107
2120.000000	98.887	-128.1734
2140.000000	99.027	-128.5311
2180.000000	99.299	-129.3678
2200.000000	99.432	-129.8472
2240.000000	99.688	-130.9259
2270.000000	99.870	-131.8394
2300.000000	100.043	-132.8383
2330.000000	100.203	-133.9196
2360.000000	100.351	-135.0788
2400.000000	100.525	-136.7298
2430.000000	100.636	-138.0368
2470.000000	100.758	-139.8516
2500.000000	100.829	-141.2499
2540.000000	100.896	-143.1390
2580.000000	100.930	-145.0280
2620.000000	100.931	-146.8861
2650.000000	100.910	-148.2409
2690.000000	100.856	-149.9762
2720.000000	100.798	-151.2101
2760.000000	100.698	-152.7503
2800.000000	100.577	-154.1585
2850.000000	100.400	-155.7113
2900.000000	100.201	-157.0271
2950.000000	99.986	-158.1035
3000.000000	99.761	-158.9429
3040.000000	99.577	-159.4500
3070.000000	99.439	-159.7392
3110.000000	99.254	-160.0068
3150.000000	99.072	-160.1472
3200.000000	98.850	-160.1544
3250.000000	98.635	-159.9881
3300.000000	98.431	-159.6577
3350.000000	98.237	-159.1747
3400.000000	98.056	-158.5480
3450.000000	97.890	-157.7857
3500.000000	97.743	-156.9040
3550.000000	97.617	-155.9306
3600.000000	97.513	-154.9036
3650.000000	97.429	-153.8533
3700.000000	97.361	-152.7971
3750.000000	97.306	-151.7352
3820.000000	97.247	-150.2172
3870.000000	97.219	-149.1008
3950.000000	97.199	-147.2522
4000.000000	97.202	-146.0632
4060.000000	97.223	-144.6122
4120.000000	97.264	-143.1474
4180.000000	97.328	-141.6800
4250.000000	97.436	-139.9832
4310.000000	97.556	-138.5558
4370.000000	97.702	-137.1708
4440.000000	97.908	-135.6289
4500.000000	98.116	-134.3867
4550.000000	98.311	-133.4239
4620.000000	98.620	-132.2129
4680.000000	98.918	-131.3289
4750.000000	99.306	-130.5171
4820.000000	99.739	-129.9997
4870.000000	100.075	-129.8506
4940.000000	100.581	-130.0115
5000.000000	101.047	-130.5644
5080.000000	101.701	-132.0289
5150.000000	102.287	-134.1181
5220.000000	102.860	-137.0703
5300.000000	103.452	-141.5727
5380.000000	103.919	-147.2396
5450.000000	104.175	-152.9887
5520.000000	104.253	-159.2054
5600.000000	104.099	-166.4353
5700.000000	103.555	-174.8302
5800.000000	102.709	178.3170
5900.000000	101.692	173.4019
6000.000000	100.624	170.3599
6080.000000	99.789	169.0670
6150.000000	99.093	168.6094
6220.000000	98.439	168.6627
6300.000000	97.756	169.2224
6400.000000	97.010	170.5035
6500.000000	96.368	172.2748
6600.000000	95.815	174.4135
6700.000000	95.342	176.8243
6800.000000	94.946	179.4465
6900.000000	94.625	-177.7639
7000.000000	94.378	-174.8590
7100.000000	94.207	-171.8972
7200.000000	94.110	-168.9418
7300.000000	94.081	-166.0242
7400.000000	94.120	-163.1458
7500.000000	94.232	-160.3203
7620.000000	94.472	-157.0513
7750.000000	94.876	-153.7568
7880.000000	95.446	-150.8768
8000.000000	96.125	-148.8063
8120.000000	96.967	-147.6478
8250.000000	98.132	-148.1466
8380.000000	99.570	-151.8015
8500.000000	100.976	-159.5757
8620.000000	102.052	-172.4730
8750.000000	102.257	169.3577
8850.000000	101.525	155.2973
