* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Feb 8, 2026 8:29:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Acoustune HS1300 Velvet R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.818	-150.0214
20.600000	95.839	-150.4618
20.900000	95.859	-150.9192
21.200001	95.878	-151.3646
21.400000	95.891	-151.6586
21.799999	95.918	-152.2455
22.000000	95.932	-152.5371
22.400000	95.961	-153.1053
22.700001	95.985	-153.5126
23.000000	96.014	-153.9083
23.299999	96.048	-154.3064
23.600000	96.086	-154.7247
24.000000	96.137	-155.3309
24.299999	96.170	-155.8134
24.700001	96.202	-156.4497
25.000000	96.215	-156.8853
25.400000	96.225	-157.3790
25.799999	96.235	-157.7905
26.200001	96.252	-158.1863
26.500000	96.267	-158.5169
26.900000	96.286	-159.0272
27.200001	96.295	-159.4475
27.600000	96.299	-160.0052
28.000000	96.301	-160.5036
28.500000	96.316	-161.0200
29.000000	96.349	-161.4802
29.500000	96.388	-161.9520
30.000000	96.415	-162.4200
30.400000	96.428	-162.7564
30.700001	96.437	-162.9853
31.100000	96.451	-163.2879
31.500000	96.468	-163.6289
32.000000	96.488	-164.1302
32.500000	96.498	-164.6512
33.000000	96.501	-165.0915
33.500000	96.508	-165.4198
34.000000	96.524	-165.6992
34.500000	96.543	-166.0266
35.000000	96.558	-166.4592
35.500000	96.562	-166.9736
36.000000	96.561	-167.4747
36.500000	96.567	-167.8650
37.000000	96.588	-168.1420
37.500000	96.615	-168.4100
38.200001	96.601	-168.9218
38.700001	96.532	-169.3021
39.500000	96.407	-169.6722
40.000000	96.404	-169.8490
40.599998	96.492	-170.2547
41.200001	96.599	-170.8544
41.799999	96.643	-171.3625
42.500000	96.614	-171.6485
43.099998	96.585	-171.9187
43.700001	96.583	-172.4828
44.400002	96.599	-173.1809
45.000000	96.622	-173.3790
45.500000	96.643	-173.3859
46.200001	96.618	-173.6928
46.799999	96.542	-174.2239
47.500000	96.555	-174.8243
48.200001	96.717	-175.4260
48.700001	96.757	-175.3311
49.400002	96.612	-172.8429
50.000000	96.547	-168.8072
50.799999	96.775	-166.5114
51.500000	96.845	-169.8541
52.200001	96.624	-174.6209
53.000000	96.471	-177.3137
53.799999	96.596	-177.7132
54.500000	96.638	-177.8297
55.200001	96.565	-177.9653
56.000000	96.505	-178.4211
57.000000	96.504	-179.1542
58.000000	96.523	-179.2720
59.000000	96.516	-179.5096
60.000000	96.499	179.9583
60.799999	96.502	179.5811
61.500000	96.494	179.3842
62.200001	96.477	179.2533
63.000000	96.462	179.0026
64.000000	96.456	178.5089
65.000000	96.452	178.0955
66.000000	96.437	177.7763
67.000000	96.402	177.4583
68.000000	96.368	177.0881
69.000000	96.338	176.6802
70.000000	96.313	176.4283
71.000000	96.303	176.3002
72.000000	96.299	176.0721
73.000000	96.294	175.7451
74.000000	96.283	175.3688
75.000000	96.254	174.9390
76.199997	96.208	174.6063
77.500000	96.149	174.6630
78.800003	95.983	174.1505
80.000000	95.817	173.7392
81.199997	95.934	173.5921
82.500000	96.057	173.2232
83.800003	96.051	173.0348
85.000000	96.030	172.6965
86.199997	96.012	172.4669
87.500000	95.978	172.2401
88.500000	95.951	172.0384
90.000000	95.918	171.7856
91.199997	95.887	171.5339
92.500000	95.859	171.2325
93.800003	95.837	171.0077
95.000000	95.808	170.7821
96.199997	95.779	170.5539
97.500000	95.746	170.3632
98.800003	95.733	170.0651
100.000000	95.787	169.7772
101.500000	95.851	169.4382
103.000000	95.705	169.3159
104.400002	95.578	169.3193
106.000000	95.528	169.2302
107.500000	95.484	169.1038
109.000000	95.448	168.8881
110.599998	95.408	168.6769
112.000000	95.357	168.4346
113.800003	95.315	168.2868
115.000000	95.289	168.1815
117.199997	95.203	167.9866
118.000000	95.159	167.9217
120.599998	95.081	167.4952
122.000000	95.116	167.3298
124.099998	95.113	167.1250
125.000000	95.099	167.0259
126.500000	95.068	166.9180
128.000000	95.031	166.9301
131.500000	94.955	166.8026
132.000000	94.944	166.7329
134.000000	94.901	166.4530
136.000000	94.866	166.2936
138.000000	94.825	166.1812
140.000000	94.755	166.1791
143.000000	94.653	165.9410
145.000000	94.636	165.7811
147.500000	94.597	165.6868
150.000000	94.485	165.7440
152.500000	94.329	166.1074
155.000000	94.381	165.7217
157.500000	94.382	165.1136
160.000000	94.299	164.8772
162.500000	94.300	165.1625
165.000000	94.278	165.1563
167.500000	94.220	165.1447
170.000000	94.160	165.0861
172.500000	94.099	165.0814
175.000000	94.040	165.0795
177.500000	93.982	165.0702
180.000000	93.927	165.0697
182.500000	93.878	165.0411
185.000000	93.824	165.0522
187.500000	93.757	165.1052
190.000000	93.694	165.0924
192.500000	93.648	165.0742
195.000000	93.596	165.1106
197.500000	93.517	165.2269
200.000000	93.400	165.5450
203.000000	93.307	165.9832
206.000000	93.339	165.7955
209.000000	93.339	165.6052
212.000000	93.306	165.5947
214.000000	93.273	165.6549
218.000000	93.197	165.8061
220.000000	93.163	165.8690
224.000000	93.100	165.9942
227.000000	93.053	166.1293
230.000000	93.008	166.2120
233.000000	92.959	166.2943
236.000000	92.913	166.3625
240.000000	92.859	166.4368
243.000000	92.820	166.6445
247.000000	92.767	166.9012
250.000000	92.731	167.0308
254.000000	92.680	167.1699
258.000000	92.619	167.4039
262.000000	92.563	167.6058
265.000000	92.522	167.7334
269.000000	92.469	167.9193
272.000000	92.431	168.0514
276.000000	92.380	168.2126
280.000000	92.327	168.3996
285.000000	92.265	168.7181
290.000000	92.205	169.0004
295.000000	92.146	169.2901
300.000000	92.089	169.5892
304.000000	92.044	169.8356
307.000000	92.011	170.0182
311.000000	91.969	170.2509
315.000000	91.927	170.4901
320.000000	91.875	170.8026
325.000000	91.827	171.1059
330.000000	91.781	171.4238
335.000000	91.733	171.7387
340.000000	91.686	172.0542
345.000000	91.640	172.3628
350.000000	91.595	172.6784
355.000000	91.551	173.0107
360.000000	91.509	173.3553
365.000000	91.469	173.6947
370.000000	91.430	174.0385
375.000000	91.392	174.3860
382.000000	91.339	174.8765
387.000000	91.303	175.2230
395.000000	91.247	175.7767
400.000000	91.213	176.1228
406.000000	91.174	176.5452
412.000000	91.137	176.9708
418.000000	91.100	177.3998
425.000000	91.059	177.8986
431.000000	91.025	178.3212
437.000000	90.992	178.7509
444.000000	90.954	179.2612
450.000000	90.922	179.6954
455.000000	90.898	-179.9434
462.000000	90.868	-179.4396
