* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 12, 2025 3:46:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Acoustune HS1750 AEX07 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.473	-150.3181
20.600000	95.495	-150.7999
20.900000	95.519	-151.3018
21.200001	95.543	-151.7868
21.400000	95.558	-152.0967
21.799999	95.589	-152.6688
22.000000	95.605	-152.9245
22.400000	95.642	-153.3761
22.700001	95.675	-153.6822
23.000000	95.712	-153.9898
23.299999	95.749	-154.3242
23.600000	95.782	-154.6978
24.000000	95.814	-155.2464
24.299999	95.827	-155.6711
24.700001	95.836	-156.2178
25.000000	95.841	-156.6022
25.400000	95.853	-157.0912
25.799999	95.872	-157.5769
26.200001	95.892	-158.0641
26.500000	95.905	-158.4125
26.900000	95.917	-158.8180
27.200001	95.925	-159.0657
27.600000	95.942	-159.3445
28.000000	95.969	-159.6348
28.500000	96.011	-160.1266
29.000000	96.042	-160.7699
29.500000	96.051	-161.4168
30.000000	96.051	-161.9120
30.400000	96.059	-162.1935
30.700001	96.073	-162.3804
31.100000	96.096	-162.6531
31.500000	96.113	-162.9748
32.000000	96.118	-163.3990
32.500000	96.113	-163.7726
33.000000	96.115	-164.0933
33.500000	96.133	-164.4289
34.000000	96.159	-164.8214
34.500000	96.185	-165.2578
35.000000	96.206	-165.7193
35.500000	96.216	-166.1960
36.000000	96.209	-166.6366
36.500000	96.185	-166.9419
37.000000	96.163	-167.0632
37.500000	96.163	-167.0898
38.200001	96.198	-167.2760
38.700001	96.225	-167.6029
39.500000	96.252	-168.2656
40.000000	96.269	-168.6507
40.599998	96.291	-169.0485
41.200001	96.314	-169.3958
41.799999	96.339	-169.7871
42.500000	96.361	-170.4387
43.099998	96.359	-171.0552
43.700001	96.347	-171.4750
44.400002	96.350	-171.6464
45.000000	96.357	-171.6998
45.500000	96.349	-171.7505
46.200001	96.335	-171.8685
46.799999	96.347	-172.1272
47.500000	96.368	-172.5449
48.200001	96.375	-172.5748
48.700001	96.399	-172.3021
49.400002	96.469	-172.1538
50.000000	96.494	-172.7034
50.799999	96.405	-173.8722
51.500000	96.319	-174.4877
52.200001	96.321	-174.7446
53.000000	96.360	-175.0565
53.799999	96.353	-175.3830
54.500000	96.335	-175.6766
55.200001	96.331	-176.0551
56.000000	96.330	-176.4331
57.000000	96.318	-176.5851
58.000000	96.293	-176.7140
59.000000	96.272	-177.0953
60.000000	96.278	-177.5280
60.799999	96.286	-177.8014
61.500000	96.278	-177.9721
62.200001	96.265	-178.1216
63.000000	96.256	-178.3578
64.000000	96.255	-178.7450
65.000000	96.256	-179.0647
66.000000	96.254	-179.3427
67.000000	96.238	-179.7279
68.000000	96.207	179.8454
69.000000	96.184	179.5599
70.000000	96.180	179.3986
71.000000	96.181	179.2311
72.000000	96.179	178.9929
73.000000	96.171	178.6725
74.000000	96.156	178.3608
75.000000	96.147	178.0884
76.199997	96.135	177.7723
77.500000	96.109	177.4978
78.800003	96.073	177.2280
80.000000	96.050	176.9752
81.199997	96.033	176.6866
82.500000	96.017	176.3792
83.800003	96.013	176.0649
85.000000	96.006	175.8287
86.199997	95.985	175.6215
87.500000	95.954	175.3362
88.500000	95.928	175.1021
90.000000	95.885	174.8455
91.199997	95.861	174.6674
92.500000	95.842	174.3860
93.800003	95.824	174.0929
