* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 12, 2025 3:41:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Acoustune HS1750 ASMR R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.005	-149.8263
20.600000	96.023	-150.2495
20.900000	96.035	-150.6807
21.200001	96.044	-151.0986
21.400000	96.051	-151.3813
21.799999	96.076	-151.9837
22.000000	96.092	-152.3072
22.400000	96.130	-152.9815
22.700001	96.162	-153.4827
23.000000	96.196	-153.9538
23.299999	96.230	-154.3807
23.600000	96.264	-154.7609
24.000000	96.310	-155.2088
24.299999	96.342	-155.5164
24.700001	96.379	-155.9115
25.000000	96.403	-156.2076
25.400000	96.427	-156.6095
25.799999	96.445	-157.0198
26.200001	96.460	-157.4370
26.500000	96.472	-157.7593
26.900000	96.488	-158.2203
27.200001	96.501	-158.6063
27.600000	96.513	-159.1868
28.000000	96.514	-159.8191
28.500000	96.495	-160.5725
29.000000	96.468	-161.1375
29.500000	96.462	-161.4732
30.000000	96.494	-161.7121
30.400000	96.540	-161.9549
30.700001	96.575	-162.1972
31.100000	96.613	-162.5813
31.500000	96.635	-162.9803
32.000000	96.647	-163.4211
32.500000	96.656	-163.7799
33.000000	96.672	-164.1056
33.500000	96.693	-164.4535
34.000000	96.712	-164.8450
34.500000	96.723	-165.2721
35.000000	96.727	-165.7079
35.500000	96.725	-166.1194
36.000000	96.726	-166.4875
36.500000	96.732	-166.8195
37.000000	96.739	-167.1285
37.500000	96.740	-167.4061
38.200001	96.733	-167.7189
38.700001	96.733	-167.9357
39.500000	96.754	-168.4456
40.000000	96.771	-168.8686
40.599998	96.789	-169.3754
41.200001	96.805	-169.8231
41.799999	96.814	-170.2332
42.500000	96.806	-170.6552
43.099998	96.799	-170.9277
43.700001	96.813	-171.1687
44.400002	96.848	-171.5139
45.000000	96.871	-171.8170
45.500000	96.878	-172.0085
46.200001	96.883	-172.2338
46.799999	96.884	-172.5303
47.500000	96.874	-173.0365
48.200001	96.856	-173.5437
48.700001	96.850	-173.8252
49.400002	96.856	-174.1226
50.000000	96.868	-174.3547
50.799999	96.875	-174.6919
51.500000	96.870	-174.9802
52.200001	96.868	-175.2155
53.000000	96.880	-175.4470
53.799999	96.896	-175.7324
54.500000	96.897	-176.0677
55.200001	96.877	-176.4249
56.000000	96.840	-176.7451
57.000000	96.807	-177.0879
58.000000	96.780	-177.5271
59.000000	96.775	-177.9353
60.000000	96.809	-178.4268
60.799999	96.823	-178.8110
61.500000	96.820	-179.0178
62.200001	96.811	-179.1768
63.000000	96.796	-179.4161
64.000000	96.777	-179.7602
65.000000	96.782	179.9642
66.000000	96.805	179.7065
67.000000	96.799	179.3819
68.000000	96.757	179.0821
69.000000	96.729	178.7707
70.000000	96.728	178.3276
71.000000	96.729	177.8644
72.000000	96.720	177.5500
73.000000	96.708	177.3434
74.000000	96.698	177.0550
75.000000	96.686	176.7084
76.199997	96.671	176.4233
77.500000	96.643	176.1904
78.800003	96.618	175.8359
80.000000	96.603	175.4647
81.199997	96.566	175.2044
82.500000	96.516	174.9490
83.800003	96.500	174.5640
85.000000	96.495	174.1640
86.199997	96.474	173.6859
87.500000	96.421	173.1845
88.500000	96.381	172.9937
90.000000	96.329	172.6591
91.199997	96.288	172.3934
92.500000	96.224	172.4922
93.800003	96.103	172.9040
95.000000	96.040	173.2884
96.199997	96.111	173.5219
97.500000	96.169	173.0133
98.800003	96.151	170.9015
100.000000	96.103	168.8656
101.500000	96.133	169.8672
103.000000	96.159	171.1568
104.400002	96.120	171.0686
106.000000	96.085	170.8054
107.500000	96.047	170.6320
109.000000	96.021	170.3788
110.599998	95.997	170.0770
112.000000	95.976	169.8093
113.800003	95.945	169.4793
115.000000	95.914	169.2728
117.199997	95.865	168.9534
118.000000	95.850	168.8487
120.599998	95.796	168.5349
122.000000	95.761	168.3360
124.099998	95.706	168.0547
125.000000	95.684	167.9234
126.500000	95.644	167.7058
128.000000	95.607	167.5283
131.500000	95.535	167.2238
132.000000	95.526	167.1782
134.000000	95.482	166.9833
136.000000	95.435	166.7582
138.000000	95.391	166.4822
140.000000	95.338	166.2129
143.000000	95.260	165.9670
145.000000	95.209	165.7672
147.500000	95.147	165.5929
150.000000	95.090	165.4670
152.500000	95.029	165.3012
155.000000	94.965	165.1035
157.500000	94.901	164.9238
160.000000	94.832	164.8286
162.500000	94.759	164.6976
165.000000	94.684	164.5752
167.500000	94.606	164.4828
170.000000	94.525	164.4081
172.500000	94.441	164.3173
175.000000	94.354	164.2404
177.500000	94.276	164.3427
180.000000	94.202	164.4847
182.500000	94.129	164.5844
185.000000	94.067	164.7036
187.500000	94.010	164.8371
190.000000	93.957	164.8886
192.500000	93.903	164.8752
195.000000	93.844	164.9241
197.500000	93.779	165.0289
200.000000	93.715	165.1372
203.000000	93.631	165.0759
206.000000	93.551	165.0317
209.000000	93.481	165.1984
212.000000	93.409	165.3221
214.000000	93.358	165.3911
218.000000	93.258	165.6738
220.000000	93.209	165.8340
224.000000	93.112	166.1171
227.000000	93.040	166.3159
230.000000	92.973	166.5173
233.000000	92.916	166.7682
236.000000	92.856	167.0205
240.000000	92.767	167.2989
243.000000	92.703	167.5677
247.000000	92.616	167.9898
250.000000	92.555	168.3118
254.000000	92.472	168.7320
258.000000	92.396	169.1640
262.000000	92.331	169.6480
265.000000	92.279	170.0171
269.000000	92.205	170.5570
272.000000	92.154	170.9655
276.000000	92.090	171.5195
280.000000	92.031	172.0744
285.000000	91.964	172.7500
290.000000	91.907	173.4931
295.000000	91.853	174.2389
300.000000	91.808	174.9295
304.000000	91.773	175.5427
307.000000	91.748	176.0125
311.000000	91.722	176.6037
315.000000	91.700	177.1663
320.000000	91.671	177.8918
325.000000	91.656	178.6290
330.000000	91.653	179.3677
335.000000	91.647	-179.9183
340.000000	91.645	-179.2240
345.000000	91.647	-178.5392
350.000000	91.651	-177.8793
355.000000	91.666	-177.2485
360.000000	91.687	-176.6240
365.000000	91.709	-176.0269
370.000000	91.735	-175.4459
375.000000	91.767	-174.9027
382.000000	91.810	-174.1595
387.000000	91.840	-173.6746
395.000000	91.893	-172.9376
400.000000	91.930	-172.4851
406.000000	91.976	-171.9840
412.000000	92.023	-171.5463
418.000000	92.069	-171.1551
425.000000	92.123	-170.6936
431.000000	92.168	-170.3183
437.000000	92.214	-169.9467
444.000000	92.265	-169.5626
450.000000	92.305	-169.3017
455.000000	92.337	-169.1228
462.000000	92.381	-168.8786
468.000000	92.417	-168.6606
475.000000	92.461	-168.4263
482.000000	92.505	-168.2078
487.000000	92.533	-168.0607
494.000000	92.569	-167.8885
500.000000	92.597	-167.7568
508.000000	92.629	-167.5581
515.000000	92.657	-167.4013
522.000000	92.682	-167.2464
530.000000	92.708	-167.0738
538.000000	92.732	-166.9392
545.000000	92.750	-166.8247
552.000000	92.766	-166.7113
560.000000	92.780	-166.5705
570.000000	92.795	-166.3864
580.000000	92.804	-166.2236
590.000000	92.811	-166.0356
600.000000	92.815	-165.8256
608.000000	92.816	-165.6681
615.000000	92.816	-165.5162
622.000000	92.813	-165.3384
630.000000	92.808	-165.1338
640.000000	92.804	-164.8926
650.000000	92.797	-164.6288
660.000000	92.786	-164.3389
670.000000	92.774	-164.0544
680.000000	92.759	-163.7342
690.000000	92.743	-163.3787
700.000000	92.728	-163.0298
710.000000	92.714	-162.6602
720.000000	92.701	-162.2674
730.000000	92.688	-161.8590
740.000000	92.674	-161.4200
750.000000	92.660	-160.9507
762.000000	92.646	-160.3746
775.000000	92.629	-159.7251
788.000000	92.616	-159.0430
800.000000	92.608	-158.3570
812.000000	92.602	-157.6563
825.000000	92.597	-156.8791
838.000000	92.598	-156.0768
850.000000	92.605	-155.3263
862.000000	92.617	-154.5501
875.000000	92.637	-153.7064
885.000000	92.656	-153.0774
900.000000	92.690	-152.1459
912.000000	92.723	-151.3912
925.000000	92.766	-150.5859
938.000000	92.814	-149.7863
950.000000	92.863	-149.0714
962.000000	92.917	-148.3844
975.000000	92.980	-147.6526
988.000000	93.046	-146.9335
