* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 21, 2025 1:47:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Acoustune HS1750 Epro L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.967	-142.1443
20.600000	95.988	-142.8315
20.900000	96.003	-143.4891
21.200001	96.019	-144.0247
21.400000	96.036	-144.3158
21.799999	96.094	-144.8028
22.000000	96.134	-145.0369
22.400000	96.227	-145.5639
22.700001	96.293	-146.0295
23.000000	96.346	-146.5306
23.299999	96.381	-147.0191
23.600000	96.403	-147.4493
24.000000	96.428	-147.9041
24.299999	96.455	-148.1878
24.700001	96.509	-148.5906
25.000000	96.557	-148.9714
25.400000	96.613	-149.6019
25.799999	96.647	-150.2980
26.200001	96.657	-150.9403
26.500000	96.658	-151.3423
26.900000	96.667	-151.7879
27.200001	96.685	-152.1014
27.600000	96.722	-152.5623
28.000000	96.764	-153.0961
28.500000	96.808	-153.7988
29.000000	96.839	-154.4247
29.500000	96.863	-154.9318
30.000000	96.884	-155.3709
30.400000	96.897	-155.7163
30.700001	96.905	-155.9850
31.100000	96.919	-156.3651
31.500000	96.938	-156.7787
32.000000	96.973	-157.3467
32.500000	97.013	-157.9496
33.000000	97.050	-158.5456
33.500000	97.075	-159.1047
34.000000	97.086	-159.6202
34.500000	97.087	-160.0956
35.000000	97.089	-160.5409
35.500000	97.105	-160.9691
36.000000	97.137	-161.3671
36.500000	97.182	-161.6801
37.000000	97.236	-161.8720
37.500000	97.297	-162.0085
38.200001	97.367	-162.3755
38.700001	97.374	-162.8357
39.500000	97.308	-163.6340
40.000000	97.265	-164.0448
40.599998	97.251	-164.5429
41.200001	97.270	-165.1508
41.799999	97.293	-165.7744
42.500000	97.310	-166.3066
43.099998	97.327	-166.5955
43.700001	97.348	-166.8784
44.400002	97.368	-167.3263
45.000000	97.383	-167.7454
45.500000	97.405	-168.0567
46.200001	97.451	-168.4825
46.799999	97.462	-168.8829
47.500000	97.415	-169.2554
48.200001	97.374	-169.5884
48.700001	97.384	-170.0139
49.400002	97.431	-170.6745
50.000000	97.512	-170.6609
