* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Feb 8, 2026 8:59:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audio Technica ATH-LS50 2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.997	-156.9754
20.600000	99.006	-157.4231
20.900000	99.015	-157.9059
21.200001	99.025	-158.3884
21.400000	99.034	-158.7095
21.799999	99.062	-159.3556
22.000000	99.081	-159.6819
22.400000	99.124	-160.3390
22.700001	99.158	-160.8268
23.000000	99.188	-161.2979
23.299999	99.214	-161.7416
23.600000	99.235	-162.1532
24.000000	99.257	-162.6610
24.299999	99.272	-163.0283
24.700001	99.289	-163.5278
25.000000	99.300	-163.9202
25.400000	99.311	-164.4608
25.799999	99.320	-164.9961
26.200001	99.330	-165.4976
26.500000	99.339	-165.8448
26.900000	99.356	-166.2767
27.200001	99.371	-166.5890
27.600000	99.391	-167.0063
28.000000	99.406	-167.4339
28.500000	99.418	-167.9817
29.000000	99.424	-168.5300
29.500000	99.430	-169.0638
30.000000	99.440	-169.5762
30.400000	99.450	-169.9705
30.700001	99.459	-170.2581
31.100000	99.470	-170.6327
31.500000	99.477	-171.0016
32.000000	99.479	-171.4669
32.500000	99.477	-171.9510
33.000000	99.474	-172.4520
33.500000	99.476	-172.9465
34.000000	99.490	-173.4122
34.500000	99.512	-173.8482
35.000000	99.529	-174.2603
35.500000	99.526	-174.6366
36.000000	99.504	-174.9668
36.500000	99.477	-175.2903
37.000000	99.459	-175.6891
37.500000	99.455	-176.2073
38.200001	99.463	-177.0048
38.700001	99.476	-177.4699
39.500000	99.508	-177.9775
40.000000	99.531	-178.2833
40.599998	99.550	-178.7929
41.200001	99.550	-179.4571
41.799999	99.524	179.9191
42.500000	99.481	179.5748
43.099998	99.468	179.5982
43.700001	99.485	179.5958
44.400002	99.505	179.2575
45.000000	99.498	178.7687
45.500000	99.480	178.3645
46.200001	99.451	177.9238
46.799999	99.437	177.6280
47.500000	99.439	177.1689
48.200001	99.436	176.5531
48.700001	99.424	176.3004
49.400002	99.448	176.5152
50.000000	99.545	176.8232
50.799999	99.654	176.3570
51.500000	99.584	175.3565
52.200001	99.429	174.6411
53.000000	99.342	174.1805
53.799999	99.344	173.6271
54.500000	99.335	173.2363
55.200001	99.319	173.0171
56.000000	99.306	172.6905
57.000000	99.290	172.1054
58.000000	99.283	171.5966
59.000000	99.264	171.1450
60.000000	99.224	170.7066
60.799999	99.200	170.3672
61.500000	99.189	170.0618
62.200001	99.178	169.7589
63.000000	99.162	169.4466
64.000000	99.141	169.0620
65.000000	99.115	168.6179
66.000000	99.083	168.1804
67.000000	99.053	167.7917
68.000000	99.027	167.3875
69.000000	99.003	166.9559
70.000000	98.983	166.6032
71.000000	98.964	166.2657
72.000000	98.928	165.8324
73.000000	98.884	165.3611
74.000000	98.841	164.9277
75.000000	98.784	164.6972
76.199997	98.737	164.5952
77.500000	98.729	164.1305
78.800003	98.751	163.6748
80.000000	98.747	163.1379
81.199997	98.629	162.7408
82.500000	98.528	162.4911
83.800003	98.526	161.9918
85.000000	98.562	161.8813
86.199997	98.606	161.9323
87.500000	98.653	161.5184
88.500000	98.677	160.7227
90.000000	98.567	159.4333
91.199997	98.407	159.3040
92.500000	98.326	159.7690
93.800003	98.332	159.7607
95.000000	98.327	159.2267
96.199997	98.280	158.8100
97.500000	98.222	158.4642
98.800003	98.190	158.2402
100.000000	98.148	158.8000
101.500000	98.131	159.5694
103.000000	98.087	158.0661
104.400002	98.016	156.9417
106.000000	97.956	156.4752
107.500000	97.901	156.1295
109.000000	97.856	155.8653
110.599998	97.813	155.6008
112.000000	97.781	155.3382
113.800003	97.738	154.9337
115.000000	97.702	154.6570
117.199997	97.633	154.1928
118.000000	97.608	154.0321
120.599998	97.521	153.5438
122.000000	97.477	153.2493
124.099998	97.407	152.8358
125.000000	97.376	152.6870
126.500000	97.333	152.4368
128.000000	97.294	152.1683
131.500000	97.194	151.4930
132.000000	97.178	151.3952
134.000000	97.124	151.1267
136.000000	97.081	150.8151
138.000000	97.007	150.4238
140.000000	96.937	150.0760
143.000000	96.839	149.9186
145.000000	96.771	149.7426
147.500000	96.700	149.4186
150.000000	96.644	149.3513
152.500000	96.569	149.2045
155.000000	96.499	148.6698
157.500000	96.461	148.1854
160.000000	96.413	147.9061
162.500000	96.312	147.7632
165.000000	96.213	147.5135
167.500000	96.118	147.2773
170.000000	96.032	147.0101
172.500000	95.951	146.7765
175.000000	95.871	146.5830
177.500000	95.793	146.4044
180.000000	95.716	146.2420
182.500000	95.637	146.0823
185.000000	95.560	145.9268
187.500000	95.485	145.7879
190.000000	95.410	145.6234
192.500000	95.340	145.4556
195.000000	95.270	145.2773
197.500000	95.194	145.1166
200.000000	95.115	145.0068
203.000000	95.022	144.9137
206.000000	94.945	144.6924
209.000000	94.868	144.5007
