* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 11, 2025 6:11:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audio Technica ATH-LS50 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.037	-157.2324
20.600000	100.053	-157.5748
20.900000	100.070	-157.9433
21.200001	100.088	-158.3245
21.400000	100.100	-158.5900
21.799999	100.125	-159.1493
22.000000	100.137	-159.4394
22.400000	100.159	-160.0243
22.700001	100.174	-160.4543
23.000000	100.189	-160.8685
23.299999	100.205	-161.2642
23.600000	100.221	-161.6415
24.000000	100.245	-162.1182
24.299999	100.264	-162.4576
24.700001	100.290	-162.8883
25.000000	100.309	-163.1974
25.400000	100.333	-163.5966
25.799999	100.354	-163.9888
26.200001	100.370	-164.3799
26.500000	100.379	-164.6730
26.900000	100.388	-165.0614
27.200001	100.393	-165.3493
27.600000	100.401	-165.7287
28.000000	100.412	-166.1064
28.500000	100.429	-166.5825
29.000000	100.449	-167.0618
29.500000	100.466	-167.5316
30.000000	100.480	-167.9792
30.400000	100.489	-168.3199
30.700001	100.494	-168.5678
31.100000	100.501	-168.8917
31.500000	100.507	-169.2094
32.000000	100.515	-169.5964
32.500000	100.524	-169.9718
33.000000	100.535	-170.3414
33.500000	100.545	-170.7118
34.000000	100.554	-171.0812
34.500000	100.560	-171.4418
35.000000	100.565	-171.7900
35.500000	100.572	-172.1308
36.000000	100.580	-172.4700
36.500000	100.588	-172.8064
37.000000	100.594	-173.1354
37.500000	100.599	-173.4583
38.200001	100.606	-173.9117
38.700001	100.611	-174.2371
39.500000	100.619	-174.7394
40.000000	100.626	-175.0361
40.599998	100.633	-175.3831
41.200001	100.636	-175.7281
41.799999	100.634	-176.0704
42.500000	100.628	-176.4648
43.099998	100.625	-176.8007
43.700001	100.625	-177.1296
44.400002	100.627	-177.4936
45.000000	100.634	-177.7968
45.500000	100.640	-178.0578
46.200001	100.645	-178.4361
46.799999	100.644	-178.7449
47.500000	100.641	-179.0661
48.200001	100.639	-179.3725
48.700001	100.638	-179.5970
49.400002	100.637	-179.9137
50.000000	100.636	179.8196
50.799999	100.634	179.4689
51.500000	100.630	179.1563
52.200001	100.627	178.8139
53.000000	100.626	178.4079
53.799999	100.632	178.0733
54.500000	100.641	177.8121
55.200001	100.638	177.5092
56.000000	100.628	177.1225
57.000000	100.658	176.4628
58.000000	100.683	175.6810
59.000000	100.647	175.4656
60.000000	100.609	175.4573
60.799999	100.577	175.1619
61.500000	100.558	174.8284
62.200001	100.559	174.5447
63.000000	100.569	174.2819
64.000000	100.565	174.0065
65.000000	100.551	173.6968
66.000000	100.542	173.3287
67.000000	100.533	172.9796
68.000000	100.517	172.6538
69.000000	100.501	172.3085
70.000000	100.489	171.9496
71.000000	100.477	171.6186
72.000000	100.466	171.3102
73.000000	100.453	170.9988
74.000000	100.439	170.6717
75.000000	100.423	170.3387
76.199997	100.407	169.9651
77.500000	100.391	169.5641
78.800003	100.371	169.1749
80.000000	100.353	168.8160
81.199997	100.336	168.4592
82.500000	100.318	168.0881
83.800003	100.298	167.7243
85.000000	100.274	167.3873
86.199997	100.251	167.0450
87.500000	100.229	166.6843
88.500000	100.212	166.4184
90.000000	100.184	166.0311
91.199997	100.161	165.7205
92.500000	100.139	165.3929
93.800003	100.117	165.0677
95.000000	100.093	164.7655
96.199997	100.068	164.4725
97.500000	100.037	164.1779
98.800003	100.002	163.9261
100.000000	99.975	163.7115
101.500000	99.953	163.4273
103.000000	99.932	163.1531
104.400002	99.918	162.8946
106.000000	99.908	162.5428
107.500000	99.893	162.1659
109.000000	99.870	161.7780
110.599998	99.839	161.3646
112.000000	99.811	161.0068
113.800003	99.771	160.5630
115.000000	99.739	160.2930
117.199997	99.682	159.9172
118.000000	99.663	159.7785
120.599998	99.598	159.3262
122.000000	99.558	159.1681
124.099998	99.502	159.0071
125.000000	99.489	158.9435
126.500000	99.489	158.7842
128.000000	99.504	158.5125
131.500000	99.492	157.7115
132.000000	99.484	157.6102
134.000000	99.438	157.1573
136.000000	99.401	156.6594
138.000000	99.371	156.2433
140.000000	99.329	155.8357
143.000000	99.266	155.2804
145.000000	99.223	154.9655
147.500000	99.168	154.5691
150.000000	99.108	154.2040
152.500000	99.062	153.7394
155.000000	99.012	153.3520
157.500000	98.959	152.9733
160.000000	98.907	152.6177
162.500000	98.852	152.2744
165.000000	98.788	151.9102
167.500000	98.717	151.5553
170.000000	98.650	151.2049
172.500000	98.590	150.8845
175.000000	98.532	150.6121
177.500000	98.467	150.3317
180.000000	98.402	150.0283
182.500000	98.338	149.7265
185.000000	98.273	149.4441
187.500000	98.207	149.1960
190.000000	98.143	148.9988
192.500000	98.076	148.7778
195.000000	98.008	148.5691
197.500000	97.945	148.4299
200.000000	97.892	148.2473
203.000000	97.849	147.8519
206.000000	97.796	147.4612
209.000000	97.729	147.1111
212.000000	97.656	146.8055
214.000000	97.606	146.6099
218.000000	97.510	146.2167
220.000000	97.462	146.0361
224.000000	97.368	145.7821
227.000000	97.302	145.6020
230.000000	97.236	145.3767
233.000000	97.166	145.1407
236.000000	97.095	144.9026
240.000000	97.002	144.6069
243.000000	96.934	144.4016
247.000000	96.843	144.1417
250.000000	96.776	143.9857
254.000000	96.685	143.7870
258.000000	96.595	143.5742
262.000000	96.505	143.3719
265.000000	96.439	143.2201
269.000000	96.349	143.0104
272.000000	96.281	142.8544
276.000000	96.190	142.6473
280.000000	96.099	142.4684
285.000000	95.989	142.2740
290.000000	95.875	142.0493
295.000000	95.761	141.8344
300.000000	95.647	141.6343
304.000000	95.555	141.5099
307.000000	95.486	141.4200
311.000000	95.395	141.2982
315.000000	95.304	141.1852
320.000000	95.192	141.0710
325.000000	95.080	140.9752
330.000000	94.969	140.8852
335.000000	94.857	140.8082
340.000000	94.746	140.7454
345.000000	94.637	140.7084
350.000000	94.528	140.6914
355.000000	94.417	140.6466
360.000000	94.307	140.6245
365.000000	94.202	140.6223
370.000000	94.098	140.6329
375.000000	93.995	140.6490
382.000000	93.851	140.6711
387.000000	93.749	140.6874
395.000000	93.581	140.7255
400.000000	93.477	140.7650
406.000000	93.354	140.8282
412.000000	93.231	140.9094
418.000000	93.108	141.0126
425.000000	92.964	141.1501
431.000000	92.843	141.2790
437.000000	92.723	141.4203
444.000000	92.584	141.5912
450.000000	92.465	141.7480
455.000000	92.366	141.9123
462.000000	92.228	142.1526
468.000000	92.111	142.3639
475.000000	91.977	142.6246
482.000000	91.842	142.8994
487.000000	91.746	143.1038
494.000000	91.615	143.4061
500.000000	91.503	143.6772
508.000000	91.355	144.0526
515.000000	91.227	144.3994
522.000000	91.100	144.7614
530.000000	90.956	145.1946
538.000000	90.814	145.6408
545.000000	90.691	146.0422
552.000000	90.569	146.4697
560.000000	90.430	146.9951
570.000000	90.259	147.6647
580.000000	90.092	148.3585
590.000000	89.926	149.0826
600.000000	89.762	149.8315
608.000000	89.633	150.4577
615.000000	89.523	151.0153
622.000000	89.415	151.5825
630.000000	89.292	152.2554
640.000000	89.140	153.1442
650.000000	88.991	154.0629
660.000000	88.847	154.9906
670.000000	88.707	155.9574
680.000000	88.568	156.9494
690.000000	88.434	157.9813
700.000000	88.303	159.0417
710.000000	88.178	160.1317
720.000000	88.057	161.2541
730.000000	87.940	162.4078
740.000000	87.830	163.5857
750.000000	87.725	164.7878
762.000000	87.601	166.2890
775.000000	87.476	167.9562
788.000000	87.361	169.6505
800.000000	87.261	171.2487
812.000000	87.166	172.8902
825.000000	87.074	174.7072
838.000000	86.994	176.5467
850.000000	86.931	178.2635
862.000000	86.877	-179.9417
875.000000	86.833	-177.9849
885.000000	86.807	-176.4787
900.000000	86.783	-174.1979
912.000000	86.778	-172.3658
925.000000	86.786	-170.3739
938.000000	86.809	-168.3842
950.000000	86.842	-166.5552
962.000000	86.887	-164.7068
975.000000	86.949	-162.7149
988.000000	87.026	-160.7514
1000.000000	87.110	-158.9568
1015.000000	87.232	-156.7323
1030.000000	87.372	-154.5526
1044.000000	87.523	-152.5933
1060.000000	87.717	-150.3934
1075.000000	87.919	-148.3860
1090.000000	88.139	-146.4722
1106.000000	88.394	-144.5434
1120.000000	88.633	-142.9520
1138.000000	88.964	-141.0506
1150.000000	89.196	-139.8767
1172.000000	89.645	-137.9266
1180.000000	89.815	-137.3016
1206.000000	90.394	-135.6083
1220.000000	90.716	-134.9282
1241.000000	91.208	-134.2619
1250.000000	91.420	-134.1128
1265.000000	91.769	-134.0551
1280.000000	92.100	-134.2369
1315.000000	92.725	-135.1691
1320.000000	92.797	-135.2653
1340.000000	93.073	-135.3301
1360.000000	93.398	-135.0102
1380.000000	93.802	-134.7979
1400.000000	94.250	-135.0331
1430.000000	94.924	-136.3234
1450.000000	95.343	-137.7128
1475.000000	95.810	-139.8947
1500.000000	96.207	-142.4231
1525.000000	96.529	-145.1757
1550.000000	96.780	-148.0478
1575.000000	96.962	-150.9410
1600.000000	97.079	-153.7889
1625.000000	97.138	-156.5340
1650.000000	97.147	-159.1427
1675.000000	97.115	-161.5933
1700.000000	97.050	-163.8677
1725.000000	96.958	-165.9596
1750.000000	96.843	-167.8690
1775.000000	96.709	-169.5977
1800.000000	96.562	-171.1545
1825.000000	96.404	-172.5455
1850.000000	96.238	-173.7768
1875.000000	96.068	-174.8553
1900.000000	95.894	-175.7953
1925.000000	95.720	-176.6042
1950.000000	95.546	-177.2916
1975.000000	95.373	-177.8693
2000.000000	95.204	-178.3439
2030.000000	95.007	-178.7882
2060.000000	94.817	-179.1150
2090.000000	94.632	-179.3419
2120.000000	94.452	-179.4723
2140.000000	94.334	-179.5027
2180.000000	94.103	-179.3992
2200.000000	93.993	-179.2377
2240.000000	93.816	-178.6585
2270.000000	93.746	-178.2798
2300.000000	93.689	-178.3365
2330.000000	93.581	-178.5677
2360.000000	93.440	-178.5877
2400.000000	93.255	-178.2840
2430.000000	93.136	-177.9210
2470.000000	93.008	-177.4274
2500.000000	92.922	-177.1407
2540.000000	92.801	-176.7894
2580.000000	92.679	-176.3646
2620.000000	92.563	-175.8796
2650.000000	92.482	-175.4964
2690.000000	92.380	-174.9678
2720.000000	92.306	-174.5645
2760.000000	92.213	-174.0178
2800.000000	92.124	-173.4621
2850.000000	92.018	-172.7534
2900.000000	91.917	-172.0364
2950.000000	91.819	-171.3040
3000.000000	91.725	-170.5528
3040.000000	91.652	-169.9344
3070.000000	91.599	-169.4614
3110.000000	91.530	-168.8190
3150.000000	91.462	-168.1612
3200.000000	91.382	-167.3103
3250.000000	91.306	-166.4256
3300.000000	91.234	-165.5076
3350.000000	91.167	-164.5533
3400.000000	91.105	-163.5506
3450.000000	91.050	-162.5076
3500.000000	91.004	-161.4299
3550.000000	90.969	-160.3189
3600.000000	90.944	-159.1869
3650.000000	90.929	-158.0516
3700.000000	90.924	-156.9156
3750.000000	90.927	-155.7811
3820.000000	90.946	-154.1889
3870.000000	90.971	-153.0443
3950.000000	91.032	-151.2039
4000.000000	91.084	-150.0636
4060.000000	91.159	-148.7216
4120.000000	91.249	-147.4226
4180.000000	91.355	-146.1829
4250.000000	91.499	-144.8204
4310.000000	91.641	-143.7247
4370.000000	91.800	-142.7076
4440.000000	92.008	-141.6498
4500.000000	92.206	-140.8784
4550.000000	92.383	-140.3475
4620.000000	92.648	-139.8074
4680.000000	92.886	-139.5547
4750.000000	93.173	-139.5248
4820.000000	93.463	-139.7998
4870.000000	93.669	-140.1908
4940.000000	93.949	-141.0214
5000.000000	94.177	-142.0012
5080.000000	94.451	-143.6870
