* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 11, 2025 6:18:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audio Technica ATH-LS50 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.192	-163.1091
20.600000	99.207	-163.4576
20.900000	99.223	-163.8389
21.200001	99.240	-164.2347
21.400000	99.251	-164.5070
21.799999	99.271	-165.0619
22.000000	99.280	-165.3360
22.400000	99.295	-165.8566
22.700001	99.307	-166.2149
23.000000	99.319	-166.5495
23.299999	99.332	-166.8716
23.600000	99.346	-167.1935
24.000000	99.363	-167.6327
24.299999	99.374	-167.9660
24.700001	99.384	-168.4000
25.000000	99.391	-168.7099
25.400000	99.403	-169.1049
25.799999	99.418	-169.4968
26.200001	99.435	-169.9035
26.500000	99.447	-170.2188
26.900000	99.458	-170.6393
27.200001	99.463	-170.9435
27.600000	99.468	-171.3268
28.000000	99.473	-171.6923
28.500000	99.481	-172.1481
29.000000	99.488	-172.6096
29.500000	99.491	-173.0510
30.000000	99.495	-173.4520
30.400000	99.502	-173.7558
30.700001	99.509	-173.9875
31.100000	99.518	-174.3111
31.500000	99.525	-174.6456
32.000000	99.526	-175.0492
32.500000	99.526	-175.4161
33.000000	99.528	-175.7692
33.500000	99.533	-176.1502
34.000000	99.534	-176.5633
34.500000	99.531	-176.9679
35.000000	99.529	-177.3284
35.500000	99.534	-177.6557
36.000000	99.543	-177.9838
36.500000	99.549	-178.3184
37.000000	99.548	-178.6316
37.500000	99.545	-178.9090
38.200001	99.544	-179.3002
38.700001	99.544	-179.6303
39.500000	99.532	179.8058
40.000000	99.526	179.4842
40.599998	99.527	179.1113
41.200001	99.534	178.7068
41.799999	99.535	178.2914
42.500000	99.527	177.8668
43.099998	99.520	177.5504
43.700001	99.514	177.2324
44.400002	99.505	176.8504
45.000000	99.499	176.5402
45.500000	99.497	176.2959
46.200001	99.494	175.9528
46.799999	99.486	175.6516
47.500000	99.472	175.3008
48.200001	99.464	174.9231
48.700001	99.462	174.6123
49.400002	99.457	174.1519
50.000000	99.446	173.8151
50.799999	99.432	173.5049
51.500000	99.424	173.2670
52.200001	99.415	172.9764
53.000000	99.399	172.6161
53.799999	99.388	172.2680
54.500000	99.382	171.9601
55.200001	99.373	171.6447
56.000000	99.358	171.2800
57.000000	99.337	170.8323
58.000000	99.321	170.4167
59.000000	99.311	169.9984
60.000000	99.292	169.5759
60.799999	99.273	169.2549
61.500000	99.258	168.9757
62.200001	99.243	168.6943
63.000000	99.225	168.3840
64.000000	99.204	168.0245
65.000000	99.184	167.6655
66.000000	99.161	167.2905
67.000000	99.137	166.9305
68.000000	99.113	166.5706
69.000000	99.086	166.2207
70.000000	99.063	165.8808
71.000000	99.044	165.5219
72.000000	99.026	165.1829
73.000000	99.008	164.8449
74.000000	98.980	164.5269
