* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 31, 2026 1:43:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audio Technica LS50 ASMR L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.097	-157.6871
20.600000	99.110	-158.0511
20.900000	99.123	-158.4441
21.200001	99.135	-158.8454
21.400000	99.144	-159.1192
21.799999	99.165	-159.6836
22.000000	99.178	-159.9731
22.400000	99.211	-160.5643
22.700001	99.240	-161.0175
23.000000	99.271	-161.4764
23.299999	99.300	-161.9335
23.600000	99.324	-162.3750
24.000000	99.347	-162.9097
24.299999	99.357	-163.2527
24.700001	99.365	-163.6299
25.000000	99.372	-163.8698
25.400000	99.384	-164.1760
25.799999	99.400	-164.5135
26.200001	99.417	-164.9069
26.500000	99.429	-165.2338
26.900000	99.441	-165.6877
27.200001	99.449	-166.0232
27.600000	99.459	-166.4435
28.000000	99.469	-166.8246
28.500000	99.486	-167.2569
29.000000	99.505	-167.6746
29.500000	99.523	-168.1134
30.000000	99.539	-168.5813
30.400000	99.547	-168.9617
30.700001	99.552	-169.2403
31.100000	99.559	-169.5963
31.500000	99.567	-169.9358
32.000000	99.579	-170.3462
32.500000	99.589	-170.7472
33.000000	99.599	-171.1385
33.500000	99.607	-171.5249
34.000000	99.616	-171.9156
34.500000	99.622	-172.3090
35.000000	99.627	-172.6907
35.500000	99.631	-173.0543
36.000000	99.638	-173.4106
36.500000	99.644	-173.7642
37.000000	99.647	-174.0921
37.500000	99.651	-174.3642
38.200001	99.669	-174.6832
38.700001	99.690	-174.9548
39.500000	99.707	-175.5513
40.000000	99.700	-175.9574
40.599998	99.684	-176.3854
41.200001	99.678	-176.7538
41.799999	99.685	-177.1246
42.500000	99.694	-177.5828
43.099998	99.694	-177.9544
43.700001	99.690	-178.2867
44.400002	99.689	-178.6545
45.000000	99.691	-178.9749
45.500000	99.694	-179.2432
46.200001	99.695	-179.6099
46.799999	99.691	-179.9148
47.500000	99.683	179.7261
48.200001	99.676	179.3317
48.700001	99.672	179.0252
49.400002	99.666	178.6119
50.000000	99.663	178.3255
50.799999	99.665	178.0208
51.500000	99.669	177.7360
52.200001	99.664	177.4114
53.000000	99.654	177.0392
53.799999	99.650	176.6689
54.500000	99.647	176.3409
55.200001	99.642	176.0259
56.000000	99.639	175.6715
57.000000	99.633	175.2276
58.000000	99.625	174.8238
59.000000	99.615	174.3809
60.000000	99.596	173.9312
60.799999	99.588	173.6295
61.500000	99.587	173.3601
62.200001	99.578	173.0757
63.000000	99.563	172.7338
64.000000	99.549	172.1808
65.000000	99.527	171.6576
66.000000	99.513	171.4351
67.000000	99.510	171.2177
68.000000	99.491	170.8504
69.000000	99.475	170.4743
70.000000	99.463	170.1263
71.000000	99.439	169.8209
72.000000	99.405	169.5247
73.000000	99.371	169.2050
74.000000	99.350	168.8748
75.000000	99.340	168.5070
76.199997	99.323	168.0909
77.500000	99.295	167.7700
78.800003	99.259	167.3808
80.000000	99.220	167.0318
81.199997	99.194	166.8464
82.500000	99.187	166.7110
83.800003	99.195	166.5284
85.000000	99.215	166.2457
86.199997	99.221	165.7766
87.500000	99.203	165.2318
88.500000	99.184	164.8578
90.000000	99.151	164.3349
91.199997	99.126	163.9039
92.500000	99.095	163.4756
93.800003	99.056	163.1005
95.000000	99.016	162.7648
96.199997	98.974	162.4653
97.500000	98.927	162.1733
98.800003	98.874	161.9005
100.000000	98.823	161.7494
101.500000	98.787	161.7885
103.000000	98.808	162.0797
104.400002	98.876	161.9857
106.000000	98.910	161.0988
107.500000	98.911	160.3514
109.000000	98.890	159.7712
110.599998	98.837	159.1635
112.000000	98.788	158.8229
113.800003	98.732	158.5532
115.000000	98.697	158.2970
117.199997	98.624	157.8028
118.000000	98.597	157.5930
120.599998	98.532	156.7802
122.000000	98.514	156.4745
124.099998	98.466	156.2607
125.000000	98.429	156.0788
126.500000	98.372	155.6664
128.000000	98.339	155.3181
131.500000	98.268	154.6608
132.000000	98.259	154.5677
134.000000	98.221	154.1956
136.000000	98.172	153.8387
138.000000	98.114	153.5384
140.000000	98.064	153.2202
143.000000	97.998	152.7252
145.000000	97.947	152.4248
147.500000	97.884	152.0535
150.000000	97.831	151.6820
152.500000	97.771	151.3674
155.000000	97.713	151.0206
157.500000	97.659	150.6722
160.000000	97.602	150.3250
162.500000	97.543	149.9918
165.000000	97.479	149.6849
167.500000	97.415	149.3452
