* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 31, 2026 1:46:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audio Technica LS50 ASMR R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.122	-163.8801
20.600000	98.138	-164.2668
20.900000	98.152	-164.6685
21.200001	98.163	-165.0547
21.400000	98.171	-165.3063
21.799999	98.190	-165.8107
22.000000	98.201	-166.0699
22.400000	98.223	-166.6080
22.700001	98.239	-167.0226
23.000000	98.253	-167.4331
23.299999	98.266	-167.8251
23.600000	98.278	-168.1892
24.000000	98.297	-168.6316
24.299999	98.314	-168.9446
24.700001	98.336	-169.3655
25.000000	98.349	-169.6978
25.400000	98.355	-170.1613
25.799999	98.347	-170.6213
26.200001	98.332	-171.0446
26.500000	98.323	-171.3351
26.900000	98.328	-171.7181
27.200001	98.345	-172.0385
27.600000	98.382	-172.5517
28.000000	98.419	-173.1552
28.500000	98.443	-173.9125
29.000000	98.435	-174.4746
29.500000	98.414	-174.7508
30.000000	98.405	-174.8675
30.400000	98.411	-174.9944
30.700001	98.418	-175.1584
31.100000	98.425	-175.4657
31.500000	98.425	-175.8257
32.000000	98.422	-176.2643
32.500000	98.423	-176.6555
33.000000	98.430	-177.0244
33.500000	98.437	-177.3990
34.000000	98.442	-177.7837
34.500000	98.447	-178.1741
35.000000	98.451	-178.5533
35.500000	98.453	-178.8817
36.000000	98.453	-179.1349
36.500000	98.459	-179.3642
37.000000	98.466	-179.6801
37.500000	98.463	179.8575
38.200001	98.427	179.1204
38.700001	98.396	178.7175
39.500000	98.388	178.3305
40.000000	98.406	178.1020
40.599998	98.419	177.7533
41.200001	98.412	177.3676
41.799999	98.397	176.9876
42.500000	98.386	176.5637
43.099998	98.386	176.2350
43.700001	98.393	175.9218
44.400002	98.395	175.5070
45.000000	98.379	175.1149
45.500000	98.359	174.8022
46.200001	98.338	174.3886
46.799999	98.330	174.0177
47.500000	98.320	173.5841
48.200001	98.317	173.1747
48.700001	98.322	172.8542
49.400002	98.325	172.3482
50.000000	98.308	171.9676
50.799999	98.270	171.6984
51.500000	98.247	171.5595
52.200001	98.237	171.2905
53.000000	98.222	170.8506
53.799999	98.206	170.4569
54.500000	98.196	170.1140
55.200001	98.177	169.7184
56.000000	98.164	169.3304
57.000000	98.228	168.8280
58.000000	98.268	168.0678
59.000000	98.180	167.7076
60.000000	98.094	167.6012
60.799999	98.055	167.2676
61.500000	98.026	166.9612
62.200001	98.001	166.7731
63.000000	97.972	166.5847
64.000000	97.916	166.2112
65.000000	97.874	165.7898
66.000000	97.874	165.3565
67.000000	97.871	164.9032
68.000000	97.847	164.4716
69.000000	97.809	164.0619
70.000000	97.767	163.7055
71.000000	97.734	163.3399
72.000000	97.711	163.0135
73.000000	97.686	162.8148
74.000000	97.639	162.5860
75.000000	97.572	162.2369
76.199997	97.529	161.7429
77.500000	97.511	161.2072
78.800003	97.479	160.8468
80.000000	97.431	160.6955
81.199997	97.374	160.4595
82.500000	97.373	159.9712
83.800003	97.356	159.5205
85.000000	97.173	158.2198
86.199997	96.823	155.6240
87.500000	96.752	155.7347
88.500000	96.993	157.0710
90.000000	97.083	158.0211
91.199997	97.026	157.8466
92.500000	96.970	157.5493
93.800003	96.931	157.4248
95.000000	96.865	157.4706
96.199997	96.714	157.6920
97.500000	96.593	157.7150
98.800003	96.779	157.6218
100.000000	97.051	157.5566
101.500000	97.165	157.4788
103.000000	97.084	156.6320
104.400002	96.940	155.1534
106.000000	96.882	153.8201
107.500000	96.825	154.1368
109.000000	96.715	154.3474
110.599998	96.675	153.7249
112.000000	96.650	153.3657
113.800003	96.578	152.9473
115.000000	96.530	152.5395
117.199997	96.447	152.0012
118.000000	96.419	151.8790
120.599998	96.318	151.5948
122.000000	96.257	151.3763
124.099998	96.154	151.0677
125.000000	96.109	150.9456
126.500000	96.056	150.7293
128.000000	96.039	150.5300
131.500000	95.974	149.9453
132.000000	95.949	149.8758
134.000000	95.870	149.6857
136.000000	95.824	149.4072
138.000000	95.775	149.0294
140.000000	95.724	148.6773
143.000000	95.640	148.1789
145.000000	95.582	147.8679
147.500000	95.510	147.6101
150.000000	95.441	147.3597
152.500000	95.355	147.0499
155.000000	95.265	146.7353
157.500000	95.183	146.4976
160.000000	95.107	146.2420
162.500000	95.027	145.9342
165.000000	94.943	145.6366
167.500000	94.852	145.3308
170.000000	94.763	145.0471
172.500000	94.674	144.8531
175.000000	94.592	144.7719
177.500000	94.505	144.6312
180.000000	94.418	144.4588
182.500000	94.341	144.2647
185.000000	94.259	144.0995
187.500000	94.178	143.9602
