* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 8, 2025 6:14:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CFA Vega Type E L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.699	-175.9297
20.600000	105.718	-176.2307
20.900000	105.727	-176.5126
21.200001	105.725	-176.7452
21.400000	105.719	-176.8772
21.799999	105.704	-177.1165
22.000000	105.696	-177.2401
22.400000	105.682	-177.5293
22.700001	105.674	-177.7963
23.000000	105.667	-178.1054
23.299999	105.661	-178.4459
23.600000	105.659	-178.8038
24.000000	105.660	-179.2867
24.299999	105.664	-179.6411
24.700001	105.673	179.9098
25.000000	105.678	179.5988
25.400000	105.681	179.2277
25.799999	105.682	178.9049
26.200001	105.681	178.6090
26.500000	105.681	178.3832
26.900000	105.681	178.0517
27.200001	105.679	177.7754
27.600000	105.673	177.3857
28.000000	105.664	177.0059
28.500000	105.654	176.5884
29.000000	105.654	176.2298
29.500000	105.662	175.8759
30.000000	105.665	175.4897
30.400000	105.659	175.1698
30.700001	105.648	174.9399
31.100000	105.630	174.6599
31.500000	105.614	174.4068
32.000000	105.605	174.0930
32.500000	105.605	173.7411
33.000000	105.607	173.3501
33.500000	105.603	172.9677
34.000000	105.593	172.6422
34.500000	105.584	172.3687
35.000000	105.580	172.0801
35.500000	105.577	171.7073
36.000000	105.565	171.2531
36.500000	105.539	170.8051
37.000000	105.511	170.4589
37.500000	105.496	170.2259
38.200001	105.511	169.9241
38.700001	105.527	169.6203
39.500000	105.523	169.0631
40.000000	105.500	168.7872
40.599998	105.471	168.5535
41.200001	105.451	168.3416
41.799999	105.437	168.0771
42.500000	105.424	167.6880
43.099998	105.410	167.3092
43.700001	105.393	166.9189
44.400002	105.368	166.4956
45.000000	105.347	166.1811
45.500000	105.332	165.9443
46.200001	105.313	165.6252
46.799999	105.298	165.3505
47.500000	105.280	165.0209
48.200001	105.259	164.6799
48.700001	105.240	164.4391
49.400002	105.215	164.1192
50.000000	105.196	163.8515
50.799999	105.174	163.4731
51.500000	105.152	163.1346
52.200001	105.128	162.8228
53.000000	105.102	162.4915
53.799999	105.077	162.1473
54.500000	105.053	161.8313
55.200001	105.026	161.5221
56.000000	104.996	161.1899
57.000000	104.962	160.7793
58.000000	104.925	160.3643
59.000000	104.887	159.9583
60.000000	104.856	159.5269
60.799999	104.829	159.1896
61.500000	104.803	158.9287
62.200001	104.773	158.6897
63.000000	104.736	158.4080
64.000000	104.686	158.0293
65.000000	104.641	157.6960
66.000000	104.609	157.4016
67.000000	104.576	157.0787
68.000000	104.537	156.7730
69.000000	104.499	156.4995
70.000000	104.454	156.2391
71.000000	104.406	156.0020
72.000000	104.368	155.7576
73.000000	104.334	155.4943
74.000000	104.293	155.2378
75.000000	104.253	154.9455
76.199997	104.217	154.5393
77.500000	104.180	154.1648
78.800003	104.122	153.7508
80.000000	104.070	153.3719
81.199997	104.056	153.0618
82.500000	104.028	152.6888
83.800003	103.969	152.3654
85.000000	103.914	152.0655
86.199997	103.863	151.7399
87.500000	103.807	151.3651
88.500000	103.767	151.0988
90.000000	103.710	150.7232
91.199997	103.654	150.4010
92.500000	103.589	150.0544
93.800003	103.533	149.7586
95.000000	103.483	149.5400
96.199997	103.431	149.3460
97.500000	103.378	149.0856
98.800003	103.324	148.7991
100.000000	103.270	148.5693
101.500000	103.205	148.3214
103.000000	103.139	148.0933
104.400002	103.077	147.9067
106.000000	103.011	147.6975
107.500000	102.955	147.5312
109.000000	102.905	147.4086
110.599998	102.853	147.2562
112.000000	102.807	147.0906
113.800003	102.756	146.8543
115.000000	102.725	146.6557
117.199997	102.668	146.2310
118.000000	102.645	146.0537
120.599998	102.557	145.5032
122.000000	102.507	145.2957
124.099998	102.429	144.9639
125.000000	102.396	144.8116
126.500000	102.342	144.5727
128.000000	102.287	144.3535
131.500000	102.158	143.8647
132.000000	102.140	143.8006
134.000000	102.068	143.5450
136.000000	101.996	143.2832
138.000000	101.924	143.0526
140.000000	101.855	142.8548
143.000000	101.749	142.5433
145.000000	101.678	142.3444
147.500000	101.587	142.0855
150.000000	101.498	141.8275
152.500000	101.415	141.5969
155.000000	101.331	141.3706
157.500000	101.248	141.1446
160.000000	101.164	140.9246
162.500000	101.072	140.7821
165.000000	100.979	140.6290
167.500000	100.887	140.4665
170.000000	100.795	140.3104
172.500000	100.704	140.1622
175.000000	100.613	140.0280
177.500000	100.522	139.9049
180.000000	100.433	139.7812
182.500000	100.347	139.6726
185.000000	100.260	139.5724
187.500000	100.173	139.4827
190.000000	100.088	139.3992
192.500000	100.003	139.3186
195.000000	99.916	139.2376
197.500000	99.827	139.1501
200.000000	99.745	139.0777
203.000000	99.657	139.0404
206.000000	99.568	139.0002
209.000000	99.477	138.9490
212.000000	99.386	138.9054
214.000000	99.326	138.8843
218.000000	99.209	138.8525
220.000000	99.151	138.8425
224.000000	99.036	138.8164
227.000000	98.950	138.8044
230.000000	98.865	138.8049
233.000000	98.780	138.8125
236.000000	98.696	138.8225
240.000000	98.587	138.8448
243.000000	98.505	138.8761
247.000000	98.397	138.9498
250.000000	98.316	139.0163
254.000000	98.209	139.0456
258.000000	98.103	139.0917
262.000000	97.999	139.1667
265.000000	97.920	139.2244
269.000000	97.816	139.3088
272.000000	97.741	139.3829
276.000000	97.642	139.4908
280.000000	97.545	139.6028
285.000000	97.423	139.7646
290.000000	97.304	139.9321
295.000000	97.184	140.1042
300.000000	97.068	140.2834
304.000000	96.978	140.4368
307.000000	96.910	140.5552
311.000000	96.821	140.7075
315.000000	96.733	140.8618
320.000000	96.625	141.0607
325.000000	96.520	141.2834
330.000000	96.416	141.5209
335.000000	96.313	141.7454
340.000000	96.211	141.9673
345.000000	96.111	142.1994
350.000000	96.011	142.4426
355.000000	95.912	142.6844
360.000000	95.815	142.9308
365.000000	95.720	143.1969
370.000000	95.623	143.4753
375.000000	95.528	143.7531
382.000000	95.400	144.1491
387.000000	95.311	144.4414
395.000000	95.170	144.8960
400.000000	95.082	145.1977
406.000000	94.977	145.5891
412.000000	94.875	145.9697
418.000000	94.775	146.3568
425.000000	94.662	146.8127
431.000000	94.565	147.2126
437.000000	94.469	147.6110
444.000000	94.361	148.0908
450.000000	94.269	148.5151
455.000000	94.193	148.8705
462.000000	94.088	149.3746
468.000000	94.000	149.8118
475.000000	93.900	150.3234
482.000000	93.801	150.8477
487.000000	93.732	151.2245
494.000000	93.636	151.7478
500.000000	93.555	152.2000
508.000000	93.450	152.8288
515.000000	93.360	153.3864
522.000000	93.272	153.9509
530.000000	93.172	154.6060
538.000000	93.075	155.2632
545.000000	92.992	155.8398
552.000000	92.910	156.4246
560.000000	92.818	157.1117
570.000000	92.706	157.9816
580.000000	92.596	158.8669
590.000000	92.490	159.7602
600.000000	92.388	160.6689
608.000000	92.308	161.4070
615.000000	92.238	162.0591
622.000000	92.171	162.7172
630.000000	92.096	163.4788
640.000000	92.007	164.4503
650.000000	91.921	165.4376
660.000000	91.835	166.4356
670.000000	91.752	167.4525
680.000000	91.674	168.4908
690.000000	91.600	169.5418
700.000000	91.529	170.6037
710.000000	91.462	171.6902
720.000000	91.399	172.7933
730.000000	91.338	173.9171
740.000000	91.282	175.0616
750.000000	91.230	176.2226
762.000000	91.173	177.6381
775.000000	91.118	179.2039
788.000000	91.072	-179.2021
800.000000	91.034	-177.7022
812.000000	91.002	-176.1700
825.000000	90.976	-174.4789
838.000000	90.959	-172.7547
850.000000	90.952	-171.1419
862.000000	90.956	-169.5025
875.000000	90.974	-167.7043
885.000000	90.996	-166.3085
900.000000	91.045	-164.1927
912.000000	91.100	-162.4771
925.000000	91.173	-160.6080
938.000000	91.262	-158.7251
950.000000	91.360	-156.9556
962.000000	91.479	-155.1332
975.000000	91.649	-153.1230
988.000000	91.866	-151.2782
1000.000000	92.083	-149.8716
1015.000000	92.347	-148.3054
1030.000000	92.620	-146.7760
1044.000000	92.896	-145.4272
1060.000000	93.240	-144.0764
1075.000000	93.586	-143.0507
1090.000000	93.947	-142.2880
1106.000000	94.342	-141.7902
1120.000000	94.690	-141.6363
1138.000000	95.127	-141.8311
1150.000000	95.406	-142.2016
1172.000000	95.877	-143.3351
1180.000000	96.032	-143.8736
1206.000000	96.461	-145.9700
1220.000000	96.640	-147.2449
1241.000000	96.845	-149.2229
1250.000000	96.912	-150.0633
1265.000000	96.999	-151.4229
1280.000000	97.058	-152.7094
1315.000000	97.103	-155.3170
1320.000000	97.101	-155.6365
1340.000000	97.079	-156.7724
1360.000000	97.044	-157.6879
1380.000000	97.004	-158.4131
1400.000000	96.965	-158.9902
1430.000000	96.911	-159.6469
1450.000000	96.877	-159.9797
1475.000000	96.839	-160.3156
1500.000000	96.805	-160.5731
1525.000000	96.773	-160.7655
1550.000000	96.744	-160.9047
1575.000000	96.716	-160.9969
1600.000000	96.689	-161.0519
1625.000000	96.661	-161.0750
1650.000000	96.632	-161.0706
1675.000000	96.604	-161.0433
1700.000000	96.579	-160.9986
1725.000000	96.554	-160.9458
1750.000000	96.528	-160.8855
1775.000000	96.500	-160.8152
1800.000000	96.470	-160.7297
1825.000000	96.438	-160.6299
1850.000000	96.401	-160.5114
1875.000000	96.361	-160.3673
1900.000000	96.315	-160.1862
1925.000000	96.264	-159.9542
1950.000000	96.206	-159.6532
1975.000000	96.142	-159.2579
2000.000000	96.076	-158.7353
2030.000000	96.001	-157.8777
2060.000000	95.947	-156.7121
2090.000000	95.941	-155.2456
2120.000000	96.015	-153.6328
2140.000000	96.116	-152.6445
2180.000000	96.405	-151.3605
2200.000000	96.557	-151.1456
2240.000000	96.805	-151.3124
2270.000000	96.930	-151.6208
2300.000000	97.021	-151.8850
2330.000000	97.096	-152.0839
2360.000000	97.165	-152.2650
2400.000000	97.247	-152.5439
2430.000000	97.296	-152.7895
2470.000000	97.337	-153.1162
2500.000000	97.350	-153.3019
2540.000000	97.356	-153.3956
2580.000000	97.361	-153.3016
2620.000000	97.379	-153.0578
2650.000000	97.404	-152.8049
