* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 8, 2025 6:27:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CFA Vega Type E R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.174	-176.4419
20.600000	106.174	-176.7466
20.900000	106.170	-177.0540
21.200001	106.165	-177.3463
21.400000	106.163	-177.5390
21.799999	106.163	-177.9346
22.000000	106.163	-178.1408
22.400000	106.165	-178.5653
22.700001	106.165	-178.8833
23.000000	106.165	-179.1917
23.299999	106.165	-179.4883
23.600000	106.166	-179.7777
24.000000	106.169	179.8334
24.299999	106.172	179.5324
24.700001	106.174	179.1222
25.000000	106.173	178.8194
25.400000	106.169	178.4410
25.799999	106.165	178.0984
26.200001	106.165	177.7766
26.500000	106.166	177.5325
26.900000	106.167	177.1877
27.200001	106.163	176.9160
27.600000	106.151	176.5547
28.000000	106.133	176.2207
28.500000	106.112	175.8558
29.000000	106.107	175.5017
29.500000	106.119	175.0720
30.000000	106.136	174.5303
30.400000	106.140	174.0566
30.700001	106.137	173.7175
31.100000	106.125	173.3291
31.500000	106.110	173.0313
32.000000	106.097	172.7508
32.500000	106.091	172.4920
33.000000	106.085	172.1995
33.500000	106.076	171.8788
34.000000	106.065	171.5563
34.500000	106.056	171.2355
35.000000	106.051	170.9015
35.500000	106.045	170.5535
36.000000	106.034	170.2120
36.500000	106.022	169.8921
37.000000	106.010	169.5850
37.500000	105.998	169.2727
38.200001	105.982	168.8303
38.700001	105.970	168.5352
39.500000	105.955	168.0960
40.000000	105.948	167.8033
40.599998	105.932	167.4141
41.200001	105.906	167.0179
41.799999	105.878	166.6555
42.500000	105.853	166.2713
43.099998	105.839	165.9399
43.700001	105.826	165.5917
44.400002	105.802	165.1825
45.000000	105.777	164.8513
45.500000	105.756	164.5914
46.200001	105.731	164.2343
46.799999	105.713	163.9202
47.500000	105.691	163.5501
48.200001	105.668	163.1805
48.700001	105.651	162.9065
49.400002	105.625	162.5125
50.000000	105.601	162.2012
50.799999	105.573	161.8581
51.500000	105.555	161.5711
52.200001	105.532	161.2400
53.000000	105.493	160.8363
53.799999	105.454	160.4630
54.500000	105.427	160.1577
55.200001	105.403	159.8531
56.000000	105.372	159.5167
57.000000	105.329	159.1232
58.000000	105.292	158.6930
59.000000	105.254	158.2326
60.000000	105.210	157.8416
60.799999	105.173	157.5781
61.500000	105.144	157.3365
62.200001	105.116	157.0667
63.000000	105.084	156.7638
64.000000	105.044	156.4495
65.000000	105.001	156.1127
66.000000	104.952	155.6960
67.000000	104.904	155.2853
68.000000	104.856	154.9512
69.000000	104.803	154.6747
70.000000	104.752	154.3875
71.000000	104.705	154.1270
72.000000	104.657	153.9019
73.000000	104.606	153.6035
74.000000	104.566	153.2358
75.000000	104.540	152.8982
76.199997	104.497	152.5989
77.500000	104.446	152.2961
78.800003	104.422	152.2300
80.000000	104.411	152.2031
81.199997	104.340	151.7855
82.500000	104.259	151.2673
83.800003	104.213	150.8131
85.000000	104.162	150.4721
86.199997	104.112	150.1242
87.500000	104.060	149.7984
88.500000	104.018	149.5760
90.000000	103.960	149.1507
91.199997	103.917	148.7870
92.500000	103.859	148.4624
93.800003	103.801	148.2242
95.000000	103.754	147.9578
96.199997	103.701	147.6577
97.500000	103.637	147.3488
98.800003	103.570	147.0675
100.000000	103.512	146.8082
101.500000	103.445	146.4675
103.000000	103.380	146.2000
104.400002	103.320	145.9835
106.000000	103.246	145.6971
107.500000	103.178	145.4232
109.000000	103.111	145.1600
110.599998	103.041	144.9033
112.000000	102.982	144.7031
113.800003	102.899	144.4507
115.000000	102.843	144.2831
117.199997	102.752	143.9967
118.000000	102.719	143.8979
120.599998	102.609	143.6146
122.000000	102.554	143.4669
124.099998	102.469	143.2153
125.000000	102.435	143.0970
126.500000	102.378	142.9012
128.000000	102.320	142.7282
131.500000	102.193	142.3717
132.000000	102.174	142.3216
134.000000	102.098	142.1340
136.000000	102.024	141.9488
138.000000	101.947	141.7296
140.000000	101.874	141.5365
143.000000	101.772	141.3533
145.000000	101.704	141.1987
147.500000	101.622	141.0309
150.000000	101.540	140.8493
152.500000	101.452	140.6303
155.000000	101.364	140.4451
157.500000	101.282	140.2556
160.000000	101.200	140.0702
162.500000	101.102	139.9107
165.000000	101.002	139.7587
167.500000	100.906	139.6167
170.000000	100.813	139.4849
172.500000	100.720	139.3638
175.000000	100.626	139.2524
177.500000	100.533	139.1490
180.000000	100.441	139.0609
182.500000	100.352	138.9790
185.000000	100.264	138.9075
187.500000	100.175	138.8447
190.000000	100.087	138.7866
192.500000	100.001	138.7310
195.000000	99.914	138.6807
197.500000	99.827	138.6478
200.000000	99.742	138.6222
203.000000	99.646	138.5880
206.000000	99.552	138.5573
209.000000	99.460	138.5339
212.000000	99.369	138.5223
214.000000	99.308	138.5206
218.000000	99.186	138.5243
220.000000	99.126	138.5323
224.000000	99.008	138.5636
227.000000	98.920	138.5902
230.000000	98.833	138.6199
233.000000	98.748	138.6551
236.000000	98.663	138.7037
240.000000	98.551	138.7768
243.000000	98.467	138.8397
247.000000	98.357	138.9285
250.000000	98.276	138.9990
254.000000	98.168	139.1007
258.000000	98.061	139.2124
262.000000	97.954	139.3331
265.000000	97.875	139.4326
269.000000	97.770	139.5730
272.000000	97.692	139.6800
276.000000	97.591	139.8214
280.000000	97.492	139.9693
285.000000	97.372	140.1693
290.000000	97.250	140.3783
295.000000	97.130	140.6067
300.000000	97.013	140.8324
304.000000	96.921	141.0208
307.000000	96.853	141.1642
311.000000	96.764	141.3612
315.000000	96.677	141.5614
320.000000	96.567	141.8167
325.000000	96.458	142.0828
330.000000	96.352	142.3583
335.000000	96.248	142.6485
340.000000	96.145	142.9448
345.000000	96.043	143.2481
350.000000	95.943	143.5497
355.000000	95.847	143.8536
360.000000	95.751	144.1636
365.000000	95.655	144.4901
370.000000	95.561	144.8210
375.000000	95.468	145.1476
382.000000	95.341	145.6168
387.000000	95.252	145.9631
395.000000	95.110	146.5317
400.000000	95.023	146.8890
406.000000	94.924	147.3173
412.000000	94.825	147.7531
418.000000	94.727	148.1971
425.000000	94.615	148.7266
431.000000	94.520	149.1866
437.000000	94.427	149.6624
444.000000	94.321	150.2231
450.000000	94.231	150.7103
455.000000	94.157	151.1131
462.000000	94.056	151.6826
468.000000	93.971	152.1813
475.000000	93.873	152.7686
482.000000	93.776	153.3652
487.000000	93.709	153.7973
494.000000	93.617	154.4104
500.000000	93.540	154.9358
508.000000	93.437	155.6533
515.000000	93.349	156.2957
522.000000	93.265	156.9398
530.000000	93.171	157.6893
538.000000	93.079	158.4494
545.000000	93.000	159.1140
552.000000	92.922	159.7851
560.000000	92.837	160.5742
570.000000	92.732	161.5822
580.000000	92.630	162.6030
590.000000	92.532	163.6412
600.000000	92.438	164.6903
608.000000	92.366	165.5464
615.000000	92.305	166.3107
622.000000	92.245	167.0834
630.000000	92.180	167.9758
640.000000	92.102	169.1066
650.000000	92.029	170.2681
660.000000	91.960	171.4515
670.000000	91.895	172.6565
680.000000	91.835	173.8807
690.000000	91.780	175.1279
700.000000	91.731	176.3994
710.000000	91.688	177.6921
720.000000	91.650	179.0049
730.000000	91.618	-179.6557
740.000000	91.593	-178.2928
750.000000	91.575	-176.9102
762.000000	91.565	-175.2221
775.000000	91.567	-173.3569
788.000000	91.584	-171.4640
800.000000	91.613	-169.6995
812.000000	91.653	-167.9206
825.000000	91.713	-165.9845
838.000000	91.792	-164.0503
850.000000	91.884	-162.2819
862.000000	91.994	-160.5293
875.000000	92.135	-158.6691
885.000000	92.259	-157.2791
900.000000	92.471	-155.2779
912.000000	92.665	-153.7474
925.000000	92.900	-152.1987
938.000000	93.163	-150.8410
950.000000	93.422	-149.8315
962.000000	93.684	-149.0910
975.000000	93.949	-148.5558
988.000000	94.184	-148.1390
1000.000000	94.384	-147.6775
1015.000000	94.652	-147.0034
1030.000000	94.954	-146.4894
1044.000000	95.248	-146.3023
1060.000000	95.573	-146.4206
1075.000000	95.856	-146.7795
1090.000000	96.113	-147.3125
1106.000000	96.358	-148.0265
1120.000000	96.548	-148.7375
1138.000000	96.758	-149.7209
1150.000000	96.879	-150.3983
1172.000000	97.064	-151.6493
1180.000000	97.121	-152.0995
1206.000000	97.272	-153.5047
1220.000000	97.335	-154.2132
1241.000000	97.411	-155.2071
1250.000000	97.439	-155.6073
1265.000000	97.482	-156.2368
1280.000000	97.520	-156.8188
1315.000000	97.591	-158.0117
1320.000000	97.600	-158.1648
1340.000000	97.629	-158.7360
1360.000000	97.654	-159.2479
1380.000000	97.676	-159.7065
1400.000000	97.695	-160.1187
