* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 19, 2025 7:50:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CrinEar Meta AET07 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.613	-0.8471
20.600000	101.624	-1.1352
20.900000	101.638	-1.4824
21.200001	101.649	-1.8947
21.400000	101.653	-2.2080
21.799999	101.646	-2.8991
22.000000	101.635	-3.2540
22.400000	101.597	-3.9214
22.700001	101.563	-4.3520
23.000000	101.532	-4.7173
23.299999	101.507	-5.0366
23.600000	101.491	-5.3412
24.000000	101.480	-5.7749
24.299999	101.475	-6.1386
24.700001	101.463	-6.6644
25.000000	101.449	-7.0662
25.400000	101.424	-7.5773
25.799999	101.399	-8.0448
26.200001	101.377	-8.4816
26.500000	101.362	-8.8039
26.900000	101.340	-9.2336
27.200001	101.318	-9.5466
27.600000	101.282	-9.9294
28.000000	101.245	-10.2711
28.500000	101.213	-10.7247
29.000000	101.199	-11.3736
29.500000	101.180	-12.2816
30.000000	101.131	-13.2531
30.400000	101.071	-13.8514
30.700001	101.027	-14.1157
31.100000	100.986	-14.2371
31.500000	100.976	-14.2197
32.000000	100.990	-14.2575
32.500000	100.997	-14.5041
33.000000	100.971	-14.8961
33.500000	100.922	-15.3099
34.000000	100.875	-15.7115
34.500000	100.840	-16.1313
35.000000	100.809	-16.5710
35.500000	100.776	-16.9942
36.000000	100.740	-17.3846
36.500000	100.700	-17.7604
37.000000	100.656	-18.1345
37.500000	100.613	-18.4967
38.200001	100.565	-18.9823
38.700001	100.539	-19.3392
39.500000	100.487	-19.9111
40.000000	100.442	-20.2248
40.599998	100.386	-20.5706
41.200001	100.334	-20.9624
41.799999	100.286	-21.4284
42.500000	100.230	-21.9608
43.099998	100.187	-22.3074
43.700001	100.149	-22.5575
44.400002	100.102	-22.8286
