* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 19, 2025 8:00:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CrinEar Meta AET07 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.429	0.7727
20.600000	101.418	0.4036
20.900000	101.404	0.0074
21.200001	101.392	-0.3912
21.400000	101.385	-0.6578
21.799999	101.375	-1.1901
22.000000	101.371	-1.4537
22.400000	101.364	-1.9685
22.700001	101.358	-2.3369
23.000000	101.351	-2.6849
23.299999	101.343	-3.0127
23.600000	101.335	-3.3275
24.000000	101.326	-3.7518
24.299999	101.321	-4.0927
24.700001	101.314	-4.5899
25.000000	101.306	-4.9861
25.400000	101.291	-5.5140
25.799999	101.274	-6.0082
26.200001	101.261	-6.4585
26.500000	101.254	-6.7784
26.900000	101.247	-7.2028
27.200001	101.240	-7.5279
27.600000	101.227	-7.9688
28.000000	101.208	-8.4105
28.500000	101.180	-8.9648
29.000000	101.151	-9.5388
29.500000	101.119	-10.1243
30.000000	101.081	-10.6654
30.400000	101.051	-11.0309
30.700001	101.032	-11.2662
31.100000	101.011	-11.5531
31.500000	100.994	-11.8422
32.000000	100.971	-12.2321
32.500000	100.940	-12.6348
33.000000	100.904	-13.0224
33.500000	100.872	-13.4026
34.000000	100.843	-13.7993
34.500000	100.814	-14.2069
35.000000	100.782	-14.5913
35.500000	100.750	-14.9389
36.000000	100.720	-15.2788
36.500000	100.688	-15.6489
37.000000	100.650	-16.0525
37.500000	100.609	-16.4636
38.200001	100.556	-17.0177
38.700001	100.527	-17.3988
39.500000	100.487	-17.9615
40.000000	100.461	-18.2604
40.599998	100.424	-18.5745
41.200001	100.378	-18.8746
41.799999	100.321	-19.1752
42.500000	100.254	-19.5319
43.099998	100.208	-19.8807
43.700001	100.173	-20.2983
44.400002	100.131	-20.8120
45.000000	100.089	-21.1763
45.500000	100.052	-21.4078
46.200001	100.002	-21.7063
46.799999	99.957	-22.0167
47.500000	99.900	-22.4254
48.200001	99.857	-22.8282
48.700001	99.841	-23.1354
49.400002	99.817	-23.6208
50.000000	99.770	-24.0058
50.799999	99.676	-24.2962
51.500000	99.598	-24.4188
52.200001	99.538	-24.6316
53.000000	99.472	-24.9930
53.799999	99.404	-25.2877
54.500000	99.349	-25.4725
55.200001	99.298	-25.6888
56.000000	99.235	-26.0184
57.000000	99.158	-26.4597
58.000000	99.088	-26.8278
59.000000	99.007	-27.1236
60.000000	98.903	-27.3627
60.799999	98.825	-27.5610
61.500000	98.774	-27.8116
62.200001	98.731	-28.1155
63.000000	98.679	-28.4110
64.000000	98.606	-28.6299
65.000000	98.523	-28.8274
66.000000	98.437	-29.0869
67.000000	98.353	-29.3534
68.000000	98.266	-29.5430
69.000000	98.185	-29.7139
70.000000	98.107	-29.9380
71.000000	98.028	-30.1321
72.000000	97.950	-30.2941
73.000000	97.865	-30.4651
74.000000	97.779	-30.6378
75.000000	97.697	-30.8067
76.199997	97.603	-30.9472
77.500000	97.506	-31.0730
78.800003	97.400	-31.2260
80.000000	97.303	-31.3654
81.199997	97.207	-31.4651
82.500000	97.104	-31.5088
83.800003	97.008	-31.5654
85.000000	96.925	-31.6025
86.199997	96.834	-31.6345
87.500000	96.721	-31.6959
88.500000	96.637	-31.7239
90.000000	96.527	-31.7644
91.199997	96.434	-31.8204
92.500000	96.326	-31.8118
93.800003	96.225	-31.7433
95.000000	96.140	-31.6665
96.199997	96.062	-31.5409
97.500000	95.972	-31.3222
98.800003	95.863	-31.1038
100.000000	95.779	-30.9871
101.500000	95.698	-31.0626
103.000000	95.600	-31.0771
104.400002	95.504	-30.9892
106.000000	95.390	-30.8242
107.500000	95.287	-30.6288
109.000000	95.171	-30.3949
110.599998	95.035	-30.2184
112.000000	94.966	-30.0735
113.800003	94.895	-29.6685
115.000000	94.820	-29.3320
117.199997	94.687	-29.0342
118.000000	94.642	-28.9481
120.599998	94.502	-28.5560
122.000000	94.431	-28.3627
124.099998	94.308	-27.8331
125.000000	94.252	-27.5755
126.500000	94.159	-27.2372
128.000000	94.084	-26.8945
131.500000	93.937	-25.9927
132.000000	93.915	-25.8573
134.000000	93.821	-25.2520
136.000000	93.736	-24.7190
138.000000	93.683	-24.2635
140.000000	93.621	-23.7006
