* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 19, 2025 8:06:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CrinEar Meta ASMR Max L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.606	-0.6046
20.600000	101.591	-1.0021
20.900000	101.573	-1.4284
21.200001	101.555	-1.8522
21.400000	101.546	-2.1327
21.799999	101.534	-2.6897
22.000000	101.531	-2.9662
22.400000	101.530	-3.5132
22.700001	101.529	-3.9149
23.000000	101.526	-4.3053
23.299999	101.519	-4.6810
23.600000	101.507	-5.0406
24.000000	101.488	-5.5002
24.299999	101.472	-5.8386
24.700001	101.453	-6.2983
25.000000	101.440	-6.6577
25.400000	101.424	-7.1563
25.799999	101.408	-7.6606
26.200001	101.390	-8.1435
26.500000	101.375	-8.4778
26.900000	101.354	-8.8818
27.200001	101.337	-9.1601
27.600000	101.315	-9.5174
28.000000	101.292	-9.8806
28.500000	101.262	-10.3626
29.000000	101.230	-10.8705
29.500000	101.199	-11.3823
30.000000	101.169	-11.8794
30.400000	101.147	-12.2629
30.700001	101.130	-12.5430
31.100000	101.106	-12.9079
31.500000	101.080	-13.2631
32.000000	101.047	-13.6932
32.500000	101.013	-14.1106
33.000000	100.982	-14.5235
33.500000	100.951	-14.9389
34.000000	100.919	-15.3537
34.500000	100.884	-15.7552
35.000000	100.846	-16.1337
35.500000	100.810	-16.4952
36.000000	100.775	-16.8591
36.500000	100.742	-17.2411
37.000000	100.707	-17.6364
37.500000	100.669	-18.0189
38.200001	100.616	-18.4854
38.700001	100.582	-18.7753
39.500000	100.533	-19.2536
40.000000	100.497	-19.5882
40.599998	100.444	-19.9942
41.200001	100.391	-20.3792
41.799999	100.350	-20.7810
42.500000	100.312	-21.3212
43.099998	100.270	-21.7780
43.700001	100.214	-22.1219
44.400002	100.145	-22.3663
45.000000	100.092	-22.5546
45.500000	100.051	-22.7687
46.200001	99.992	-23.1471
46.799999	99.940	-23.4536
47.500000	99.890	-23.7436
48.200001	99.849	-24.0941
48.700001	99.808	-24.4345
49.400002	99.719	-24.9069
50.000000	99.637	-25.1573
50.799999	99.570	-25.3532
51.500000	99.540	-25.6255
52.200001	99.496	-25.9621
53.000000	99.429	-26.2543
53.799999	99.366	-26.5174
54.500000	99.310	-26.7904
55.200001	99.250	-27.0536
56.000000	99.181	-27.3207
57.000000	99.094	-27.6471
58.000000	99.006	-27.9772
59.000000	98.921	-28.2938
60.000000	98.839	-28.5721
