* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 19, 2025 8:08:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CrinEar Meta ASMR Max R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.508	0.9410
20.600000	101.499	0.6072
20.900000	101.485	0.2528
21.200001	101.471	-0.1125
21.400000	101.463	-0.3693
21.799999	101.449	-0.9240
22.000000	101.443	-1.2200
22.400000	101.431	-1.8309
22.700001	101.422	-2.2864
23.000000	101.413	-2.7241
23.299999	101.405	-3.1360
23.600000	101.398	-3.5209
24.000000	101.391	-3.9993
24.299999	101.386	-4.3407
24.700001	101.380	-4.7862
25.000000	101.373	-5.1194
25.400000	101.359	-5.5665
25.799999	101.341	-6.0141
26.200001	101.319	-6.4539
26.500000	101.301	-6.7743
26.900000	101.277	-7.1890
27.200001	101.261	-7.4950
27.600000	101.242	-7.9056
28.000000	101.224	-8.3257
28.500000	101.200	-8.8570
29.000000	101.172	-9.3691
29.500000	101.142	-9.8402
30.000000	101.113	-10.2768
30.400000	101.092	-10.6194
30.700001	101.078	-10.8812
31.100000	101.058	-11.2406
31.500000	101.038	-11.6081
32.000000	101.010	-12.0630
32.500000	100.981	-12.4940
33.000000	100.952	-12.8934
33.500000	100.924	-13.2733
34.000000	100.895	-13.6570
34.500000	100.863	-14.0593
35.000000	100.827	-14.4731
35.500000	100.789	-14.8793
36.000000	100.753	-15.2683
36.500000	100.722	-15.6451
37.000000	100.694	-16.0139
37.500000	100.666	-16.3652
38.200001	100.625	-16.8066
38.700001	100.595	-17.0978
39.500000	100.543	-17.5769
40.000000	100.506	-17.8935
40.599998	100.459	-18.2803
41.200001	100.415	-18.6721
41.799999	100.375	-19.0675
42.500000	100.330	-19.5133
43.099998	100.291	-19.8688
43.700001	100.249	-20.2048
44.400002	100.196	-20.5859
45.000000	100.151	-20.9184
45.500000	100.114	-21.2060
46.200001	100.060	-21.5982
46.799999	100.009	-21.8875
47.500000	99.946	-22.2060
48.200001	99.880	-22.6105
48.700001	99.826	-22.9460
49.400002	99.753	-23.3660
50.000000	99.710	-23.6291
50.799999	99.682	-23.9339
51.500000	99.651	-24.2072
52.200001	99.601	-24.4399
53.000000	99.537	-24.6880
53.799999	99.477	-25.0041
54.500000	99.423	-25.2989
55.200001	99.368	-25.5522
56.000000	99.305	-25.8102
57.000000	99.226	-26.1555
58.000000	99.147	-26.5183
59.000000	99.066	-26.8484
60.000000	98.984	-27.1730
60.799999	98.918	-27.4368
61.500000	98.861	-27.6434
62.200001	98.804	-27.8191
63.000000	98.739	-28.0033
64.000000	98.660	-28.2782
65.000000	98.581	-28.6197
66.000000	98.499	-28.9068
67.000000	98.419	-29.0920
68.000000	98.341	-29.2511
69.000000	98.262	-29.4377
70.000000	98.181	-29.6477
71.000000	98.099	-29.8267
72.000000	98.022	-29.9684
73.000000	97.944	-30.1094
74.000000	97.863	-30.2635
75.000000	97.779	-30.4333
76.199997	97.680	-30.6171
77.500000	97.573	-30.7574
78.800003	97.470	-30.8818
80.000000	97.380	-31.0001
81.199997	97.289	-31.1190
82.500000	97.186	-31.2100
83.800003	97.085	-31.2712
85.000000	96.995	-31.3064
86.199997	96.906	-31.3522
87.500000	96.806	-31.4089
88.500000	96.727	-31.4202
90.000000	96.608	-31.4242
91.199997	96.516	-31.4031
92.500000	96.421	-31.3550
93.800003	96.326	-31.3345
95.000000	96.240	-31.2836
96.199997	96.148	-31.2282
97.500000	96.040	-31.2690
98.800003	95.968	-31.2608
100.000000	95.924	-31.1498
101.500000	95.820	-30.8905
103.000000	95.692	-30.7569
104.400002	95.588	-30.6362
106.000000	95.485	-30.3960
107.500000	95.387	-30.2368
109.000000	95.289	-30.0797
110.599998	95.186	-29.8752
112.000000	95.097	-29.6413
113.800003	94.990	-29.3414
115.000000	94.918	-29.1180
117.199997	94.789	-28.7190
118.000000	94.745	-28.5774
120.599998	94.606	-28.0537
122.000000	94.544	-27.7352
124.099998	94.431	-27.3195
125.000000	94.375	-27.1425
126.500000	94.291	-26.8440
128.000000	94.217	-26.4981
131.500000	94.045	-25.6227
132.000000	94.021	-25.4735
134.000000	93.932	-24.7963
136.000000	93.851	-24.1795
138.000000	93.783	-23.6804
140.000000	93.744	-23.1755
143.000000	93.670	-22.6743
145.000000	93.609	-22.3838
147.500000	93.519	-21.4639
150.000000	93.438	-20.7062
152.500000	93.366	-20.2288
155.000000	93.304	-19.7383
157.500000	93.243	-19.1377
160.000000	93.179	-18.4728
162.500000	93.109	-17.7974
165.000000	93.051	-17.1853
167.500000	93.001	-16.5600
170.000000	92.943	-15.9552
172.500000	92.885	-15.3490
175.000000	92.841	-14.6895
177.500000	92.801	-14.0543
180.000000	92.759	-13.4166
182.500000	92.720	-12.7578
185.000000	92.685	-12.1000
187.500000	92.653	-11.4533
190.000000	92.629	-10.8103
192.500000	92.613	-10.1705
195.000000	92.602	-9.5439
197.500000	92.593	-8.9584
200.000000	92.587	-8.4242
203.000000	92.586	-7.7878
206.000000	92.590	-7.1819
209.000000	92.597	-6.5961
212.000000	92.601	-6.0377
214.000000	92.601	-5.7026
218.000000	92.599	-5.1508
220.000000	92.600	-4.9678
224.000000	92.610	-4.3160
227.000000	92.622	-3.6743
230.000000	92.634	-3.1718
233.000000	92.644	-2.7347
236.000000	92.652	-2.2916
240.000000	92.658	-1.7558
243.000000	92.662	-1.3735
247.000000	92.667	-0.8848
250.000000	92.670	-0.5468
254.000000	92.681	-0.0055
258.000000	92.692	0.5156
262.000000	92.702	1.0052
265.000000	92.710	1.3483
269.000000	92.720	1.7731
272.000000	92.726	2.0886
276.000000	92.733	2.5260
280.000000	92.743	2.9448
285.000000	92.758	3.4391
290.000000	92.770	3.9086
295.000000	92.782	4.3633
300.000000	92.793	4.8050
304.000000	92.800	5.1405
307.000000	92.805	5.3876
311.000000	92.813	5.7241
315.000000	92.821	6.0572
320.000000	92.832	6.4591
325.000000	92.841	6.8411
330.000000	92.850	7.2133
335.000000	92.860	7.5794
340.000000	92.870	7.9304
345.000000	92.882	8.2735
350.000000	92.894	8.6086
355.000000	92.898	8.8951
360.000000	92.899	9.1739
365.000000	92.902	9.4508
370.000000	92.904	9.7168
375.000000	92.904	9.9795
382.000000	92.897	10.3257
387.000000	92.887	10.5815
395.000000	92.868	11.0295
400.000000	92.855	11.3242
406.000000	92.841	11.6955
412.000000	92.826	12.0773
418.000000	92.813	12.4689
