* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 7, 2025 12:11:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CrinEar Meta Coreir L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.649	-0.9466
20.600000	101.639	-1.3277
20.900000	101.626	-1.7346
21.200001	101.612	-2.1432
21.400000	101.605	-2.4189
21.799999	101.591	-2.9819
22.000000	101.585	-3.2681
22.400000	101.574	-3.8408
22.700001	101.564	-4.2614
23.000000	101.553	-4.6678
23.299999	101.541	-5.0578
23.600000	101.529	-5.4331
24.000000	101.513	-5.9181
24.299999	101.500	-6.2760
24.700001	101.483	-6.7506
25.000000	101.470	-7.1050
25.400000	101.450	-7.5735
25.799999	101.429	-8.0349
26.200001	101.408	-8.4886
26.500000	101.391	-8.8244
26.900000	101.369	-9.2676
27.200001	101.353	-9.5972
27.600000	101.330	-10.0329
28.000000	101.308	-10.4616
28.500000	101.279	-10.9794
29.000000	101.249	-11.4674
29.500000	101.218	-11.9287
30.000000	101.187	-12.3834
30.400000	101.161	-12.7549
30.700001	101.140	-13.0381
31.100000	101.112	-13.4133
31.500000	101.084	-13.7762
32.000000	101.054	-14.2116
32.500000	101.027	-14.6423
33.000000	100.995	-15.0700
33.500000	100.951	-15.4594
34.000000	100.899	-15.7767
34.500000	100.853	-16.0501
35.000000	100.820	-16.3679
35.500000	100.795	-16.7953
36.000000	100.768	-17.3075
36.500000	100.733	-17.8132
37.000000	100.696	-18.2387
37.500000	100.659	-18.5756
38.200001	100.612	-18.9723
38.700001	100.577	-19.2544
39.500000	100.515	-19.7600
40.000000	100.474	-20.1153
40.599998	100.422	-20.5522
41.200001	100.370	-20.9606
41.799999	100.322	-21.3320
42.500000	100.271	-21.7433
43.099998	100.225	-22.0829
43.700001	100.178	-22.4049
44.400002	100.122	-22.7665
45.000000	100.072	-23.0761
45.500000	100.029	-23.3378
46.200001	99.968	-23.7170
46.799999	99.914	-24.0533
47.500000	99.854	-24.4291
48.200001	99.800	-24.7641
48.700001	99.766	-24.9939
49.400002	99.715	-25.3257
50.000000	99.661	-25.6024
50.799999	99.580	-25.9234
51.500000	99.514	-26.1937
52.200001	99.450	-26.4903
53.000000	99.377	-26.8191
53.799999	99.305	-27.1100
54.500000	99.245	-27.3687
55.200001	99.184	-27.6341
56.000000	99.116	-27.9118
57.000000	99.037	-28.2428
58.000000	98.953	-28.5994
59.000000	98.871	-28.9910
60.000000	98.789	-29.3870
60.799999	98.715	-29.5789
61.500000	98.646	-29.6657
62.200001	98.576	-29.7835
63.000000	98.494	-29.9940
64.000000	98.407	-30.2543
65.000000	98.333	-30.3577
66.000000	98.258	-30.3671
67.000000	98.183	-30.6016
