* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 7, 2025 12:12:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CrinEar Meta Coreir R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.595	1.0185
20.600000	101.589	0.6530
20.900000	101.581	0.2562
21.200001	101.574	-0.1514
21.400000	101.571	-0.4306
21.799999	101.565	-1.0046
22.000000	101.562	-1.2947
22.400000	101.554	-1.8659
22.700001	101.547	-2.2757
23.000000	101.538	-2.6646
23.299999	101.528	-3.0334
23.600000	101.517	-3.3872
24.000000	101.501	-3.8478
24.299999	101.490	-4.1938
24.700001	101.476	-4.6639
25.000000	101.465	-5.0238
25.400000	101.450	-5.5078
25.799999	101.434	-5.9853
26.200001	101.417	-6.4437
26.500000	101.404	-6.7707
26.900000	101.386	-7.1847
27.200001	101.372	-7.4822
27.600000	101.353	-7.8692
28.000000	101.333	-8.2539
28.500000	101.308	-8.7423
29.000000	101.283	-9.2447
29.500000	101.258	-9.7550
30.000000	101.231	-10.2542
30.400000	101.209	-10.6323
30.700001	101.191	-10.9015
31.100000	101.169	-11.2474
31.500000	101.147	-11.5903
32.000000	101.118	-12.0292
32.500000	101.086	-12.4765
33.000000	101.053	-12.9139
33.500000	101.024	-13.3324
34.000000	100.999	-13.7424
34.500000	100.975	-14.1557
35.000000	100.949	-14.5649
35.500000	100.916	-14.9489
36.000000	100.880	-15.2977
36.500000	100.844	-15.6255
37.000000	100.810	-15.9569
37.500000	100.776	-16.3062
38.200001	100.728	-16.8163
38.700001	100.692	-17.1772
39.500000	100.636	-17.7225
40.000000	100.602	-18.0431
40.599998	100.562	-18.4200
41.200001	100.522	-18.7998
41.799999	100.480	-19.1779
42.500000	100.428	-19.5981
43.099998	100.386	-19.9378
43.700001	100.345	-20.2686
44.400002	100.294	-20.6471
