* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 16, 2025 3:29:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CrinEar Meta Foam L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.948	0.4981
20.600000	100.944	0.0843
20.900000	100.939	-0.3559
21.200001	100.932	-0.7953
21.400000	100.927	-1.0861
21.799999	100.913	-1.6496
22.000000	100.905	-1.9150
22.400000	100.887	-2.4058
22.700001	100.876	-2.7498
23.000000	100.866	-3.0953
23.299999	100.858	-3.4637
23.600000	100.848	-3.8661
24.000000	100.828	-4.4441
24.299999	100.808	-4.8825
24.700001	100.778	-5.4336
25.000000	100.758	-5.8112
25.400000	100.740	-6.2835
25.799999	100.730	-6.7565
26.200001	100.719	-7.2491
26.500000	100.705	-7.6181
26.900000	100.675	-8.0701
27.200001	100.646	-8.3594
27.600000	100.611	-8.6870
28.000000	100.586	-9.0082
28.500000	100.571	-9.5296
29.000000	100.559	-10.2549
29.500000	100.527	-11.0909
30.000000	100.474	-11.8402
30.400000	100.427	-12.2798
30.700001	100.398	-12.5132
31.100000	100.371	-12.7441
31.500000	100.358	-12.9569
32.000000	100.347	-13.2802
32.500000	100.327	-13.6703
33.000000	100.297	-14.0718
33.500000	100.265	-14.4549
34.000000	100.237	-14.8433
34.500000	100.210	-15.2633
35.000000	100.176	-15.6975
35.500000	100.136	-16.1064
36.000000	100.095	-16.4799
36.500000	100.057	-16.8480
37.000000	100.023	-17.2402
37.500000	99.989	-17.6519
38.200001	99.939	-18.2074
38.700001	99.902	-18.5653
39.500000	99.842	-19.0848
40.000000	99.801	-19.3988
40.599998	99.747	-19.7843
41.200001	99.689	-20.1696
41.799999	99.631	-20.5179
42.500000	99.574	-20.8664
43.099998	99.537	-21.1766
43.700001	99.497	-21.5431
44.400002	99.438	-22.0024
45.000000	99.386	-22.3743
45.500000	99.347	-22.6692
46.200001	99.298	-23.0592
46.799999	99.252	-23.3358
47.500000	99.193	-23.6054
48.200001	99.124	-23.9580
48.700001	99.063	-24.2970
49.400002	98.967	-24.7768
50.000000	98.900	-25.0727
50.799999	98.856	-25.3270
51.500000	98.836	-25.5466
52.200001	98.794	-25.7899
53.000000	98.720	-26.0774
53.799999	98.644	-26.4187
54.500000	98.585	-26.7563
55.200001	98.529	-27.0580
56.000000	98.458	-27.3099
57.000000	98.360	-27.5684
58.000000	98.274	-27.8933
59.000000	98.201	-28.1761
60.000000	98.124	-28.1839
60.799999	98.064	-28.1532
61.500000	98.007	-28.3516
62.200001	97.934	-28.7428
63.000000	97.843	-29.1777
64.000000	97.752	-29.5206
65.000000	97.665	-29.7652
66.000000	97.569	-29.9332
67.000000	97.485	-30.1111
68.000000	97.404	-30.3104
69.000000	97.317	-30.4477
70.000000	97.233	-30.5797
71.000000	97.149	-30.7486
72.000000	97.061	-30.9107
73.000000	96.973	-31.0316
74.000000	96.890	-31.1524
75.000000	96.805	-31.2556
76.199997	96.700	-31.3151
77.500000	96.592	-31.4166
78.800003	96.486	-31.5115
80.000000	96.385	-31.5776
81.199997	96.277	-31.6379
82.500000	96.169	-31.6887
83.800003	96.065	-31.7454
85.000000	95.967	-31.7516
86.199997	95.874	-31.7176
87.500000	95.772	-31.6858
88.500000	95.690	-31.6614
90.000000	95.567	-31.5861
91.199997	95.472	-31.4803
92.500000	95.373	-31.3867
93.800003	95.275	-31.3368
95.000000	95.188	-31.2838
96.199997	95.100	-31.2019
97.500000	95.003	-31.0820
98.800003	94.910	-30.9734
100.000000	94.825	-30.8578
101.500000	94.719	-30.5495
103.000000	94.614	-30.2622
104.400002	94.515	-30.0523
106.000000	94.405	-29.7906
107.500000	94.305	-29.5530
109.000000	94.206	-29.3086
110.599998	94.107	-29.0110
112.000000	94.025	-28.7262
113.800003	93.913	-28.3402
115.000000	93.840	-28.0900
117.199997	93.713	-27.5694
118.000000	93.671	-27.3526
120.599998	93.531	-26.7052
122.000000	93.453	-26.4143
124.099998	93.343	-25.9373
125.000000	93.297	-25.6751
126.500000	93.228	-25.1893
128.000000	93.173	-24.7284
131.500000	93.032	-23.7420
132.000000	93.009	-23.5839
134.000000	92.925	-22.9128
136.000000	92.856	-22.3589
138.000000	92.808	-21.9640
140.000000	92.777	-21.5978
143.000000	92.695	-20.8390
145.000000	92.619	-20.0885
147.500000	92.540	-19.1166
150.000000	92.493	-18.3587
152.500000	92.460	-18.0911
155.000000	92.391	-17.3799
157.500000	92.332	-16.5587
160.000000	92.283	-15.8736
162.500000	92.235	-15.1905
165.000000	92.184	-14.4495
167.500000	92.137	-13.8254
170.000000	92.100	-13.1823
172.500000	92.070	-12.5369
175.000000	92.046	-11.8824
177.500000	92.010	-11.1914
180.000000	91.976	-10.6063
182.500000	91.952	-10.0750
185.000000	91.934	-9.4908
187.500000	91.922	-8.8878
190.000000	91.909	-8.2892
192.500000	91.894	-7.7229
195.000000	91.881	-7.1684
197.500000	91.872	-6.6068
200.000000	91.867	-6.0174
203.000000	91.862	-5.3995
206.000000	91.859	-4.8282
209.000000	91.860	-4.2556
212.000000	91.866	-3.6499
214.000000	91.873	-3.2480
218.000000	91.895	-2.4897
220.000000	91.910	-2.1514
224.000000	91.941	-1.4837
227.000000	91.953	-1.0118
230.000000	91.965	-0.5786
233.000000	91.980	-0.1722
236.000000	91.991	0.2216
240.000000	92.005	0.7284
243.000000	92.015	1.1140
247.000000	92.017	1.6326
250.000000	92.019	2.0197
254.000000	92.046	2.5057
258.000000	92.071	2.9774
262.000000	92.087	3.3983
265.000000	92.099	3.7184
269.000000	92.111	4.1566
272.000000	92.118	4.4763
276.000000	92.128	4.9127
280.000000	92.143	5.2890
285.000000	92.164	5.7079
290.000000	92.182	6.1351
295.000000	92.195	6.5693
300.000000	92.212	6.9574
304.000000	92.218	7.3221
307.000000	92.224	7.5918
311.000000	92.236	7.9210
315.000000	92.248	8.2331
320.000000	92.262	8.6019
325.000000	92.274	8.9517
330.000000	92.285	9.3189
335.000000	92.295	9.7001
340.000000	92.304	10.0491
345.000000	92.313	10.4123
350.000000	92.320	10.7783
355.000000	92.324	11.0458
360.000000	92.328	11.3349
365.000000	92.334	11.6459
370.000000	92.338	11.9565
375.000000	92.341	12.2670
382.000000	92.342	12.6971
387.000000	92.342	13.0003
395.000000	92.341	13.4819
