* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 16, 2025 3:31:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CrinEar Meta Foam R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.430	4.9324
20.600000	100.410	4.5258
20.900000	100.383	4.1268
21.200001	100.360	3.7571
21.400000	100.349	3.5135
21.799999	100.342	2.9952
22.000000	100.344	2.7104
22.400000	100.355	2.0938
22.700001	100.363	1.6147
23.000000	100.370	1.1472
23.299999	100.374	0.7050
23.600000	100.377	0.2865
24.000000	100.375	-0.2554
24.299999	100.367	-0.6624
24.700001	100.347	-1.2014
25.000000	100.325	-1.5868
25.400000	100.297	-2.0583
25.799999	100.283	-2.4996
26.200001	100.287	-2.9625
26.500000	100.298	-3.3456
26.900000	100.307	-3.8831
27.200001	100.303	-4.2624
27.600000	100.282	-4.6750
28.000000	100.254	-4.9847
28.500000	100.222	-5.3947
29.000000	100.184	-6.0694
29.500000	100.110	-7.0073
30.000000	100.000	-7.8849
30.400000	99.919	-8.3221
30.700001	99.886	-8.4802
31.100000	99.891	-8.5805
31.500000	99.939	-8.7268
32.000000	100.004	-9.1123
32.500000	100.023	-9.6183
33.000000	99.991	-10.0451
33.500000	99.942	-10.3541
34.000000	99.902	-10.6727
34.500000	99.871	-11.0981
35.000000	99.841	-11.5914
35.500000	99.814	-12.0690
36.000000	99.792	-12.5117
36.500000	99.770	-12.9479
37.000000	99.739	-13.3778
37.500000	99.699	-13.7680
38.200001	99.644	-14.2324
38.700001	99.612	-14.5470
39.500000	99.570	-15.0696
40.000000	99.546	-15.4026
40.599998	99.517	-15.8127
41.200001	99.480	-16.2285
41.799999	99.432	-16.6131
42.500000	99.370	-17.0114
43.099998	99.321	-17.3605
43.700001	99.276	-17.7456
44.400002	99.230	-18.2084
45.000000	99.192	-18.5756
45.500000	99.158	-18.8357
46.200001	99.110	-19.1148
46.799999	99.077	-19.3445
47.500000	99.041	-19.7510
48.200001	98.982	-20.2553
48.700001	98.922	-20.5182
49.400002	98.846	-20.6678
50.000000	98.810	-20.7753
50.799999	98.777	-21.2106
51.500000	98.729	-21.7520
52.200001	98.673	-22.1876
53.000000	98.618	-22.5229
53.799999	98.564	-22.8037
54.500000	98.506	-23.0660
55.200001	98.443	-23.3746
56.000000	98.376	-23.7499
57.000000	98.314	-24.1806
58.000000	98.248	-24.5055
59.000000	98.160	-24.7535
60.000000	98.044	-25.2927
60.799999	97.928	-25.7351
61.500000	97.859	-25.8989
62.200001	97.838	-25.9746
63.000000	97.830	-26.1061
64.000000	97.787	-26.2868
65.000000	97.713	-26.5347
66.000000	97.624	-26.8546
67.000000	97.536	-27.1263
68.000000	97.450	-27.3241
69.000000	97.374	-27.5213
70.000000	97.295	-27.7514
71.000000	97.207	-27.9293
72.000000	97.120	-28.1005
73.000000	97.039	-28.3165
74.000000	96.964	-28.5015
75.000000	96.893	-28.6384
76.199997	96.803	-28.8069
77.500000	96.699	-28.9741
78.800003	96.598	-29.1111
80.000000	96.505	-29.2634
81.199997	96.410	-29.4321
82.500000	96.304	-29.5477
83.800003	96.206	-29.6342
85.000000	96.119	-29.7192
86.199997	96.031	-29.7268
87.500000	95.928	-29.7446
88.500000	95.843	-29.7778
90.000000	95.728	-29.8008
91.199997	95.643	-29.7951
92.500000	95.551	-29.7513
93.800003	95.460	-29.7155
95.000000	95.373	-29.6970
96.199997	95.289	-29.6528
97.500000	95.197	-29.5614
98.800003	95.100	-29.4090
100.000000	95.017	-29.2951
101.500000	94.919	-29.2315
103.000000	94.821	-29.1049
104.400002	94.729	-28.9380
106.000000	94.629	-28.7496
107.500000	94.532	-28.5804
109.000000	94.430	-28.4280
110.599998	94.330	-28.2338
