* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 17, 2025 1:27:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CrinEar Meta Jijujet L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.498	2.1223
20.600000	100.494	1.7005
20.900000	100.486	1.2507
21.200001	100.476	0.8014
21.400000	100.470	0.4993
21.799999	100.460	-0.1205
22.000000	100.456	-0.4399
22.400000	100.445	-1.0918
22.700001	100.433	-1.5789
23.000000	100.418	-2.0484
23.299999	100.401	-2.4887
23.600000	100.382	-2.8962
24.000000	100.361	-3.4024
24.299999	100.348	-3.7756
24.700001	100.336	-4.2960
25.000000	100.326	-4.7112
25.400000	100.309	-5.2827
25.799999	100.287	-5.8368
26.200001	100.264	-6.3422
26.500000	100.249	-6.6898
26.900000	100.233	-7.1334
27.200001	100.220	-7.4658
27.600000	100.196	-7.9066
28.000000	100.160	-8.3140
28.500000	100.106	-8.7303
29.000000	100.064	-9.0832
29.500000	100.043	-9.5191
30.000000	100.032	-10.1427
30.400000	100.015	-10.7398
30.700001	99.995	-11.1881
31.100000	99.961	-11.7222
31.500000	99.928	-12.1557
32.000000	99.897	-12.5986
32.500000	99.873	-13.0208
33.000000	99.843	-13.4658
33.500000	99.802	-13.9109
34.000000	99.755	-14.3290
34.500000	99.712	-14.7273
35.000000	99.675	-15.1318
35.500000	99.646	-15.5588
36.000000	99.623	-16.0106
36.500000	99.601	-16.4816
37.000000	99.576	-16.9543
37.500000	99.543	-17.3933
38.200001	99.484	-17.8805
38.700001	99.439	-18.1406
39.500000	99.374	-18.5834
40.000000	99.330	-18.9661
40.599998	99.268	-19.4782
41.200001	99.214	-19.9261
41.799999	99.192	-20.3316
42.500000	99.189	-20.9294
43.099998	99.156	-21.4971
43.700001	99.081	-21.8910
44.400002	98.984	-22.0712
45.000000	98.919	-22.2192
45.500000	98.871	-22.4518
46.200001	98.802	-22.8814
46.799999	98.747	-23.2469
47.500000	98.693	-23.6215
48.200001	98.648	-23.9012
48.700001	98.624	-24.0665
49.400002	98.592	-24.3779
50.000000	98.544	-24.7530
50.799999	98.443	-25.2074
51.500000	98.358	-25.4751
52.200001	98.297	-25.7600
53.000000	98.228	-26.1395
53.799999	98.151	-26.4439
54.500000	98.090	-26.7001
55.200001	98.031	-27.0251
56.000000	97.958	-27.3914
57.000000	97.869	-27.7268
58.000000	97.780	-28.0411
59.000000	97.687	-28.4254
60.000000	97.598	-28.8310
60.799999	97.525	-29.0596
61.500000	97.462	-29.2013
62.200001	97.399	-29.3610
63.000000	97.326	-29.5733
64.000000	97.247	-29.8325
65.000000	97.168	-30.0725
66.000000	97.075	-30.2165
67.000000	96.985	-30.3653
68.000000	96.891	-30.6234
69.000000	96.781	-30.8493
70.000000	96.675	-30.9780
71.000000	96.591	-31.1484
72.000000	96.516	-31.3926
73.000000	96.438	-31.5635
74.000000	96.351	-31.6348
75.000000	96.258	-31.6864
76.199997	96.152	-31.7847
77.500000	96.054	-31.7863
78.800003	95.963	-31.8710
80.000000	95.853	-32.1211
81.199997	95.730	-32.2511
82.500000	95.602	-32.3198
83.800003	95.488	-32.4698
85.000000	95.399	-32.5000
86.199997	95.276	-32.6744
87.500000	95.163	-33.2704
88.500000	95.098	-33.7300
90.000000	94.987	-33.0474
91.199997	94.884	-32.2534
92.500000	94.761	-32.0384
93.800003	94.686	-32.1429
95.000000	94.596	-32.0301
96.199997	94.509	-31.8454
97.500000	94.598	-31.0722
98.800003	94.780	-28.1490
100.000000	94.822	-25.8615
101.500000	94.404	-28.0237
103.000000	94.001	-30.3984
104.400002	93.836	-30.5224
106.000000	93.685	-30.0595
107.500000	93.644	-29.7711
109.000000	93.535	-30.3878
110.599998	93.299	-32.0399
112.000000	93.219	-31.3276
113.800003	93.302	-29.3640
115.000000	93.283	-28.8069
117.199997	93.153	-28.3212
118.000000	93.102	-28.1308
120.599998	92.956	-27.5855
122.000000	92.882	-27.2320
124.099998	92.770	-26.7278
125.000000	92.720	-26.5078
126.500000	92.644	-26.1393
128.000000	92.579	-25.7698
131.500000	92.435	-24.7766
132.000000	92.415	-24.6147
134.000000	92.332	-24.0624
136.000000	92.247	-23.5917
138.000000	92.169	-22.9925
140.000000	92.093	-22.3745
143.000000	91.983	-21.5581
145.000000	91.921	-20.9989
147.500000	91.859	-20.2425
150.000000	91.806	-19.5523
152.500000	91.741	-18.8011
155.000000	91.688	-18.0326
157.500000	91.644	-17.3083
160.000000	91.595	-16.6451
162.500000	91.538	-15.9584
165.000000	91.491	-15.2324
167.500000	91.454	-14.5767
170.000000	91.418	-13.9503
172.500000	91.379	-13.2673
175.000000	91.348	-12.5582
177.500000	91.311	-11.9376
180.000000	91.274	-11.3714
182.500000	91.245	-10.7554
185.000000	91.216	-10.1242
187.500000	91.191	-9.5200
190.000000	91.174	-8.9310
192.500000	91.165	-8.3434
195.000000	91.157	-7.7656
197.500000	91.150	-7.2012
200.000000	91.148	-6.6187
203.000000	91.143	-5.9948
206.000000	91.138	-5.4429
209.000000	91.134	-4.8941
212.000000	91.131	-4.3155
214.000000	91.134	-3.9282
218.000000	91.144	-3.1588
220.000000	91.150	-2.7909
224.000000	91.161	-2.1245
227.000000	91.170	-1.6397
230.000000	91.179	-1.1655
233.000000	91.188	-0.6928
236.000000	91.196	-0.2321
240.000000	91.211	0.3631
243.000000	91.223	0.8073
247.000000	91.241	1.3946
250.000000	91.254	1.8056
254.000000	91.268	2.2754
258.000000	91.281	2.7660
262.000000	91.293	3.2360
265.000000	91.303	3.5743
269.000000	91.321	4.0081
272.000000	91.331	4.3232
276.000000	91.339	4.7589
280.000000	91.347	5.1762
285.000000	91.361	5.6867
290.000000	91.377	6.1801
295.000000	91.391	6.6515
300.000000	91.403	7.1037
304.000000	91.411	7.4637
307.000000	91.418	7.7290
311.000000	91.428	8.0693
315.000000	91.438	8.3989
320.000000	91.449	8.8627
325.000000	91.459	9.2984
330.000000	91.468	9.6876
335.000000	91.476	10.0839
340.000000	91.482	10.4987
345.000000	91.490	10.9265
350.000000	91.501	11.2998
355.000000	91.518	11.6899
360.000000	91.538	12.0418
365.000000	91.554	12.3387
370.000000	91.562	12.6275
375.000000	91.567	12.9043
382.000000	91.570	13.3387
387.000000	91.570	13.6852
395.000000	91.565	14.1645
400.000000	91.561	14.4569
406.000000	91.560	14.8469
412.000000	91.558	15.2210
418.000000	91.553	15.5862
425.000000	91.547	15.9999
431.000000	91.541	16.3793
437.000000	91.538	16.7459
444.000000	91.535	17.1815
450.000000	91.533	17.5971
455.000000	91.524	17.9088
462.000000	91.509	18.3333
468.000000	91.498	18.7120
475.000000	91.486	19.1408
482.000000	91.475	19.5709
487.000000	91.466	19.8876
494.000000	91.452	20.3377
500.000000	91.441	20.7257
508.000000	91.426	21.2418
515.000000	91.413	21.6907
522.000000	91.401	22.1476
530.000000	91.387	22.6817
538.000000	91.370	23.2088
545.000000	91.357	23.6832
552.000000	91.342	24.1699
560.000000	91.322	24.7133
570.000000	91.299	25.4034
580.000000	91.276	26.1104
590.000000	91.254	26.8042
600.000000	91.233	27.5085
608.000000	91.214	28.0832
615.000000	91.198	28.5937
622.000000	91.182	29.1164
630.000000	91.165	29.7210
640.000000	91.147	30.4840
650.000000	91.133	31.2659
660.000000	91.108	32.0240
670.000000	91.086	32.8016
680.000000	91.069	33.5890
690.000000	91.054	34.3824
700.000000	91.039	35.1758
710.000000	91.027	35.9721
720.000000	91.015	36.7685
730.000000	91.003	37.5724
740.000000	90.993	38.4012
750.000000	90.985	39.2442
762.000000	90.969	40.2353
775.000000	90.956	41.3282
788.000000	90.948	42.4402
800.000000	90.941	43.4761
812.000000	90.934	44.5123
825.000000	90.928	45.6436
838.000000	90.925	46.7766
850.000000	90.924	47.8242
862.000000	90.928	48.8680
875.000000	90.936	50.0048
885.000000	90.944	50.8792
900.000000	90.958	52.1796
912.000000	90.973	53.2162
925.000000	90.992	54.3300
938.000000	91.015	55.4266
950.000000	91.037	56.4239
962.000000	91.064	57.4315
975.000000	91.095	58.5190
988.000000	91.130	59.5838
1000.000000	91.166	60.5404
1015.000000	91.212	61.7102
1030.000000	91.260	62.8542
1044.000000	91.306	63.8923
1060.000000	91.360	65.0456
1075.000000	91.411	66.0899
1090.000000	91.462	67.1022
1106.000000	91.518	68.1464
1120.000000	91.566	69.0313
1138.000000	91.624	70.1341
1150.000000	91.660	70.8531
1172.000000	91.719	72.1439
1180.000000	91.739	72.6081
1206.000000	91.801	74.1103
1220.000000	91.832	74.8990
1241.000000	91.875	76.0766
1250.000000	91.893	76.5916
1265.000000	91.926	77.4543
1280.000000	91.960	78.3248
1315.000000	92.040	80.3282
1320.000000	92.051	80.6042
1340.000000	92.089	81.7132
1360.000000	92.120	82.8651
1380.000000	92.147	84.0497
1400.000000	92.172	85.2699
1430.000000	92.211	87.1618
1450.000000	92.241	88.4704
1475.000000	92.282	90.1352
1500.000000	92.325	91.8079
1525.000000	92.373	93.5337
1550.000000	92.432	95.2988
1575.000000	92.501	96.9849
1600.000000	92.567	98.5913
1625.000000	92.617	100.2296
1650.000000	92.665	101.9743
1675.000000	92.729	103.7171
1700.000000	92.793	105.3723
1725.000000	92.846	107.0897
1750.000000	92.908	108.9124
1775.000000	92.983	110.7569
1800.000000	93.068	112.5915
1825.000000	93.163	114.4045
1850.000000	93.265	116.1973
1875.000000	93.370	117.9646
1900.000000	93.480	119.7264
1925.000000	93.593	121.4860
1950.000000	93.712	123.2500
1975.000000	93.842	125.0315
2000.000000	93.984	126.8012
2030.000000	94.169	128.8896
2060.000000	94.373	130.9337
2090.000000	94.595	132.8745
2120.000000	94.829	134.6683
2140.000000	94.985	135.7813
2180.000000	95.294	137.8580
2200.000000	95.446	138.8445
2240.000000	95.748	140.7502
2270.000000	95.974	142.1213
2300.000000	96.197	143.4374
2330.000000	96.415	144.7760
2360.000000	96.651	146.2057
2400.000000	97.010	147.9343
2430.000000	97.295	148.9849
2470.000000	97.677	150.0740
2500.000000	97.957	150.6631
2540.000000	98.306	151.1873
2580.000000	98.623	151.5235
2620.000000	98.911	151.7745
2650.000000	99.116	151.9337
2690.000000	99.380	152.0886
2720.000000	99.574	152.1285
2760.000000	99.825	152.0124
2800.000000	100.058	151.6557
2850.000000	100.297	150.8629
2900.000000	100.450	149.8422
2950.000000	100.511	148.8409
3000.000000	100.496	148.0659
3040.000000	100.446	147.6750
3070.000000	100.394	147.5220
3110.000000	100.312	147.5008
3150.000000	100.223	147.6640
3200.000000	100.107	148.0626
3250.000000	99.982	148.6707
3300.000000	99.853	149.5113
3350.000000	99.725	150.5887
3400.000000	99.607	151.8929
3450.000000	99.509	153.4056
3500.000000	99.438	155.0746
3550.000000	99.399	156.8152
3600.000000	99.387	158.5658
3650.000000	99.399	160.3104
3700.000000	99.435	162.0259
3750.000000	99.494	163.6822
3820.000000	99.616	165.8398
3870.000000	99.727	167.2131
3950.000000	99.935	169.0168
4000.000000	100.075	169.8430
4060.000000	100.235	170.4664
4120.000000	100.368	170.6840
4180.000000	100.454	170.5437
4250.000000	100.471	170.0727
4310.000000	100.400	169.6045
4370.000000	100.248	169.3028
4440.000000	99.992	169.4436
4500.000000	99.739	170.1450
4550.000000	99.534	171.1632
4620.000000	99.295	173.1400
4680.000000	99.162	175.1294
4750.000000	99.093	177.4653
4820.000000	99.096	179.5752
4870.000000	99.129	-179.1240
4940.000000	99.197	-177.6777
5000.000000	99.250	-176.8045
5080.000000	99.283	-175.9418
5150.000000	99.275	-175.2172
5220.000000	99.255	-174.3786
5300.000000	99.243	-173.3004
5380.000000	99.259	-172.1534
5450.000000	99.307	-171.1461
5520.000000	99.396	-170.2025
5600.000000	99.555	-169.3171
5700.000000	99.846	-168.7439
5800.000000	100.228	-169.1252
5900.000000	100.660	-170.8629
6000.000000	101.063	-174.2662
6080.000000	101.291	-178.2424
6150.000000	101.364	177.5034
6220.000000	101.284	172.7905
6300.000000	100.988	167.3002
6400.000000	100.341	161.0887
6500.000000	99.464	156.3262
6600.000000	98.471	153.3199
6700.000000	97.471	151.9732
6800.000000	96.533	152.0076
6900.000000	95.692	153.1489
