* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 17, 2025 1:30:09 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CrinEar Meta Jijujet R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.299	-2.2096
20.600000	101.291	-2.6319
20.900000	101.279	-3.0940
21.200001	101.265	-3.5618
21.400000	101.256	-3.8734
21.799999	101.238	-4.4858
22.000000	101.229	-4.7811
22.400000	101.211	-5.3406
22.700001	101.197	-5.7327
23.000000	101.184	-6.1089
23.299999	101.170	-6.4808
23.600000	101.156	-6.8587
24.000000	101.134	-7.3777
24.299999	101.116	-7.7709
24.700001	101.091	-8.2797
25.000000	101.073	-8.6398
25.400000	101.054	-9.0946
25.799999	101.038	-9.5432
26.200001	101.020	-10.0072
26.500000	101.001	-10.3629
26.900000	100.965	-10.8253
27.200001	100.934	-11.1490
27.600000	100.897	-11.5562
28.000000	100.875	-11.9831
28.500000	100.866	-12.6365
29.000000	100.857	-13.4268
29.500000	100.826	-14.1904
30.000000	100.773	-14.7281
30.400000	100.730	-14.9657
30.700001	100.705	-15.0794
31.100000	100.680	-15.2345
31.500000	100.659	-15.4670
32.000000	100.626	-15.8809
32.500000	100.586	-16.3552
33.000000	100.546	-16.8185
33.500000	100.515	-17.2649
34.000000	100.484	-17.7084
34.500000	100.447	-18.1369
35.000000	100.402	-18.5305
35.500000	100.356	-18.8979
36.000000	100.314	-19.2674
36.500000	100.276	-19.6513
37.000000	100.241	-20.0352
37.500000	100.207	-20.4001
38.200001	100.157	-20.8751
38.700001	100.118	-21.2050
39.500000	100.051	-21.7586
40.000000	100.008	-22.1300
40.599998	99.955	-22.5751
41.200001	99.903	-22.9720
41.799999	99.855	-23.3020
42.500000	99.804	-23.6474
43.099998	99.760	-23.9608
43.700001	99.710	-24.3091
44.400002	99.645	-24.7507
45.000000	99.581	-25.1382
45.500000	99.526	-25.4506
46.200001	99.451	-25.8622
46.799999	99.395	-26.2040
47.500000	99.339	-26.5936
48.200001	99.284	-26.9248
48.700001	99.246	-27.1075
49.400002	99.193	-27.3426
50.000000	99.145	-27.5997
50.799999	99.067	-28.0380
51.500000	98.993	-28.4325
52.200001	98.928	-28.7948
53.000000	98.861	-29.1619
53.799999	98.790	-29.4497
54.500000	98.724	-29.6568
55.200001	98.658	-29.8867
56.000000	98.587	-30.2091
57.000000	98.504	-30.6327
58.000000	98.422	-30.9860
59.000000	98.325	-31.2977
60.000000	98.212	-31.5957
60.799999	98.135	-31.8317
61.500000	98.079	-32.0674
62.200001	98.023	-32.2937
63.000000	97.952	-32.4767
64.000000	97.869	-32.6928
65.000000	97.783	-32.9924
66.000000	97.696	-33.2172
67.000000	97.610	-33.3707
68.000000	97.516	-33.5168
69.000000	97.423	-33.6941
70.000000	97.332	-33.9283
71.000000	97.239	-34.1317
72.000000	97.150	-34.2935
73.000000	97.061	-34.4238
74.000000	96.969	-34.5371
75.000000	96.878	-34.6611
76.199997	96.775	-34.7852
77.500000	96.660	-34.9116
78.800003	96.534	-34.9979
80.000000	96.428	-35.1040
81.199997	96.332	-35.2476
82.500000	96.239	-35.3792
83.800003	96.126	-35.3758
85.000000	96.014	-35.5137
86.199997	95.904	-36.0509
87.500000	95.757	-36.2642
88.500000	95.661	-36.0228
90.000000	95.557	-35.7536
91.199997	95.486	-35.6079
92.500000	95.390	-35.5060
93.800003	95.295	-35.3711
95.000000	95.191	-35.2527
96.199997	95.072	-35.2005
97.500000	94.919	-34.7521
98.800003	94.615	-33.6038
100.000000	94.339	-32.2319
101.500000	94.430	-33.0921
103.000000	94.533	-34.2312
104.400002	94.487	-34.0261
106.000000	94.363	-33.8805
107.500000	94.179	-33.3914
109.000000	93.913	-33.0952
110.599998	93.688	-34.0225
