* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 7, 2025 12:22:17 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L CrinEar Meta RDMZ
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.557	-1.6008
20.600000	101.550	-2.0197
20.900000	101.538	-2.4801
21.200001	101.523	-2.9442
21.400000	101.512	-3.2492
21.799999	101.492	-3.8339
22.000000	101.483	-4.1089
22.400000	101.469	-4.6242
22.700001	101.462	-4.9896
23.000000	101.457	-5.3496
23.299999	101.451	-5.7131
23.600000	101.442	-6.0837
24.000000	101.426	-6.5845
24.299999	101.409	-6.9586
24.700001	101.386	-7.4497
25.000000	101.368	-7.8133
25.400000	101.346	-8.2968
25.799999	101.325	-8.7798
26.200001	101.304	-9.2535
26.500000	101.287	-9.5947
26.900000	101.263	-10.0249
27.200001	101.245	-10.3313
27.600000	101.222	-10.7288
28.000000	101.197	-11.1266
28.500000	101.165	-11.6330
29.000000	101.130	-12.1430
29.500000	101.095	-12.6457
30.000000	101.060	-13.1382
30.400000	101.033	-13.5254
30.700001	101.013	-13.8108
31.100000	100.985	-14.1830
31.500000	100.958	-14.5456
32.000000	100.924	-14.9900
32.500000	100.890	-15.4313
33.000000	100.855	-15.8703
33.500000	100.817	-16.3000
34.000000	100.777	-16.7135
34.500000	100.737	-17.1090
35.000000	100.699	-17.4918
35.500000	100.663	-17.8722
36.000000	100.629	-18.2607
36.500000	100.593	-18.6549
37.000000	100.551	-19.0345
37.500000	100.507	-19.3773
38.200001	100.449	-19.8101
38.700001	100.413	-20.1328
39.500000	100.352	-20.6988
40.000000	100.310	-21.0385
40.599998	100.262	-21.4112
41.200001	100.217	-21.7882
41.799999	100.162	-22.1776
42.500000	100.083	-22.5616
43.099998	100.020	-22.8203
43.700001	99.975	-23.1156
44.400002	99.933	-23.5883
45.000000	99.894	-24.0292
45.500000	99.858	-24.3476
46.200001	99.800	-24.6792
46.799999	99.744	-24.9059
47.500000	99.672	-25.2458
48.200001	99.588	-25.7597
