* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 7, 2025 12:31:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R CrinEar Meta RDMZ
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.530	0.9953
20.600000	101.521	0.6110
20.900000	101.508	0.2041
21.200001	101.495	-0.2026
21.400000	101.488	-0.4770
21.799999	101.476	-1.0394
22.000000	101.472	-1.3256
22.400000	101.465	-1.8960
22.700001	101.459	-2.3100
23.000000	101.455	-2.7053
23.299999	101.450	-3.0817
23.600000	101.446	-3.4443
24.000000	101.440	-3.9186
24.299999	101.433	-4.2736
24.700001	101.420	-4.7465
25.000000	101.405	-5.0965
25.400000	101.382	-5.5496
25.799999	101.356	-5.9861
26.200001	101.332	-6.4132
26.500000	101.316	-6.7343
26.900000	101.297	-7.1705
27.200001	101.283	-7.5046
27.600000	101.266	-7.9555
28.000000	101.249	-8.4039
28.500000	101.226	-8.9464
29.000000	101.203	-9.4569
29.500000	101.178	-9.9329
30.000000	101.153	-10.3835
30.400000	101.132	-10.7361
30.700001	101.115	-11.0005
31.100000	101.091	-11.3545
31.500000	101.065	-11.7075
32.000000	101.032	-12.1401
32.500000	100.999	-12.5605
33.000000	100.969	-12.9759
33.500000	100.941	-13.3937
34.000000	100.913	-13.8102
34.500000	100.882	-14.2138
35.000000	100.850	-14.5993
35.500000	100.817	-14.9761
36.000000	100.783	-15.3580
36.500000	100.746	-15.7472
37.000000	100.708	-16.1303
37.500000	100.671	-16.4908
38.200001	100.626	-16.9542
38.700001	100.598	-17.2757
39.500000	100.553	-17.8121
40.000000	100.520	-18.1588
40.599998	100.476	-18.5636
41.200001	100.432	-18.9376
41.799999	100.395	-19.2858
42.500000	100.357	-19.6972
43.099998	100.319	-20.0740
43.700001	100.270	-20.4484
44.400002	100.206	-20.8319
45.000000	100.156	-21.1240
45.500000	100.119	-21.3725
46.200001	100.064	-21.7384
46.799999	100.015	-22.0506
47.500000	99.964	-22.4534
48.200001	99.917	-22.9567
48.700001	99.878	-23.3209
49.400002	99.818	-23.6856
50.000000	99.773	-23.8418
50.799999	99.725	-24.0289
51.500000	99.672	-24.2944
52.200001	99.606	-24.6013
53.000000	99.536	-24.9266
