* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 16, 2025 3:25:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CrinEar Meta Silicone L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.589	-0.1506
20.600000	101.579	-0.5295
20.900000	101.564	-0.9332
21.200001	101.549	-1.3376
21.400000	101.539	-1.6094
21.799999	101.523	-2.1610
22.000000	101.517	-2.4401
22.400000	101.507	-3.0010
22.700001	101.501	-3.4208
23.000000	101.495	-3.8375
23.299999	101.487	-4.2476
23.600000	101.477	-4.6452
24.000000	101.459	-5.1420
24.299999	101.443	-5.4830
24.700001	101.424	-5.9016
25.000000	101.414	-6.2064
25.400000	101.404	-6.6383
25.799999	101.396	-7.1293
26.200001	101.382	-7.6742
26.500000	101.366	-8.0916
26.900000	101.338	-8.6131
27.200001	101.316	-8.9565
27.600000	101.291	-9.3497
28.000000	101.274	-9.6982
28.500000	101.258	-10.1209
29.000000	101.233	-10.5326
29.500000	101.197	-10.8920
30.000000	101.159	-11.2030
30.400000	101.136	-11.4753
30.700001	101.122	-11.7296
31.100000	101.105	-12.1512
31.500000	101.082	-12.6387
32.000000	101.044	-13.2409
32.500000	101.003	-13.7409
33.000000	100.971	-14.1361
33.500000	100.947	-14.4987
34.000000	100.921	-14.8816
34.500000	100.887	-15.2796
35.000000	100.849	-15.6689
35.500000	100.811	-16.0525
36.000000	100.777	-16.4473
36.500000	100.741	-16.8449
37.000000	100.701	-17.2132
37.500000	100.661	-17.5364
38.200001	100.614	-17.9654
38.700001	100.584	-18.3041
39.500000	100.532	-18.8873
40.000000	100.495	-19.2349
40.599998	100.450	-19.6240
41.200001	100.407	-20.0038
41.799999	100.363	-20.3834
42.500000	100.313	-20.8200
43.099998	100.268	-21.1833
43.700001	100.215	-21.5181
44.400002	100.146	-21.8574
45.000000	100.092	-22.1469
45.500000	100.053	-22.4228
46.200001	100.003	-22.8302
46.799999	99.964	-23.1277
47.500000	99.918	-23.4212
48.200001	99.850	-23.7301
48.700001	99.780	-23.9369
49.400002	99.677	-24.1515
50.000000	99.620	-24.3337
50.799999	99.591	-24.7565
51.500000	99.569	-25.2128
52.200001	99.526	-25.5525
53.000000	99.458	-25.8191
53.799999	99.378	-26.1286
54.500000	99.309	-26.4371
55.200001	99.256	-26.7080
