* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 16, 2025 3:26:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CrinEar Meta Silicone R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.419	1.0129
20.600000	101.419	0.6190
20.900000	101.417	0.1683
21.200001	101.412	-0.3063
21.400000	101.407	-0.6276
21.799999	101.392	-1.2551
22.000000	101.383	-1.5497
22.400000	101.364	-2.0870
22.700001	101.352	-2.4540
23.000000	101.345	-2.8131
23.299999	101.341	-3.1876
23.600000	101.337	-3.5905
24.000000	101.328	-4.1607
24.299999	101.318	-4.5852
24.700001	101.302	-5.1027
25.000000	101.290	-5.4427
25.400000	101.279	-5.8501
25.799999	101.269	-6.2467
26.200001	101.253	-6.6609
26.500000	101.234	-6.9809
26.900000	101.202	-7.4073
27.200001	101.177	-7.7276
27.600000	101.148	-8.1738
28.000000	101.127	-8.6548
28.500000	101.102	-9.2475
29.000000	101.077	-9.6766
29.500000	101.070	-9.8650
30.000000	101.093	-9.9860
30.400000	101.120	-10.2275
30.700001	101.129	-10.5431
31.100000	101.109	-11.0963
31.500000	101.052	-11.6759
32.000000	100.958	-12.2578
32.500000	100.883	-12.6674
33.000000	100.850	-13.0608
33.500000	100.835	-13.5381
34.000000	100.814	-14.0272
34.500000	100.783	-14.4207
35.000000	100.754	-14.7321
35.500000	100.729	-15.0632
36.000000	100.695	-15.4604
36.500000	100.648	-15.8629
37.000000	100.594	-16.1941
37.500000	100.549	-16.4563
38.200001	100.509	-16.8390
38.700001	100.487	-17.1808
39.500000	100.447	-17.7774
40.000000	100.421	-18.1284
40.599998	100.391	-18.5306
41.200001	100.360	-18.9477
41.799999	100.319	-19.3873
42.500000	100.259	-19.8879
43.099998	100.203	-20.2768
43.700001	100.151	-20.6282
44.400002	100.094	-20.9988
45.000000	100.049	-21.2905
45.500000	100.013	-21.5328
46.200001	99.960	-21.8979
46.799999	99.909	-22.2196
47.500000	99.852	-22.5628
48.200001	99.809	-22.8958
48.700001	99.786	-23.1615
49.400002	99.749	-23.5420
50.000000	99.707	-23.7879
50.799999	99.642	-23.9486
51.500000	99.580	-24.0603
52.200001	99.508	-24.2749
53.000000	99.416	-24.6403
53.799999	99.325	-25.0538
54.500000	99.250	-25.4249
55.200001	99.188	-25.8319
56.000000	99.149	-26.3981
57.000000	99.158	-27.1371
58.000000	99.148	-27.4242
59.000000	99.020	-27.0264
60.000000	98.852	-26.9185
