* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 16, 2025 3:23:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CrinEar Meta Sony EX11 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.435	1.1810
20.600000	101.442	0.7540
20.900000	101.449	0.2476
21.200001	101.451	-0.3017
21.400000	101.449	-0.6784
21.799999	101.435	-1.4081
22.000000	101.424	-1.7386
22.400000	101.399	-2.2930
22.700001	101.383	-2.6140
23.000000	101.373	-2.8784
23.299999	101.371	-3.1253
23.600000	101.374	-3.3947
24.000000	101.379	-3.8316
24.299999	101.379	-4.2170
24.700001	101.366	-4.7624
25.000000	101.350	-5.1518
25.400000	101.325	-5.5981
25.799999	101.306	-5.9625
26.200001	101.299	-6.3021
26.500000	101.297	-6.5865
26.900000	101.289	-7.0395
27.200001	101.273	-7.4260
27.600000	101.232	-7.9501
28.000000	101.178	-8.4137
28.500000	101.119	-8.8600
29.000000	101.095	-9.2397
29.500000	101.105	-9.7034
30.000000	101.116	-10.2915
30.400000	101.106	-10.7739
30.700001	101.086	-11.0861
31.100000	101.048	-11.4000
31.500000	101.010	-11.6146
32.000000	100.973	-11.8490
32.500000	100.947	-12.1576
33.000000	100.921	-12.5543
33.500000	100.891	-12.9713
34.000000	100.859	-13.3595
34.500000	100.830	-13.7327
35.000000	100.801	-14.1295
35.500000	100.767	-14.5620
36.000000	100.729	-15.0059
36.500000	100.692	-15.4240
37.000000	100.662	-15.7964
37.500000	100.640	-16.1393
38.200001	100.615	-16.6477
38.700001	100.586	-17.0514
39.500000	100.513	-17.6446
40.000000	100.467	-17.9190
40.599998	100.428	-18.2056
41.200001	100.402	-18.5511
41.799999	100.369	-18.9703
42.500000	100.310	-19.4559
43.099998	100.254	-19.8102
43.700001	100.205	-20.1013
44.400002	100.162	-20.3908
45.000000	100.133	-20.6599
45.500000	100.106	-20.9362
46.200001	100.050	-21.3795
46.799999	99.993	-21.7478
47.500000	99.932	-22.1343
48.200001	99.870	-22.4927
48.700001	99.815	-22.7143
49.400002	99.725	-22.9377
50.000000	99.659	-23.0857
50.799999	99.616	-23.4022
51.500000	99.600	-23.8175
52.200001	99.567	-24.1795
53.000000	99.504	-24.4960
53.799999	99.425	-24.9656
54.500000	99.359	-25.4259
