* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 16, 2025 3:10:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CrinEar Meta Velvet L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.518	-0.5765
20.600000	101.506	-0.9679
20.900000	101.490	-1.3698
21.200001	101.475	-1.7571
21.400000	101.467	-2.0147
21.799999	101.459	-2.5539
22.000000	101.457	-2.8432
22.400000	101.453	-3.4584
22.700001	101.445	-3.9306
23.000000	101.432	-4.3836
23.299999	101.414	-4.7962
23.600000	101.395	-5.1613
24.000000	101.374	-5.5935
24.299999	101.362	-5.9032
24.700001	101.350	-6.3286
25.000000	101.340	-6.6600
25.400000	101.326	-7.1027
25.799999	101.312	-7.5335
26.200001	101.303	-7.9660
26.500000	101.297	-8.3084
26.900000	101.281	-8.7889
27.200001	101.258	-9.1404
27.600000	101.211	-9.5332
28.000000	101.157	-9.7981
28.500000	101.109	-10.0318
29.000000	101.093	-10.4121
29.500000	101.081	-11.1147
30.000000	101.038	-11.9932
30.400000	100.982	-12.6001
30.700001	100.941	-12.9192
31.100000	100.907	-13.1772
31.500000	100.902	-13.3538
32.000000	100.920	-13.6517
32.500000	100.925	-14.0851
33.000000	100.896	-14.5349
33.500000	100.849	-14.8997
34.000000	100.806	-15.2199
34.500000	100.775	-15.5970
35.000000	100.744	-16.0558
35.500000	100.709	-16.5266
36.000000	100.673	-16.9377
36.500000	100.644	-17.2881
37.000000	100.623	-17.6286
37.500000	100.601	-17.9961
38.200001	100.553	-18.5182
38.700001	100.506	-18.8376
39.500000	100.430	-19.2640
40.000000	100.389	-19.5559
40.599998	100.342	-19.9774
41.200001	100.294	-20.4201
41.799999	100.247	-20.8089
42.500000	100.199	-21.1877
43.099998	100.158	-21.4874
43.700001	100.109	-21.7794
44.400002	100.046	-22.1273
45.000000	99.991	-22.4649
45.500000	99.946	-22.7747
46.200001	99.884	-23.1958
46.799999	99.837	-23.5105
47.500000	99.790	-23.8493
48.200001	99.733	-24.1546
48.700001	99.685	-24.3075
49.400002	99.619	-24.4377
50.000000	99.576	-24.5899
50.799999	99.519	-25.0076
51.500000	99.457	-25.4855
52.200001	99.391	-25.9238
53.000000	99.325	-26.3395
53.799999	99.259	-26.6498
54.500000	99.204	-26.8460
55.200001	99.150	-27.0786
56.000000	99.077	-27.4341
57.000000	98.982	-27.8194
58.000000	98.907	-28.1272
59.000000	98.819	-28.4472
60.000000	98.722	-28.8759
60.799999	98.636	-29.3597
61.500000	98.554	-29.6284
62.200001	98.494	-29.6329
63.000000	98.456	-29.5694
64.000000	98.391	-29.7157
65.000000	98.298	-29.9480
66.000000	98.211	-30.1657
67.000000	98.126	-30.3189
68.000000	98.039	-30.4537
69.000000	97.950	-30.6507
70.000000	97.862	-30.8506
71.000000	97.775	-30.9873
72.000000	97.691	-31.1074
73.000000	97.610	-31.2459
74.000000	97.531	-31.3580
75.000000	97.450	-31.4011
76.199997	97.345	-31.4672
77.500000	97.224	-31.6579
78.800003	97.116	-31.8063
80.000000	97.018	-31.8936
81.199997	96.917	-31.9794
82.500000	96.809	-32.0127
83.800003	96.698	-31.9307
85.000000	96.593	-31.9271
86.199997	96.499	-31.9765
87.500000	96.405	-31.9754
88.500000	96.329	-31.9471
90.000000	96.206	-31.9188
91.199997	96.108	-31.9166
92.500000	96.004	-31.8900
93.800003	95.911	-31.6952
95.000000	95.824	-31.5055
96.199997	95.729	-31.3954
97.500000	95.649	-31.3050
98.800003	95.594	-31.1147
100.000000	95.516	-30.9307
101.500000	95.362	-30.7961
103.000000	95.236	-30.7152
104.400002	95.149	-30.5545
106.000000	95.038	-30.2027
107.500000	94.924	-29.8283
109.000000	94.814	-29.4026
110.599998	94.727	-29.0504
112.000000	94.664	-28.8582
113.800003	94.552	-28.5008
115.000000	94.467	-28.2822
117.199997	94.312	-27.7901
118.000000	94.271	-27.4977
120.599998	94.166	-26.7567
122.000000	94.101	-26.5428
124.099998	94.020	-26.1061
125.000000	93.986	-25.8343
126.500000	93.923	-25.4094
128.000000	93.853	-25.0162
131.500000	93.702	-24.1605
132.000000	93.682	-24.0396
134.000000	93.609	-23.5398
136.000000	93.538	-22.9851
138.000000	93.440	-22.4532
140.000000	93.371	-21.9163
143.000000	93.300	-21.0601
145.000000	93.242	-20.4692
147.500000	93.192	-19.8173
150.000000	93.138	-19.1036
152.500000	93.050	-18.2105
155.000000	92.991	-17.5464
157.500000	92.956	-16.9513
160.000000	92.906	-16.2537
162.500000	92.848	-15.5718
165.000000	92.797	-14.8872
167.500000	92.760	-14.1954
170.000000	92.722	-13.5684
172.500000	92.675	-12.9177
175.000000	92.630	-12.2181
177.500000	92.603	-11.5120
180.000000	92.578	-10.8093
182.500000	92.572	-10.0738
185.000000	92.567	-9.3500
187.500000	92.562	-8.7597
190.000000	92.566	-8.2016
192.500000	92.568	-7.6803
195.000000	92.566	-7.1719
197.500000	92.565	-6.6982
200.000000	92.561	-6.2225
203.000000	92.561	-5.6099
206.000000	92.568	-5.0458
209.000000	92.582	-4.5112
212.000000	92.592	-4.0090
214.000000	92.595	-3.6918
218.000000	92.605	-3.0676
220.000000	92.609	-2.7507
224.000000	92.615	-2.0826
227.000000	92.627	-1.6402
230.000000	92.642	-1.2186
233.000000	92.657	-0.8151
236.000000	92.671	-0.4245
240.000000	92.683	0.1174
243.000000	92.695	0.4982
247.000000	92.713	0.9862
250.000000	92.727	1.3647
254.000000	92.742	1.8213
258.000000	92.753	2.2729
262.000000	92.763	2.7002
265.000000	92.773	2.9995
269.000000	92.785	3.4046
272.000000	92.797	3.6994
276.000000	92.811	4.0762
280.000000	92.824	4.4383
285.000000	92.839	4.8792
290.000000	92.852	5.3107
295.000000	92.865	5.7187
300.000000	92.877	6.1348
304.000000	92.886	6.4490
307.000000	92.893	6.6790
311.000000	92.900	6.9840
315.000000	92.907	7.2844
320.000000	92.916	7.6509
325.000000	92.925	8.0155
330.000000	92.934	8.3835
335.000000	92.941	8.7328
340.000000	92.946	9.0651
345.000000	92.950	9.4186
350.000000	92.954	9.7808
355.000000	92.963	10.0860
360.000000	92.969	10.3885
365.000000	92.973	10.6880
370.000000	92.978	10.9977
375.000000	92.982	11.3012
382.000000	92.984	11.7126
387.000000	92.984	12.0030
395.000000	92.984	12.4655
400.000000	92.983	12.7578
406.000000	92.979	13.0927
412.000000	92.974	13.4331
418.000000	92.970	13.7770
425.000000	92.965	14.1756
431.000000	92.960	14.5230
437.000000	92.955	14.8698
444.000000	92.948	15.2736
450.000000	92.942	15.6236
455.000000	92.936	15.8972
462.000000	92.924	16.2754
468.000000	92.915	16.6113
475.000000	92.903	17.0109
482.000000	92.890	17.4105
487.000000	92.881	17.6965
494.000000	92.868	18.0879
500.000000	92.857	18.4250
508.000000	92.838	18.9097
515.000000	92.821	19.3299
522.000000	92.806	19.7494
530.000000	92.788	20.2381
538.000000	92.771	20.7297
545.000000	92.759	21.1760
552.000000	92.744	21.6155
560.000000	92.718	22.1001
570.000000	92.690	22.7256
580.000000	92.664	23.3706
590.000000	92.637	24.0427
600.000000	92.610	24.7342
608.000000	92.590	25.2620
615.000000	92.572	25.7300
622.000000	92.555	26.2122
630.000000	92.535	26.7702
640.000000	92.512	27.4606
650.000000	92.488	28.1519
660.000000	92.463	28.9087
670.000000	92.440	29.6660
680.000000	92.418	30.4175
690.000000	92.396	31.1744
700.000000	92.376	31.9454
710.000000	92.356	32.7271
720.000000	92.337	33.5160
730.000000	92.320	34.3119
740.000000	92.303	35.1118
750.000000	92.288	35.9248
762.000000	92.273	36.9404
775.000000	92.261	38.0487
788.000000	92.253	39.1579
800.000000	92.247	40.1807
812.000000	92.239	41.2116
825.000000	92.231	42.3343
838.000000	92.228	43.4579
