* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 16, 2025 3:13:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CrinEar Meta Velvet R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.530	1.2949
20.600000	101.513	0.8748
20.900000	101.489	0.4475
21.200001	101.467	0.0408
21.400000	101.454	-0.2260
21.799999	101.439	-0.7687
22.000000	101.434	-1.0476
22.400000	101.428	-1.6088
22.700001	101.423	-2.0141
23.000000	101.417	-2.3915
23.299999	101.411	-2.7397
23.600000	101.404	-3.0692
24.000000	101.393	-3.5111
24.299999	101.384	-3.8633
24.700001	101.365	-4.3655
25.000000	101.346	-4.7536
25.400000	101.319	-5.2578
25.799999	101.295	-5.7264
26.200001	101.279	-6.1621
26.500000	101.272	-6.4790
26.900000	101.267	-6.9021
27.200001	101.261	-7.2207
27.600000	101.247	-7.6385
28.000000	101.227	-8.0382
28.500000	101.198	-8.5141
29.000000	101.169	-8.9888
29.500000	101.144	-9.4804
30.000000	101.120	-9.9730
30.400000	101.100	-10.3459
30.700001	101.086	-10.6068
31.100000	101.066	-10.9330
31.500000	101.046	-11.2473
32.000000	101.016	-11.6451
32.500000	100.983	-12.0594
33.000000	100.949	-12.4866
33.500000	100.918	-12.9182
34.000000	100.894	-13.3485
34.500000	100.873	-13.7708
35.000000	100.851	-14.1735
35.500000	100.822	-14.5464
36.000000	100.788	-14.8905
36.500000	100.750	-15.2210
37.000000	100.713	-15.5570
37.500000	100.681	-15.9075
38.200001	100.643	-16.4035
38.700001	100.618	-16.7363
39.500000	100.577	-17.2169
40.000000	100.547	-17.5106
40.599998	100.502	-17.8910
41.200001	100.452	-18.3021
41.799999	100.404	-18.7153
42.500000	100.356	-19.1759
43.099998	100.318	-19.5513
43.700001	100.273	-19.8926
44.400002	100.213	-20.2263
45.000000	100.164	-20.4916
45.500000	100.125	-20.7333
46.200001	100.073	-21.1020
46.799999	100.026	-21.4138
47.500000	99.968	-21.7674
48.200001	99.903	-22.1000
48.700001	99.857	-22.3000
49.400002	99.812	-22.5616
50.000000	99.789	-22.8551
50.799999	99.748	-23.3449
51.500000	99.691	-23.7197
52.200001	99.628	-24.0079
53.000000	99.561	-24.3122
53.799999	99.501	-24.5990
54.500000	99.457	-24.8517
