* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 4, 2026 6:06:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak AET07 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.888	-164.2449
20.600000	101.882	-164.8216
20.900000	101.874	-165.4286
21.200001	101.868	-166.0303
21.400000	101.866	-166.4351
21.799999	101.871	-167.2660
22.000000	101.875	-167.6906
22.400000	101.884	-168.5343
22.700001	101.889	-169.1342
23.000000	101.891	-169.6843
23.299999	101.892	-170.1793
23.600000	101.893	-170.6312
24.000000	101.893	-171.2104
24.299999	101.892	-171.6611
24.700001	101.884	-172.3110
25.000000	101.870	-172.8302
25.400000	101.845	-173.5319
25.799999	101.816	-174.2037
26.200001	101.794	-174.8262
26.500000	101.785	-175.2685
26.900000	101.782	-175.8488
27.200001	101.781	-176.2887
27.600000	101.778	-176.8819
28.000000	101.765	-177.4670
28.500000	101.738	-178.1608
29.000000	101.707	-178.8151
29.500000	101.681	-179.4667
30.000000	101.661	179.8551
30.400000	101.646	179.2996
30.700001	101.634	178.8884
31.100000	101.617	178.3638
31.500000	101.598	177.8746
32.000000	101.573	177.3025
32.500000	101.547	176.7425
33.000000	101.519	176.1698
33.500000	101.489	175.5901
34.000000	101.457	175.0290
34.500000	101.426	174.5004
35.000000	101.399	173.9917
35.500000	101.374	173.4797
36.000000	101.346	172.9561
36.500000	101.314	172.4329
37.000000	101.282	171.9252
37.500000	101.252	171.4385
38.200001	101.214	170.7857
38.700001	101.187	170.3324
39.500000	101.139	169.6091
40.000000	101.103	169.1504
40.599998	101.055	168.6049
41.200001	101.007	168.0878
41.799999	100.962	167.6088
42.500000	100.912	167.0886
43.099998	100.870	166.6635
43.700001	100.826	166.2339
44.400002	100.775	165.6841
45.000000	100.729	165.1736
45.500000	100.690	164.7588
46.200001	100.639	164.2486
46.799999	100.602	163.8653
47.500000	100.557	163.4227
48.200001	100.497	162.9748
48.700001	100.447	162.6766
49.400002	100.381	162.3032
50.000000	100.339	161.9845
50.799999	100.302	161.4672
51.500000	100.262	160.9477
52.200001	100.206	160.4894
53.000000	100.136	160.0873
53.799999	100.069	159.6876
54.500000	100.005	159.3112
55.200001	99.943	158.9639
56.000000	99.885	158.5741
57.000000	99.816	158.0630
58.000000	99.736	157.6020
59.000000	99.649	157.1364
60.000000	99.560	156.7269
60.799999	99.500	156.4228
61.500000	99.445	156.1507
62.200001	99.386	155.9134
63.000000	99.324	155.6533
64.000000	99.250	155.2473
65.000000	99.167	154.8852
66.000000	99.091	154.5984
67.000000	99.019	154.2761
68.000000	98.941	153.9462
69.000000	98.861	153.6432
70.000000	98.780	153.3512
71.000000	98.700	153.0627
72.000000	98.620	152.8142
73.000000	98.541	152.5987
74.000000	98.464	152.3589
75.000000	98.386	152.1153
76.199997	98.297	151.8902
77.500000	98.203	151.6572
78.800003	98.105	151.4221
80.000000	98.015	151.2254
81.199997	97.924	151.0602
82.500000	97.829	150.8890
83.800003	97.732	150.7160
85.000000	97.644	150.5721
86.199997	97.560	150.4078
87.500000	97.469	150.2345
88.500000	97.402	150.1393
90.000000	97.302	150.0488
91.199997	97.219	149.9644
92.500000	97.130	149.8397
93.800003	97.048	149.7627
95.000000	96.976	149.7589
96.199997	96.901	149.7339
97.500000	96.811	149.7000
98.800003	96.711	149.7388
100.000000	96.624	149.7544
101.500000	96.538	149.6887
103.000000	96.466	149.7117
104.400002	96.376	149.7310
106.000000	96.264	149.8181
107.500000	96.179	149.9572
109.000000	96.102	150.0514
110.599998	96.015	150.1782
112.000000	95.939	150.2039
113.800003	95.837	150.3069
115.000000	95.775	150.5120
117.199997	95.672	150.7838
118.000000	95.637	150.8069
120.599998	95.522	150.8342
122.000000	95.460	150.9036
124.099998	95.369	151.1413
125.000000	95.324	151.2400
126.500000	95.242	151.3437
128.000000	95.166	151.4204
131.500000	95.019	151.9061
132.000000	94.996	151.9833
134.000000	94.905	152.2650
136.000000	94.836	152.6307
138.000000	94.783	152.9841
140.000000	94.742	153.2538
143.000000	94.669	153.5192
145.000000	94.611	153.6892
147.500000	94.529	153.9427
150.000000	94.429	154.2639
152.500000	94.382	154.5384
155.000000	94.333	154.8063
157.500000	94.240	155.0087
160.000000	94.159	155.3312
162.500000	94.095	155.6405
165.000000	94.034	155.9622
167.500000	93.977	156.2748
170.000000	93.925	156.5637
172.500000	93.875	156.8250
175.000000	93.820	157.1407
177.500000	93.764	157.4456
180.000000	93.712	157.7302
182.500000	93.666	158.0403
185.000000	93.623	158.4203
187.500000	93.581	158.7733
190.000000	93.541	159.1085
192.500000	93.505	159.4697
195.000000	93.474	159.8245
197.500000	93.448	160.1505
200.000000	93.420	160.3929
203.000000	93.387	160.5733
206.000000	93.354	160.8139
209.000000	93.319	161.0879
212.000000	93.285	161.3887
214.000000	93.263	161.5886
218.000000	93.219	161.9548
220.000000	93.198	162.1439
224.000000	93.159	162.5219
227.000000	93.129	162.8052
230.000000	93.100	163.0889
233.000000	93.072	163.3551
236.000000	93.045	163.6163
240.000000	93.012	163.9720
243.000000	92.990	164.2164
247.000000	92.966	164.5296
250.000000	92.950	164.7749
254.000000	92.916	165.1136
258.000000	92.882	165.4213
262.000000	92.854	165.6974
265.000000	92.835	165.9135
269.000000	92.810	166.2322
272.000000	92.792	166.4574
276.000000	92.769	166.7304
280.000000	92.748	167.0117
285.000000	92.722	167.3600
290.000000	92.696	167.6783
295.000000	92.669	167.9979
300.000000	92.646	168.3066
304.000000	92.626	168.5584
307.000000	92.611	168.7429
311.000000	92.592	168.9772
315.000000	92.576	169.2123
320.000000	92.555	169.4982
325.000000	92.534	169.7646
330.000000	92.513	170.0339
335.000000	92.492	170.3040
340.000000	92.470	170.5685
345.000000	92.451	170.8307
350.000000	92.433	171.1054
355.000000	92.414	171.3556
360.000000	92.394	171.5978
365.000000	92.377	171.8467
370.000000	92.359	172.0923
375.000000	92.342	172.3348
382.000000	92.319	172.6552
387.000000	92.304	172.8783
395.000000	92.278	173.2360
400.000000	92.261	173.4610
406.000000	92.240	173.7201
412.000000	92.220	173.9675
418.000000	92.202	174.2122
425.000000	92.181	174.4799
431.000000	92.163	174.7012
437.000000	92.144	174.9155
444.000000	92.121	175.1465
450.000000	92.100	175.3371
455.000000	92.078	175.5269
462.000000	92.047	175.8054
468.000000	92.022	176.0336
475.000000	91.993	176.2970
482.000000	91.963	176.5582
487.000000	91.942	176.7444
494.000000	91.913	177.0153
500.000000	91.886	177.2532
508.000000	91.851	177.5719
515.000000	91.820	177.8558
522.000000	91.789	178.1432
530.000000	91.754	178.4764
538.000000	91.718	178.8194
545.000000	91.687	179.1312
552.000000	91.655	179.4432
560.000000	91.619	179.7971
570.000000	91.574	-179.7367
580.000000	91.530	-179.2521
590.000000	91.487	-178.7486
600.000000	91.445	-178.2236
608.000000	91.413	-177.7876
615.000000	91.387	-177.3999
622.000000	91.362	-177.0031
630.000000	91.336	-176.5350
640.000000	91.308	-175.9396
650.000000	91.286	-175.3529
660.000000	91.270	-174.7668
670.000000	91.259	-174.2018
680.000000	91.253	-173.6776
690.000000	91.250	-173.2000
700.000000	91.244	-172.7775
710.000000	91.234	-172.4113
720.000000	91.214	-172.0724
730.000000	91.184	-171.7329
740.000000	91.144	-171.3615
750.000000	91.098	-170.9349
762.000000	91.040	-170.3349
775.000000	90.978	-169.5844
788.000000	90.921	-168.7457
800.000000	90.874	-167.9157
812.000000	90.835	-167.0404
825.000000	90.800	-166.0518
838.000000	90.775	-165.0359
850.000000	90.760	-164.0785
862.000000	90.752	-163.1050
875.000000	90.751	-162.0411
885.000000	90.756	-161.2209
900.000000	90.773	-159.9935
912.000000	90.796	-159.0187
925.000000	90.828	-157.9702
938.000000	90.867	-156.9291
950.000000	90.911	-155.9810
962.000000	90.962	-155.0632
975.000000	91.023	-154.0945
988.000000	91.091	-153.1549
1000.000000	91.158	-152.3185
1015.000000	91.249	-151.3134
1030.000000	91.345	-150.3552
1044.000000	91.440	-149.5109
1060.000000	91.553	-148.6097
1075.000000	91.662	-147.8227
1090.000000	91.774	-147.0907
1106.000000	91.894	-146.3686
1120.000000	91.999	-145.7825
1138.000000	92.133	-145.0937
1150.000000	92.223	-144.6738
1172.000000	92.382	-143.9760
1180.000000	92.439	-143.7424
1206.000000	92.619	-143.0464
1220.000000	92.712	-142.7149
1241.000000	92.846	-142.2589
1250.000000	92.901	-142.0747
1265.000000	92.991	-141.7761
1280.000000	93.079	-141.4906
1315.000000	93.270	-140.8724
1320.000000	93.297	-140.7876
1340.000000	93.399	-140.4560
1360.000000	93.497	-140.1340
1380.000000	93.591	-139.8135
1400.000000	93.682	-139.4905
1430.000000	93.814	-139.0057
1450.000000	93.900	-138.6793
1475.000000	94.005	-138.2648
1500.000000	94.108	-137.8427
1525.000000	94.212	-137.4122
1550.000000	94.315	-136.9801
1575.000000	94.419	-136.5410
1600.000000	94.523	-136.0965
1625.000000	94.629	-135.6543
1650.000000	94.736	-135.2127
1675.000000	94.845	-134.7758
1700.000000	94.957	-134.3459
1725.000000	95.070	-133.9207
1750.000000	95.186	-133.5057
1775.000000	95.304	-133.1018
1800.000000	95.424	-132.7110
1825.000000	95.546	-132.3354
1850.000000	95.670	-131.9767
1875.000000	95.796	-131.6357
1900.000000	95.923	-131.3109
1925.000000	96.052	-131.0036
1950.000000	96.183	-130.7115
1975.000000	96.314	-130.4286
2000.000000	96.448	-130.1608
2030.000000	96.611	-129.8646
2060.000000	96.778	-129.5952
2090.000000	96.948	-129.3560
2120.000000	97.121	-129.1494
2140.000000	97.239	-129.0311
2180.000000	97.479	-128.8512
2200.000000	97.601	-128.7904
2240.000000	97.849	-128.7311
2270.000000	98.038	-128.7460
2300.000000	98.229	-128.8139
2330.000000	98.421	-128.9372
2360.000000	98.615	-129.1211
2400.000000	98.875	-129.4642
2430.000000	99.070	-129.7994
2470.000000	99.329	-130.3568
2500.000000	99.520	-130.8586
2540.000000	99.771	-131.6405
2580.000000	100.015	-132.5549
2620.000000	100.250	-133.5972
2650.000000	100.418	-134.4611
2690.000000	100.630	-135.7250
2720.000000	100.778	-136.7553
2760.000000	100.960	-138.2286
2800.000000	101.120	-139.7997
2850.000000	101.288	-141.8742
2900.000000	101.416	-144.0387
2950.000000	101.503	-146.2521
3000.000000	101.549	-148.4707
3040.000000	101.556	-150.2189
3070.000000	101.546	-151.5019
3110.000000	101.513	-153.1602
3150.000000	101.458	-154.7415
3200.000000	101.365	-156.5910
3250.000000	101.248	-158.2855
3300.000000	101.113	-159.8109
3350.000000	100.966	-161.1635
3400.000000	100.812	-162.3495
3450.000000	100.656	-163.3828
3500.000000	100.502	-164.2835
3550.000000	100.350	-165.0748
3600.000000	100.202	-165.7747
3650.000000	100.057	-166.3954
3700.000000	99.916	-166.9455
3750.000000	99.780	-167.4332
