* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 4, 2026 6:08:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak AET08 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.327	-170.1547
20.600000	102.323	-170.6743
20.900000	102.315	-171.2356
21.200001	102.306	-171.8003
21.400000	102.300	-172.1774
21.799999	102.287	-172.9294
22.000000	102.281	-173.3006
22.400000	102.268	-174.0235
22.700001	102.258	-174.5450
23.000000	102.249	-175.0505
23.299999	102.239	-175.5459
23.600000	102.230	-176.0382
24.000000	102.216	-176.6982
24.299999	102.204	-177.1972
24.700001	102.186	-177.8621
25.000000	102.171	-178.3541
25.400000	102.151	-178.9928
25.799999	102.129	-179.6055
26.200001	102.109	179.8109
26.500000	102.093	179.3921
26.900000	102.073	178.8547
27.200001	102.059	178.4615
27.600000	102.041	177.9382
28.000000	102.024	177.4050
28.500000	101.998	176.7236
29.000000	101.967	176.0513
29.500000	101.932	175.4225
30.000000	101.898	174.8453
30.400000	101.874	174.4055
30.700001	101.858	174.0781
31.100000	101.838	173.6381
31.500000	101.818	173.1935
32.000000	101.790	172.6363
32.500000	101.761	172.0786
33.000000	101.729	171.5213
33.500000	101.692	170.9759
34.000000	101.652	170.4578
34.500000	101.614	169.9648
35.000000	101.578	169.4767
35.500000	101.543	168.9817
36.000000	101.506	168.4919
36.500000	101.467	168.0222
37.000000	101.431	167.5628
37.500000	101.394	167.0929
38.200001	101.334	166.4406
38.700001	101.286	166.0349
39.500000	101.221	165.4899
40.000000	101.191	165.1306
40.599998	101.153	164.6351
41.200001	101.105	164.1311
41.799999	101.056	163.6747
42.500000	101.005	163.1683
43.099998	100.959	162.7258
43.700001	100.907	162.3046
44.400002	100.844	161.8574
45.000000	100.793	161.4685
45.500000	100.750	161.1203
46.200001	100.689	160.6191
46.799999	100.639	160.2081
47.500000	100.586	159.7783
48.200001	100.537	159.4265
48.700001	100.504	159.2130
49.400002	100.458	158.9027
50.000000	100.409	158.5801
50.799999	100.327	158.0941
51.500000	100.249	157.6772
52.200001	100.178	157.2869
53.000000	100.106	156.8739
53.799999	100.038	156.4996
54.500000	99.980	156.1844
55.200001	99.920	155.8646
56.000000	99.854	155.5017
57.000000	99.779	155.0551
58.000000	99.699	154.6237
59.000000	99.607	154.2513
60.000000	99.508	153.9359
60.799999	99.433	153.7101
61.500000	99.375	153.5131
62.200001	99.324	153.2925
63.000000	99.263	153.0105
64.000000	99.177	152.6601
65.000000	99.083	152.3510
66.000000	98.995	152.0877
67.000000	98.913	151.8291
68.000000	98.827	151.5650
69.000000	98.736	151.3370
70.000000	98.650	151.1395
71.000000	98.569	150.9496
72.000000	98.488	150.7552
73.000000	98.405	150.5742
74.000000	98.324	150.4273
75.000000	98.247	150.2892
76.199997	98.152	150.1251
77.500000	98.046	149.9580
78.800003	97.944	149.7900
80.000000	97.853	149.6583
81.199997	97.761	149.5505
82.500000	97.659	149.4600
83.800003	97.560	149.3852
85.000000	97.470	149.3085
86.199997	97.378	149.2294
87.500000	97.281	149.1974
88.500000	97.211	149.1884
90.000000	97.104	149.1891
91.199997	97.015	149.1846
92.500000	96.924	149.1604
93.800003	96.838	149.1796
95.000000	96.759	149.2119
96.199997	96.677	149.2189
97.500000	96.595	149.2663
98.800003	96.519	149.3120
100.000000	96.448	149.2761
101.500000	96.354	149.3091
103.000000	96.265	149.5880
104.400002	96.187	149.8004
106.000000	96.099	149.9829
107.500000	96.006	150.1587
109.000000	95.913	150.2526
110.599998	95.820	150.3229
112.000000	95.743	150.4460
113.800003	95.651	150.6904
115.000000	95.594	150.9039
117.199997	95.480	151.2310
118.000000	95.436	151.3286
120.599998	95.307	151.6721
122.000000	95.254	151.9121
124.099998	95.173	152.3337
125.000000	95.132	152.4556
126.500000	95.068	152.5909
128.000000	95.014	152.8585
131.500000	94.903	153.4481
132.000000	94.888	153.4936
134.000000	94.820	153.7048
136.000000	94.747	153.9780
138.000000	94.677	154.2618
140.000000	94.608	154.5461
143.000000	94.514	155.0157
145.000000	94.466	155.3348
147.500000	94.393	155.7819
150.000000	94.317	156.2115
152.500000	94.261	156.5690
155.000000	94.210	156.9327
157.500000	94.153	157.2971
160.000000	94.101	157.7050
162.500000	94.051	158.1078
165.000000	94.002	158.4818
167.500000	93.955	158.7986
170.000000	93.909	159.1551
172.500000	93.867	159.5794
175.000000	93.832	159.9614
177.500000	93.798	160.3192
180.000000	93.766	160.6465
182.500000	93.730	160.9808
185.000000	93.695	161.3403
187.500000	93.667	161.6911
190.000000	93.641	162.0275
192.500000	93.616	162.3374
195.000000	93.590	162.6321
197.500000	93.565	162.9200
200.000000	93.544	163.1911
203.000000	93.521	163.5471
206.000000	93.490	163.9267
209.000000	93.461	164.2836
212.000000	93.438	164.6149
214.000000	93.426	164.8373
218.000000	93.408	165.3079
220.000000	93.400	165.5237
224.000000	93.381	165.9113
227.000000	93.366	166.1779
230.000000	93.351	166.4371
233.000000	93.335	166.6989
236.000000	93.320	166.9541
240.000000	93.299	167.2946
243.000000	93.285	167.5401
247.000000	93.266	167.8719
250.000000	93.253	168.1211
254.000000	93.236	168.4255
258.000000	93.220	168.7123
262.000000	93.206	168.9972
265.000000	93.197	169.2142
269.000000	93.184	169.4973
272.000000	93.174	169.7065
276.000000	93.161	169.9834
280.000000	93.147	170.2427
285.000000	93.131	170.6016
290.000000	93.118	170.9298
295.000000	93.104	171.2147
300.000000	93.090	171.5341
304.000000	93.080	171.7676
307.000000	93.072	171.9431
311.000000	93.059	172.1857
315.000000	93.047	172.4158
320.000000	93.039	172.6783
325.000000	93.029	172.9539
330.000000	93.024	173.2382
335.000000	93.021	173.4780
340.000000	93.018	173.7181
345.000000	93.011	173.9185
350.000000	93.002	174.1089
355.000000	92.989	174.3015
360.000000	92.976	174.4973
365.000000	92.964	174.6890
370.000000	92.953	174.8781
375.000000	92.940	175.0790
382.000000	92.922	175.3585
387.000000	92.911	175.5469
395.000000	92.890	175.8480
400.000000	92.876	176.0400
406.000000	92.861	176.2625
412.000000	92.846	176.4767
418.000000	92.829	176.6916
425.000000	92.810	176.9517
431.000000	92.795	177.1712
437.000000	92.780	177.3778
444.000000	92.761	177.5980
450.000000	92.744	177.7808
455.000000	92.730	177.9583
462.000000	92.709	178.2122
468.000000	92.691	178.4176
475.000000	92.670	178.6580
482.000000	92.648	178.9019
487.000000	92.632	179.0740
494.000000	92.609	179.3103
500.000000	92.590	179.5153
508.000000	92.564	179.8001
515.000000	92.541	-179.9529
522.000000	92.517	-179.7063
530.000000	92.490	-179.4250
538.000000	92.462	-179.1356
545.000000	92.437	-178.8705
552.000000	92.412	-178.6043
560.000000	92.384	-178.3156
570.000000	92.348	-177.9380
580.000000	92.312	-177.5535
590.000000	92.275	-177.1668
600.000000	92.237	-176.7697
608.000000	92.206	-176.4425
615.000000	92.179	-176.1468
622.000000	92.151	-175.8445
630.000000	92.121	-175.4897
640.000000	92.082	-175.0356
650.000000	92.043	-174.5769
660.000000	92.004	-174.0921
670.000000	91.967	-173.5897
680.000000	91.930	-173.0740
690.000000	91.895	-172.5476
700.000000	91.861	-172.0098
710.000000	91.828	-171.4584
720.000000	91.796	-170.8967
