* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 4, 2026 6:32:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak AEX07 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.053	-163.8852
20.600000	102.045	-164.5538
20.900000	102.031	-165.2497
21.200001	102.018	-165.8978
21.400000	102.013	-166.2975
21.799999	102.015	-167.0302
22.000000	102.023	-167.3733
22.400000	102.045	-168.0408
22.700001	102.064	-168.5436
23.000000	102.080	-169.0597
23.299999	102.090	-169.5953
23.600000	102.093	-170.1531
24.000000	102.086	-170.9280
24.299999	102.073	-171.5219
24.700001	102.047	-172.3024
25.000000	102.025	-172.8566
25.400000	101.998	-173.5299
25.799999	101.980	-174.1275
26.200001	101.972	-174.6759
26.500000	101.972	-175.0780
26.900000	101.973	-175.6238
27.200001	101.972	-176.0440
27.600000	101.966	-176.6111
28.000000	101.953	-177.1721
28.500000	101.934	-177.8527
29.000000	101.916	-178.5150
29.500000	101.900	-179.1734
30.000000	101.885	-179.8388
30.400000	101.870	179.6223
30.700001	101.857	179.2169
31.100000	101.835	178.6822
31.500000	101.810	178.1649
32.000000	101.776	177.5547
32.500000	101.746	176.9809
33.000000	101.722	176.4207
33.500000	101.701	175.8527
34.000000	101.678	175.2787
34.500000	101.648	174.7208
35.000000	101.613	174.2000
35.500000	101.578	173.7141
36.000000	101.548	173.2354
36.500000	101.523	172.7318
37.000000	101.498	172.1949
37.500000	101.470	171.6495
38.200001	101.424	170.9389
38.700001	101.391	170.4809
39.500000	101.342	169.7686
40.000000	101.309	169.3092
40.599998	101.264	168.7594
41.200001	101.218	168.2346
41.799999	101.174	167.7382
42.500000	101.126	167.1971
43.099998	101.085	166.7697
43.700001	101.045	166.3496
44.400002	100.995	165.8198
45.000000	100.948	165.3341
45.500000	100.909	164.9293
46.200001	100.860	164.3862
46.799999	100.818	163.9670
47.500000	100.765	163.5660
48.200001	100.715	163.1935
48.700001	100.679	162.8644
49.400002	100.618	162.3075
50.000000	100.558	161.8469
50.799999	100.490	161.3772
51.500000	100.447	161.0378
52.200001	100.403	160.6944
53.000000	100.341	160.2928
53.799999	100.274	159.8704
54.500000	100.212	159.4921
55.200001	100.154	159.1260
56.000000	100.093	158.7020
57.000000	100.015	158.1824
58.000000	99.934	157.7824
59.000000	99.851	157.4185
60.000000	99.764	157.0283
60.799999	99.704	156.7195
61.500000	99.659	156.4101
62.200001	99.607	156.0806
63.000000	99.537	155.7538
64.000000	99.455	155.3976
65.000000	99.378	155.0424
66.000000	99.303	154.7255
67.000000	99.225	154.3924
