* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 8:14:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak AEX70 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.356	-170.7997
20.600000	102.349	-171.3165
20.900000	102.340	-171.8746
21.200001	102.330	-172.4402
21.400000	102.323	-172.8220
21.799999	102.308	-173.5930
22.000000	102.300	-173.9771
22.400000	102.284	-174.7274
22.700001	102.273	-175.2670
23.000000	102.262	-175.7864
23.299999	102.252	-176.2898
23.600000	102.243	-176.7821
24.000000	102.229	-177.4239
24.299999	102.216	-177.8923
24.700001	102.196	-178.4974
25.000000	102.181	-178.9417
25.400000	102.162	-179.5386
25.799999	102.143	179.8416
26.200001	102.122	179.2010
26.500000	102.105	178.7249
26.900000	102.082	178.1284
27.200001	102.067	177.7225
27.600000	102.058	177.2258
28.000000	102.058	176.7389
28.500000	102.060	176.0786
29.000000	102.042	175.3580
29.500000	101.995	174.6576
30.000000	101.931	174.0502
30.400000	101.883	173.6217
30.700001	101.854	173.3062
31.100000	101.824	172.8615
31.500000	101.799	172.3798
32.000000	101.766	171.7631
32.500000	101.729	171.1927
33.000000	101.692	170.6886
33.500000	101.658	170.2068
34.000000	101.625	169.6948
34.500000	101.587	169.1490
35.000000	101.543	168.6159
35.500000	101.498	168.1394
36.000000	101.459	167.7162
36.500000	101.425	167.3012
37.000000	101.393	166.8549
37.500000	101.355	166.3774
38.200001	101.294	165.7137
38.700001	101.251	165.2696
39.500000	101.189	164.5949
40.000000	101.151	164.1848
40.599998	101.102	163.7095
41.200001	101.051	163.2529
41.799999	101.001	162.8018
42.500000	100.942	162.2748
43.099998	100.890	161.8329
43.700001	100.838	161.4077
44.400002	100.778	160.9282
45.000000	100.727	160.5281
45.500000	100.685	160.2052
46.200001	100.626	159.7699
46.799999	100.573	159.4034
47.500000	100.508	158.9682
48.200001	100.446	158.5058
48.700001	100.406	158.1484
49.400002	100.351	157.6327
50.000000	100.299	157.2425
50.799999	100.224	156.8790
51.500000	100.161	156.6430
52.200001	100.097	156.3662
53.000000	100.019	155.9825
53.799999	99.943	155.5968
54.500000	99.883	155.2811
55.200001	99.823	154.9733
56.000000	99.748	154.6256
57.000000	99.644	154.2404
58.000000	99.554	153.8850
59.000000	99.475	153.4528
60.000000	99.388	153.0359
60.799999	99.317	152.7654
61.500000	99.255	152.5504
62.200001	99.194	152.3431
63.000000	99.123	152.1143
64.000000	99.036	151.8301
65.000000	98.947	151.5276
66.000000	98.854	151.2531
67.000000	98.769	151.0113
68.000000	98.686	150.7573
69.000000	98.602	150.5293
70.000000	98.519	150.2933
71.000000	98.429	150.1196
72.000000	98.344	150.0082
73.000000	98.259	149.8501
74.000000	98.171	149.6859
75.000000	98.089	149.4969
76.199997	97.987	149.2870
77.500000	97.884	149.1374
78.800003	97.781	148.9737
80.000000	97.681	148.9034
81.199997	97.585	148.7880
82.500000	97.477	148.6649
83.800003	97.382	148.6021
85.000000	97.295	148.5031
86.199997	97.205	148.4014
87.500000	97.107	148.3818
88.500000	97.034	148.4104
90.000000	96.916	148.4625
91.199997	96.833	148.5080
92.500000	96.747	148.4929
93.800003	96.649	148.5218
95.000000	96.559	148.5952
96.199997	96.478	148.7117
97.500000	96.388	148.8062
98.800003	96.293	148.8575
100.000000	96.226	148.8759
101.500000	96.147	148.9410
103.000000	96.046	149.0682
104.400002	95.958	149.2748
106.000000	95.886	149.5413
107.500000	95.814	149.6448
109.000000	95.726	149.7013
110.599998	95.622	149.8961
112.000000	95.544	150.1139
113.800003	95.460	150.3605
115.000000	95.405	150.4874
117.199997	95.297	150.7226
118.000000	95.257	150.8195
120.599998	95.127	151.1642
122.000000	95.061	151.3754
124.099998	94.961	151.7102
125.000000	94.919	151.8726
126.500000	94.854	152.1666
128.000000	94.795	152.4560
131.500000	94.663	153.0681
132.000000	94.643	153.1632
134.000000	94.565	153.5880
136.000000	94.492	154.0509
138.000000	94.434	154.4043
140.000000	94.387	154.6942
143.000000	94.314	155.1493
145.000000	94.279	155.3181
147.500000	94.213	155.4760
150.000000	94.111	155.5729
152.500000	94.073	156.2869
155.000000	94.019	156.8765
157.500000	93.950	157.2781
160.000000	93.896	157.5925
162.500000	93.859	158.0163
165.000000	93.808	158.5424
167.500000	93.744	158.9077
170.000000	93.708	159.1592
172.500000	93.677	159.6030
175.000000	93.630	160.0326
177.500000	93.593	160.4467
180.000000	93.553	160.8558
182.500000	93.524	161.1298
185.000000	93.511	161.4930
187.500000	93.488	161.8324
190.000000	93.463	162.1671
192.500000	93.434	162.4671
195.000000	93.411	162.7831
197.500000	93.392	163.0954
200.000000	93.375	163.3871
203.000000	93.347	163.7228
206.000000	93.317	164.0733
209.000000	93.290	164.4198
212.000000	93.269	164.7540
214.000000	93.257	164.9641
218.000000	93.230	165.3719
220.000000	93.219	165.5731
224.000000	93.195	165.9878
227.000000	93.176	166.3061
230.000000	93.161	166.6409
233.000000	93.151	166.9326
236.000000	93.140	167.1884
240.000000	93.125	167.5353
243.000000	93.117	167.8036
247.000000	93.112	168.0704
250.000000	93.105	168.2273
254.000000	93.084	168.5563
258.000000	93.065	168.8805
262.000000	93.048	169.1887
265.000000	93.038	169.4252
269.000000	93.027	169.6779
272.000000	93.016	169.8663
276.000000	93.006	170.1900
280.000000	93.000	170.4891
285.000000	92.985	170.8109
290.000000	92.970	171.1607
295.000000	92.958	171.4368
300.000000	92.952	171.7156
304.000000	92.939	171.9637
307.000000	92.929	172.1529
311.000000	92.924	172.3495
315.000000	92.918	172.5350
320.000000	92.905	172.8596
325.000000	92.898	173.0930
330.000000	92.892	173.3086
335.000000	92.882	173.5230
340.000000	92.862	173.7737
345.000000	92.850	174.0284
350.000000	92.845	174.2019
355.000000	92.831	174.4395
360.000000	92.816	174.7069
365.000000	92.809	174.9607
370.000000	92.806	175.1991
375.000000	92.803	175.4234
382.000000	92.791	175.6866
387.000000	92.781	175.8346
395.000000	92.767	176.0757
400.000000	92.757	176.2354
406.000000	92.748	176.4364
412.000000	92.734	176.6478
418.000000	92.719	176.8406
425.000000	92.701	177.0676
431.000000	92.684	177.2701
437.000000	92.667	177.4796
444.000000	92.648	177.7487
450.000000	92.632	177.9851
455.000000	92.617	178.1228
462.000000	92.596	178.3222
468.000000	92.578	178.5183
475.000000	92.557	178.7552
482.000000	92.536	178.9929
487.000000	92.521	179.1611
494.000000	92.500	179.3895
500.000000	92.481	179.5835
508.000000	92.456	179.8700
515.000000	92.434	-179.8823
522.000000	92.411	-179.6389
530.000000	92.385	-179.3637
538.000000	92.360	-179.0776
545.000000	92.342	-178.8064
552.000000	92.320	-178.5449
560.000000	92.286	-178.2704
570.000000	92.248	-177.9058
580.000000	92.211	-177.5254
590.000000	92.175	-177.1370
600.000000	92.139	-176.7423
608.000000	92.109	-176.4168
615.000000	92.082	-176.1263
622.000000	92.056	-175.8307
630.000000	92.026	-175.4810
640.000000	91.987	-175.0406
650.000000	91.950	-174.5904
660.000000	91.915	-174.0877
670.000000	91.881	-173.5879
680.000000	91.848	-173.0899
690.000000	91.815	-172.5737
700.000000	91.783	-172.0470
710.000000	91.752	-171.5255
720.000000	91.721	-170.9897
730.000000	91.691	-170.4344
740.000000	91.661	-169.8587
750.000000	91.632	-169.2628
762.000000	91.601	-168.5401
775.000000	91.571	-167.7300
788.000000	91.543	-166.8908
800.000000	91.521	-166.0872
812.000000	91.504	-165.2693
825.000000	91.488	-164.3602
838.000000	91.479	-163.4231
850.000000	91.475	-162.5377
862.000000	91.478	-161.6580
875.000000	91.487	-160.6946
885.000000	91.498	-159.9429
900.000000	91.523	-158.8055
912.000000	91.550	-157.9002
925.000000	91.586	-156.9262
938.000000	91.630	-155.9551
950.000000	91.677	-155.0711
962.000000	91.729	-154.2115
975.000000	91.791	-153.3005
988.000000	91.860	-152.4130
1000.000000	91.929	-151.6187
1015.000000	92.022	-150.6647
1030.000000	92.121	-149.7567
1044.000000	92.219	-148.9592
1060.000000	92.336	-148.1058
1075.000000	92.448	-147.3593
1090.000000	92.564	-146.6668
1106.000000	92.689	-145.9895
1120.000000	92.798	-145.4444
1138.000000	92.939	-144.8062
1150.000000	93.032	-144.4204
1172.000000	93.199	-143.7969
1180.000000	93.258	-143.5915
1206.000000	93.447	-142.9909
1220.000000	93.545	-142.7044
1241.000000	93.685	-142.3214
1250.000000	93.744	-142.1685
1265.000000	93.840	-141.9236
1280.000000	93.934	-141.6976
1315.000000	94.138	-141.2258
1320.000000	94.166	-141.1628
1340.000000	94.275	-140.9208
1360.000000	94.379	-140.6820
1380.000000	94.479	-140.4462
1400.000000	94.576	-140.2182
1430.000000	94.716	-139.8847
1450.000000	94.806	-139.6608
1475.000000	94.918	-139.3696
1500.000000	95.028	-139.0728
1525.000000	95.135	-138.7747
1550.000000	95.241	-138.4718
1575.000000	95.348	-138.1697
1600.000000	95.456	-137.8648
1625.000000	95.563	-137.5578
1650.000000	95.672	-137.2533
1675.000000	95.782	-136.9534
1700.000000	95.893	-136.6599
1725.000000	96.005	-136.3741
1750.000000	96.118	-136.0967
1775.000000	96.233	-135.8295
1800.000000	96.350	-135.5740
1825.000000	96.468	-135.3311
1850.000000	96.587	-135.0968
1875.000000	96.708	-134.8743
1900.000000	96.830	-134.6642
1925.000000	96.955	-134.4665
1950.000000	97.081	-134.2841
1975.000000	97.210	-134.1198
2000.000000	97.340	-133.9722
2030.000000	97.500	-133.8219
2060.000000	97.664	-133.7057
2090.000000	97.830	-133.6248
2120.000000	97.998	-133.5805
2140.000000	98.113	-133.5736
2180.000000	98.345	-133.6247
2200.000000	98.463	-133.6835
2240.000000	98.702	-133.8702
2270.000000	98.882	-134.0762
2300.000000	99.063	-134.3423
2330.000000	99.244	-134.6711
2360.000000	99.425	-135.0631
2400.000000	99.665	-135.6891
2430.000000	99.842	-136.2374
2470.000000	100.074	-137.0761
2500.000000	100.244	-137.7883
2540.000000	100.463	-138.8506
2580.000000	100.670	-140.0428
2620.000000	100.863	-141.3649
2650.000000	100.996	-142.4344
2690.000000	101.157	-143.9536
2720.000000	101.263	-145.1548
2760.000000	101.384	-146.8227
2800.000000	101.480	-148.5498
2850.000000	101.564	-150.7618
2900.000000	101.607	-152.9940
2950.000000	101.609	-155.2032
3000.000000	101.573	-157.3468
3040.000000	101.519	-158.9873
3070.000000	101.465	-160.1645
3110.000000	101.378	-161.6562
3150.000000	101.276	-163.0547
3200.000000	101.129	-164.6606
3250.000000	100.968	-166.0995
3300.000000	100.796	-167.3738
3350.000000	100.617	-168.4876
3400.000000	100.435	-169.4506
3450.000000	100.253	-170.2721
3500.000000	100.074	-170.9645
3550.000000	99.900	-171.5410
3600.000000	99.731	-172.0159
3650.000000	99.571	-172.4053
3700.000000	99.418	-172.7256
3750.000000	99.274	-172.9939
3820.000000	99.087	-173.3077
3870.000000	98.962	-173.5038
3950.000000	98.778	-173.7990
4000.000000	98.671	-173.9929
4060.000000	98.548	-174.2524
4120.000000	98.429	-174.5520
4180.000000	98.309	-174.9008
4250.000000	98.163	-175.3665
4310.000000	98.030	-175.8035
4370.000000	97.885	-176.2557
4440.000000	97.699	-176.7692
4500.000000	97.526	-177.1698
4550.000000	97.373	-177.4582
4620.000000	97.147	-177.7694
4680.000000	96.946	-177.9340
4750.000000	96.709	-177.9982
4820.000000	96.474	-177.9299
4870.000000	96.310	-177.8106
4940.000000	96.089	-177.5670
5000.000000	95.909	-177.3116
5080.000000	95.682	-176.9464
