* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 8:16:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak AEX70 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.165	-164.4620
20.600000	102.165	-165.0381
20.900000	102.161	-165.6582
21.200001	102.157	-166.2782
21.400000	102.155	-166.6898
21.799999	102.153	-167.5051
22.000000	102.153	-167.9054
22.400000	102.154	-168.6824
22.700001	102.155	-169.2412
23.000000	102.156	-169.7819
23.299999	102.155	-170.3112
23.600000	102.153	-170.8370
24.000000	102.145	-171.5429
24.299999	102.137	-172.0766
24.700001	102.122	-172.7850
25.000000	102.109	-173.3048
25.400000	102.094	-173.9730
25.799999	102.083	-174.6122
26.200001	102.076	-175.2317
26.500000	102.072	-175.6902
26.900000	102.065	-176.2984
27.200001	102.057	-176.7514
27.600000	102.042	-177.3478
28.000000	102.023	-177.9323
28.500000	101.998	-178.6481
29.000000	101.974	-179.3516
29.500000	101.952	179.9602
30.000000	101.931	179.2982
30.400000	101.914	178.7905
30.700001	101.901	178.4198
31.100000	101.881	177.9325
31.500000	101.859	177.4468
32.000000	101.829	176.8389
32.500000	101.797	176.2307
33.000000	101.769	175.6187
33.500000	101.745	174.9961
34.000000	101.721	174.3698
34.500000	101.693	173.7670
35.000000	101.660	173.2164
35.500000	101.624	172.7222
36.000000	101.590	172.2609
36.500000	101.558	171.8026
37.000000	101.529	171.3333
37.500000	101.501	170.8531
38.200001	101.463	170.1660
38.700001	101.432	169.6671
39.500000	101.369	168.8941
40.000000	101.325	168.4572
40.599998	101.276	167.9795
41.200001	101.236	167.5101
41.799999	101.202	167.0117
42.500000	101.154	166.4057
43.099998	101.107	165.8986
43.700001	101.059	165.4087
44.400002	101.008	164.8543
45.000000	100.966	164.4141
45.500000	100.932	164.0779
46.200001	100.880	163.6150
46.799999	100.825	163.1940
47.500000	100.759	162.6898
48.200001	100.718	162.1470
48.700001	100.705	161.6915
49.400002	100.679	161.0190
50.000000	100.626	160.5859
50.799999	100.532	160.3392
51.500000	100.459	160.1856
52.200001	100.394	159.8527
53.000000	100.324	159.3398
53.799999	100.264	158.8661
54.500000	100.214	158.5029
55.200001	100.159	158.1626
56.000000	100.089	157.7765
57.000000	100.001	157.2910
58.000000	99.917	156.8434
59.000000	99.838	156.4137
60.000000	99.758	155.9729
60.799999	99.691	155.6349
61.500000	99.633	155.3644
62.200001	99.577	155.1024
63.000000	99.513	154.7994
64.000000	99.429	154.4428
65.000000	99.344	154.0959
66.000000	99.260	153.7581
67.000000	99.182	153.4753
68.000000	99.101	153.1842
69.000000	99.019	152.8630
70.000000	98.950	152.4819
71.000000	98.874	152.1261
72.000000	98.781	151.9272
73.000000	98.686	151.7240
74.000000	98.598	151.4276
75.000000	98.526	151.1002
76.199997	98.448	150.6708
77.500000	98.354	150.4002
78.800003	98.268	150.4709
80.000000	98.171	150.4986
81.199997	98.058	150.4594
82.500000	97.941	150.3293
83.800003	97.833	150.1440
85.000000	97.753	149.9225
86.199997	97.686	149.7887
87.500000	97.609	149.6878
88.500000	97.535	149.6434
90.000000	97.425	149.6432
91.199997	97.349	149.5847
92.500000	97.269	149.3912
93.800003	97.162	149.2130
95.000000	97.064	149.2941
96.199997	96.979	149.3453
97.500000	96.882	149.1607
98.800003	96.778	148.8819
100.000000	96.704	148.9841
101.500000	96.638	149.3055
103.000000	96.549	149.3509
104.400002	96.464	149.3139
106.000000	96.363	149.3985
107.500000	96.269	149.5198
109.000000	96.185	149.7109
110.599998	96.101	149.8157
112.000000	96.038	149.9951
113.800003	95.914	150.2706
115.000000	95.815	150.0748
117.199997	95.701	149.8345
118.000000	95.663	150.1206
120.599998	95.592	151.1635
122.000000	95.557	151.2168
124.099998	95.476	151.2238
125.000000	95.441	151.2804
126.500000	95.383	151.3943
128.000000	95.326	151.5104
131.500000	95.185	151.7674
132.000000	95.165	151.8311
134.000000	95.090	152.0988
136.000000	95.020	152.2835
138.000000	94.945	152.4775
140.000000	94.867	152.6825
143.000000	94.744	153.1147
145.000000	94.669	153.4096
147.500000	94.568	153.7448
150.000000	94.475	154.1293
152.500000	94.426	154.4134
155.000000	94.368	154.7079
157.500000	94.301	155.0839
160.000000	94.233	155.4777
162.500000	94.168	155.8746
165.000000	94.103	156.2506
167.500000	94.046	156.6665
170.000000	94.003	157.0107
172.500000	93.964	157.3040
175.000000	93.928	157.6080
177.500000	93.891	157.8556
180.000000	93.847	158.1779
182.500000	93.799	158.5049
185.000000	93.753	158.8893
187.500000	93.719	159.2029
190.000000	93.682	159.4378
192.500000	93.647	159.7159
195.000000	93.614	159.9880
197.500000	93.579	160.2553
200.000000	93.543	160.5144
203.000000	93.504	160.8373
206.000000	93.469	161.1905
