* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:56:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak ASMR L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.141	-171.1176
20.600000	102.136	-171.6423
20.900000	102.127	-172.2090
21.200001	102.118	-172.7801
21.400000	102.112	-173.1626
21.799999	102.100	-173.9272
22.000000	102.095	-174.3048
22.400000	102.082	-175.0391
22.700001	102.072	-175.5661
23.000000	102.061	-176.0738
23.299999	102.049	-176.5674
23.600000	102.037	-177.0537
24.000000	102.019	-177.7004
24.299999	102.004	-178.1866
24.700001	101.983	-178.8344
25.000000	101.967	-179.3161
25.400000	101.945	-179.9471
25.799999	101.923	179.4396
26.200001	101.901	178.8470
26.500000	101.884	178.4161
26.900000	101.862	177.8560
27.200001	101.845	177.4427
27.600000	101.823	176.8945
28.000000	101.801	176.3465
28.500000	101.772	175.6680
29.000000	101.742	175.0129
29.500000	101.712	174.3937
30.000000	101.681	173.8064
30.400000	101.655	173.3486
30.700001	101.635	173.0064
31.100000	101.606	172.5476
31.500000	101.576	172.0850
32.000000	101.538	171.5054
32.500000	101.501	170.9328
33.000000	101.465	170.3776
33.500000	101.430	169.8483
34.000000	101.393	169.3473
34.500000	101.354	168.8667
35.000000	101.316	168.3872
35.500000	101.277	167.8898
36.000000	101.235	167.3755
36.500000	101.189	166.8759
37.000000	101.140	166.4314
37.500000	101.095	166.0502
38.200001	101.047	165.5315
38.700001	101.016	165.0902
39.500000	100.951	164.2761
40.000000	100.900	163.7965
40.599998	100.842	163.3163
41.200001	100.795	162.9014
41.799999	100.754	162.4864
42.500000	100.699	161.9820
43.099998	100.645	161.5543
43.700001	100.590	161.1394
44.400002	100.528	160.6614
45.000000	100.477	160.2512
45.500000	100.435	159.9158
46.200001	100.374	159.4763
46.799999	100.324	159.1241
47.500000	100.265	158.7018
48.200001	100.197	158.2745
48.700001	100.141	158.0125
49.400002	100.068	157.7186
50.000000	100.018	157.4546
50.799999	99.959	156.9820
51.500000	99.897	156.5379
52.200001	99.832	156.1621
53.000000	99.760	155.7791
53.799999	99.686	155.3973
54.500000	99.620	155.0837
55.200001	99.558	154.7909
56.000000	99.490	154.4641
57.000000	99.402	154.0664
58.000000	99.308	153.6835
59.000000	99.217	153.3137
60.000000	99.130	152.9662
60.799999	99.060	152.7091
61.500000	98.997	152.4908
62.200001	98.931	152.2736
63.000000	98.858	152.0305
64.000000	98.773	151.7407
65.000000	98.690	151.4738
66.000000	98.601	151.2310
67.000000	98.512	150.9778
68.000000	98.424	150.7127
69.000000	98.337	150.5080
70.000000	98.252	150.3424
71.000000	98.168	150.1341
72.000000	98.087	149.9061
73.000000	98.009	149.7007
74.000000	97.929	149.5665
75.000000	97.846	149.4706
76.199997	97.737	149.3357
77.500000	97.621	149.2037
78.800003	97.512	149.0398
80.000000	97.409	148.9473
81.199997	97.312	148.8769
82.500000	97.211	148.7865
83.800003	97.112	148.7117
85.000000	97.016	148.6801
86.199997	96.919	148.6570
87.500000	96.819	148.6287
88.500000	96.743	148.6531
90.000000	96.634	148.7268
91.199997	96.548	148.7519
92.500000	96.456	148.8492
93.800003	96.364	148.9689
95.000000	96.274	149.0153
96.199997	96.190	149.0118
97.500000	96.122	148.9806
98.800003	96.068	148.9659
100.000000	96.002	149.1304
101.500000	95.887	149.4115
103.000000	95.779	149.6266
104.400002	95.714	149.7686
106.000000	95.635	149.9186
107.500000	95.551	150.0558
109.000000	95.468	150.2183
110.599998	95.384	150.3939
112.000000	95.307	150.5705
113.800003	95.204	150.8225
115.000000	95.143	150.9809
117.199997	95.034	151.2474
118.000000	94.998	151.3694
120.599998	94.889	151.7699
122.000000	94.827	151.9828
124.099998	94.736	152.3213
125.000000	94.700	152.4751
126.500000	94.641	152.7264
128.000000	94.579	152.9890
131.500000	94.448	153.6000
132.000000	94.432	153.6871
134.000000	94.369	154.0606
136.000000	94.305	154.4062
138.000000	94.244	154.7476
140.000000	94.188	155.1169
143.000000	94.106	155.4918
145.000000	94.053	155.8015
147.500000	93.993	156.2245
150.000000	93.913	156.6307
152.500000	93.854	156.9884
155.000000	93.801	157.3740
157.500000	93.742	157.7784
160.000000	93.688	158.1815
162.500000	93.633	158.5751
165.000000	93.590	158.9676
167.500000	93.547	159.3572
170.000000	93.502	159.7329
172.500000	93.463	160.1311
175.000000	93.428	160.5300
177.500000	93.394	160.9155
180.000000	93.362	161.2928
182.500000	93.328	161.6506
185.000000	93.297	162.0312
187.500000	93.272	162.4230
190.000000	93.251	162.7786
192.500000	93.229	163.0483
195.000000	93.207	163.3195
197.500000	93.190	163.6121
200.000000	93.170	163.9130
203.000000	93.136	164.3376
206.000000	93.109	164.7582
209.000000	93.089	165.1685
212.000000	93.076	165.5540
214.000000	93.071	165.7844
218.000000	93.062	166.1855
220.000000	93.057	166.3633
224.000000	93.044	166.6924
227.000000	93.031	166.9388
230.000000	93.017	167.1972
233.000000	93.002	167.4589
236.000000	92.988	167.7136
240.000000	92.970	168.0382
243.000000	92.957	168.2806
247.000000	92.937	168.6446
250.000000	92.924	168.9164
254.000000	92.916	169.1743
258.000000	92.906	169.4530
262.000000	92.892	169.7219
265.000000	92.883	169.9223
269.000000	92.872	170.1916
272.000000	92.863	170.3945
276.000000	92.851	170.6612
280.000000	92.841	170.9159
285.000000	92.827	171.2312
290.000000	92.813	171.5341
295.000000	92.799	171.8223
300.000000	92.784	172.1026
304.000000	92.774	172.3397
307.000000	92.766	172.5139
311.000000	92.756	172.7468
315.000000	92.747	172.9848
320.000000	92.738	173.2686
325.000000	92.730	173.5332
330.000000	92.722	173.7892
335.000000	92.715	174.0354
340.000000	92.707	174.2681
345.000000	92.697	174.4942
350.000000	92.686	174.7185
355.000000	92.678	174.9311
360.000000	92.669	175.1437
365.000000	92.660	175.3513
370.000000	92.650	175.5579
375.000000	92.640	175.7667
382.000000	92.626	176.0555
387.000000	92.617	176.2583
395.000000	92.602	176.5861
400.000000	92.593	176.7849
406.000000	92.582	177.0038
412.000000	92.572	177.2200
418.000000	92.562	177.4400
425.000000	92.549	177.6790
431.000000	92.538	177.8733
437.000000	92.526	178.0617
444.000000	92.512	178.2787
450.000000	92.498	178.4669
455.000000	92.485	178.6178
462.000000	92.466	178.8285
468.000000	92.449	179.0128
475.000000	92.429	179.2321
482.000000	92.408	179.4510
487.000000	92.393	179.6105
494.000000	92.373	179.8333
500.000000	92.354	-179.9721
508.000000	92.328	-179.6918
515.000000	92.306	-179.4585
522.000000	92.284	-179.2265
530.000000	92.258	-178.9598
538.000000	92.228	-178.6911
545.000000	92.199	-178.4536
552.000000	92.173	-178.2030
560.000000	92.152	-177.9076
570.000000	92.120	-177.5414
580.000000	92.084	-177.1690
590.000000	92.047	-176.7860
600.000000	92.010	-176.3890
608.000000	91.980	-176.0688
615.000000	91.953	-175.7838
622.000000	91.926	-175.4942
630.000000	91.895	-175.1527
640.000000	91.855	-174.7061
650.000000	91.816	-174.2434
660.000000	91.780	-173.7563
670.000000	91.745	-173.2565
680.000000	91.710	-172.7424
690.000000	91.677	-172.2149
700.000000	91.646	-171.6741
710.000000	91.615	-171.1300
720.000000	91.586	-170.5749
730.000000	91.560	-170.0073
740.000000	91.534	-169.4362
750.000000	91.510	-168.8581
762.000000	91.483	-168.1428
775.000000	91.456	-167.3552
788.000000	91.431	-166.5361
800.000000	91.410	-165.7520
812.000000	91.392	-164.9551
825.000000	91.378	-164.0682
838.000000	91.368	-163.1583
850.000000	91.365	-162.3088
862.000000	91.366	-161.4405
875.000000	91.373	-160.4859
885.000000	91.384	-159.7445
900.000000	91.408	-158.6342
912.000000	91.433	-157.7486
925.000000	91.466	-156.7925
938.000000	91.507	-155.8416
950.000000	91.552	-154.9765
962.000000	91.602	-154.1332
975.000000	91.662	-153.2363
988.000000	91.728	-152.3611
1000.000000	91.793	-151.5793
1015.000000	91.881	-150.6427
1030.000000	91.974	-149.7433
1044.000000	92.065	-148.9405
1060.000000	92.174	-148.0845
1075.000000	92.281	-147.3344
1090.000000	92.390	-146.6332
1106.000000	92.510	-145.9406
1120.000000	92.615	-145.3773
1138.000000	92.751	-144.7186
1150.000000	92.841	-144.3176
1172.000000	93.002	-143.6525
1180.000000	93.060	-143.4324
1206.000000	93.244	-142.7890
1220.000000	93.339	-142.4804
1241.000000	93.478	-142.0661
1250.000000	93.535	-141.9010
1265.000000	93.628	-141.6331
1280.000000	93.718	-141.3806
1315.000000	93.918	-140.8548
1320.000000	93.945	-140.7853
1340.000000	94.050	-140.5151
1360.000000	94.150	-140.2472
1380.000000	94.248	-139.9773
1400.000000	94.342	-139.7077
1430.000000	94.478	-139.3109
1450.000000	94.566	-139.0470
1475.000000	94.673	-138.7028
1500.000000	94.777	-138.3501
1525.000000	94.880	-137.9883
1550.000000	94.981	-137.6104
1575.000000	95.081	-137.2139
1600.000000	95.183	-136.7809
1625.000000	95.290	-136.3089
1650.000000	95.407	-135.8087
1675.000000	95.539	-135.3280
1700.000000	95.683	-134.9355
