* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:58:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak ASMR R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.180	-164.5430
20.600000	102.179	-165.1092
20.900000	102.175	-165.7154
21.200001	102.171	-166.3201
21.400000	102.169	-166.7229
21.799999	102.168	-167.5293
22.000000	102.168	-167.9313
22.400000	102.169	-168.7247
22.700001	102.169	-169.3039
23.000000	102.167	-169.8658
23.299999	102.165	-170.4105
23.600000	102.161	-170.9409
24.000000	102.154	-171.6333
24.299999	102.147	-172.1467
24.700001	102.137	-172.8275
25.000000	102.129	-173.3355
25.400000	102.117	-174.0065
25.799999	102.105	-174.6653
26.200001	102.094	-175.3074
26.500000	102.085	-175.7773
26.900000	102.074	-176.3900
27.200001	102.065	-176.8410
27.600000	102.051	-177.4325
28.000000	102.035	-178.0114
28.500000	102.012	-178.7124
29.000000	101.986	-179.3866
29.500000	101.961	179.9574
30.000000	101.935	179.3074
30.400000	101.914	178.7891
30.700001	101.898	178.4032
31.100000	101.876	177.8949
31.500000	101.856	177.3942
32.000000	101.832	176.7763
32.500000	101.808	176.1684
33.000000	101.783	175.5817
33.500000	101.758	175.0273
34.000000	101.733	174.4986
34.500000	101.708	173.9735
35.000000	101.681	173.4345
35.500000	101.649	172.8853
36.000000	101.613	172.3434
36.500000	101.574	171.8224
37.000000	101.537	171.3228
37.500000	101.503	170.8368
38.200001	101.458	170.1668
38.700001	101.426	169.6939
39.500000	101.372	168.9549
40.000000	101.335	168.5078
40.599998	101.289	167.9851
41.200001	101.242	167.4717
41.799999	101.198	166.9582
42.500000	101.151	166.3524
43.099998	101.110	165.8494
43.700001	101.065	165.3979
44.400002	101.012	164.9308
45.000000	100.965	164.5215
45.500000	100.924	164.1537
46.200001	100.868	163.6321
46.799999	100.829	163.2009
47.500000	100.784	162.7216
48.200001	100.715	162.3712
48.700001	100.657	162.2511
49.400002	100.593	162.1071
50.000000	100.558	161.7587
50.799999	100.508	160.9362
51.500000	100.450	160.2399
52.200001	100.398	159.7720
53.000000	100.346	159.3738
53.799999	100.279	158.9741
54.500000	100.211	158.6063
55.200001	100.148	158.2257
56.000000	100.082	157.8058
57.000000	100.002	157.3342
58.000000	99.919	156.8823
59.000000	99.837	156.4219
60.000000	99.754	155.9817
60.799999	99.685	155.6600
61.500000	99.625	155.3905
62.200001	99.567	155.1353
63.000000	99.504	154.8662
64.000000	99.422	154.5319
65.000000	99.335	154.1620
66.000000	99.251	153.7850
67.000000	99.176	153.4807
68.000000	99.102	153.2413
69.000000	99.026	152.9687
70.000000	98.948	152.6334
71.000000	98.861	152.3250
72.000000	98.767	152.0482
73.000000	98.674	151.7351
74.000000	98.597	151.4797
75.000000	98.531	151.3432
76.199997	98.423	151.1765
77.500000	98.285	150.9132
78.800003	98.194	150.6479
80.000000	98.115	150.5450
81.199997	98.021	150.4524
82.500000	97.919	150.2618
83.800003	97.821	150.1430
85.000000	97.713	150.0871
86.199997	97.619	150.0903
87.500000	97.544	150.0629
88.500000	97.481	150.0750
90.000000	97.388	150.1573
91.199997	97.310	150.0841
92.500000	97.211	149.9441
93.800003	97.134	149.8486
95.000000	97.083	149.7570
96.199997	97.010	149.7691
97.500000	96.863	149.7838
98.800003	96.662	149.7064
100.000000	96.573	149.7393
101.500000	96.603	149.8080
103.000000	96.559	149.9188
104.400002	96.456	149.8940
106.000000	96.374	149.9983
107.500000	96.283	150.0363
109.000000	96.171	149.9501
110.599998	96.096	149.9355
112.000000	96.034	150.0927
113.800003	95.947	150.4082
115.000000	95.890	150.5682
117.199997	95.778	150.7890
118.000000	95.736	150.9239
120.599998	95.617	151.4424
122.000000	95.553	151.7171
124.099998	95.465	151.8359
125.000000	95.444	151.8027
126.500000	95.413	151.8312
128.000000	95.367	151.9772
131.500000	95.225	152.2643
132.000000	95.204	152.3044
134.000000	95.125	152.5107
136.000000	95.041	152.7367
138.000000	94.960	152.9294
140.000000	94.890	153.1601
143.000000	94.786	153.5590
145.000000	94.721	153.8069
147.500000	94.638	154.1151
150.000000	94.542	154.4145
152.500000	94.477	154.7688
155.000000	94.415	155.1559
157.500000	94.348	155.4926
160.000000	94.282	155.8475
162.500000	94.218	156.2092
165.000000	94.160	156.5601
167.500000	94.108	156.9164
170.000000	94.059	157.2542
172.500000	94.011	157.6100
175.000000	93.963	157.9616
177.500000	93.919	158.2606
180.000000	93.875	158.5654
182.500000	93.833	158.8968
185.000000	93.792	159.2272
187.500000	93.752	159.5489
190.000000	93.717	159.8400
192.500000	93.689	160.1479
195.000000	93.660	160.4650
197.500000	93.626	160.7482
200.000000	93.594	161.0494
203.000000	93.556	161.3870
206.000000	93.521	161.7218
209.000000	93.491	162.0464
212.000000	93.464	162.3626
214.000000	93.445	162.5637
218.000000	93.410	162.9503
220.000000	93.392	163.1412
224.000000	93.355	163.5192
227.000000	93.329	163.7975
230.000000	93.304	164.0773
233.000000	93.282	164.3542
236.000000	93.260	164.6234
240.000000	93.232	164.9777
243.000000	93.211	165.2390
247.000000	93.185	165.6156
250.000000	93.165	165.9055
254.000000	93.143	166.1584
258.000000	93.122	166.4286
262.000000	93.101	166.7289
265.000000	93.085	166.9515
269.000000	93.065	167.2440
272.000000	93.050	167.4612
276.000000	93.031	167.7399
280.000000	93.012	168.0084
285.000000	92.988	168.3351
290.000000	92.965	168.6579
295.000000	92.942	168.9796
300.000000	92.920	169.2885
304.000000	92.904	169.5254
307.000000	92.893	169.7027
311.000000	92.878	169.9421
315.000000	92.863	170.1794
320.000000	92.845	170.4671
325.000000	92.828	170.7495
330.000000	92.812	171.0248
335.000000	92.795	171.2863
340.000000	92.778	171.5379
345.000000	92.761	171.8138
350.000000	92.743	172.1008
355.000000	92.730	172.3021
360.000000	92.717	172.5107
365.000000	92.702	172.7357
370.000000	92.687	172.9482
375.000000	92.672	173.1586
382.000000	92.651	173.4557
387.000000	92.636	173.6603
395.000000	92.608	173.9742
400.000000	92.590	174.1741
406.000000	92.571	174.4135
412.000000	92.551	174.6502
418.000000	92.530	174.8882
425.000000	92.506	175.1659
431.000000	92.486	175.4017
437.000000	92.465	175.6413
444.000000	92.444	175.9307
450.000000	92.426	176.1862
455.000000	92.407	176.3741
