* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 4, 2026 6:02:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak AzlaL L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.110	-171.1978
20.600000	102.102	-171.7361
20.900000	102.089	-172.3136
21.200001	102.072	-172.8842
21.400000	102.060	-173.2581
21.799999	102.040	-173.9903
22.000000	102.032	-174.3489
22.400000	102.019	-175.0537
22.700001	102.013	-175.5746
23.000000	102.006	-176.0922
23.299999	101.999	-176.6083
23.600000	101.989	-177.1230
24.000000	101.972	-177.8019
24.299999	101.955	-178.2991
24.700001	101.929	-178.9358
25.000000	101.910	-179.3904
25.400000	101.887	-179.9706
25.799999	101.870	179.4635
26.200001	101.857	178.8937
26.500000	101.847	178.4590
26.900000	101.831	177.8772
27.200001	101.814	177.4506
27.600000	101.787	176.9116
28.000000	101.759	176.4113
28.500000	101.725	175.8153
29.000000	101.696	175.2009
29.500000	101.667	174.5397
30.000000	101.633	173.8564
30.400000	101.603	173.3281
30.700001	101.580	172.9549
31.100000	101.552	172.4887
31.500000	101.527	172.0474
32.000000	101.497	171.5087
32.500000	101.465	170.9722
33.000000	101.429	170.4409
33.500000	101.390	169.9174
34.000000	101.352	169.3962
34.500000	101.317	168.8739
35.000000	101.282	168.3610
35.500000	101.246	167.8757
36.000000	101.211	167.4255
36.500000	101.175	166.9968
37.000000	101.139	166.5649
37.500000	101.100	166.1145
38.200001	101.041	165.4684
38.700001	100.998	165.0238
39.500000	100.938	164.3547
40.000000	100.903	163.9405
40.599998	100.856	163.4348
41.200001	100.799	162.9439
41.799999	100.738	162.4904
42.500000	100.674	161.9829
43.099998	100.627	161.5338
43.700001	100.581	161.0852
44.400002	100.525	160.6055
45.000000	100.477	160.2283
45.500000	100.435	159.9167
46.200001	100.371	159.4754
46.799999	100.313	159.1091
47.500000	100.250	158.7002
48.200001	100.193	158.2861
48.700001	100.152	157.9809
49.400002	100.091	157.5557
50.000000	100.036	157.2074
50.799999	99.963	156.7679
51.500000	99.902	156.4030
52.200001	99.841	156.0621
53.000000	99.769	155.6894
53.799999	99.694	155.3044
54.500000	99.629	154.9726
55.200001	99.569	154.6717
56.000000	99.505	154.3503
57.000000	99.405	154.0055
