* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 4, 2026 6:00:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak AzlaS R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.852	-163.7870
20.600000	101.855	-164.2924
20.900000	101.858	-164.8403
21.200001	101.862	-165.4073
21.400000	101.865	-165.8004
21.799999	101.874	-166.6229
22.000000	101.877	-167.0462
22.400000	101.881	-167.8920
22.700001	101.880	-168.5049
23.000000	101.878	-169.0858
23.299999	101.873	-169.6304
23.600000	101.867	-170.1419
24.000000	101.858	-170.7879
24.299999	101.852	-171.2599
24.700001	101.845	-171.8926
25.000000	101.841	-172.3790
25.400000	101.836	-173.0485
25.799999	101.830	-173.7341
26.200001	101.822	-174.4158
26.500000	101.814	-174.9094
26.900000	101.802	-175.5284
27.200001	101.793	-175.9606
27.600000	101.781	-176.5033
28.000000	101.770	-177.0292
28.500000	101.756	-177.6982
29.000000	101.739	-178.3975
29.500000	101.718	-179.1109
30.000000	101.693	-179.8060
30.400000	101.673	179.6662
30.700001	101.659	179.2878
31.100000	101.641	178.8002
31.500000	101.624	178.3215
32.000000	101.602	177.7224
32.500000	101.578	177.1215
33.000000	101.552	176.5304
33.500000	101.526	175.9597
34.000000	101.500	175.4081
34.500000	101.473	174.8687
35.000000	101.444	174.3416
35.500000	101.412	173.8320
36.000000	101.381	173.3361
36.500000	101.352	172.8376
37.000000	101.325	172.3268
37.500000	101.295	171.8155
38.200001	101.247	171.1430
38.700001	101.211	170.7022
39.500000	101.157	170.0142
40.000000	101.126	169.5692
40.599998	101.088	169.0262
41.200001	101.047	168.4977
41.799999	101.004	167.9965
42.500000	100.952	167.4368
43.099998	100.910	166.9622
43.700001	100.873	166.4846
44.400002	100.829	165.9315
45.000000	100.785	165.4861
45.500000	100.742	165.1482
46.200001	100.684	164.6892
46.799999	100.642	164.2422
47.500000	100.597	163.6746
48.200001	100.553	163.2299
48.700001	100.529	163.0331
49.400002	100.503	162.7873
50.000000	100.471	162.4554
50.799999	100.391	161.8428
51.500000	100.307	161.2926
52.200001	100.235	160.8057
53.000000	100.172	160.3461
53.799999	100.117	159.9621
54.500000	100.064	159.6224
55.200001	100.005	159.2622
56.000000	99.936	158.8489
57.000000	99.860	158.3270
58.000000	99.784	157.8442
59.000000	99.710	157.4142
60.000000	99.632	156.9880
60.799999	99.563	156.6769
61.500000	99.507	156.4137
62.200001	99.454	156.1230
63.000000	99.392	155.7770
64.000000	99.311	155.4330
65.000000	99.236	155.1499
66.000000	99.156	154.8167
67.000000	99.073	154.4672
68.000000	98.997	154.1340
69.000000	98.925	153.8289
70.000000	98.851	153.5649
71.000000	98.773	153.3043
72.000000	98.694	153.0403
73.000000	98.617	152.7943
74.000000	98.541	152.5645
75.000000	98.464	152.3576
76.199997	98.372	152.1248
77.500000	98.275	151.8772
78.800003	98.182	151.6435
80.000000	98.097	151.4464
81.199997	98.010	151.2632
82.500000	97.914	151.0716
83.800003	97.815	150.9068
85.000000	97.731	150.7645
86.199997	97.652	150.5294
87.500000	97.557	150.3849
88.500000	97.488	150.3900
90.000000	97.383	150.3153
91.199997	97.296	150.1907
92.500000	97.210	150.1147
93.800003	97.129	150.0854
95.000000	97.056	150.0373
96.199997	96.986	149.9610
97.500000	96.901	149.8577
98.800003	96.807	149.7374
100.000000	96.724	149.7017
