* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 4, 2026 6:16:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Coffee L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.221	-171.6690
20.600000	102.214	-172.1359
20.900000	102.205	-172.6478
21.200001	102.194	-173.1805
21.400000	102.187	-173.5484
21.799999	102.172	-174.3084
22.000000	102.164	-174.6936
22.400000	102.145	-175.4560
22.700001	102.131	-176.0096
23.000000	102.115	-176.5416
23.299999	102.099	-177.0494
23.600000	102.083	-177.5334
24.000000	102.066	-178.1491
24.299999	102.057	-178.6006
24.700001	102.050	-179.2105
25.000000	102.046	-179.6815
25.400000	102.036	179.6840
25.799999	102.016	179.0764
26.200001	101.987	178.5220
26.500000	101.965	178.1274
26.900000	101.938	177.5683
27.200001	101.918	177.0775
27.600000	101.885	176.3032
28.000000	101.835	175.4547
28.500000	101.751	174.5046
29.000000	101.678	173.8797
29.500000	101.653	173.5344
30.000000	101.672	173.2162
30.400000	101.690	172.8611
30.700001	101.691	172.5414
31.100000	101.671	172.0985
31.500000	101.634	171.6846
32.000000	101.585	171.1992
32.500000	101.547	170.6716
33.000000	101.514	170.0716
33.500000	101.479	169.4656
34.000000	101.443	168.9217
34.500000	101.408	168.4330
35.000000	101.371	167.9530
35.500000	101.328	167.4695
36.000000	101.280	167.0059
36.500000	101.236	166.5716
37.000000	101.200	166.1458
37.500000	101.167	165.7104
38.200001	101.118	165.1025
38.700001	101.078	164.6826
39.500000	101.013	163.9946
40.000000	100.971	163.5384
40.599998	100.919	162.9984
41.200001	100.868	162.5157
41.799999	100.818	162.1045
42.500000	100.758	161.6713
43.099998	100.703	161.2714
43.700001	100.644	160.7961
44.400002	100.570	160.1834
45.000000	100.508	159.7211
45.500000	100.465	159.4243
46.200001	100.414	159.0751
46.799999	100.366	158.7470
47.500000	100.301	158.3198
48.200001	100.256	157.8361
48.700001	100.243	157.4064
49.400002	100.213	156.7453
50.000000	100.148	156.3404
50.799999	100.030	156.2157
51.500000	99.945	156.1675
52.200001	99.879	155.8460
53.000000	99.802	155.3503
53.799999	99.730	155.0288
54.500000	99.671	154.7712
55.200001	99.603	154.4153
56.000000	99.539	154.0487
57.000000	99.537	153.7049
58.000000	99.498	153.2233
59.000000	99.317	152.9464
60.000000	99.158	152.7664
60.799999	99.097	152.4013
61.500000	99.059	152.0898
62.200001	99.011	151.8899
63.000000	98.935	151.7122
64.000000	98.824	151.4435
65.000000	98.737	151.0952
66.000000	98.654	150.7395
67.000000	98.556	150.4840
68.000000	98.459	150.2929
69.000000	98.376	150.0917
70.000000	98.296	149.8372
71.000000	98.207	149.5782
72.000000	98.121	149.4068
73.000000	98.050	149.2813
74.000000	97.972	149.0983
75.000000	97.878	148.9090
76.199997	97.772	148.6985
77.500000	97.662	148.5500
78.800003	97.562	148.4660
80.000000	97.469	148.3661
81.199997	97.376	148.2787
82.500000	97.276	148.1696
83.800003	97.169	148.0550
85.000000	97.052	147.9832
86.199997	96.923	148.0732
87.500000	96.824	148.1696
88.500000	96.764	148.0526
90.000000	96.655	147.9016
91.199997	96.551	147.8731
92.500000	96.455	147.8914
93.800003	96.363	148.0563
95.000000	96.289	148.2801
96.199997	96.220	148.1925
97.500000	96.116	148.1090
98.800003	95.961	148.1079
100.000000	95.826	148.2937
101.500000	95.816	148.6257
103.000000	95.792	148.7551
104.400002	95.703	148.5640
106.000000	95.583	148.5219
107.500000	95.470	149.0309
109.000000	95.359	149.4647
