* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:31:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Coreir R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.138	-164.8729
20.600000	102.138	-165.4342
20.900000	102.134	-166.0507
21.200001	102.130	-166.6870
21.400000	102.127	-167.1219
21.799999	102.121	-168.0056
22.000000	102.117	-168.4444
22.400000	102.109	-169.2860
22.700001	102.102	-169.8682
23.000000	102.098	-170.4044
23.299999	102.096	-170.9033
23.600000	102.096	-171.3814
24.000000	102.097	-172.0163
24.299999	102.096	-172.5042
24.700001	102.089	-173.1720
25.000000	102.080	-173.6778
25.400000	102.064	-174.3440
25.799999	102.048	-174.9922
26.200001	102.036	-175.6255
26.500000	102.028	-176.0962
26.900000	102.019	-176.7225
27.200001	102.011	-177.1894
27.600000	101.998	-177.7995
28.000000	101.980	-178.3852
28.500000	101.957	-179.0784
29.000000	101.934	-179.7440
29.500000	101.914	179.5919
30.000000	101.893	178.9177
30.400000	101.874	178.3783
30.700001	101.858	177.9807
31.100000	101.835	177.4659
31.500000	101.811	176.9696
32.000000	101.782	176.3687
32.500000	101.752	175.7817
33.000000	101.722	175.2077
33.500000	101.692	174.6487
34.000000	101.663	174.1014
34.500000	101.634	173.5590
35.000000	101.604	173.0190
35.500000	101.572	172.4855
36.000000	101.539	171.9630
36.500000	101.505	171.4515
37.000000	101.471	170.9499
37.500000	101.437	170.4586
38.200001	101.391	169.7859
38.700001	101.358	169.3116
39.500000	101.300	168.5758
40.000000	101.261	168.1459
40.599998	101.213	167.6541
41.200001	101.170	167.1556
41.799999	101.128	166.6397
42.500000	101.079	166.0568
43.099998	101.037	165.5973
43.700001	100.992	165.1548
44.400002	100.935	164.6277
45.000000	100.886	164.1603
45.500000	100.848	163.7648
46.200001	100.800	163.2378
46.799999	100.758	162.8542
47.500000	100.702	162.4568
48.200001	100.627	161.9876
48.700001	100.557	161.5957
49.400002	100.455	161.0773
50.000000	100.397	160.7204
50.799999	100.376	160.2688
51.500000	100.365	159.8392
52.200001	100.327	159.4563
53.000000	100.257	159.0814
53.799999	100.184	158.6611
54.500000	100.123	158.2626
55.200001	100.069	157.8987
56.000000	100.009	157.5302
57.000000	99.928	157.0755
58.000000	99.842	156.5872
59.000000	99.754	156.1300
60.000000	99.669	155.7559
60.799999	99.606	155.4481
61.500000	99.549	155.1374
62.200001	99.488	154.8245
63.000000	99.418	154.5215
64.000000	99.339	154.2065
65.000000	99.262	153.8744
66.000000	99.177	153.5376
67.000000	99.091	153.2256
68.000000	99.009	152.9335
69.000000	98.926	152.6756
70.000000	98.844	152.4409
71.000000	98.763	152.2107
72.000000	98.681	151.9920
73.000000	98.602	151.7652
74.000000	98.525	151.5182
75.000000	98.449	151.2953
76.199997	98.359	151.0728
77.500000	98.257	150.8142
78.800003	98.152	150.5855
80.000000	98.060	150.4158
81.199997	97.965	150.2549
82.500000	97.863	150.0931
83.800003	97.765	149.9349
85.000000	97.676	149.8074
86.199997	97.588	149.6911
87.500000	97.493	149.5811
88.500000	97.420	149.5131
90.000000	97.311	149.4357
91.199997	97.228	149.3746
92.500000	97.138	149.3188
93.800003	97.047	149.2874
95.000000	96.965	149.2721
96.199997	96.885	149.2515
97.500000	96.795	149.2981
98.800003	96.702	149.5169
100.000000	96.630	149.6465
101.500000	96.537	149.4527
103.000000	96.440	149.3502
104.400002	96.352	149.3704
106.000000	96.252	149.4245
107.500000	96.161	149.5244
109.000000	96.073	149.6245
110.599998	95.984	149.7429
112.000000	95.902	149.8795
113.800003	95.794	150.1079
115.000000	95.728	150.3276
117.199997	95.627	150.7723
118.000000	95.596	150.8625
120.599998	95.494	151.0862
122.000000	95.437	151.2169
124.099998	95.348	151.3569
125.000000	95.309	151.4204
126.500000	95.244	151.5590
128.000000	95.176	151.7516
131.500000	95.033	152.1954
132.000000	95.014	152.2596
134.000000	94.940	152.5287
136.000000	94.868	152.8059
138.000000	94.801	153.0919
140.000000	94.738	153.3616
143.000000	94.640	153.7200
145.000000	94.577	153.9549
147.500000	94.523	154.0908
150.000000	94.487	154.0669
152.500000	94.381	154.7679
155.000000	94.293	155.2901
157.500000	94.225	155.6429
160.000000	94.162	155.9780
162.500000	94.103	156.2896
165.000000	94.044	156.6201
167.500000	93.987	156.9593
170.000000	93.933	157.2980
172.500000	93.882	157.6328
175.000000	93.831	157.9651
177.500000	93.783	158.3022
180.000000	93.736	158.6523
182.500000	93.693	158.9902
185.000000	93.655	159.3246
187.500000	93.619	159.6572
190.000000	93.580	159.9788
192.500000	93.541	160.2970
195.000000	93.506	160.6238
197.500000	93.477	160.9480
200.000000	93.458	161.2665
203.000000	93.439	161.7041
206.000000	93.416	162.0291
209.000000	93.390	162.3054
212.000000	93.361	162.5787
214.000000	93.341	162.7601
218.000000	93.301	163.1353
220.000000	93.281	163.3281
224.000000	93.246	163.7090
227.000000	93.221	163.9850
230.000000	93.197	164.2594
233.000000	93.173	164.5308
236.000000	93.151	164.8021
240.000000	93.122	165.1610
243.000000	93.098	165.4138
247.000000	93.059	165.7018
250.000000	93.032	165.9133
254.000000	93.019	166.2952
258.000000	93.002	166.6418
262.000000	92.981	166.9617
265.000000	92.966	167.1870
269.000000	92.946	167.4826
272.000000	92.932	167.7002
276.000000	92.914	167.9802
280.000000	92.894	168.2505
285.000000	92.871	168.6224
290.000000	92.849	168.9763
295.000000	92.825	169.3150
300.000000	92.804	169.6175
304.000000	92.790	169.8611
307.000000	92.782	170.0631
311.000000	92.773	170.3228
315.000000	92.763	170.5349
320.000000	92.742	170.7797
325.000000	92.719	171.0675
330.000000	92.700	171.3699
335.000000	92.686	171.6694
340.000000	92.676	171.9535
345.000000	92.670	172.2267
350.000000	92.665	172.4802
355.000000	92.648	172.6509
360.000000	92.630	172.8284
365.000000	92.615	173.0379
370.000000	92.599	173.2543
375.000000	92.582	173.4557
382.000000	92.558	173.7449
387.000000	92.541	173.9554
395.000000	92.512	174.2686
400.000000	92.493	174.4616
406.000000	92.474	174.7175
412.000000	92.454	174.9723
418.000000	92.433	175.2146
425.000000	92.408	175.4985
431.000000	92.387	175.7386
