* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 4, 2026 5:53:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Crystal 2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.195	-170.4743
20.600000	102.189	-171.0168
20.900000	102.178	-171.5895
21.200001	102.164	-172.1479
21.400000	102.156	-172.5124
21.799999	102.141	-173.2297
22.000000	102.135	-173.5848
22.400000	102.124	-174.2903
22.700001	102.116	-174.8139
23.000000	102.105	-175.3300
23.299999	102.093	-175.8356
23.600000	102.079	-176.3284
24.000000	102.058	-176.9636
24.299999	102.044	-177.4250
24.700001	102.026	-178.0265
25.000000	102.015	-178.4742
25.400000	102.002	-179.0764
25.799999	101.989	-179.6891
26.200001	101.972	179.6939
26.500000	101.957	179.2374
26.900000	101.934	178.6493
27.200001	101.918	178.2278
27.600000	101.898	177.6881
28.000000	101.883	177.1617
28.500000	101.866	176.5052
29.000000	101.845	175.8510
29.500000	101.815	175.2184
30.000000	101.776	174.6191
30.400000	101.742	174.1564
30.700001	101.718	173.8109
31.100000	101.686	173.3457
31.500000	101.656	172.8751
32.000000	101.622	172.2926
32.500000	101.589	171.7351
33.000000	101.556	171.2101
33.500000	101.523	170.7078
34.000000	101.489	170.2126
34.500000	101.453	169.7173
35.000000	101.415	169.2288
35.500000	101.376	168.7598
36.000000	101.337	168.3139
36.500000	101.299	167.8782
37.000000	101.263	167.4318
37.500000	101.227	166.9610
38.200001	101.175	166.2729
38.700001	101.137	165.7983
39.500000	101.071	165.1470
40.000000	101.030	164.7998
40.599998	100.984	164.3668
41.200001	100.939	163.8559
41.799999	100.895	163.2997
42.500000	100.850	162.7040
43.099998	100.819	162.2782
43.700001	100.784	161.9277
44.400002	100.731	161.6022
45.000000	100.686	161.3083
45.500000	100.652	160.9617
46.200001	100.588	160.3257
46.799999	100.510	159.8278
47.500000	100.417	159.4848
48.200001	100.350	159.2524
48.700001	100.315	159.0184
49.400002	100.263	158.5832
50.000000	100.212	158.2019
50.799999	100.145	157.7607
51.500000	100.085	157.4073
52.200001	100.022	157.0485
53.000000	99.946	156.6216
53.799999	99.872	156.2123
54.500000	99.816	155.8976
55.200001	99.768	155.5947
56.000000	99.703	155.2606
57.000000	99.596	155.0311
58.000000	99.502	154.8967
59.000000	99.423	154.4009
60.000000	99.334	153.7101
60.799999	99.271	153.2796
61.500000	99.223	153.0040
62.200001	99.169	152.7863
63.000000	99.097	152.5871
64.000000	99.007	152.3317
65.000000	98.922	151.9640
66.000000	98.824	151.6245
67.000000	98.731	151.4249
68.000000	98.646	151.2322
69.000000	98.560	151.0352
70.000000	98.485	150.8180
71.000000	98.411	150.5552
72.000000	98.332	150.3569
73.000000	98.257	150.1915
74.000000	98.177	150.0027
75.000000	98.090	149.8768
76.199997	97.989	149.7506
77.500000	97.882	149.5434
78.800003	97.777	149.3455
80.000000	97.680	149.2339
81.199997	97.596	149.1887
82.500000	97.520	149.3062
83.800003	97.445	149.4462
85.000000	97.344	149.2361
86.199997	97.214	148.9197
87.500000	97.106	148.8136
88.500000	97.042	148.8249
90.000000	96.917	148.7210
91.199997	96.804	148.3811
92.500000	96.708	148.0622
93.800003	96.624	148.2035
95.000000	96.538	148.6142
96.199997	96.461	148.9391
97.500000	96.388	148.9537
98.800003	96.318	148.9451
100.000000	96.256	149.0024
101.500000	96.157	149.2083
103.000000	96.069	149.2693
104.400002	95.996	149.2661
106.000000	95.900	149.4402
107.500000	95.809	149.6068
109.000000	95.740	149.8013
110.599998	95.669	150.0972
112.000000	95.594	150.3468
113.800003	95.499	150.6404
115.000000	95.447	150.7922
117.199997	95.361	150.9835
118.000000	95.325	151.0339
120.599998	95.230	151.3219
122.000000	95.185	151.5401
124.099998	95.084	151.9930
125.000000	95.025	152.1945
126.500000	94.931	152.3193
128.000000	94.873	152.1488
131.500000	94.773	152.4231
132.000000	94.754	152.5288
134.000000	94.673	152.9091
136.000000	94.593	153.2484
138.000000	94.515	153.5859
140.000000	94.451	153.8107
143.000000	94.393	154.3362
145.000000	94.340	154.5260
147.500000	94.237	154.8598
150.000000	94.128	155.3461
152.500000	94.067	155.7138
155.000000	94.013	155.9831
157.500000	93.983	156.4839
160.000000	93.933	156.9138
162.500000	93.873	157.2004
165.000000	93.808	157.6554
167.500000	93.749	158.0096
170.000000	93.717	158.3617
172.500000	93.696	158.7674
175.000000	93.685	159.1893
177.500000	93.624	159.5063
180.000000	93.575	159.7461
182.500000	93.535	160.0272
185.000000	93.481	160.4173
187.500000	93.459	160.9319
190.000000	93.450	161.7334
192.500000	93.423	162.0665
195.000000	93.387	161.9344
197.500000	93.361	162.0569
200.000000	93.331	162.4371
203.000000	93.280	162.9813
206.000000	93.241	163.2530
209.000000	93.215	163.4556
212.000000	93.195	163.7791
214.000000	93.188	164.0053
218.000000	93.179	164.4236
220.000000	93.169	164.6023
224.000000	93.144	164.9273
227.000000	93.125	165.1755
230.000000	93.106	165.4336
233.000000	93.084	165.6827
236.000000	93.057	165.9119
240.000000	93.021	166.2022
243.000000	93.004	166.4104
247.000000	92.991	166.7440
250.000000	92.977	167.0308
254.000000	92.963	167.4082
258.000000	92.945	167.7650
262.000000	92.928	168.0897
265.000000	92.917	168.3315
269.000000	92.900	168.6859
272.000000	92.887	168.8937
276.000000	92.874	169.1339
280.000000	92.865	169.4171
285.000000	92.848	169.7783
290.000000	92.828	170.1449
295.000000	92.822	170.4133
300.000000	92.816	170.7394
304.000000	92.803	171.0099
307.000000	92.793	171.1783
311.000000	92.785	171.3680
315.000000	92.779	171.5634
320.000000	92.770	171.8059
325.000000	92.758	172.0380
330.000000	92.745	172.2494
335.000000	92.731	172.4756
340.000000	92.715	172.7166
345.000000	92.702	172.9353
350.000000	92.689	173.1288
355.000000	92.676	173.3644
360.000000	92.662	173.5930
365.000000	92.649	173.8084
370.000000	92.634	174.0187
375.000000	92.619	174.2293
382.000000	92.599	174.5061
387.000000	92.585	174.7024
395.000000	92.563	175.0289
400.000000	92.549	175.2267
406.000000	92.534	175.4615
412.000000	92.518	175.6837
418.000000	92.502	175.9059
425.000000	92.482	176.1670
431.000000	92.464	176.3901
437.000000	92.448	176.6089
444.000000	92.428	176.8627
450.000000	92.410	177.0818
455.000000	92.396	177.2644
462.000000	92.377	177.5121
468.000000	92.360	177.7176
475.000000	92.339	177.9586
482.000000	92.317	178.1936
487.000000	92.301	178.3588
494.000000	92.279	178.5945
500.000000	92.259	178.7952
508.000000	92.232	179.0576
515.000000	92.208	179.2943
522.000000	92.182	179.5335
530.000000	92.152	179.8099
538.000000	92.122	-179.9049
545.000000	92.096	-179.6523
552.000000	92.069	-179.4007
560.000000	92.039	-179.1064
570.000000	91.999	-178.7262
580.000000	91.959	-178.3411
590.000000	91.918	-177.9436
600.000000	91.878	-177.5355
608.000000	91.845	-177.2052
615.000000	91.816	-176.9116
622.000000	91.787	-176.6148
630.000000	91.754	-176.2665
640.000000	91.711	-175.8104
650.000000	91.668	-175.3356
660.000000	91.627	-174.8549
670.000000	91.588	-174.3571
680.000000	91.548	-173.8433
690.000000	91.509	-173.3087
700.000000	91.472	-172.7611
710.000000	91.436	-172.2007
720.000000	91.402	-171.6267
730.000000	91.370	-171.0441
740.000000	91.339	-170.4512
750.000000	91.308	-169.8419
762.000000	91.273	-169.0890
775.000000	91.237	-168.2497
788.000000	91.205	-167.3790
800.000000	91.178	-166.5522
812.000000	91.156	-165.7015
825.000000	91.138	-164.7519
838.000000	91.125	-163.7838
850.000000	91.120	-162.8761
862.000000	91.120	-161.9587
875.000000	91.125	-160.9530
885.000000	91.135	-160.1726
900.000000	91.159	-159.0002
912.000000	91.184	-158.0599
925.000000	91.219	-157.0458
938.000000	91.262	-156.0374
950.000000	91.308	-155.1196
962.000000	91.360	-154.2344
975.000000	91.423	-153.2977
988.000000	91.492	-152.3827
1000.000000	91.561	-151.5646
1015.000000	91.653	-150.5856
1030.000000	91.752	-149.6615
1044.000000	91.849	-148.8483
1060.000000	91.964	-147.9731
1075.000000	92.075	-147.2105
1090.000000	92.188	-146.5070
1106.000000	92.310	-145.8161
1120.000000	92.417	-145.2578
1138.000000	92.554	-144.6004
1150.000000	92.643	-144.1967
1172.000000	92.805	-143.5275
1180.000000	92.862	-143.3049
1206.000000	93.044	-142.6450
1220.000000	93.139	-142.3250
1241.000000	93.277	-141.8812
1250.000000	93.334	-141.7047
1265.000000	93.426	-141.4284
1280.000000	93.515	-141.1661
1315.000000	93.713	-140.5980
1320.000000	93.740	-140.5202
1340.000000	93.845	-140.2156
1360.000000	93.947	-139.9163
1380.000000	94.045	-139.6231
1400.000000	94.140	-139.3342
1430.000000	94.278	-138.8989
1450.000000	94.368	-138.6050
1475.000000	94.478	-138.2310
1500.000000	94.586	-137.8549
1525.000000	94.694	-137.4758
1550.000000	94.801	-137.0919
1575.000000	94.909	-136.7026
1600.000000	95.018	-136.3158
1625.000000	95.128	-135.9328
1650.000000	95.239	-135.5486
1675.000000	95.352	-135.1751
1700.000000	95.466	-134.8093
1725.000000	95.582	-134.4501
1750.000000	95.699	-134.1003
1775.000000	95.818	-133.7623
1800.000000	95.938	-133.4364
1825.000000	96.060	-133.1200
1850.000000	96.183	-132.8153
1875.000000	96.307	-132.5200
1900.000000	96.434	-132.2358
1925.000000	96.564	-131.9662
1950.000000	96.695	-131.7132
1975.000000	96.829	-131.4807
2000.000000	96.965	-131.2671
2030.000000	97.132	-131.0359
2060.000000	97.302	-130.8345
2090.000000	97.475	-130.6690
2120.000000	97.653	-130.5437
2140.000000	97.773	-130.4850
2180.000000	98.017	-130.4349
2200.000000	98.140	-130.4455
2240.000000	98.389	-130.5424
2270.000000	98.576	-130.6795
2300.000000	98.762	-130.8643
2330.000000	98.950	-131.0891
2360.000000	99.141	-131.3662
2400.000000	99.397	-131.8523
2430.000000	99.589	-132.3117
2470.000000	99.839	-133.0458
2500.000000	100.023	-133.6844
2540.000000	100.259	-134.6510
2580.000000	100.485	-135.7470
2620.000000	100.698	-136.9655
2650.000000	100.847	-137.9554
2690.000000	101.031	-139.3723
2720.000000	101.156	-140.5030
2760.000000	101.303	-142.0883
2800.000000	101.427	-143.7470
2850.000000	101.546	-145.8953
2900.000000	101.624	-148.0847
2950.000000	101.662	-150.2716
3000.000000	101.659	-152.4088
3040.000000	101.630	-154.0557
3070.000000	101.595	-155.2423
3110.000000	101.531	-156.7469
3150.000000	101.450	-158.1518
3200.000000	101.331	-159.7546
3250.000000	101.197	-161.1797
3300.000000	101.056	-162.4315
3350.000000	100.913	-163.5224
3400.000000	100.773	-164.4816
3450.000000	100.638	-165.3428
3500.000000	100.508	-166.1332
3550.000000	100.380	-166.8688
3600.000000	100.254	-167.5535
3650.000000	100.130	-168.1878
3700.000000	100.007	-168.7747
3750.000000	99.887	-169.3201
3820.000000	99.723	-170.0261
3870.000000	99.610	-170.5012
3950.000000	99.433	-171.2409
4000.000000	99.325	-171.7048
4060.000000	99.195	-172.2743
4120.000000	99.061	-172.8631
4180.000000	98.922	-173.4748
4250.000000	98.750	-174.2126
4310.000000	98.588	-174.8548
4370.000000	98.410	-175.4820
4440.000000	98.182	-176.1511
4500.000000	97.968	-176.6273
4550.000000	97.780	-176.9310
4620.000000	97.506	-177.1850
4680.000000	97.269	-177.2324
4750.000000	96.996	-177.0968
4820.000000	96.737	-176.7842
4870.000000	96.563	-176.4782
4940.000000	96.337	-175.9743
5000.000000	96.159	-175.5060
5080.000000	95.943	-174.8801
5150.000000	95.768	-174.3611
5220.000000	95.601	-173.8866
5300.000000	95.413	-173.3987
5380.000000	95.222	-172.9521
5450.000000	95.051	-172.5693
5520.000000	94.872	-172.1708
5600.000000	94.660	-171.6691
5700.000000	94.385	-170.9230
5800.000000	94.104	-169.9979
5900.000000	93.826	-168.8641
6000.000000	93.559	-167.5134
6080.000000	93.360	-166.2832
6150.000000	93.198	-165.1048
6220.000000	93.052	-163.8399
6300.000000	92.904	-162.2993
6400.000000	92.755	-160.2562
6500.000000	92.648	-158.1169
6600.000000	92.587	-155.9138
6700.000000	92.575	-153.6855
6800.000000	92.616	-151.4648
6900.000000	92.713	-149.2897
7000.000000	92.871	-147.2048
7100.000000	93.095	-145.2783
7200.000000	93.390	-143.6045
7300.000000	93.756	-142.2971
7400.000000	94.192	-141.4738
7500.000000	94.694	-141.2861
7620.000000	95.362	-142.2172
7750.000000	96.098	-145.0208
7880.000000	96.727	-149.9069
8000.000000	97.075	-156.0873
8120.000000	97.082	-163.1342
8250.000000	96.664	-170.4505
8380.000000	95.880	-176.0713
8500.000000	94.991	-178.9369
8620.000000	94.157	-179.4995
8750.000000	93.517	-178.9075
8850.000000	93.145	-178.8154
9000.000000	92.531	-178.6338
9120.000000	92.043	-177.4495
9250.000000	91.654	-175.3077
9380.000000	91.452	-172.8947
9500.000000	91.426	-170.8632
9620.000000	91.531	-169.3256
9750.000000	91.758	-168.4900
9880.000000	92.048	-168.7196
10000.000000	92.319	-169.9216
10150.000000	92.587	-172.5673
10300.000000	92.730	-176.0333
10440.000000	92.753	-179.5601
10600.000000	92.698	176.3418
10750.000000	92.610	172.3535
10900.000000	92.491	167.9875
11060.000000	92.291	162.7868
11200.000000	92.016	157.8807
11380.000000	91.495	151.4345
11500.000000	91.039	147.2924
11720.000000	90.008	140.6219
11800.000000	89.590	138.6326
12060.000000	88.205	134.0405
12200.000000	87.517	132.6742
12410.000000	86.658	131.6969
12500.000000	86.369	131.5277
12650.000000	86.003	131.3876
12800.000000	85.786	131.2473
13150.000000	85.866	129.8042
13200.000000	85.942	129.3619
13400.000000	86.389	126.7097
13600.000000	87.022	122.2829
13800.000000	87.757	115.7278
14000.000000	88.485	106.9457
14300.000000	89.337	90.1181
14500.000000	89.652	77.1842
14750.000000	89.753	60.0523
15000.000000	89.590	42.3730
15250.000000	89.203	24.5270
15500.000000	88.722	6.8634
15750.000000	88.332	-11.5223
16000.000000	87.892	-31.9919
16250.000000	87.093	-53.7384
16500.000000	86.004	-74.7672
16750.000000	85.110	-95.0457
17000.000000	84.782	-117.2471
17250.000000	84.827	-144.2826
17500.000000	84.776	-176.9623
17750.000000	84.318	145.3316
18000.000000	83.272	103.5455
18250.000000	81.507	58.9750
18500.000000	79.081	12.9397
18750.000000	76.332	-34.6412
19000.000000	73.591	-85.5515
19250.000000	70.807	-141.5394
19500.000000	67.700	156.4492
19750.000000	64.168	86.3186
20000.000000	61.165	13.6827
