* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 4, 2026 5:55:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Crystal 2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.867	-163.4723
20.600000	101.869	-164.0394
20.900000	101.870	-164.6481
21.200001	101.873	-165.2564
21.400000	101.876	-165.6606
21.799999	101.884	-166.4614
22.000000	101.888	-166.8543
22.400000	101.895	-167.6171
22.700001	101.898	-168.1671
23.000000	101.899	-168.7005
23.299999	101.895	-169.2218
23.600000	101.888	-169.7359
24.000000	101.874	-170.4166
24.299999	101.862	-170.9267
24.700001	101.847	-171.6079
25.000000	101.838	-172.1184
25.400000	101.829	-172.7923
25.799999	101.824	-173.4489
26.200001	101.822	-174.0817
26.500000	101.821	-174.5429
26.900000	101.819	-175.1500
27.200001	101.815	-175.6065
27.600000	101.803	-176.2186
28.000000	101.783	-176.8241
28.500000	101.752	-177.5462
29.000000	101.723	-178.2199
29.500000	101.704	-178.8688
30.000000	101.692	-179.5183
30.400000	101.682	179.9657
30.700001	101.673	179.5901
31.100000	101.659	179.1119
31.500000	101.643	178.6544
32.000000	101.623	178.0860
32.500000	101.600	177.4980
33.000000	101.573	176.8965
33.500000	101.543	176.3073
34.000000	101.514	175.7442
34.500000	101.487	175.2003
35.000000	101.459	174.6643
35.500000	101.429	174.1356
36.000000	101.396	173.6205
36.500000	101.362	173.1242
37.000000	101.330	172.6464
37.500000	101.301	172.1838
38.200001	101.265	171.5532
38.700001	101.239	171.1086
39.500000	101.192	170.3992
40.000000	101.159	169.9534
40.599998	101.117	169.4155
41.200001	101.074	168.8863
41.799999	101.032	168.3827
42.500000	100.986	167.8301
43.099998	100.946	167.3714
43.700001	100.902	166.9168
44.400002	100.849	166.3875
45.000000	100.806	165.9288
45.500000	100.774	165.5430
46.200001	100.730	165.0129
46.799999	100.688	164.5856
47.500000	100.628	164.1337
48.200001	100.563	163.7341
48.700001	100.522	163.4610
49.400002	100.475	163.0479
50.000000	100.442	162.6531
50.799999	100.393	162.1364
51.500000	100.344	161.7387
52.200001	100.291	161.3531
53.000000	100.227	160.8843
53.799999	100.163	160.4226
54.500000	100.109	160.0536
55.200001	100.057	159.7132
56.000000	99.991	159.3517
57.000000	99.907	158.9144
58.000000	99.836	158.4236
59.000000	99.765	157.9132
60.000000	99.687	157.4831
60.799999	99.621	157.1551
61.500000	99.559	156.8670
62.200001	99.501	156.6006
63.000000	99.439	156.3166
64.000000	99.359	155.9916
65.000000	99.277	155.6818
66.000000	99.194	155.2937
67.000000	99.108	154.9256
68.000000	99.037	154.6549
69.000000	98.974	154.4197
70.000000	98.902	154.1576
71.000000	98.810	153.8984
72.000000	98.720	153.6823
73.000000	98.641	153.4789
74.000000	98.568	153.3146
75.000000	98.498	153.1374
76.199997	98.410	152.9014
77.500000	98.317	152.6893
78.800003	98.224	152.4863
80.000000	98.142	152.3291
81.199997	98.066	152.1843
82.500000	97.982	151.9675
83.800003	97.886	151.7477
85.000000	97.788	151.6198
86.199997	97.696	151.5038
87.500000	97.612	151.2342
88.500000	97.550	151.0300
