* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 8:10:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak EX11 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.338	-170.3753
20.600000	102.332	-170.9080
20.900000	102.322	-171.4801
21.200001	102.310	-172.0493
21.400000	102.303	-172.4259
21.799999	102.290	-173.1718
22.000000	102.285	-173.5405
22.400000	102.275	-174.2665
22.700001	102.268	-174.8000
23.000000	102.261	-175.3238
23.299999	102.252	-175.8382
23.600000	102.242	-176.3436
24.000000	102.225	-177.0041
24.299999	102.212	-177.4896
24.700001	102.193	-178.1249
25.000000	102.179	-178.5941
25.400000	102.161	-179.2124
25.799999	102.143	-179.8229
26.200001	102.123	179.5787
26.500000	102.107	179.1422
26.900000	102.084	178.5801
27.200001	102.066	178.1722
27.600000	102.045	177.6385
28.000000	102.024	177.1039
28.500000	101.998	176.4258
29.000000	101.968	175.7520
29.500000	101.933	175.1142
30.000000	101.897	174.5251
30.400000	101.870	174.0749
30.700001	101.851	173.7377
31.100000	101.827	173.2798
31.500000	101.802	172.8144
32.000000	101.769	172.2390
32.500000	101.736	171.6869
33.000000	101.702	171.1566
33.500000	101.668	170.6367
34.000000	101.630	170.1259
34.500000	101.590	169.6306
35.000000	101.550	169.1480
35.500000	101.514	168.6623
36.000000	101.480	168.1625
36.500000	101.445	167.6585
37.000000	101.408	167.1735
37.500000	101.369	166.7220
38.200001	101.314	166.1314
38.700001	101.273	165.7156
39.500000	101.204	165.0428
40.000000	101.160	164.6264
40.599998	101.111	164.1389
41.200001	101.065	163.6605
41.799999	101.019	163.1896
42.500000	100.960	162.6685
43.099998	100.906	162.2590
43.700001	100.853	161.8650
44.400002	100.794	161.3876
45.000000	100.743	160.9680
45.500000	100.700	160.6292
46.200001	100.643	160.1707
46.799999	100.596	159.7748
47.500000	100.536	159.3347
48.200001	100.475	158.9675
48.700001	100.434	158.7285
49.400002	100.378	158.3480
50.000000	100.321	157.9627
50.799999	100.235	157.4578
51.500000	100.170	157.0829
52.200001	100.117	156.7485
53.000000	100.053	156.3998
53.799999	99.974	156.0932
54.500000	99.904	155.8111
55.200001	99.841	155.4655
56.000000	99.774	155.0417
57.000000	99.680	154.6342
58.000000	99.583	154.3138
59.000000	99.501	153.8870
60.000000	99.428	153.4188
60.799999	99.356	153.1521
61.500000	99.282	153.0132
62.200001	99.215	152.8685
63.000000	99.153	152.6003
64.000000	99.079	152.2145
65.000000	98.986	151.9170
66.000000	98.876	151.6467
67.000000	98.786	151.4026
68.000000	98.727	151.1950
69.000000	98.661	150.9974
70.000000	98.572	150.7367
71.000000	98.469	150.4531
72.000000	98.365	150.3265
73.000000	98.267	150.3336
74.000000	98.175	150.3322
75.000000	98.095	150.3138
76.199997	98.032	150.2775
77.500000	97.973	149.8638
78.800003	97.855	149.3007
