* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 8:12:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak EX11 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.197	-163.6390
20.600000	102.198	-164.1905
20.900000	102.197	-164.7877
21.200001	102.194	-165.3920
21.400000	102.192	-165.7984
21.799999	102.189	-166.6177
22.000000	102.189	-167.0272
22.400000	102.189	-167.8359
22.700001	102.189	-168.4265
23.000000	102.189	-169.0001
23.299999	102.188	-169.5566
23.600000	102.186	-170.0974
24.000000	102.180	-170.7969
24.299999	102.173	-171.3068
24.700001	102.163	-171.9696
25.000000	102.155	-172.4568
25.400000	102.146	-173.0987
25.799999	102.138	-173.7378
26.200001	102.130	-174.3752
26.500000	102.124	-174.8493
26.900000	102.114	-175.4694
27.200001	102.105	-175.9226
27.600000	102.093	-176.5112
28.000000	102.080	-177.0876
28.500000	102.062	-177.8003
29.000000	102.041	-178.5036
29.500000	102.016	-179.1846
30.000000	101.992	-179.8363
30.400000	101.973	179.6572
30.700001	101.960	179.2800
31.100000	101.943	178.7765
31.500000	101.925	178.2737
32.000000	101.899	177.6558
32.500000	101.873	177.0564
33.000000	101.847	176.4716
33.500000	101.820	175.8968
34.000000	101.791	175.3405
34.500000	101.762	174.8165
35.000000	101.734	174.3221
35.500000	101.709	173.8320
36.000000	101.685	173.3200
36.500000	101.657	172.7850
37.000000	101.623	172.2492
37.500000	101.587	171.7338
38.200001	101.538	171.0486
38.700001	101.505	170.5769
39.500000	101.452	169.8642
40.000000	101.419	169.4477
40.599998	101.382	168.9519
41.200001	101.344	168.4377
41.799999	101.304	167.9159
42.500000	101.256	167.3291
43.099998	101.213	166.8602
43.700001	101.164	166.4401
44.400002	101.105	166.0032
45.000000	101.062	165.5941
45.500000	101.028	165.1796
46.200001	100.976	164.5467
46.799999	100.930	164.0752
47.500000	100.882	163.6332
48.200001	100.826	163.2256
48.700001	100.771	162.9697
49.400002	100.690	162.6921
50.000000	100.643	162.4242
50.799999	100.606	161.8229
51.500000	100.566	161.2017
52.200001	100.516	160.7236
53.000000	100.462	160.3140
53.799999	100.403	159.8964
54.500000	100.345	159.5260
55.200001	100.289	159.1555
56.000000	100.224	158.7247
57.000000	100.137	158.2496
58.000000	100.058	157.8148
59.000000	99.980	157.3572
60.000000	99.902	156.9186
60.799999	99.840	156.5660
61.500000	99.782	156.2709
62.200001	99.725	156.0073
63.000000	99.663	155.7237
64.000000	99.582	155.3628
65.000000	99.496	155.0119
66.000000	99.416	154.6738
67.000000	99.344	154.3450
68.000000	99.264	154.0420
69.000000	99.176	153.7960
70.000000	99.098	153.5291
71.000000	99.026	153.2066
72.000000	98.950	152.9669
73.000000	98.876	152.8074
74.000000	98.800	152.5974
75.000000	98.715	152.3587
76.199997	98.617	152.0882
77.500000	98.512	151.8047
78.800003	98.411	151.5679
80.000000	98.324	151.3870
81.199997	98.238	151.2338
82.500000	98.142	151.0660
83.800003	98.049	150.8748
85.000000	97.966	150.7032
86.199997	97.879	150.5774
87.500000	97.781	150.4770
88.500000	97.705	150.4049
90.000000	97.598	150.3200
91.199997	97.520	150.2497
92.500000	97.432	150.1800
93.800003	97.341	150.1588
95.000000	97.258	150.1624
96.199997	97.185	150.1733
97.500000	97.110	150.0996
98.800003	97.028	149.9110
100.000000	96.947	149.7684
101.500000	96.849	149.8935
103.000000	96.753	150.1022
104.400002	96.669	150.1860
106.000000	96.576	150.2589
107.500000	96.483	150.3076
109.000000	96.398	150.3568
110.599998	96.312	150.4933
112.000000	96.228	150.5920
113.800003	96.118	150.7047
115.000000	96.054	150.8323
117.199997	95.949	151.0913
118.000000	95.910	151.1978
120.599998	95.791	151.5768
122.000000	95.735	151.7802
124.099998	95.658	152.0571
125.000000	95.625	152.1635
126.500000	95.566	152.3398
128.000000	95.510	152.5043
131.500000	95.389	152.8453
132.000000	95.374	152.8800
134.000000	95.315	153.0358
136.000000	95.241	153.2036
138.000000	95.161	153.4043
140.000000	95.085	153.7004
143.000000	94.987	154.0546
145.000000	94.923	154.2446
147.500000	94.845	154.5660
150.000000	94.764	155.0101
152.500000	94.701	155.2098
155.000000	94.639	155.4594
157.500000	94.573	155.7656
160.000000	94.507	156.0745
162.500000	94.447	156.3832
165.000000	94.386	156.7034
167.500000	94.327	157.0328
170.000000	94.273	157.3474
172.500000	94.223	157.6629
175.000000	94.174	157.9822
177.500000	94.129	158.3026
180.000000	94.084	158.6475
182.500000	94.035	158.9907
185.000000	93.991	159.3379
187.500000	93.957	159.6752
190.000000	93.923	159.9794
192.500000	93.887	160.2631
195.000000	93.854	160.5434
197.500000	93.822	160.8361
200.000000	93.792	161.1202
203.000000	93.758	161.4320
