* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:22:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Foam L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.694	-168.8339
20.600000	101.689	-169.3710
20.900000	101.682	-169.9530
21.200001	101.673	-170.5435
21.400000	101.667	-170.9414
21.799999	101.655	-171.7408
22.000000	101.648	-172.1364
22.400000	101.637	-172.9032
22.700001	101.629	-173.4504
23.000000	101.623	-173.9756
23.299999	101.618	-174.4868
23.600000	101.614	-174.9935
24.000000	101.607	-175.6715
24.299999	101.598	-176.1801
24.700001	101.581	-176.8455
25.000000	101.565	-177.3263
25.400000	101.544	-177.9403
25.799999	101.525	-178.5352
26.200001	101.509	-179.1309
26.500000	101.497	-179.5852
26.900000	101.480	179.8019
27.200001	101.465	179.3459
27.600000	101.444	178.7570
28.000000	101.421	178.1977
28.500000	101.395	177.5337
29.000000	101.370	176.8881
29.500000	101.342	176.2471
30.000000	101.311	175.6125
30.400000	101.283	175.1129
30.700001	101.262	174.7432
31.100000	101.233	174.2558
31.500000	101.205	173.7746
32.000000	101.172	173.1856
32.500000	101.138	172.6174
33.000000	101.105	172.0731
33.500000	101.073	171.5473
34.000000	101.039	171.0302
34.500000	101.004	170.5150
35.000000	100.967	170.0034
35.500000	100.928	169.5034
36.000000	100.889	169.0213
36.500000	100.851	168.5532
37.000000	100.814	168.0873
37.500000	100.777	167.6163
38.200001	100.720	166.9656
38.700001	100.678	166.5294
39.500000	100.614	165.8768
40.000000	100.575	165.4650
40.599998	100.525	164.9476
41.200001	100.468	164.4292
41.799999	100.409	163.9459
42.500000	100.347	163.4338
43.099998	100.303	163.0143
43.700001	100.260	162.5968
44.400002	100.207	162.1210
45.000000	100.158	161.7322
45.500000	100.116	161.4115
46.200001	100.058	160.9369
46.799999	100.005	160.5110
47.500000	99.938	160.0475
48.200001	99.875	159.6380
48.700001	99.834	159.3464
49.400002	99.776	158.9175
50.000000	99.721	158.5634
50.799999	99.647	158.1551
51.500000	99.585	157.8328
52.200001	99.523	157.5150
53.000000	99.450	157.1476
53.799999	99.377	156.7833
54.500000	99.319	156.4672
55.200001	99.266	156.1063
56.000000	99.197	155.6548
57.000000	99.096	155.2231
58.000000	99.006	154.8704
59.000000	98.913	154.5685
60.000000	98.842	154.2974
60.799999	98.778	153.8831
61.500000	98.690	153.4977
62.200001	98.596	153.2485
63.000000	98.519	153.0711
64.000000	98.456	152.8378
65.000000	98.391	152.6169
66.000000	98.308	152.3907
67.000000	98.215	152.1342
68.000000	98.128	151.8686
69.000000	98.045	151.6196
70.000000	97.959	151.3906
71.000000	97.872	151.1881
72.000000	97.789	151.0297
73.000000	97.706	150.8926
74.000000	97.621	150.7619
75.000000	97.539	150.6319
76.199997	97.444	150.4659
77.500000	97.340	150.3296
78.800003	97.245	150.2181
80.000000	97.152	150.1027
81.199997	97.041	149.9692
82.500000	96.930	149.8034
83.800003	96.839	149.6718
85.000000	96.755	149.6739
86.199997	96.663	149.7283
87.500000	96.568	149.7479
88.500000	96.497	149.7291
90.000000	96.391	149.7404
91.199997	96.309	149.7432
92.500000	96.220	149.7476
93.800003	96.132	149.7958
95.000000	96.053	149.8642
96.199997	95.974	149.9309
97.500000	95.883	149.9891
98.800003	95.790	150.0177
100.000000	95.710	150.0660
101.500000	95.627	150.2241
103.000000	95.547	150.4134
104.400002	95.467	150.5762
106.000000	95.373	150.7292
107.500000	95.287	150.8641
109.000000	95.207	151.0301
110.599998	95.125	151.2268
112.000000	95.052	151.3760
113.800003	94.957	151.6015
115.000000	94.897	151.7720
117.199997	94.793	152.0800
118.000000	94.756	152.1928
120.599998	94.641	152.5827
122.000000	94.581	152.8072
124.099998	94.493	153.1509
125.000000	94.455	153.2902
126.500000	94.396	153.5239
128.000000	94.339	153.7719
131.500000	94.217	154.3473
132.000000	94.200	154.4354
134.000000	94.133	154.8092
136.000000	94.065	155.1603
138.000000	94.002	155.4860
140.000000	93.942	155.7781
143.000000	93.860	156.2421
145.000000	93.804	156.5615
147.500000	93.741	156.8339
150.000000	93.690	156.9047
152.500000	93.625	157.5983
155.000000	93.564	158.2193
157.500000	93.512	158.6724
160.000000	93.467	159.0645
162.500000	93.417	159.4557
165.000000	93.376	159.8696
167.500000	93.342	160.2437
170.000000	93.307	160.6077
172.500000	93.269	160.9771
175.000000	93.232	161.3520
177.500000	93.200	161.7258
180.000000	93.170	162.1003
182.500000	93.141	162.4272
185.000000	93.113	162.7310
187.500000	93.087	163.0460
190.000000	93.062	163.3783
192.500000	93.038	163.6928
195.000000	93.017	163.9998
197.500000	92.998	164.2954
200.000000	92.981	164.5836
203.000000	92.955	164.9753
206.000000	92.931	165.3554
