* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2026 7:23:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Crinear Daybreak Foam R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.894	-164.1745
20.600000	101.893	-164.7386
20.900000	101.891	-165.3486
21.200001	101.889	-165.9655
21.400000	101.888	-166.3807
21.799999	101.888	-167.2182
22.000000	101.889	-167.6367
22.400000	101.892	-168.4615
22.700001	101.893	-169.0612
23.000000	101.893	-169.6409
23.299999	101.891	-170.2010
23.600000	101.887	-170.7440
24.000000	101.879	-171.4474
24.299999	101.870	-171.9627
24.700001	101.858	-172.6371
25.000000	101.849	-173.1359
25.400000	101.838	-173.7959
25.799999	101.828	-174.4542
26.200001	101.818	-175.1104
26.500000	101.809	-175.5970
26.900000	101.795	-176.2296
27.200001	101.783	-176.6874
27.600000	101.766	-177.2763
28.000000	101.751	-177.8511
28.500000	101.733	-178.5722
29.000000	101.713	-179.3062
29.500000	101.689	179.9670
30.000000	101.662	179.2785
30.400000	101.640	178.7625
30.700001	101.624	178.3906
31.100000	101.604	177.9040
31.500000	101.585	177.4190
32.000000	101.560	176.8119
32.500000	101.532	176.2095
33.000000	101.504	175.6154
33.500000	101.475	175.0289
34.000000	101.446	174.4531
34.500000	101.415	173.8947
35.000000	101.382	173.3571
35.500000	101.349	172.8361
36.000000	101.316	172.3228
36.500000	101.283	171.8089
37.000000	101.250	171.2905
37.500000	101.216	170.7742
38.200001	101.168	170.0888
38.700001	101.134	169.6367
39.500000	101.084	168.9185
40.000000	101.048	168.4406
40.599998	100.996	167.8695
41.200001	100.942	167.3563
41.799999	100.897	166.8920
42.500000	100.857	166.3351
43.099998	100.821	165.8354
43.700001	100.778	165.3535
44.400002	100.725	164.8202
45.000000	100.677	164.3659
45.500000	100.635	163.9949
46.200001	100.576	163.5062
46.799999	100.530	163.0999
47.500000	100.476	162.6143
48.200001	100.418	162.1354
48.700001	100.377	161.8073
49.400002	100.321	161.3537
50.000000	100.272	160.9684
50.799999	100.205	160.4925
51.500000	100.150	160.1055
52.200001	100.097	159.7029
53.000000	100.031	159.2310
53.799999	99.961	158.8054
54.500000	99.904	158.4649
55.200001	99.849	158.1106
56.000000	99.783	157.6835
57.000000	99.698	157.1771
58.000000	99.616	156.7265
59.000000	99.536	156.3073
60.000000	99.452	155.9029
60.799999	99.382	155.5875
61.500000	99.324	155.3097
62.200001	99.268	155.0212
63.000000	99.200	154.6948
64.000000	99.111	154.3394
65.000000	99.028	154.0140
66.000000	98.947	153.6797
67.000000	98.864	153.3635
68.000000	98.782	153.0604
69.000000	98.701	152.7587
70.000000	98.617	152.4539
71.000000	98.530	152.1927
72.000000	98.451	152.0023
73.000000	98.384	151.8109
74.000000	98.312	151.6105
75.000000	98.229	151.4120
76.199997	98.125	151.1503
77.500000	98.019	150.8875
78.800003	97.915	150.6780
80.000000	97.819	150.5106
81.199997	97.725	150.3399
82.500000	97.628	150.1811
83.800003	97.530	150.0488
85.000000	97.440	149.9549
86.199997	97.352	149.8639
87.500000	97.258	149.7418
88.500000	97.188	149.6532
90.000000	97.086	149.5625
91.199997	97.001	149.5141
92.500000	96.906	149.4730
93.800003	96.816	149.4290
95.000000	96.737	149.3975
96.199997	96.658	149.3976
97.500000	96.571	149.4083
98.800003	96.485	149.4120
100.000000	96.410	149.4073
101.500000	96.317	149.4023
103.000000	96.225	149.4193
104.400002	96.143	149.4590
106.000000	96.053	149.5494
107.500000	95.967	149.6696
109.000000	95.877	149.8268
110.599998	95.777	149.9830
112.000000	95.695	150.0608
113.800003	95.605	150.1288
115.000000	95.550	150.1991
117.199997	95.442	150.4265
118.000000	95.399	150.5189
120.599998	95.265	150.7419
122.000000	95.205	150.8734
124.099998	95.115	151.1304
125.000000	95.073	151.2396
126.500000	95.006	151.4008
128.000000	94.942	151.5685
131.500000	94.794	151.9898
132.000000	94.774	152.0494
134.000000	94.697	152.3222
136.000000	94.620	152.5866
138.000000	94.549	152.8677
140.000000	94.478	153.1489
143.000000	94.375	153.5594
145.000000	94.313	153.8512
147.500000	94.243	154.1901
150.000000	94.179	154.4466
152.500000	94.097	154.8753
155.000000	94.022	155.2840
157.500000	93.958	155.6475
160.000000	93.895	156.0043
162.500000	93.836	156.3586
165.000000	93.783	156.7237
167.500000	93.732	157.0773
170.000000	93.681	157.4125
172.500000	93.633	157.7332
175.000000	93.590	158.0671
177.500000	93.547	158.4246
180.000000	93.506	158.7588
182.500000	93.467	159.0550
185.000000	93.427	159.3709
187.500000	93.387	159.6953
190.000000	93.348	160.0046
192.500000	93.311	160.3118
195.000000	93.276	160.6259
197.500000	93.240	160.9383
200.000000	93.207	161.2487
203.000000	93.180	161.6137
206.000000	93.153	161.9599
209.000000	93.123	162.2927
212.000000	93.096	162.6339
214.000000	93.079	162.8599
218.000000	93.047	163.2798
220.000000	93.032	163.4818
224.000000	93.002	163.8698
227.000000	92.981	164.1542
230.000000	92.960	164.4426
233.000000	92.941	164.7095
236.000000	92.923	164.9610
240.000000	92.897	165.2934
243.000000	92.877	165.5442
247.000000	92.852	165.8996
250.000000	92.834	166.1717
254.000000	92.810	166.4354
258.000000	92.788	166.7189
262.000000	92.767	167.0012
265.000000	92.752	167.2141
269.000000	92.731	167.5056
272.000000	92.716	167.7171
276.000000	92.698	167.9942
280.000000	92.680	168.2700
285.000000	92.659	168.6009
290.000000	92.640	168.9249
295.000000	92.620	169.2374
300.000000	92.599	169.5424
304.000000	92.583	169.7738
307.000000	92.572	169.9464
311.000000	92.557	170.1757
315.000000	92.543	170.4041
320.000000	92.525	170.6690
325.000000	92.507	170.9213
330.000000	92.490	171.1799
335.000000	92.474	171.4484
340.000000	92.458	171.7092
345.000000	92.446	171.9423
350.000000	92.436	172.1560
355.000000	92.416	172.4068
360.000000	92.395	172.6552
365.000000	92.378	172.8846
370.000000	92.361	173.1130
375.000000	92.345	173.3376
382.000000	92.323	173.6375
387.000000	92.308	173.8478
395.000000	92.286	174.1737
400.000000	92.271	174.3757
406.000000	92.251	174.6197
412.000000	92.230	174.8533
418.000000	92.210	175.0893
425.000000	92.186	175.3651
431.000000	92.165	175.5947
437.000000	92.144	175.8237
444.000000	92.117	176.0870
450.000000	92.092	176.3095
455.000000	92.076	176.5085
462.000000	92.054	176.7869
468.000000	92.033	177.0193
475.000000	92.008	177.2899
482.000000	91.983	177.5621
487.000000	91.964	177.7576
494.000000	91.938	178.0300
500.000000	91.915	178.2639
508.000000	91.884	178.5868
515.000000	91.857	178.8742
